review_id,review_decision,review_reason
SG2-0001,VALID,EXPLICIT_CURRENT_RANGE
SG2-0002,INVALID,ACTUAL_AND_GUIDANCE_BOUNDARY_MIXED
SG2-0003,VALID,EXPLICIT_CURRENT_RANGE
SG2-0004,VALID,EXPLICIT_CURRENT_RANGE
SG2-0005,VALID,EXPLICIT_CURRENT_RANGE
SG2-0006,VALID,EXPLICIT_CURRENT_RANGE
SG2-0007,VALID,EXPLICIT_CURRENT_RANGE
SG2-0008,VALID,EXPLICIT_CURRENT_RANGE
SG2-0009,VALID,EXPLICIT_CURRENT_RANGE
SG2-0010,VALID,EXPLICIT_CURRENT_RANGE
SG2-0011,INVALID,ACTUAL_AND_GUIDANCE_BOUNDARY_MIXED
SG2-0012,VALID,EXPLICIT_CURRENT_RANGE
SG2-0013,INVALID,WRONG_METRIC_DDA_RANGE
SG2-0014,INVALID,WRONG_METRIC_OPERATING_COST_RANGE
SG2-0015,VALID,EXPLICIT_CURRENT_RANGE
SG2-0016,VALID,EXPLICIT_CURRENT_RANGE
SG2-0017,VALID,EXPLICIT_CURRENT_RANGE
SG2-0018,VALID,EXPLICIT_CURRENT_RANGE
SG2-0019,VALID,EXPLICIT_CURRENT_RANGE
SG2-0020,VALID,EXPLICIT_CURRENT_RANGE
SG2-0021,VALID,EXPLICIT_CURRENT_RANGE
SG2-0022,INVALID,UNRELATED_VALUES_MERGED_INTO_RANGE
SG2-0023,VALID,EXPLICIT_CURRENT_RANGE
SG2-0024,INVALID,PRIOR_GUIDANCE_REPORTED_AS_CURRENT
SG2-0025,VALID,EXPLICIT_CURRENT_RANGE
SG2-0026,VALID,EXPLICIT_CURRENT_RANGE
SG2-0027,VALID,EXPLICIT_CURRENT_RANGE
SG2-0028,VALID,EXPLICIT_CURRENT_RANGE
SG2-0029,VALID,EXPLICIT_CURRENT_RANGE
SG2-0030,VALID,EXPLICIT_CURRENT_RANGE_AND_SUBTYPE
SG2-0031,VALID,EXPLICIT_CURRENT_RANGE_AND_SUBTYPE
SG2-0032,VALID,EXPLICIT_CURRENT_RANGE_AND_SUBTYPE
SG2-0033,VALID,EXPLICIT_CURRENT_RANGE_AND_SUBTYPE
SG2-0034,VALID,EXPLICIT_CURRENT_RANGE
SG2-0035,VALID,EXPLICIT_CURRENT_RANGE
SG2-0036,VALID,EXPLICIT_CURRENT_RANGE
SG2-0037,VALID,EXPLICIT_CURRENT_RANGE
SG2-0038,INVALID,GAAP_EARNINGS_RANGE_MAPPED_TO_CORE_FFO
SG2-0039,VALID,EXPLICIT_CURRENT_RANGE
SG2-0040,INVALID,GAAP_EARNINGS_RANGE_MAPPED_TO_CORE_FFO
SG2-0041,VALID,EXPLICIT_CURRENT_RANGE
SG2-0042,VALID,EXPLICIT_CURRENT_RANGE
SG2-0043,VALID,EXPLICIT_CURRENT_RANGE
SG2-0044,INVALID,ACCOUNTING_BASIS_NOT_RANGE_LOCAL
SG2-0045,VALID,EXPLICIT_CURRENT_RANGE
SG2-0046,INVALID,ACCOUNTING_BASIS_NOT_RANGE_LOCAL
SG2-0047,INVALID,HISTORICAL_RESTATEMENT_NOT_GUIDANCE
SG2-0048,VALID,EXPLICIT_CURRENT_RANGE
SG2-0049,INVALID,ADJUSTED_RANGE_MAPPED_TO_GAAP
SG2-0050,INVALID,UNRELATED_VALUE_MERGED_INTO_RANGE
SG2-0051,VALID,EXPLICIT_CURRENT_RANGE
SG2-0052,INVALID,FISCAL_PERIOD_FROM_DIFFERENT_RANGE
SG2-0053,INVALID,FISCAL_PERIOD_FROM_REPORTING_CONTEXT
SG2-0054,INVALID,GAAP_RANGE_MAPPED_TO_NON_GAAP
SG2-0055,INVALID,ACCOUNTING_BASIS_NOT_RANGE_LOCAL
SG2-0056,VALID,EXPLICIT_CURRENT_RANGE
SG2-0057,INVALID,SINGLE_VALUE_AND_UNRELATED_VALUE_MERGED
SG2-0058,VALID,EXPLICIT_CURRENT_RANGE
SG2-0059,INVALID,COMPARISON_PERIOD_MAPPED_AS_GUIDANCE_PERIOD
SG2-0060,INVALID,COMPARISON_PERIOD_MAPPED_AS_GUIDANCE_PERIOD
SG2-0061,INVALID,COMPARISON_PERIOD_MAPPED_AS_GUIDANCE_PERIOD
SG2-0062,INVALID,COMPARISON_PERIOD_MAPPED_AS_GUIDANCE_PERIOD
SG2-0063,INVALID,COMPARISON_PERIOD_MAPPED_AS_GUIDANCE_PERIOD
SG2-0064,INVALID,COMPARISON_PERIOD_MAPPED_AS_GUIDANCE_PERIOD
SG2-0065,INVALID,COMPARISON_PERIOD_MAPPED_AS_GUIDANCE_PERIOD
SG2-0066,INVALID,COMPARISON_PERIOD_MAPPED_AS_GUIDANCE_PERIOD
SG2-0067,INVALID,COMPARISON_PERIOD_MAPPED_AS_GUIDANCE_PERIOD
SG2-0068,INVALID,COMPARISON_PERIOD_MAPPED_AS_GUIDANCE_PERIOD
SG2-0069,VALID,EXPLICIT_CURRENT_RANGE
SG2-0070,VALID,EXPLICIT_CURRENT_RANGE
SG2-0071,VALID,EXPLICIT_CURRENT_RANGE
SG2-0072,INVALID,BOUND_ORDER_AND_SCALE_CORRUPTED
SG2-0073,INVALID,ACCOUNTING_BASIS_NOT_APPLICABLE_TO_REVENUE
SG2-0074,VALID,EXPLICIT_CURRENT_RANGE
SG2-0075,VALID,EXPLICIT_CURRENT_RANGE
SG2-0076,VALID,EXPLICIT_CURRENT_RANGE
SG2-0077,VALID,EXPLICIT_CURRENT_RANGE
SG2-0078,VALID,EXPLICIT_CURRENT_RANGE
SG2-0079,VALID,EXPLICIT_CURRENT_RANGE
SG2-0080,INVALID,SEGMENT_REVENUE_MISSING_SUBTYPE
