review_id,review_decision,review_reason
SG6-0001,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0002,VALID,UNCHANGED_PRIOR_RANGE_IS_CURRENT_GUIDANCE
SG6-0003,VALID,UNCHANGED_PRIOR_RANGE_IS_CURRENT_GUIDANCE
SG6-0004,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0005,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0006,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0007,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0008,INVALID,ADJUSTED_BASIS_NOT_BOUND
SG6-0009,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0010,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0011,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0012,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0013,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0014,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0015,VALID,UNCHANGED_PRIOR_RANGE_IS_CURRENT_GUIDANCE
SG6-0016,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0017,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0018,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0019,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0020,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0021,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0022,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0023,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0024,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0025,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0026,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0027,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0028,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0029,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0030,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0031,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0032,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0033,INVALID,QUARTER_GUIDANCE_MAPPED_TO_FULL_YEAR
SG6-0034,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0035,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0036,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0037,VALID,UNCHANGED_PRIOR_RANGE_IS_CURRENT_GUIDANCE
SG6-0038,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0039,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0040,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0041,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0042,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0043,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0044,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0045,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0046,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0047,INVALID,QUARTER_GUIDANCE_MAPPED_TO_FULL_YEAR
SG6-0048,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0049,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0050,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0051,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0052,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0053,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0054,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0055,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0056,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0057,INVALID,ADJUSTED_BASIS_NOT_BOUND
SG6-0058,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0059,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0060,INVALID,QUALITATIVE_HIGH_END_SELECTED_AS_FULL_RANGE
SG6-0061,INVALID,ADJUSTED_RANGE_BOUND_AS_GAAP
SG6-0062,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0063,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0064,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0065,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0066,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0067,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0068,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0069,AMBIGUOUS,ACCOUNTING_BASIS_NOT_IDENTIFIABLE_FROM_SOURCE
SG6-0070,INVALID,QUALITATIVE_HIGH_END_SELECTED_AS_FULL_RANGE
SG6-0071,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0072,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0073,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0074,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0075,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0076,INVALID,OPERATING_CASH_FLOW_MISCLASSIFIED_AS_FREE_CASH_FLOW
SG6-0077,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0078,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0079,VALID,ATOMIC_BINDING_CONFIRMED
SG6-0080,VALID,ATOMIC_BINDING_CONFIRMED
