signal_date,ticker,guard_state,deterioration_flags,horizon_months,outcome_end,forward_return,forward_trough_return,fold_id
2020-08-31,CAT,VETO,REVENUE|EARNINGS,6,2021-02-28,0.534356514608,0.0145459003375,F01
2020-08-31,CVX,VETO,REVENUE|EARNINGS,6,2021-02-28,0.226090740231,-0.203145400126,F01
2020-08-31,CAT,VETO,REVENUE|EARNINGS,3,2020-11-30,0.227252743909,0.0145459003375,F01
2020-08-31,EOG,VETO,REVENUE|EARNINGS,6,2021-02-28,0.447219975832,-0.275753727655,F01
2020-08-31,CVX,VETO,REVENUE|EARNINGS,3,2020-11-30,0.0540068217218,-0.203145400126,F01
2020-08-31,EOG,VETO,REVENUE|EARNINGS,3,2020-11-30,0.0443762896842,-0.275753727655,F01
2020-08-31,MCD,VETO,REVENUE|EARNINGS,6,2021-02-28,-0.0228501340249,-0.0256217283274,F01
2020-08-31,MCD,VETO,REVENUE|EARNINGS,3,2020-11-30,0.0244114549813,-0.00838331317706,F01
2020-09-30,ORCL,PASS,,6,2021-03-31,0.184652154433,-0.0650736384971,F01
2020-09-30,ORCL,PASS,,3,2020-12-31,0.0879724453866,-0.0650736384971,F01
2020-10-31,MA,PASS,EARNINGS,3,2021-01-31,0.0971831827559,0.00460792999205,F01
2020-10-31,NKE,PASS,OPERATING_CASH_FLOW,3,2021-01-31,0.114746733983,0.0192373341213,F01
2020-10-31,NKE,PASS,OPERATING_CASH_FLOW,6,2021-04-30,0.108902543859,0.0192373341213,F01
2020-10-31,HON,VETO,REVENUE|EARNINGS,3,2021-01-31,0.189972493544,0.0525005534303,F01
2021-02-28,HON,PASS,,3,2021-05-31,0.145984945011,0.00291568419526,F01
2020-10-31,JNJ,PASS,,3,2021-01-31,0.198042123353,0.0101377582902,F01
2020-10-31,HON,VETO,REVENUE|EARNINGS,6,2021-04-30,0.364520005117,0.0525005534303,F01
2020-10-31,MA,PASS,EARNINGS,6,2021-04-30,0.326907179987,0.00460792999205,F01
2020-10-31,JNJ,PASS,,6,2021-04-30,0.202556775878,0.0101377582902,F01
2020-11-30,FCX,PASS,OPERATING_CASH_FLOW,6,2021-05-31,0.830491804867,0.0106881224924,F01
2020-11-30,FCX,PASS,OPERATING_CASH_FLOW,3,2021-02-28,0.44976478863,0.0106881224924,F01
2021-02-28,BAC,VETO,REVENUE|OPERATING_CASH_FLOW,3,2021-05-31,0.227327694138,0.0236242028083,F01
2021-08-31,EOG,PASS,OPERATING_CASH_FLOW,6,2022-02-28,0.762436229881,-0.0171802744061,F02
2021-08-31,CRM,PASS,EARNINGS,6,2022-02-28,-0.206355647662,-0.281713051231,F02
2021-08-31,CVX,PASS,OPERATING_CASH_FLOW,6,2022-02-28,0.521066704967,-0.0205641033836,F02
2021-08-31,CRM,PASS,EARNINGS,3,2021-11-30,0.0742263307865,-0.0420703064635,F02
2021-08-31,EOG,PASS,OPERATING_CASH_FLOW,3,2021-11-30,0.294420043326,-0.0171802744061,F02
2021-08-31,CVX,PASS,OPERATING_CASH_FLOW,3,2021-11-30,0.179854748521,-0.0205641033836,F02
2021-09-30,ORCL,PASS,DEBT_BURDEN,3,2021-12-31,0.00440047160914,0.00440047160914,F02
2021-09-30,ORCL,PASS,DEBT_BURDEN,6,2022-03-31,-0.0436563621339,-0.162260215875,F02
2021-10-31,GE,PASS,OPERATING_CASH_FLOW,6,2022-04-30,-0.287858297068,-0.287858297068,F02
2021-10-31,BA,VETO,EARNINGS|OPERATING_CASH_FLOW,6,2022-04-30,-0.281070389979,-0.281070389979,F02
2021-10-31,GE,PASS,OPERATING_CASH_FLOW,3,2022-01-31,-0.0982862259006,-0.147532980576,F02
2021-10-31,BA,VETO,EARNINGS|OPERATING_CASH_FLOW,3,2022-01-31,-0.0327971469804,-0.0910012872975,F02
