ticker,episode_id,signal_date,sector_etf,fold_id,path_label,damage_triggered,damage_execution_date,scheduled_execution_date,outcome_end,uplift_vs_buy_hold_base,uplift_vs_buy_hold_stress,triggered_trough_improvement_base,triggered_trough_improvement_stress,research_use,direction_label,operational_action_ratio
AEE,AEE-V61-001,2016-03-14,XLU,F01,RESUMED_UPTREND,True,2016-04-21,2016-04-14,2016-09-12,-0.00237528772486,-0.0024489839284,0.000971418125126,0.000897721921585,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
AEP,AEP-V61-001,2016-03-14,XLU,F01,RESUMED_UPTREND,True,2016-04-21,2016-04-14,2016-09-12,-0.00179823738359,-0.0018725133121,0.00096901293668,0.000894737008171,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
CHRW,CHRW-V61-001,2016-03-14,XLI,F01,TEMPORARY_PULLBACK,True,2016-04-29,2016-04-14,2016-09-12,0.000554669406521,0.000481439351463,0.00131081909715,0.00123758904209,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
CINF,CINF-V61-001,2016-03-14,XLF,F01,RESUMED_UPTREND,True,2016-04-22,2016-04-14,2016-09-12,-0.0102794328112,-0.0103537438533,2.95242940052e-06,-7.13586126535e-05,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
CMS,CMS-V61-001,2016-03-14,XLU,F01,RESUMED_UPTREND,True,2016-04-21,2016-04-14,2016-09-12,-0.00289512169549,-0.0029686569053,0.000878612435546,0.000805077225731,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
COHR,COHR-V61-001,2016-03-14,XLK,F01,LARGE_PULLBACK,True,2016-04-28,2016-04-14,2016-09-12,-0.00264176149202,-0.00271576291613,0.00641672480135,0.00634272337725,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
CPT,CPT-V61-001,2016-03-14,XLRE,F01,RESUMED_UPTREND,True,2016-06-06,2016-04-14,2016-09-12,-0.0035498476443,-0.00362816047329,0.00188451438489,0.0018062015559,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
DG,DG-V61-001,2016-03-14,XLP,F01,RESUMED_UPTREND,True,2016-04-29,2016-04-14,2016-09-12,0.00497108858469,0.00490021408116,0.00581795558403,0.0057470810805,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
ED,ED-V61-001,2016-03-14,XLU,F01,RESUMED_UPTREND,True,2016-04-21,2016-04-14,2016-09-12,-0.00177538037477,-0.00185017618613,0.00140199579243,0.00132719998107,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
EIX,EIX-V61-001,2016-03-14,XLU,F01,RESUMED_UPTREND,True,2016-04-22,2016-04-14,2016-09-12,-0.0034166666883,-0.00349021558217,0.000156115755105,8.2566861239e-05,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
EL,EL-V61-001,2016-03-14,XLP,F01,TEMPORARY_PULLBACK,True,2016-05-04,2016-04-14,2016-09-12,0.00160187465906,0.00152793776239,0.00257698593688,0.00250304904022,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
ES,ES-V61-001,2016-03-14,XLU,F01,TEMPORARY_PULLBACK,True,2016-04-21,2016-04-14,2016-09-12,0.000500638816917,0.000427396827749,0.00144243544504,0.00136919345587,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
ETR,ETR-V61-001,2016-03-14,XLU,F01,RESUMED_UPTREND,True,2016-04-21,2016-04-14,2016-09-12,-0.0039331547763,-0.0040060970239,0.000534583365248,0.000461641117644,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
EW,EW-V61-001,2016-03-14,XLV,F01,RESUMED_UPTREND,True,2016-05-20,2016-04-14,2016-09-12,-0.00980707424391,-0.00989160915592,0.00830186702744,0.00821733211543,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
EXC,EXC-V61-001,2016-03-14,XLU,F01,RESUMED_UPTREND,True,2016-04-22,2016-04-14,2016-09-12,-0.00104389789618,-0.00111656022864,0.000230360351978,0.00015769801952,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
FAST,FAST-V61-001,2016-03-14,XLI,F01,TEMPORARY_PULLBACK,True,2016-04-13,2016-04-14,2016-09-12,0.00425683753315,0.00418439397724,0.00440802906669,0.00433558551079,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
FE,FE-V61-001,2016-03-14,XLU,F01,TEMPORARY_PULLBACK,True,2016-04-22,2016-04-14,2016-09-12,0.000140979174816,6.89926624311e-05,0.00238989442157,0.00231790790919,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
FSLR,FSLR-V61-001,2016-03-14,XLK,F01,STRUCTURAL_BREAK,True,2016-04-06,2016-04-14,2016-09-12,0.0179119890544,0.0178454211336,0.0182928614797,0.0182262935589,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
HRL,HRL-V61-001,2016-03-14,XLP,F01,LARGE_PULLBACK,True,2016-04-06,2016-04-14,2016-09-12,0.00609754179141,0.00602539808242,0.00910199815986,0.00902985445087,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
KLAC,KLAC-V61-001,2016-03-14,XLK,F01,TEMPORARY_PULLBACK,True,2016-05-17,2016-04-14,2016-09-12,-0.00247268362494,-0.00254637892001,4.46517243876e-05,-2.90435706836e-05,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
KMB,KMB-V61-001,2016-03-14,XLP,F01,TEMPORARY_PULLBACK,True,2016-04-22,2016-04-14,2016-09-12,-2.62147248438e-05,-9.60929946923e-05,0.000564787921529,0.000494909651681,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
LNT,LNT-V61-001,2016-03-14,XLU,F01,RESUMED_UPTREND,True,2016-04-21,2016-04-14,2016-09-12,-0.00399596829445,-0.00407130735942,0.00156354149636,0.00148820243139,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
MAA,MAA-V61-001,2016-03-14,XLRE,F01,TEMPORARY_PULLBACK,True,2016-06-07,2016-04-14,2016-09-12,0.00176538639551,0.00168806251738,0.00258965562991,0.00251233175179,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
MKC,MKC-V61-001,2016-03-14,XLP,F01,RESUMED_UPTREND,True,2016-04-22,2016-04-14,2016-09-12,-0.003793278264,-0.0038663191367,-4.11092569853e-05,-0.000114150129678,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
NDAQ,NDAQ-V61-001,2016-03-14,XLF,F01,TEMPORARY_PULLBACK,True,2016-04-13,2016-04-14,2016-09-12,-0.00484774472489,-0.00491894031696,0.00122313805218,0.00115194246011,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
O,O-V61-001,2016-03-14,XLRE,F01,RESUMED_UPTREND,True,2016-04-22,2016-04-14,2016-09-12,-0.0061664899821,-0.00624117409779,0.000160358131521,8.56740158262e-05,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
PSA,PSA-V61-001,2016-03-14,XLRE,F01,TEMPORARY_PULLBACK,True,2016-04-22,2016-04-14,2016-09-12,0.0063420133726,0.00626814250848,0.00677619095194,0.00670232008782,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
REG,REG-V61-001,2016-03-14,XLRE,F01,RESUMED_UPTREND,True,2016-04-22,2016-04-14,2016-09-12,-0.00458424762154,-0.00465777369774,0.000148592711161,7.50666349656e-05,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
RSG,RSG-V61-001,2016-03-14,XLI,F01,RESUMED_UPTREND,True,2016-04-12,2016-04-14,2016-09-12,-0.00503386271625,-0.00510760977578,0.000268717060263,0.000194970000733,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
SJM,SJM-V61-001,2016-03-14,XLP,F01,RESUMED_UPTREND,True,2016-04-06,2016-04-14,2016-09-12,-0.00520444601411,-0.00527752546028,0.000456840174549,0.000383760728379,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
STLD,STLD-V61-001,2016-03-14,XLB,F01,RESUMED_UPTREND,True,2016-05-19,2016-04-14,2016-09-12,-0.0034254896355,-0.00350645242955,0.0048092876549,0.00472832486084,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
TPR,TPR-V61-001,2016-03-14,XLY,F01,TEMPORARY_PULLBACK,True,2016-05-12,2016-04-14,2016-09-12,0.000492132715212,0.000419131447573,0.00134442142623,0.00127142015859,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
TSN,TSN-V61-001,2016-03-14,XLP,F01,TEMPORARY_PULLBACK,True,2016-04-15,2016-04-14,2016-09-12,-0.00717314821936,-0.00724522495094,0.00342542709378,0.0033533503622,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
