ticker,sector_etf,rush_episode_start,settlement_date,publication_date,fold_id,days_to_cover,previous_days_to_cover,two_period_days_to_cover,sector_percentile,exposed,execution_date,outcome_end,minimum_return_63d,terminal_return_63d,adverse_path
MSCI,XLF,2021-07-09,2021-07-15,2021-07-26,F1,2.02,1.33,2.48,0.2727272727272727,False,2021-07-27,2021-10-25,0.0,0.11794864612250855,False
EQR,XLRE,2021-05-21,2021-07-15,2021-07-26,F1,4.4,3.09,3.73,0.6666666666666666,False,2021-07-27,2021-10-25,-0.05398373158108272,0.01235617401480904,False
ETN,XLI,2021-07-23,2021-07-15,2021-07-26,F1,2.1,2.03,2.38,0.5,False,2021-07-27,2021-10-25,-0.0454807137423332,0.04555733376969351,False
SBAC,XLRE,2021-07-16,2021-07-15,2021-07-26,F1,3.53,2.53,2.9,0.4166666666666667,False,2021-07-27,2021-10-25,-0.049464970225499116,0.026424890560839964,False
RSG,XLI,2021-07-16,2021-07-15,2021-07-26,F1,1.8,1.54,2.26,0.3,False,2021-07-27,2021-10-25,-0.006545524186825413,0.13474103429421636,False
EW,XLV,2021-06-11,2021-07-15,2021-07-26,F1,3.22,2.09,2.89,0.875,False,2021-07-27,2021-10-25,-0.03212009783275571,0.06733395358506877,False
EXPD,XLI,2021-04-16,2021-07-15,2021-07-26,F1,3.39,3.15,3.1,0.8,True,2021-07-27,2021-10-25,-0.0954491690220225,-0.023664385915695307,False
ROK,XLI,2021-07-23,2021-07-15,2021-07-26,F1,5.11,2.48,2.96,0.9,False,2021-07-27,2021-10-25,0.0,0.07924832096866274,False
EOG,XLE,2021-02-12,2021-07-15,2021-07-26,F1,1.4,1.69,2.41,0.5,False,2021-07-27,2021-10-25,-0.11645805396855036,0.2989349751828674,False
ADBE,XLK,2021-07-23,2021-07-15,2021-07-26,F1,2.88,1.77,2.24,1.0,False,2021-07-27,2021-10-25,-0.09670381747198387,0.046402827263371194,False
REG,XLRE,2021-03-12,2021-07-15,2021-07-26,F1,5.76,4.31,4.69,0.8333333333333334,False,2021-07-27,2021-10-25,-0.03505832826942268,0.08727597055205782,False
FTNT,XLK,2021-06-04,2021-07-15,2021-07-26,F1,2.14,2.23,3.37,0.3333333333333333,False,2021-07-27,2021-10-25,0.0,0.22412781213687039,False
ACN,XLK,2021-07-23,2021-07-15,2021-07-26,F1,2.19,1.93,2.88,0.5,False,2021-07-27,2021-10-25,-0.011910612308491997,0.11756589420224461,False
PSA,XLRE,2021-04-09,2021-07-15,2021-07-26,F1,3.25,3.08,3.61,0.3333333333333333,False,2021-07-27,2021-10-25,-0.05348821009740801,0.053100931205459556,False
PRU,XLF,2021-07-23,2021-07-15,2021-07-26,F1,3.72,3.04,3.55,0.6363636363636364,False,2021-07-27,2021-10-25,-0.015308124939368506,0.1447166773536377,False
GNRC,XLI,2021-07-23,2021-07-15,2021-07-26,F1,1.71,1.58,2.77,0.1,False,2021-07-27,2021-10-25,-0.11147822315271982,0.07108352489629266,False
GOOG,XLC,2021-02-05,2021-07-15,2021-07-26,F1,2.79,1.84,2.77,1.0,False,2021-07-27,2021-10-25,-0.025811931539832855,0.01444837509821073,False
EXR,XLRE,2021-03-26,2021-07-15,2021-07-26,F1,2.58,2.1,3.41,0.08333333333333333,False,2021-07-27,2021-10-25,-0.016162951689800087,0.1044357570754979,False
DVN,XLE,2020-11-27,2021-07-15,2021-07-26,F1,1.26,1.36,1.28,0.25,False,2021-07-27,2021-10-25,-0.025057903039252594,0.5949336809993999,False
STLD,XLB,2021-02-05,2021-07-15,2021-07-26,F1,2.47,2.02,1.98,0.6666666666666666,False,2021-07-27,2021-10-25,-0.054673670778737526,0.1028523056175703,False
TGT,XLP,2021-07-23,2021-07-15,2021-07-26,F1,3.42,2.8,3.12,1.0,False,2021-07-27,2021-10-25,-0.12267672465195378,0.011160888845527905,True
WST,XLV,2021-06-11,2021-07-15,2021-07-26,F1,2.69,3.28,3.49,0.5,False,2021-07-27,2021-10-25,0.0,0.1032030656066576,False
WM,XLI,2021-07-16,2021-07-15,2021-07-26,F1,2.46,2.2,3.14,0.7,False,2021-07-27,2021-10-25,-0.008777524796184322,0.10061768612964195,False
WFC,XLF,2021-01-08,2021-07-15,2021-07-26,F1,1.63,1.46,2.26,0.18181818181818182,False,2021-07-27,2021-10-25,-0.03324937057152222,0.1262809017980493,False
AVB,XLRE,2021-03-26,2021-07-15,2021-07-26,F1,4.08,2.77,2.53,0.5833333333333334,False,2021-07-27,2021-10-25,-0.03675301778620532,0.02703662981681565,False
AXP,XLF,2021-02-19,2021-07-15,2021-07-26,F1,2.43,1.64,2.21,0.36363636363636365,False,2021-07-27,2021-10-25,-0.08222516246973421,0.05680134127754011,False
VTR,XLRE,2021-07-09,2021-07-15,2021-07-26,F1,2.95,3.24,5.46,0.16666666666666666,False,2021-07-27,2021-10-25,-0.09676889026438085,-0.08463647517847583,False
BX,XLF,2021-03-26,2021-07-15,2021-07-26,F1,4.52,2.63,3.23,0.8181818181818182,False,2021-07-27,2021-10-25,-0.027790755775329634,0.2294214755503574,False
BXP,XLRE,2021-03-26,2021-07-15,2021-07-26,F1,5.49,4.28,5.17,0.75,False,2021-07-27,2021-10-25,-0.06994155440423078,0.017604835503137295,False
CBOE,XLF,2021-04-16,2021-07-15,2021-07-26,F1,2.84,1.9,2.65,0.45454545454545453,False,2021-07-27,2021-10-25,0.0,0.12387275859996816,False
UNH,XLV,2021-06-25,2021-07-15,2021-07-26,F1,2.46,1.33,2.29,0.125,False,2021-07-27,2021-10-25,-0.06439792167357206,0.0866483027395526,False
UDR,XLRE,2021-03-26,2021-07-15,2021-07-26,F1,8.01,9.69,6.77,0.9166666666666666,False,2021-07-27,2021-10-25,-0.05578711670554615,-0.0030795605426970907,False
TT,XLI,2021-07-23,2021-07-15,2021-07-26,F1,1.76,1.22,1.46,0.2,False,2021-07-27,2021-10-25,-0.15257617951814884,-0.10042083581180983,True
TROW,XLF,2021-06-25,2021-07-15,2021-07-26,F1,5.61,5.16,6.94,1.0,False,2021-07-27,2021-10-25,-0.0685676842372328,0.02131438865147328,False
