universe_role,research_segment,policy_id,one_way_cost_bps,event_count,descriptive_minimum_met,median_net_terminal_wealth_delta,mean_net_terminal_wealth_delta,positive_net_value_rate,median_terminal_share_delta,completed_policy_rate
INDEPENDENT_CURRENT_CONSTITUENTS,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,MATCHED_HOLD,10,100,True,0.0,0.0,0.0,0.0,1.0
INDEPENDENT_CURRENT_CONSTITUENTS,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,MATCHED_HOLD,25,100,True,0.0,0.0,0.0,0.0,1.0
INDEPENDENT_CURRENT_CONSTITUENTS,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,MATCHED_HOLD,50,100,True,0.0,0.0,0.0,0.0,1.0
INDEPENDENT_CURRENT_CONSTITUENTS,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_KEEP_CASH,10,100,True,-0.0071675401078815,-0.0077212042723842685,0.28,-0.05,0.0
INDEPENDENT_CURRENT_CONSTITUENTS,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_KEEP_CASH,25,100,True,-0.00724214742574425,-0.007796362901047206,0.28,-0.05,0.0
INDEPENDENT_CURRENT_CONSTITUENTS,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_KEEP_CASH,50,100,True,-0.00736636850108815,-0.007921501908068637,0.28,-0.05,0.0
INDEPENDENT_CURRENT_CONSTITUENTS,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_REENTER_21,10,100,True,-0.0015141828608477002,-0.0009521008184772021,0.34,-0.0012120050514446501,1.0
INDEPENDENT_CURRENT_CONSTITUENTS,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_REENTER_21,25,100,True,-0.0016353026150464,-0.001122451102884684,0.34,-0.0013581498282591,1.0
INDEPENDENT_CURRENT_CONSTITUENTS,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_REENTER_21,50,100,True,-0.001878546204589,-0.0014052358301397357,0.33,-0.0016007529503787,1.0
INDEPENDENT_CURRENT_CONSTITUENTS,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_REENTER_63,10,100,True,-0.0031212738261089503,-0.0030354456185795013,0.33,-0.0028340973675604,1.0
INDEPENDENT_CURRENT_CONSTITUENTS,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_REENTER_63,25,100,True,-0.0032666851460758,-0.003199555229207315,0.33,-0.00297538315560605,1.0
INDEPENDENT_CURRENT_CONSTITUENTS,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_REENTER_63,50,100,True,-0.0035080707158131,-0.0034719803187381786,0.3,-0.0032099202635213,1.0
