hypothesis_id,feature,target,role,quantile,treatment_events,control_events,tickers,test_folds,directional_folds,signal_dates,target_rate,control_rate,target_rate_gap,raw_p_value,thresholds,holm_p_value,passed,direction_authority
H_CONT_SECTOR_RS,STOCK_SECTOR_RS_13W,CONTINUATION_13W,CONTINUATION_SHIELD,0.8,5979,12322,54,9,4,470,0.5885599598595083,0.604609641291998,-0.01604968143248975,0.8100930086053836,"{""F01"": 0.05997189627540365, ""F02"": 0.060311346637582405, ""F03"": 0.06311670018377316, ""F04"": 0.0646585001992321, ""F05"": 0.06513045903907812, ""F06"": 0.06815650309677627, ""F07"": 0.06892392682094263, ""F08"": 0.06971975197953116, ""F09"": 0.07029199221416628}",1.0,False,False
H_CONT_SECTOR_RS,STOCK_SECTOR_RS_13W,CONTINUATION_13W,CONTINUATION_SHIELD,0.9,3337,12322,52,9,4,470,0.5795624812706024,0.604609641291998,-0.02504716002139562,0.6959574901523005,"{""F01"": 0.1020845030469043, ""F02"": 0.1031444903364213, ""F03"": 0.10465716652143524, ""F04"": 0.10601609110932532, ""F05"": 0.10601609110932526, ""F06"": 0.1121660591464458, ""F07"": 0.11432426336515973, ""F08"": 0.11588072248004264, ""F09"": 0.11786825251732708}",1.0,False,False
H_CONT_SPY_RS,STOCK_SPY_RS_13W,CONTINUATION_13W,CONTINUATION_SHIELD,0.8,5930,13195,54,9,5,470,0.5827993254637437,0.6003789314134141,-0.01757960594967045,0.4630585351437541,"{""F01"": 0.0764644628459042, ""F02"": 0.07669710118012568, ""F03"": 0.0775310609211259, ""F04"": 0.07783530127243353, ""F05"": 0.07772182276715091, ""F06"": 0.08052962566997109, ""F07"": 0.08156600480243066, ""F08"": 0.08569345707543366, ""F09"": 0.08537716495419966}",1.0,False,False
H_CONT_SPY_RS,STOCK_SPY_RS_13W,CONTINUATION_13W,CONTINUATION_SHIELD,0.9,3280,13195,53,9,5,469,0.5692073170731707,0.6003789314134141,-0.031171614340243403,0.5185104544333449,"{""F01"": 0.12565819711189236, ""F02"": 0.12666568594382577, ""F03"": 0.12474702454129354, ""F04"": 0.12498659265332811, ""F05"": 0.12314386796936913, ""F06"": 0.12923347098912555, ""F07"": 0.13422613679509815, ""F08"": 0.14159827094425567, ""F09"": 0.14291866507788292}",1.0,False,False
H_CONT_52W_HIGH,HIGH_52W_PROXIMITY,CONTINUATION_13W,CONTINUATION_SHIELD,0.8,4355,15003,55,9,4,422,0.6231917336394949,0.5976138105712191,0.025577923068275776,0.0008026285777137054,"{""F01"": 0.9920100101331177, ""F02"": 0.9907483410730595, ""F03"": 0.9926222204997657, ""F04"": 0.9918672233339009, ""F05"": 0.991881884827435, ""F06"": 0.9911188993798801, ""F07"": 0.9912800945688098, ""F08"": 0.9899209218640459, ""F09"": 0.9890499862498254}",0.010434171510278171,False,False
H_CONT_52W_HIGH,HIGH_52W_PROXIMITY,CONTINUATION_13W,CONTINUATION_SHIELD,0.9,2325,15003,55,9,5,377,0.6111827956989248,0.5976138105712191,0.013568985127705657,1.6090945171702976e-05,"{""F01"": 1.0, ""F02"": 0.9996549632611262, ""F03"": 1.0, ""F04"": 1.0, ""F05"": 1.0, ""F06"": 1.0, ""F07"": 1.0, ""F08"": 0.9996336090865936, ""F09"": 0.9991869980792221}",0.0002735460679189506,False,False
H_CONT_TREND_QUALITY,TREND_26W_QUALITY,CONTINUATION_13W,CONTINUATION_SHIELD,0.8,4638,14021,55,9,4,424,0.5937904269081501,0.6116539476499536,-0.01786352074180353,0.04869590961671753,"{""F01"": 0.7765437336564556, ""F02"": 0.7648532917856787, ""F03"": 0.7894275341938959, ""F04"": 0.7886793698368213, ""F05"": 0.7829370935417751, ""F06"": 0.7805905584898909, ""F07"": 0.7827344444273435, ""F08"": 0.7690325775695953, ""F09"": 0.7628807644791635}",0.5356550057838928,False,False
H_CONT_TREND_QUALITY,TREND_26W_QUALITY,CONTINUATION_13W,CONTINUATION_SHIELD,0.9,2465,14021,55,9,4,364,0.6267748478701826,0.6116539476499536,0.015120900220228939,0.006314771245503842,"{""F01"": 0.8565517951259115, ""F02"": 0.8501197516641199, ""F03"": 0.8705244722440382, ""F04"": 0.8705204157694275, ""F05"": 0.8703932682908145, ""F06"": 0.8682086193770883, ""F07"": 0.8684988253000553, ""F08"": 0.8606675142865783, ""F09"": 0.8570520832220035}",0.0757772549460461,False,False
H_PULLBACK_RS_DAMAGE,STOCK_SECTOR_RS_DAMAGE,PULLBACK_13W,PROFIT_TAKE_DIRECTION,0.8,6600,11406,53,9,8,470,0.5010606060606061,0.41215149921094163,0.08890910684966447,1.596392252475918e-12,"{""F01"": 0.07885456105371828, ""F02"": 0.07929162096886976, ""F03"": 0.0769220064488895, ""F04"": 0.07766617918554644, ""F05"": 0.07921244339811298, ""F06"": 0.08363021388529099, ""F07"": 0.08646773367011756, ""F08"": 0.09027524706666853, ""F09"": 0.09089627617413681}",3.033145279704245e-11,False,False
H_PULLBACK_RS_DAMAGE,STOCK_SECTOR_RS_DAMAGE,PULLBACK_13W,PROFIT_TAKE_DIRECTION,0.9,3599,11406,49,9,7,469,0.5304251180883579,0.41215149921094163,0.11827361887741628,1.5047305311897375e-14,"{""F01"": 0.11631103603271879, ""F02"": 0.11887990740318659, ""F03"": 0.11636645111684155, ""F04"": 0.11775857889765401, ""F05"": 0.11985895762492965, ""F06"": 0.12540993658234745, ""F07"": 0.12988359559198015, ""F08"": 0.13600833486379985, ""F09"": 0.1365310783990255}",3.009461062379475e-13,False,False
