universe_role,event_kind,horizon_sessions,era_id,market_herd_stage,sector_herd_stage,episodes,tickers,signal_weeks,median_total_return,positive_return_fraction,median_maximum_favorable_excursion,median_maximum_adverse_excursion
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2013_2015,CALM,CALM,72,62,29,-0.0010066241449078498,0.4722222222222222,0.018749584646815802,-0.022472140923640853
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2013_2015,CALM,DRIFT,1,1,1,0.0088265641438509,1.0,0.0261659823683877,-0.0072509314313726
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2013_2015,CALM,FLEE,4,4,3,0.017895930347140147,0.5,0.0383590410894733,-0.04079621686238405
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2013_2015,CALM,SCATTER,190,147,45,0.008084022513341,0.6421052631578947,0.021575252437486647,-0.0149591098256484
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2013_2015,DRIFT,CALM,1,1,1,-8.691431911334035e-05,0.0,0.0086026927747231,-0.0128606471745815
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2013_2015,SCATTER,CALM,40,39,19,0.00170906713304005,0.525,0.016081770654635202,-0.01939370394558375
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2013_2015,SCATTER,FLEE,56,50,11,0.02143048379158595,0.6607142857142857,0.041828875412302,-0.01734406518412535
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2013_2015,SCATTER,SCATTER,442,249,42,0.0090382608455936,0.6153846153846154,0.02682525790929685,-0.01681952689216085
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2016_2018,CALM,CALM,99,87,40,0.0022107589330977,0.5353535353535354,0.0230767099134807,-0.0184253241847963
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2016_2018,CALM,DRIFT,1,1,1,-0.0461991347014758,0.0,0.0040935493242368,-0.0611110889973997
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2016_2018,CALM,FLEE,21,20,5,0.0202190306756249,0.7142857142857143,0.0342916550293981,-0.0140515807566733
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2016_2018,CALM,SCATTER,190,141,47,0.00198298862284825,0.531578947368421,0.019408546000978598,-0.01731339275901705
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2016_2018,DRIFT,CALM,38,32,21,0.00377012333388625,0.5526315789473685,0.01444223887289855,-0.0169624459709244
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2016_2018,DRIFT,DRIFT,5,5,4,-0.0054586440943381,0.4,0.0212179364895097,-0.0238007544633104
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2016_2018,DRIFT,SCATTER,46,35,23,0.0005054345121396499,0.5217391304347826,0.0148666528726051,-0.018616417340424553
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2016_2018,SCATTER,CALM,8,7,4,0.010746153115254,0.75,0.0269459202784234,-0.01337811196506255
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2016_2018,SCATTER,FLEE,106,96,11,0.011043526189801499,0.5377358490566038,0.0307029156779864,-0.037947741583417446
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2016_2018,SCATTER,SCATTER,291,214,31,-0.0099292854207486,0.41580756013745707,0.0262309452605458,-0.0330050826136286
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2019_2021,CALM,CALM,78,71,31,-0.0014813266616464,0.48717948717948717,0.023786639507592,-0.02491378561938805
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2019_2021,CALM,SCATTER,184,142,48,0.0074917898871564,0.5706521739130435,0.028591717776630998,-0.02133763936898265
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2019_2021,DRIFT,CALM,22,20,12,0.0084179328133815,0.6818181818181818,0.02662653106079345,-0.014663602844470849
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2019_2021,DRIFT,DRIFT,1,1,1,0.0607515804521205,1.0,0.0686355004761769,-0.0297575459737983
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2019_2021,DRIFT,SCATTER,28,28,9,0.00529095722417835,0.5357142857142857,0.024482791756454347,-0.0302692057158237
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2019_2021,FLEE,FLEE,60,60,1,0.1819058977070929,0.9666666666666667,0.24965337822178063,-0.07262005082842429
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,5,ERA_2019_2021,FLEE,SCATTER,7,7,1,0.1692735038513613,1.0,0.2513692329721415,-0.0724523271131443
