ticker,episode_id,signal_date,last_observed_session,source_regime,SECTOR_RS_DAMAGE_DELTA_4W,TREND_QUALITY_DELTA_4W,PARTICIPATION_WEAKENING_DELTA_4W,MARKET_STRESS_DELTA_4W,path_label,mae_126d,mfe_126d,terminal_return_126d,low_before_high,recovered_after_low,time_to_low_sessions,time_to_high_sessions,outcome_end,sector_etf
A,A-V61-001,2016-06-21,2016-06-21,NORMAL_RUSH,-0.0011042459158581153,0.4700447702824797,0.07802122789328869,-0.07726800976208728,TEMPORARY_PULLBACK,-0.08448878194888576,0.052158568155058704,-0.010769986350318561,True,True,4,38,2016-12-19,XLV
A,A-V61-002,2017-03-10,2017-03-10,NORMAL_RUSH,0.02112901552089519,0.43727588921065086,-0.028747994350406512,0.009678712710182379,CONTINUATION,0.0011504619221880397,0.254977976871009,0.25266603569508406,True,True,2,125,2017-09-08,XLV
A,A-V61-003,2019-03-01,2019-03-01,HEALTHY_RUSH,-0.005404334467261851,0.2292657892153004,0.4420844864990143,-0.4459076546461835,STRUCTURAL_BREAK,-0.1892075662848035,0.010679202761556539,-0.12604009129092908,False,False,115,23,2019-08-29,XLV
A,A-V61-004,2020-08-07,2020-08-07,HEALTHY_RUSH,-0.0013585573878016621,0.5012379348006232,-0.02406433107659811,-0.029764659342783162,CONTINUATION,-0.026999498627115814,0.31511143593120816,0.2664682931729243,True,True,21,107,2021-02-08,XLV
A,A-V61-005,2020-10-07,2020-10-07,HEALTHY_RUSH,-0.026069708702017413,-0.03548226595053661,0.2074648588132602,0.0003854628752046896,CONTINUATION,-0.021370783155725825,0.2738488743972971,0.2738488743972971,True,True,15,126,2021-04-09,XLV
A,A-V61-006,2021-04-09,2021-04-09,HEALTHY_RUSH,-0.050023884966019505,-0.0781435650861183,-0.38571147838530656,0.004199089172910259,CONTINUATION,-0.024789898427459045,0.3608942801110917,0.18048503389780524,True,True,23,103,2021-10-07,XLV
ABT,ABT-V61-001,2017-06-29,2017-06-29,HEALTHY_RUSH,-0.0035274704479042462,-0.01147032954741345,-0.37876624687455007,-0.004060596688527679,CONTINUATION,-0.016211645203178082,0.19168352915820663,0.19147581123877777,True,True,4,125,2017-12-28,XLV
ABT,ABT-V61-002,2017-09-28,2017-09-28,HEALTHY_RUSH,-0.01166580955095986,0.18385009727270663,-0.48043342733448274,-0.009322757155146903,CONTINUATION,-0.005219869719295223,0.1975564591678931,0.09572078768874093,True,True,1,112,2018-04-02,XLV
ABT,ABT-V61-003,2018-09-12,2018-09-12,HEALTHY_RUSH,-0.018732099426821414,0.25304641699194574,0.011722753243315207,-0.008650052907672373,CONTINUATION,-0.017029218592073514,0.20292943091373972,0.20292943091373972,True,True,71,126,2019-03-15,XLV
ABT,ABT-V61-004,2019-03-04,2019-03-04,HEALTHY_RUSH,-0.042070183919031834,0.020929998344629386,-0.023581104216380933,-0.4459076546461835,TEMPORARY_PULLBACK,-0.06921566474979757,0.1375838702595611,0.09374194490922316,True,True,32,98,2019-08-30,XLV
