ticker,security_structure_class,price_role,universe_roles,company,cik,gics_sector_current,gics_sub_industry_current,current_semiconductor_cohort,gics_point_in_time,research_eligibility
A,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Agilent Technologies,1090872.0,Health Care,Life Sciences Tools & Services,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
AAPL,OPERATING_COMPANY_EQUITY,EQUITY,PRIMARY,Apple Inc.,320193.0,Information Technology,"Technology Hardware, Storage & Peripherals",False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
ABBV,OPERATING_COMPANY_EQUITY,EQUITY,PRIMARY,AbbVie,1551152.0,Health Care,Biotechnology,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
ABNB,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Airbnb,1559720.0,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
ABT,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Abbott Laboratories,1800.0,Health Care,Health Care Equipment,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
ACGL,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Arch Capital Group,947484.0,Financials,Property & Casualty Insurance,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
ACN,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Accenture,1467373.0,Information Technology,IT Consulting & Other Services,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
ADBE,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Adobe Inc.,796343.0,Information Technology,Application Software,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
ADI,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Analog Devices,6281.0,Information Technology,Semiconductors,True,False,SEPARATE_CALIBRATION_REQUIRED
ADM,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Archer Daniels Midland,7084.0,Consumer Staples,Agricultural Products & Services,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
ADP,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Automatic Data Processing,8670.0,Industrials,Human Resource & Employment Services,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
ADSK,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Autodesk,769397.0,Information Technology,Application Software,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
AEE,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Ameren,1002910.0,Utilities,Multi-Utilities,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
AEP,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,American Electric Power,4904.0,Utilities,Electric Utilities,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
AES,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,AES Corporation,874761.0,Utilities,Independent Power Producers & Energy Traders,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
AFL,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Aflac,4977.0,Financials,Life & Health Insurance,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
AIG,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,American International Group,5272.0,Financials,Multi-line Insurance,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
AIZ,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Assurant,1267238.0,Financials,Multi-line Insurance,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
AJG,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Arthur J. Gallagher & Co.,354190.0,Financials,Insurance Brokers,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
AKAM,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Akamai Technologies,1086222.0,Information Technology,Internet Services & Infrastructure,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
ALB,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Albemarle Corporation,915913.0,Materials,Specialty Chemicals,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
ALGN,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Align Technology,1097149.0,Health Care,Health Care Supplies,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
ALL,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Allstate,899051.0,Financials,Property & Casualty Insurance,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
ALLE,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Allegion,1579241.0,Industrials,Building Products,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
AMAT,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Applied Materials,6951.0,Information Technology,Semiconductor Materials & Equipment,True,False,SEPARATE_CALIBRATION_REQUIRED
AMCR,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Amcor,1748790.0,Materials,Paper & Plastic Packaging Products & Materials,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
AMD,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Advanced Micro Devices,2488.0,Information Technology,Semiconductors,True,False,SEPARATE_CALIBRATION_REQUIRED
AME,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Ametek,1037868.0,Industrials,Electrical Components & Equipment,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
AMGN,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Amgen,318154.0,Health Care,Biotechnology,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
AMP,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Ameriprise Financial,820027.0,Financials,Asset Management & Custody Banks,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
AMT,OPERATING_COMPANY_EQUITY,EQUITY,PRIMARY,American Tower,1053507.0,Real Estate,Telecom Tower REITs,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
AMZN,OPERATING_COMPANY_EQUITY,EQUITY,PRIMARY,Amazon,1018724.0,Consumer Discretionary,Broadline Retail,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
ANET,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Arista Networks,1596532.0,Information Technology,Communications Equipment,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
