hypothesis_id,role,feature,target_label,quantile,treatment_events,control_events,treatment_tickers,test_folds,directional_folds,comparison_dates,directional_dates,treatment_target_rate,control_target_rate,target_rate_gap,raw_p_value,fold_gaps,fold_thresholds,holm_p_value,passed
CONTINUATION_TREND_QUALITY,CONTINUATION_SHIELD,trend_quality,CONTINUATION,0.8,144,485,47,8,3,37,14,0.3611111111111111,0.36907216494845363,-0.007961053837342524,0.9505641252035275,"{""F02"": 0.16599839615076184, ""F03"": -0.12454212454212454, ""F04"": -0.10227272727272727, ""F05"": -0.1286956521739131, ""F06"": -0.04481434058898848, ""F08"": 0.0870535714285714, ""F09"": 0.11632653061224488}","{""F02"": 0.791140850637027, ""F03"": 0.8610945915872614, ""F04"": 0.8600094495069712, ""F05"": 0.8589219418032593, ""F06"": 0.8601320154125772, ""F07"": 0.8548282122688933, ""F08"": 0.8386027045619872, ""F09"": 0.8229143690933944}",1.0,False
CONTINUATION_TREND_QUALITY,CONTINUATION_SHIELD,trend_quality,CONTINUATION,0.9,85,485,38,8,3,31,11,0.35294117647058826,0.36907216494845363,-0.01613098847786537,0.9646222270093858,"{""F02"": 0.16858237547892718, ""F03"": -0.13752913752913754, ""F04"": -0.09393939393939393, ""F05"": -0.10869565217391308, ""F06"": -0.07511737089201881, ""F08"": 0.015625, ""F09"": 0.0890538033395176}","{""F02"": 0.8702773042405129, ""F03"": 0.8962297062536481, ""F04"": 0.9030871170725993, ""F05"": 0.9031009041831126, ""F06"": 0.9070931254163307, ""F07"": 0.901784481078888, ""F08"": 0.8918583632524373, ""F09"": 0.8868996383868176}",1.0,False
CONTINUATION_SECTOR_ALIGNMENT,CONTINUATION_SHIELD,sector_alignment,CONTINUATION,0.8,224,408,31,8,6,43,21,0.4107142857142857,0.30392156862745096,0.10679271708683474,0.619604178719328,"{""F02"": 0.10323383084577115, ""F03"": 0.010964912280701733, ""F04"": 0.13372093023255816, ""F05"": 0.261904761904762, ""F06"": 0.35121328224776494, ""F07"": -0.046955245781364674, ""F08"": 0.14430014430014432, ""F09"": -0.002702702702702703}","{""F02"": 0.770142910180383, ""F03"": 0.7689244721400983, ""F04"": 0.828086409629418, ""F05"": 0.8443404804993406, ""F06"": 0.8479144345307229, ""F07"": 0.8497365001923967, ""F08"": 0.8555359551785339, ""F09"": 0.8542967173972335}",1.0,False
CONTINUATION_SECTOR_ALIGNMENT,CONTINUATION_SHIELD,sector_alignment,CONTINUATION,0.9,118,408,22,8,7,34,14,0.4322033898305085,0.30392156862745096,0.12828182120305753,0.8852594934869558,"{""F02"": 0.08656716417910448, ""F03"": 0.018939393939393923, ""F04"": 0.30038759689922484, ""F05"": 0.35238095238095235, ""F06"": 0.35862068965517235, ""F07"": -0.10344827586206898, ""F08"": 0.10793650793650794, ""F09"": 0.047297297297297286}","{""F02"": 0.8535873524854939, ""F03"": 0.8553510376633795, ""F04"": 0.8891656373579072, ""F05"": 0.8946066118728262, ""F06"": 0.8950416871976201, ""F07"": 0.8969278493941713, ""F08"": 0.902707244026138, ""F09"": 0.9010321451543192}",1.0,False
PULLBACK_RETURN_CONCENTRATION,PULLBACK_EVIDENCE,return_concentration,TRADABLE_PULLBACK,0.8,181,489,49,8,2,44,9,0.22099447513812154,0.2658486707566462,-0.04485419561852466,0.9999872757006756,"{""F02"": -0.1346153846153846, ""F03"": -0.03947368421052633, ""F04"": -0.15064102564102566, ""F05"": 0.021505376344086002, ""F06"": -0.10220588235294117, ""F07"": -0.13333333333333333, ""F08"": -0.07435897435897437, ""F09"": 0.11020408163265305}","{""F02"": 0.26832780108252857, ""F03"": 0.288237673580506, ""F04"": 0.2787237158010902, ""F05"": 0.2742807846023468, ""F06"": 0.2769162558071812, ""F07"": 0.2744467792439835, ""F08"": 0.2719866775918459, ""F09"": 0.27285449197497375}",1.0,False
PULLBACK_RETURN_CONCENTRATION,PULLBACK_EVIDENCE,return_concentration,TRADABLE_PULLBACK,0.9,72,489,29,8,3,36,7,0.2222222222222222,0.2658486707566462,-0.04362644853442399,0.999965199152939,"{""F02"": -0.10714285714285715, ""F03"": -0.1388888888888889, ""F04"": -0.5256410256410257, ""F05"": 0.021505376344086002, ""F06"": -0.16470588235294117, ""F07"": -0.13333333333333333, ""F08"": 0.004807692307692291, ""F09"": 0.1197278911564626}","{""F02"": 0.3129315578028069, ""F03"": 0.3188129040278651, ""F04"": 0.3115008558803203, ""F05"": 0.3058700173558259, ""F06"": 0.30512869709402235, ""F07"": 0.3018992994409268, ""F08"": 0.2973317766258579, ""F09"": 0.2975545495620707}",1.0,False
CONTINUATION_INTRADAY_SHARE,CONTINUATION_SHIELD,intraday_return_share,CONTINUATION,0.8,166,473,49,8,2,42,14,0.27710843373493976,0.35306553911205074,-0.07595710537711098,0.9902397636087699,"{""F02"": 0.01794871794871794, ""F03"": 0.06565656565656564, ""F04"": -0.18529411764705883, ""F05"": -0.06874999999999998, ""F06"": -0.16396761133603238, ""F07"": -0.07727272727272727, ""F08"": -0.03249336870026526, ""F09"": -0.078125}","{""F02"": 0.10298330548141264, ""F03"": 0.12814939121090457, ""F04"": 0.118285334206211, ""F05"": 0.10753736801028856, ""F06"": 0.09753808045086851, ""F07"": 0.0956792419144656, ""F08"": 0.09468368894988305, ""F09"": 0.09792432733058953}",1.0,False
CONTINUATION_INTRADAY_SHARE,CONTINUATION_SHIELD,intraday_return_share,CONTINUATION,0.9,70,473,38,8,3,28,9,0.2714285714285714,0.35306553911205074,-0.08163696768347933,0.9821509309113026,"{""F02"": 0.0750915750915751, ""F03"": 0.21111111111111108, ""F04"": -0.23529411764705882, ""F05"": -0.46875, ""F06"": -0.2280701754385965, ""F07"": 0.006060606060606044, ""F08"": -0.052197802197802234, ""F09"": -0.203125}","{""F02"": 0.16014191646445308, ""F03"": 0.17605033025351924, ""F04"": 0.1638023195238523, ""F05"": 0.15987411009411687, ""F06"": 0.15693250519459181, ""F07"": 0.1516766806123872, ""F08"": 0.15061458010267875, ""F09"": 0.1508081267739876}",1.0,False
CONTINUATION_CAPITAL_GAIN_OVERHANG,CONTINUATION_SHIELD,capital_gain_overhang_proxy,CONTINUATION,0.8,228,455,47,8,2,41,18,0.2982456140350877,0.3758241758241758,-0.07757856178908812,0.8255555602754612,"{""F02"": 0.202280912364946, ""F03"": -0.160427807486631, ""F04"": -0.20223577235772358, ""F05"": -0.2352309344790548, ""F06"": -0.09700176366843033, ""F07"": -0.235, ""F08"": -0.10576923076923078, ""F09"": 0.003132832080200515}","{""F02"": 0.07117983720046873, ""F03"": 0.10835787581589303, ""F04"": 0.1076177570033227, ""F05"": 0.10346937481725532, ""F06"": 0.11686661534210327, ""F07"": 0.1179473207168348, ""F08"": 0.11217379633449963, ""F09"": 0.1123756395069375}",1.0,False
CONTINUATION_CAPITAL_GAIN_OVERHANG,CONTINUATION_SHIELD,capital_gain_overhang_proxy,CONTINUATION,0.9,121,455,38,8,2,34,10,0.2809917355371901,0.3758241758241758,-0.09483244028698573,0.9954794072546065,"{""F02"": 0.20152505446623092, ""F03"": -0.05454545454545451, ""F04"": -0.24390243902439024, ""F05"": -0.22706766917293236, ""F06"": -0.04938271604938271, ""F07"": -0.36, ""F08"": -0.4807692307692308, ""F09"": 0.006379585326953763}","{""F02"": 0.11113248081162562, ""F03"": 0.149635987044258, ""F04"": 0.1438032836885616, ""F05"": 0.1437834651166601, ""F06"": 0.16846221784977602, ""F07"": 0.1688395571576451, ""F08"": 0.16819493372538702, ""F09"": 0.16769767062131577}",1.0,False
