policy_id,fold_id,ticker,signal_date,observed_session,action,ratio,business_gate,business_month_end,reason
GIVEBACK_BASELINE,F01,BAC,2017-04-14,2017-04-13,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F01,BAC,2017-04-14,2017-04-13,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F01,COP,2017-03-10,2017-03-10,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F01,COP,2017-05-26,2017-05-26,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F01,COP,2017-03-10,2017-03-10,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F01,EOG,2017-03-10,2017-03-10,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F01,EOG,2017-05-05,2017-05-05,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F01,FCX,2017-02-24,2017-02-24,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F01,FCX,2017-04-21,2017-04-21,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F01,FCX,2017-03-03,2017-03-03,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F01,GS,2017-04-14,2017-04-13,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F01,GS,2017-06-09,2017-06-09,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F01,GS,2017-04-21,2017-04-21,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F01,JPM,2017-06-02,2017-06-02,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F01,JPM,2017-06-02,2017-06-02,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F01,NVDA,2017-03-03,2017-03-03,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F01,TSLA,2017-07-07,2017-07-07,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F01,TSLA,2017-07-14,2017-07-14,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F02,ABBV,2018-03-23,2018-03-23,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F02,ABBV,2018-05-18,2018-05-18,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F02,ABBV,2018-03-23,2018-03-23,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
