fold_id,family,rows,candidate_brier,candidate_log_loss,candidate_balanced_accuracy,candidate_action_rate,baseline_brier,baseline_log_loss,baseline_balanced_accuracy,baseline_action_rate,universe_role
F01,PRICE_EXTENSION,24,0.25,0.6931471805599453,0.5,1.0,0.25,0.6931471805599453,0.5,1.0,PRIMARY
F02,PRICE_EXTENSION,22,0.30830227387308906,0.8155509533068745,0.5,1.0,0.308080808080808,0.8150520784390409,0.5,1.0,PRIMARY
F03,PRICE_EXTENSION,11,0.23265440624262768,0.658379852890123,0.5,1.0,0.23212751331843962,0.6573164953876517,0.5,1.0,PRIMARY
F04,PRICE_EXTENSION,13,0.21359817379351187,0.6197774613636693,0.5,1.0,0.21372256552311958,0.6200330289338857,0.5,1.0,PRIMARY
F05,PRICE_EXTENSION,25,0.23154763458053673,0.6558500860260409,0.5,1.0,0.2310612244897959,0.6548258962439206,0.5,1.0,PRIMARY
F06,PRICE_EXTENSION,18,0.2240491679128932,0.6404732728990336,0.5,1.0,0.2243028624192059,0.6410122828446911,0.5,1.0,PRIMARY
F07,PRICE_EXTENSION,13,0.1778343395575859,0.5459256165253975,0.5,1.0,0.1776297161996903,0.5454787507107094,0.5,1.0,PRIMARY
F08,PRICE_EXTENSION,23,0.2917757455545018,0.7800387298748227,0.5,1.0,0.292407462179719,0.781427223752351,0.5,1.0,PRIMARY
F09,PRICE_EXTENSION,23,0.19878555886897006,0.5891364744824682,0.5,1.0,0.1974098307361792,0.5862310569865256,0.5,1.0,PRIMARY
F01,TREND_POSITION,24,0.25,0.6931471805599453,0.5,1.0,0.25,0.6931471805599453,0.5,1.0,PRIMARY
F02,TREND_POSITION,22,0.31008781648632683,0.8196015037367123,0.5,1.0,0.308080808080808,0.8150520784390409,0.5,1.0,PRIMARY
F03,TREND_POSITION,11,0.23232473874284684,0.6577136507984291,0.5,1.0,0.23212751331843962,0.6573164953876517,0.5,1.0,PRIMARY
F04,TREND_POSITION,13,0.21354344531026342,0.6196640855530651,0.5,1.0,0.21372256552311958,0.6200330289338857,0.5,1.0,PRIMARY
F05,TREND_POSITION,25,0.23139868788638485,0.6555371173146426,0.5,1.0,0.2310612244897959,0.6548258962439206,0.5,1.0,PRIMARY
F06,TREND_POSITION,18,0.22435880461778432,0.6411311408059539,0.5,1.0,0.2243028624192059,0.6410122828446911,0.5,1.0,PRIMARY
F07,TREND_POSITION,13,0.17576746761710607,0.5414681322185749,0.5,1.0,0.1776297161996903,0.5454787507107094,0.5,1.0,PRIMARY
F08,TREND_POSITION,23,0.29214880876419913,0.7808637596715968,0.5,1.0,0.292407462179719,0.781427223752351,0.5,1.0,PRIMARY
F09,TREND_POSITION,23,0.19915981750566117,0.5898886106568908,0.5,1.0,0.1974098307361792,0.5862310569865256,0.5,1.0,PRIMARY
F01,RELATIVE_POSITION,24,0.25,0.6931471805599453,0.5,1.0,0.25,0.6931471805599453,0.5,1.0,PRIMARY
F02,RELATIVE_POSITION,22,0.3108983271890477,0.8214281722586185,0.5,1.0,0.308080808080808,0.8150520784390409,0.5,1.0,PRIMARY
F03,RELATIVE_POSITION,11,0.23167194358053528,0.6563987104366752,0.5,1.0,0.23212751331843962,0.6573164953876517,0.5,1.0,PRIMARY
F04,RELATIVE_POSITION,13,0.21316515753909496,0.6188754257940942,0.5,1.0,0.21372256552311958,0.6200330289338857,0.5,1.0,PRIMARY
F05,RELATIVE_POSITION,25,0.23127890800547257,0.6552573907493064,0.5,1.0,0.2310612244897959,0.6548258962439206,0.5,1.0,PRIMARY
F06,RELATIVE_POSITION,18,0.22399599661490763,0.6403552030499644,0.5,1.0,0.2243028624192059,0.6410122828446911,0.5,1.0,PRIMARY
F07,RELATIVE_POSITION,13,0.18029758208493013,0.5511580275553974,0.5,1.0,0.1776297161996903,0.5454787507107094,0.5,1.0,PRIMARY
F08,RELATIVE_POSITION,23,0.2929095553655607,0.7825325997117069,0.5,1.0,0.292407462179719,0.781427223752351,0.5,1.0,PRIMARY
F09,RELATIVE_POSITION,23,0.19778624748800588,0.5870137230660294,0.5,1.0,0.1974098307361792,0.5862310569865256,0.5,1.0,PRIMARY
F01,PARTICIPATION,24,0.25,0.6931471805599453,0.5,1.0,0.25,0.6931471805599453,0.5,1.0,PRIMARY
F02,PARTICIPATION,22,0.3079930321027975,0.8148551895579456,0.5,1.0,0.308080808080808,0.8150520784390409,0.5,1.0,PRIMARY
F03,PARTICIPATION,11,0.23476835136497606,0.6626288548382413,0.5,1.0,0.23212751331843962,0.6573164953876517,0.5,1.0,PRIMARY
F04,PARTICIPATION,13,0.2138484058973057,0.6202909409748767,0.5,1.0,0.21372256552311958,0.6200330289338857,0.5,1.0,PRIMARY
F05,PARTICIPATION,25,0.2309744654412422,0.654642077999253,0.5,1.0,0.2310612244897959,0.6548258962439206,0.5,1.0,PRIMARY
F06,PARTICIPATION,18,0.22409825862167143,0.640580513187995,0.5,1.0,0.2243028624192059,0.6410122828446911,0.5,1.0,PRIMARY
F07,PARTICIPATION,13,0.17786886354292164,0.545979787216263,0.5,1.0,0.1776297161996903,0.5454787507107094,0.5,1.0,PRIMARY
