ticker,universe_role,signal_date,HERD_STATE,ticker_year_ordinal,sparse_eligible,sale_date,outcome_end,sale_adjusted_open,base_absolute_available,base_absolute_share_delta_rate,base_absolute_time_to_reentry_sessions,base_constrained_available,base_constrained_share_delta_rate,base_constrained_time_to_reentry_sessions,base_days_at_or_above_minimum_delta,stress_absolute_available,stress_absolute_share_delta_rate,stress_absolute_time_to_reentry_sessions,stress_constrained_available,stress_constrained_share_delta_rate,stress_constrained_time_to_reentry_sessions,stress_days_at_or_above_minimum_delta
A,INDEPENDENT_CURRENT_CONSTITUENTS,2013-11-15,81.74893771344497,1,True,2013-11-18,2014-05-21,35.01865045596632,True,0.027382167298388937,11,False,0.0,,0,True,0.02328083974630535,11,False,0.0,,0
A,INDEPENDENT_CURRENT_CONSTITUENTS,2013-11-29,79.26269498539673,2,True,2013-12-02,2014-06-04,34.388381164255264,True,0.008891236823670878,2,False,0.0,,0,True,0.004863725388932538,2,False,0.0,,0
A,INDEPENDENT_CURRENT_CONSTITUENTS,2014-01-10,76.05891335822842,1,True,2014-01-13,2014-07-15,37.88402954378403,True,0.10621599588173947,64,True,0.10621599588173947,64.0,61,True,0.10179996230934885,64,True,0.10179996230934885,64.0,55
A,INDEPENDENT_CURRENT_CONSTITUENTS,2016-07-29,79.23280423280423,1,True,2016-08-01,2017-01-31,44.478833791324206,True,0.10577845037602174,87,True,0.10577845037602174,87.0,65,True,0.10136416349293054,87,True,0.10136416349293054,87.0,57
A,INDEPENDENT_CURRENT_CONSTITUENTS,2017-02-24,77.64550264550265,1,True,2017-02-27,2017-08-25,48.09252759409597,True,0.010282036776805503,6,False,0.0,,0,True,0.006248973244367795,6,False,0.0,,0
A,INDEPENDENT_CURRENT_CONSTITUENTS,2017-04-21,75.51256613756614,2,True,2017-04-24,2017-10-20,50.25255744074789,False,0.0,1,False,0.0,,0,False,0.0,1,False,0.0,,0
A,INDEPENDENT_CURRENT_CONSTITUENTS,2017-08-18,75.3885582010582,3,False,2017-08-21,2018-02-21,57.051095693143466,False,0.0,1,False,0.0,,0,False,0.0,1,False,0.0,,0
A,INDEPENDENT_CURRENT_CONSTITUENTS,2017-10-06,81.36574074074075,4,False,2017-10-09,2018-04-11,62.22202255215629,True,0.028793285960263315,121,False,0.0,,0,True,0.02468632519784064,121,False,0.0,,0
A,INDEPENDENT_CURRENT_CONSTITUENTS,2017-11-17,83.73842592592592,5,False,2017-11-20,2018-05-23,64.83295547841287,True,0.11200528696288314,120,True,0.11200528696288314,120.0,35,True,0.10756614243940343,120,True,0.10756614243940343,120.0,27
A,INDEPENDENT_CURRENT_CONSTITUENTS,2018-01-19,75.43816137566138,1,True,2018-01-22,2018-07-23,68.62481723201456,True,0.19071385879870295,110,True,0.19071385879870295,110.0,106,True,0.18596050828203947,110,True,0.18596050828203947,110.0,105
A,INDEPENDENT_CURRENT_CONSTITUENTS,2020-01-10,87.63227513227513,1,True,2020-01-13,2020-07-14,83.82828380081271,True,0.3806489521894103,43,True,0.3806489521894103,43.0,74,True,0.3751373774632698,43,True,0.3751373774632698,43.0,71
A,INDEPENDENT_CURRENT_CONSTITUENTS,2020-07-31,80.70436507936508,2,True,2020-08-03,2021-02-02,92.97462708857222,True,0.014907267051927242,12,False,0.0,,0,True,0.01085573951946528,12,False,0.0,,0
A,INDEPENDENT_CURRENT_CONSTITUENTS,2020-10-09,79.05092592592592,3,False,2020-10-12,2021-04-14,102.27969676896657,True,0.04285284034874137,14,False,0.0,,2,True,0.038689753599690846,14,False,0.0,,2
A,INDEPENDENT_CURRENT_CONSTITUENTS,2020-11-06,80.91104497354497,4,False,2020-11-09,2021-05-12,111.60934004571612,True,0.08499210838070592,8,True,0.08499210838070592,8.0,9,True,0.08066080093783268,8,True,0.08066080093783268,8.0,9
A,INDEPENDENT_CURRENT_CONSTITUENTS,2020-12-04,78.86078042328043,5,False,2020-12-07,2021-06-09,110.68692872817272,True,0.004503600548988906,1,False,0.0,,0,True,0.0004936046348766876,1,False,0.0,,0
A,INDEPENDENT_CURRENT_CONSTITUENTS,2021-02-12,78.24900793650794,1,True,2021-02-16,2021-08-16,124.44789467924815,True,0.11255300231192433,13,True,0.11255300231192433,13.0,26,True,0.10811167129920696,13,True,0.10811167129920696,13.0,23
A,INDEPENDENT_CURRENT_CONSTITUENTS,2021-04-23,75.29761904761905,2,True,2021-04-26,2021-10-22,132.25179819253793,True,0.07209240721554777,17,True,0.07209240721554777,17.0,12,True,0.0678125956049811,17,True,0.051252933345944385,13.0,10
A,INDEPENDENT_CURRENT_CONSTITUENTS,2021-06-11,80.61342592592592,3,False,2021-06-14,2021-12-10,138.3144791484084,False,0.0,3,False,0.0,,0,False,0.0,3,False,0.0,,0
A,INDEPENDENT_CURRENT_CONSTITUENTS,2021-07-30,82.26686507936509,4,False,2021-08-02,2022-01-31,148.67844459677585,True,0.15184779904532486,125,False,0.0,,15,True,0.14724960251787933,125,False,0.0,,15
A,INDEPENDENT_CURRENT_CONSTITUENTS,2024-03-08,76.65343915343915,1,True,2024-03-11,2024-09-10,145.19522372739493,True,0.17571697241828832,56,True,0.17571697241828832,56.0,88,True,0.17102348973393222,56,True,0.17102348973393222,56.0,87
A,INDEPENDENT_CURRENT_CONSTITUENTS,2024-05-10,76.43022486772486,2,True,2024-05-13,2024-11-11,146.9345174803165,True,0.18980088739038337,12,True,0.18980088739038337,12.0,106,True,0.18505118147152455,12,True,0.18505118147152455,12.0,103
A,INDEPENDENT_CURRENT_CONSTITUENTS,2025-10-24,81.93617724867724,1,True,2025-10-27,2026-04-29,147.39497292977236,True,0.3344070112059714,101,True,0.3344070112059714,101.0,93,True,0.32908003511571726,101,True,0.32908003511571726,101.0,90
A,INDEPENDENT_CURRENT_CONSTITUENTS,2026-01-09,85.89616402116403,1,True,2026-01-12,2026-07-15,147.97707236719265,True,0.3396769166516802,49,True,0.3396769166516802,49.0,122,True,0.334328903006863,49,True,0.334328903006863,49.0,122
AAPL,PRIMARY,2014-04-25,75.77638127239638,1,True,2014-04-28,2014-10-24,17.840024008394387,False,0.0,9,False,0.0,,0,False,0.0,9,False,0.0,,0
AAPL,PRIMARY,2014-10-24,80.25073451547902,2,True,2014-10-27,2015-04-29,23.101093589083895,False,0.0,1,False,0.0,,0,False,0.0,1,False,0.0,,0
AAPL,PRIMARY,2014-12-26,75.6721129050554,3,False,2014-12-29,2015-06-30,25.17951376350252,True,0.0648502180180035,5,True,0.0648502180180035,5.0,9,True,0.06059931735317714,5,True,0.06059931735317714,5.0,8
AAPL,PRIMARY,2015-02-20,79.27083628338511,1,True,2015-02-23,2015-08-21,28.88444174167553,True,0.16371984410763218,126,True,0.1429065367454203,114.0,42,True,0.1590742541689869,126,True,0.13834403389320893,114.0,35
AAPL,PRIMARY,2015-03-06,75.06930735705924,2,True,2015-03-09,2015-09-04,28.42680835819266,True,0.33312457919021554,117,True,0.33312457919021554,117.0,33,True,0.3278027225909621,117,True,0.3278027225909621,117.0,31
AAPL,PRIMARY,2015-04-24,75.62511392691917,3,False,2015-04-27,2015-10-23,29.39317845056238,True,0.37844418406809144,83,True,0.37844418406809144,83.0,94,True,0.37294141081479104,83,True,0.37294141081479104,83.0,87
AAPL,PRIMARY,2017-01-20,76.04166666666667,1,True,2017-01-23,2017-07-24,27.606953521012706,True,0.0007570394682563375,1,False,0.0,,0,False,0.0,1,False,0.0,,0
AAPL,PRIMARY,2017-04-28,77.59589947089947,2,True,2017-05-01,2017-10-27,33.526153330479865,True,0.008193010106807952,47,False,0.0,,0,True,0.004168286005315824,47,False,0.0,,0
