ticker,universe_role,signal_date,outcome_end,fold_id,success_label,first_boundary,terminal_path,maximum_favorable_excursion,maximum_adverse_excursion,terminal_return,stress_constrained_sleeve_share_delta_rate,stress_constrained_time_to_reentry_sessions,future_fields_are_labels_only
A,INDEPENDENT_CURRENT_CONSTITUENTS,2018-01-19,2018-07-20,F02,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.023949565831223874,-0.16140053868705106,-0.12211476522638198,0.1859605082820394,110.0,True
A,INDEPENDENT_CURRENT_CONSTITUENTS,2020-01-10,2020-07-13,F04,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.04317788026220071,-0.2765153955698477,0.0238052702547924,0.3751373774632698,43.0,True
AAPL,PRIMARY,2017-01-20,2017-07-21,F01,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.3118659667066159,-0.0002501035598295731,0.262870388467354,0.0,,True
AAPL,PRIMARY,2018-08-03,2019-02-05,F03,STRUCTURAL_DAMAGE,DOWNSIDE_PULLBACK,STRUCTURAL_BREAK,0.11968776682156013,-0.3115700860233982,-0.15668664675008537,0.0,,True
AAPL,PRIMARY,2018-08-31,2019-03-06,F03,STRUCTURAL_DAMAGE,DOWNSIDE_PULLBACK,STRUCTURAL_BREAK,0.01950509360721253,-0.3731664981184235,-0.2273426119864076,0.569857746317082,83.0,True
AAPL,PRIMARY,2019-11-08,2020-05-12,F04,NO_ECONOMIC_EDGE,UPSIDE_CONTINUATION,LARGE_PULLBACK,0.26076923860310286,-0.13545591150965064,0.20317555585561142,0.0,,True
AAPL,PRIMARY,2021-12-10,2022-06-13,F06,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.01426578821151403,-0.2630702826125426,-0.2630702826125426,0.3055113214803804,114.0,True
AAPL,PRIMARY,2024-10-18,2025-04-23,F09,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.10342520787971776,-0.2646831133670837,-0.1274454958971294,0.0536027075694878,9.0,True
AAPL,PRIMARY,2024-12-06,2025-06-11,F09,STRUCTURAL_DAMAGE,DOWNSIDE_PULLBACK,STRUCTURAL_BREAK,0.06662812610345004,-0.2892044995160319,-0.17946174252052804,0.3950529316037454,82.0,True
ABBV,PRIMARY,2018-01-05,2018-07-09,F02,NO_ECONOMIC_EDGE,UPSIDE_CONTINUATION,LARGE_PULLBACK,0.22731501313989777,-0.10568683895144582,-0.02335600557258688,0.0,,True
