ticker,episode_id,signal_date,last_observed_session,sector_etf,damage_date,damage_wait_sessions,damage_triggered,damage_execution_date,damage_execution_price,scheduled_execution_date,scheduled_execution_price,uplift_vs_buy_hold_base,uplift_vs_scheduled_base,triggered_trough_improvement_base,outcome_end,uplift_vs_buy_hold_stress,uplift_vs_scheduled_stress,triggered_trough_improvement_stress,fold_id
A,A-V61-001,2016-06-21,2016-06-21,XLV,2016-06-27,4.0,True,2016-06-28,39.34574886450473,2016-07-22,43.193752375979024,-0.0033111608642304446,-0.004513490651504193,0.0003747789156978154,2016-12-19,-0.003380490368213862,-0.0045067102449170005,0.000305449411714398,F01
A,A-V61-002,2017-03-10,2017-03-10,XLV,,,False,,,2017-04-11,49.10641033714186,0.0,0.012056570067702,,2017-09-08,0.0,0.012132549133876847,,F01
A,A-V61-003,2019-03-01,2019-03-01,XLV,2019-04-16,32.0,True,2019-04-17,74.12610003179131,2019-04-02,77.50280900904028,0.004426290477530737,-0.0021922333455607346,0.007584664227224369,2019-08-29,0.0043539956063544105,-0.0021889400556075467,0.007512369356048154,F02
A,A-V61-004,2020-08-07,2020-08-07,XLV,2020-09-08,21.0,True,2020-09-09,92.16899592664838,2020-09-09,92.16899592664838,-0.014256200643759653,0.0,0.00041718894624254155,2021-02-08,-0.014329912031864067,0.0,0.00034347755813812775,F02
A,A-V61-005,2020-10-07,2020-10-07,XLV,,,False,,,2020-11-06,106.42086843021681,0.0,0.010460891031092157,,2021-04-09,0.0,0.01054085831104512,,F02
A,A-V61-006,2021-04-09,2021-04-09,XLV,,,False,,,2021-05-11,125.5625599455935,0.0,0.009719975306236694,,2021-10-07,0.0,0.009794042822093285,,F02
ABT,ABT-V61-001,2017-06-29,2017-06-29,XLV,,,False,,,2017-08-01,41.772246623514775,0.0,0.008878003519596778,,2017-12-28,0.0,0.008954161437036534,,F01
ABT,ABT-V61-002,2017-09-28,2017-09-28,XLV,2017-12-04,46.0,True,2017-12-05,46.608417417935215,2017-10-30,47.0690416058158,-0.003681544143202542,-0.0005050582689056782,0.0013654887271992155,2018-04-02,-0.0037583160439154106,-0.0005042995434141329,0.0012887168264863469,F01
ABT,ABT-V61-003,2018-09-12,2018-09-12,XLV,,,False,,,2018-10-12,60.25770028050672,0.0,0.008219689904040983,,2019-03-15,0.0,0.0082976970872779,,F01
ABT,ABT-V61-004,2019-03-04,2019-03-04,XLV,2019-04-17,32.0,True,2019-04-18,64.52643532415298,2019-04-03,69.78746027569699,-0.007733099586797687,-0.0038282938150233647,0.00041478089615309965,2019-08-30,-0.007803636388488355,-0.0038225427476998863,0.00034424409446265347,F02
ABT,ABT-V61-005,2019-07-08,2019-07-08,XLV,2019-08-23,34.0,True,2019-08-26,72.65739840032589,2019-08-07,73.70403179189704,-0.002477242624604692,-0.0007008260573873049,0.002345149462626317,2020-01-06,-0.0025503293809292504,-0.0006997732390736644,0.0022720627063017584,F02
ABT,ABT-V61-006,2020-10-15,2020-10-15,XLV,2020-12-09,38.0,True,2020-12-10,95.76060415458166,2020-11-16,100.50559824863205,-0.008801203701889193,-0.002460904350408244,0.0007453715094198898,2021-04-19,-0.008875812342144851,-0.002457207448529619,0.000670762869164121,F02
ABT,ABT-V61-007,2021-02-23,2021-02-23,XLV,2021-03-08,9.0,True,2021-03-09,105.13421457439475,2021-03-25,106.92638237967871,-0.0042293023675561425,-0.0008224421477409649,0.004299021603430653,2021-08-23,-0.004301781661099291,-0.0008212066312442978,0.004226542309887282,F02
ACGL,ACGL-V61-001,2016-12-15,2016-12-15,XLF,,,False,,,2017-01-19,27.92155034225248,0.0,0.0038913398386439813,,2017-06-19,0.0,0.003967603833386235,,F01
ACGL,ACGL-V61-002,2019-07-05,2019-07-05,XLF,,,False,,,2019-08-06,36.229233455937695,0.0,0.006986769181227759,,2020-01-03,0.0,0.007062006144040067,,F02
ACGL,ACGL-V61-003,2019-09-04,2019-09-04,XLF,2019-10-28,38.0,True,2019-10-29,38.51139053823779,2019-10-04,39.21505516605263,-0.0008950860835332808,-0.0009050584371983472,1.1329729332487659e-05,2020-03-05,-0.0009694981372698752,-0.0009036988101018828,-6.308232440410677e-05,F02
ACGL,ACGL-V61-004,2020-01-03,2020-01-03,XLF,2020-03-12,47.0,True,2020-03-13,30.79009603591602,2020-02-05,42.933070527089455,0.0044191822343359055,-0.014706857462783995,0.011639482785421817,2020-07-06,0.0043631614694836784,-0.01468476403645036,0.01158346202056959,F02
ACGL,ACGL-V61-005,2022-11-29,2022-11-29,XLF,2023-02-02,44.0,True,2023-02-03,58.356640275672085,2022-12-30,59.64035518009668,-0.00711432405810819,-0.0011427407349697827,0.0017869996475392558,2023-06-01,-0.007192363219845621,-0.0011410240488380907,0.0017089604858018248,F03
ACGL,ACGL-V61-006,2023-07-03,2023-07-03,XLF,2023-08-17,32.0,True,2023-08-18,70.22385255902147,2023-08-03,73.03851160876867,-0.0012236658503783637,-0.0019972695575749544,0.00021571766077865817,2024-01-02,-0.00129852393821972,-0.001994269152631123,0.00014085957293719087,F03
ACGL,ACGL-V61-007,2023-10-31,2023-10-31,XLF,2023-11-29,20.0,True,2023-11-30,78.48716893780804,2023-12-01,79.59020746535393,-0.007356830854407415,-0.0006681218776096731,0.005189312918542854,2024-05-02,-0.007428248719728581,-0.0006671181892610178,0.005117895053221799,F03
ACGL,ACGL-V61-008,2024-03-18,2024-03-18,XLF,,,False,,,2024-04-18,86.83605579638235,0.0,0.012460052886474227,,2024-09-17,0.0,0.012534987243590034,,F04
ACGL,ACGL-V61-009,2024-05-16,2024-05-16,XLF,2024-07-11,37.0,True,2024-07-12,92.53193663407902,2024-06-18,94.80458404036236,-0.0014602126318166153,-0.001207455483718256,0.0013631032583443226,2024-11-14,-0.0015340666124579183,-0.0012056415796364295,0.0012892492777030196,F04
ACGL,ACGL-V61-010,2024-09-17,2024-09-17,XLF,2024-10-16,21.0,True,2024-10-17,102.78262141269613,2024-10-17,102.78262141269613,0.004696399828183484,0.0,0.006689674323931638,2025-03-20,0.0046252630253725835,0.0,0.0066185375211207376,F04
ACN,ACN-V61-001,2017-10-31,2017-10-31,XLK,,,False,,,2017-12-01,128.60157442576,0.0,0.0019634713849630003,,2018-05-03,0.0,0.0020412846664947804,,F01
