ticker,episode_id,signal_date,last_observed_session,source_regime,downside_asymmetry_score,previous_score_5d,feature_cutoff_date,session_position,path_label,mae_126d,mfe_126d,terminal_return_126d,low_before_high,recovered_after_low,time_to_low_sessions,time_to_high_sessions,outcome_end,execution_date,execution_adjusted_open,partial_sale_uplift_21d,partial_sale_uplift_63d,partial_sale_uplift_126d,sector_etf,fold_id,transition_triggered
ALLE,ALLE-V61-001,2019-05-08,2019-05-08,HEALTHY_RUSH,-1.1917032687303901,-1.0905171728251035,2019-05-08,1375,TEMPORARY_PULLBACK,-0.05980841464534159,0.1926900865726504,0.18169049791348035,True,True,75,124,2019-11-05,2019-05-09,90.30019927429773,-0.002608787163727561,0.00019496266777544464,-0.00946254103662912,XLI,OOS_2016_2019,False
ALLE,ALLE-V61-002,2019-07-09,2019-07-09,HEALTHY_RUSH,-0.14559761517647749,-0.5963037146576569,2019-07-09,1417,LARGE_PULLBACK,-0.15203789878052276,0.14395182377108506,0.1139961221496788,True,True,33,109,2020-01-07,2019-07-10,101.21679379830636,0.005561222037392983,0.0035177089331134338,-0.005453106041616512,XLI,OOS_2016_2019,False
ALLE,ALLE-V61-003,2019-11-22,2019-11-22,HEALTHY_RUSH,0.3211983753927537,-1.2064815172248708,2019-11-22,1514,STRUCTURAL_BREAK,-0.3364216158412916,0.1693030493017611,-0.1639420677001021,False,False,81,56,2020-05-27,2019-11-25,109.03110862238925,-0.0022150925764508112,-0.0021266553393922195,0.008126029166197136,XLI,OOS_2016_2019,False
ALLE,ALLE-V61-004,2021-04-26,2021-04-26,HEALTHY_RUSH,-0.4697792280596108,-0.6110434861711896,2021-04-26,1870,TEMPORARY_PULLBACK,-0.05300694199140754,0.09002983768775374,-0.014938410489886644,False,True,118,92,2021-10-22,2021-04-27,127.07509198215057,-0.001132270165988064,-0.000827851106386418,0.0007113642657926856,XLI,OOS_2020_2022,False
ALLE,ALLE-V61-005,2025-07-31,2025-07-31,HEALTHY_RUSH,-0.9325684514233207,-0.9440468086532119,2025-07-31,2941,TEMPORARY_PULLBACK,-0.05080756831835598,0.08166584837091917,-0.003194214624503089,False,True,91,57,2026-01-30,2025-08-01,163.81209265116522,-0.0014702606393483808,-0.00019535622527235282,-0.0001347913131255651,XLI,OOS_2023_2026,False
AMCR,AMCR-V61-001,2016-08-23,2016-08-23,NORMAL_RUSH,-0.42638288361097887,0.8236594690781663,2016-08-23,1075,UNRESOLVED,-0.07484720123310518,0.019147408022616386,-0.07484720123310518,False,False,78,9,2017-02-23,2016-08-24,37.89015198,-0.0010073704011308194,-0.0010073704011308194,0.003692360061655259,XLB,OOS_2016_2019,False
AMCR,AMCR-V61-002,2017-07-05,2017-07-05,NORMAL_RUSH,-1.3256417042922806,-2.0923307367606543,2017-07-05,1292,UNRESOLVED,-0.07017797340715337,0.05078079092909826,-0.029035769583454663,False,False,103,43,2018-01-03,2017-07-06,41.76795578,0.0004729277107801078,0.0003732128355313114,0.0014017884791727333,XLB,OOS_2016_2019,False
AMCR,AMCR-V61-003,2019-07-02,2019-07-02,HEALTHY_RUSH,0.1939220022371313,0.8464187126789959,2019-07-02,1793,LARGE_PULLBACK,-0.19306552546263522,0.008635441318056047,-0.04140691489936388,False,False,68,1,2019-12-31,2019-07-03,43.45379019642942,0.005264622919600865,0.008843427398957389,0.0027539546325117295,XLB,OOS_2016_2019,False
AMCR,AMCR-V61-004,2020-09-03,2020-09-03,HEALTHY_RUSH,0.5105128707666864,0.18564778735948453,2020-09-03,2090,TEMPORARY_PULLBACK,-0.06859236494983534,0.09657018814349327,0.08316675781803662,True,True,38,51,2021-03-08,2020-09-04,43.63452271163012,3.9680769682459755e-05,-0.001862924125268578,-0.0038683307061609332,XLB,OOS_2020_2022,True
AMCR,AMCR-V61-005,2021-01-05,2021-01-05,HEALTHY_RUSH,0.4123225957436722,-0.14718108547242492,2021-01-05,2174,CONTINUATION,-0.04973827264003294,0.1012567378073459,0.02854077333483085,True,True,18,84,2021-07-07,2021-01-06,45.37474610672664,0.001256628111965186,-0.0012321657698645737,-0.0013874447874799578,XLB,OOS_2020_2022,False
