feature,treatment_events,control_events,missing_fraction,treatment_median,control_median,rank_biserial,raw_p_value,first_half_effect,second_half_effect,same_direction_halves,holm_p_value,retained_for_preregistration,source_family,selection_status
extension_votes,52,97,0.0,2.0,2.0,-0.1112212529738303,0.1399574834844432,-0.1849056603773584,-0.1124078624078623,2,1.0,False,LEVEL,REMOVED_NO_REPEATABLE_DISCOVERY_EFFECT
weekly_rsi_14,52,97,0.0,70.241590782287,69.67373412352553,0.0067406819984139,0.947607514384661,0.1320754716981131,-0.0405405405405405,1,1.0,False,LEVEL,REMOVED_NO_REPEATABLE_DISCOVERY_EFFECT
high_52w_proximity,47,88,0.0939597315436241,1.0,1.0,-0.0851063829787234,0.2876827139501803,-0.1090909090909091,-0.0626535626535627,2,1.0,False,LEVEL,REMOVED_NO_REPEATABLE_DISCOVERY_EFFECT
return_26w,52,97,0.0,0.1918155475439022,0.2037083385388216,-0.0297383029341792,0.7666975491237986,0.1396226415094339,-0.0982800982800983,1,1.0,False,LEVEL,REMOVED_NO_REPEATABLE_DISCOVERY_EFFECT
close_to_sma200,47,92,0.0671140939597315,1.1480108657075236,1.148907456294772,-0.0823311748381128,0.4293630650179961,-0.2416666666666667,-0.0098280098280097,2,1.0,False,LEVEL,REMOVED_NO_REPEATABLE_DISCOVERY_EFFECT
STOCK_SECTOR_RS_13W,45,80,0.1610738255033557,0.0712971542867952,0.0550874986342972,-0.0083333333333333,0.9405489252950135,-0.0411449016100179,-0.1216216216216216,2,1.0,False,LEVEL,REMOVED_NO_REPEATABLE_DISCOVERY_EFFECT
STOCK_SECTOR_RS_DAMAGE,45,80,0.1610738255033557,0.0103859766388629,0.005910188254965,0.0847222222222221,0.4296537697225665,0.1466905187835421,0.1317567567567568,2,1.0,False,LEVEL,REMOVED_NO_REPEATABLE_DISCOVERY_EFFECT
STOCK_SPY_RS_13W,52,97,0.0,0.093214635423915,0.0767213898266527,0.1026962727993656,0.3032540751739204,0.0867924528301886,0.0049140049140048,2,1.0,False,LEVEL,REMOVED_NO_REPEATABLE_DISCOVERY_EFFECT
HIGH_52W_FAILURE,47,87,0.1006711409395973,0.0161101437282148,0.0080292060024447,0.1239911958914159,0.2195272246403312,0.1534883720930233,0.1081081081081081,2,1.0,False,LEVEL,REMOVED_NO_REPEATABLE_DISCOVERY_EFFECT
SIGNED_VOLUME_PARTICIPATION,52,97,0.0,-0.2202115526453639,-0.2368133450876081,0.0745440126883425,0.4552316155830819,0.1421383647798741,0.0184275184275184,2,1.0,False,LEVEL,REMOVED_NO_REPEATABLE_DISCOVERY_EFFECT
MARKET_STRESS_REGIME,49,92,0.0536912751677852,0.1362727515776428,0.1496323529411764,-0.0075421472937,0.9430401785409812,-0.28125,-0.038083538083538,2,1.0,False,LEVEL,REMOVED_NO_REPEATABLE_DISCOVERY_EFFECT
TREND_26W_QUALITY,52,97,0.0,0.6025726222527306,0.652769356276877,-0.1558287073750991,0.1180136454297165,-0.1798742138364779,-0.1357493857493857,2,1.0,False,LEVEL,REMOVED_NO_REPEATABLE_DISCOVERY_EFFECT
TREND_13W_DECELERATION,52,97,0.0,-0.2397108117699818,-0.1608344404541127,-0.0539254559873116,0.589451654081308,-0.1345911949685534,-0.0208845208845208,2,1.0,False,LEVEL,REMOVED_NO_REPEATABLE_DISCOVERY_EFFECT
PIT_BUSINESS_DETERIORATION,40,78,0.2080536912751678,0.25,0.25,-0.128525641025641,0.237207873050916,-0.1171171171171171,-0.1814921090387374,2,1.0,False,LEVEL,REMOVED_NO_REPEATABLE_DISCOVERY_EFFECT
SECTOR_RS_DELTA_4W,45,79,0.1677852348993288,0.0209483955463915,0.0334135245040139,-0.1375527426160337,0.2048121445856885,0.1391941391941391,-0.3361486486486487,1,1.0,False,TRANSITION_4W,REMOVED_NO_REPEATABLE_DISCOVERY_EFFECT
SECTOR_RS_DAMAGE_DELTA_4W,45,79,0.1677852348993288,-0.0065806657110716,-0.0183390021382055,0.2483825597749649,0.0219198200010551,0.032967032967033,0.347972972972973,2,0.1753585600084415,False,TRANSITION_4W,RESEARCH_LEAD_NOT_ADMITTED
SPY_RS_DELTA_4W,52,95,0.0134228187919463,0.0484162217907232,0.0445354373443985,0.0234817813765182,0.815799640100422,0.3202614379084967,-0.1314496314496314,1,1.0,False,TRANSITION_4W,REMOVED_NO_REPEATABLE_DISCOVERY_EFFECT
HIGH_FAILURE_DELTA_4W,45,81,0.1543624161073825,-0.1479710011752908,-0.108779768640164,-0.0112482853223594,0.9188914710753098,-0.1216216216216216,-0.0221130221130221,2,1.0,False,TRANSITION_4W,REMOVED_NO_REPEATABLE_DISCOVERY_EFFECT
PARTICIPATION_WEAKENING_DELTA_4W,52,95,0.0134228187919463,-0.1297741263638864,-0.1636973324242243,0.1445344129554655,0.1486560889982432,0.2366013071895425,0.1265356265356265,2,1.0,False,TRANSITION_4W,REMOVED_NO_REPEATABLE_DISCOVERY_EFFECT
MARKET_STRESS_DELTA_4W,47,91,0.0738255033557047,-0.0089976395787194,0.0063027576212524,-0.0825344867898059,0.4290367147394547,0.2212765957446809,-0.1289926289926289,1,1.0,False,TRANSITION_4W,REMOVED_NO_REPEATABLE_DISCOVERY_EFFECT
TREND_QUALITY_DELTA_4W,52,95,0.0134228187919463,0.1065326351515843,0.0740294795279565,0.1194331983805667,0.2328162823052645,0.1372549019607842,0.0902948402948402,2,1.0,False,TRANSITION_4W,REMOVED_NO_REPEATABLE_DISCOVERY_EFFECT
DECELERATION_DELTA_4W,52,95,0.0134228187919463,-0.035262672132421,0.0119756642336711,0.0020242914979757,0.9854546287944768,-0.0405228758169934,-0.0073710073710073,0,1.0,False,TRANSITION_4W,REMOVED_NO_REPEATABLE_DISCOVERY_EFFECT
