feature,treatment_events,control_events,missing_fraction,treatment_median,control_median,rank_biserial,raw_p_value,first_half_effect,second_half_effect,same_direction_halves,holm_p_value,retained_for_preregistration
extension_votes,52,97,0.0,2.0,2.0,-0.11122125297383034,0.13995748348444323,-0.18490566037735845,-0.11240786240786238,2,1.0,False
weekly_rsi_14,52,97,0.0,70.241590782287,69.67373412352553,0.006740681998413933,0.947607514384661,0.13207547169811318,-0.04054054054054057,1,1.0,False
high_52w_proximity,47,88,0.09395973154362416,1.0,1.0,-0.08510638297872342,0.2876827139501803,-0.10909090909090913,-0.0626535626535627,2,1.0,False
return_26w,52,97,0.0,0.19181554754390223,0.2037083385388216,-0.029738302934179228,0.7666975491237986,0.13962264150943393,-0.09828009828009832,1,1.0,False
close_to_sma200,47,92,0.06711409395973154,1.1480108657075236,1.148907456294772,-0.08233117483811281,0.42936306501799615,-0.2416666666666667,-0.009828009828009798,2,1.0,False
STOCK_SECTOR_RS_13W,45,80,0.1610738255033557,0.0712971542867952,0.05508749863429725,-0.008333333333333304,0.9405489252950137,-0.04114490161001794,-0.1216216216216216,2,1.0,False
STOCK_SECTOR_RS_DAMAGE,45,80,0.1610738255033557,0.0103859766388629,0.005910188254965001,0.08472222222222214,0.4296537697225665,0.1466905187835421,0.1317567567567568,2,1.0,False
STOCK_SPY_RS_13W,52,97,0.0,0.09321463542391506,0.0767213898266527,0.10269627279936566,0.30325407517392045,0.08679245283018866,0.004914004914004844,2,1.0,False
HIGH_52W_FAILURE,47,87,0.10067114093959731,0.0161101437282148,0.0080292060024447,0.12399119589141594,0.21952722464033125,0.15348837209302335,0.10810810810810811,2,1.0,False
SIGNED_VOLUME_PARTICIPATION,52,97,0.0,-0.2202115526453639,-0.2368133450876081,0.07454401268834254,0.4552316155830819,0.14213836477987418,0.01842751842751844,2,1.0,False
MARKET_STRESS_REGIME,49,92,0.053691275167785234,0.1362727515776428,0.14963235294117644,-0.007542147293700063,0.9430401785409812,-0.28125,-0.03808353808353804,2,1.0,False
TREND_26W_QUALITY,52,97,0.0,0.6025726222527306,0.652769356276877,-0.15582870737509913,0.11801364542971657,-0.17987421383647795,-0.13574938574938578,2,1.0,False
TREND_13W_DECELERATION,52,97,0.0,-0.23971081176998188,-0.1608344404541127,-0.05392545598731169,0.589451654081308,-0.13459119496855343,-0.020884520884520863,2,1.0,False
PIT_BUSINESS_DETERIORATION,40,78,0.2080536912751678,0.25,0.25,-0.128525641025641,0.23720787305091606,-0.11711711711711714,-0.18149210903873747,2,1.0,False
