ticker,episode_id,signal_date,last_observed_session,source_regime,path_label,mae_126d,mfe_126d,terminal_return_126d,low_before_high,recovered_after_low,time_to_low_sessions,time_to_high_sessions,outcome_end,selector,sector,era,v61_episode_id,price_episode_id
AAPL,AAPL-V61-001,2017-02-23,2017-02-23,NORMAL_RUSH,CONTINUATION,0.0009516182001889639,0.19317541183987497,0.18121352456634132,True,True,1,120,2017-08-23,V61_RUSH,technology,2016-2019,,
AAPL,AAPL-V61-002,2018-08-14,2018-08-14,HEALTHY_RUSH,STRUCTURAL_BREAK,-0.3197324174109084,0.1064122504359526,-0.17935120848043784,False,False,97,35,2019-02-14,V61_RUSH,technology,2016-2019,,
AAPL,AAPL-V61-003,2019-11-08,2019-11-08,HEALTHY_RUSH,LARGE_PULLBACK,-0.13545591150965064,0.26076923860310286,0.20317555585561142,False,True,91,64,2020-05-12,V61_RUSH,technology,2016-2019,,
AAPL,AAPL-V61-004,2020-06-09,2020-06-09,HEALTHY_RUSH,CONTINUATION,-0.02351789260104631,0.5630915650294606,0.44407710892014607,True,True,2,59,2020-12-07,V61_RUSH,technology,2020-2022,,
AAPL,AAPL-V61-005,2021-01-07,2021-01-07,HEALTHY_RUSH,LARGE_PULLBACK,-0.10988472665064464,0.11192858056332833,0.11192858056332833,True,True,40,126,2021-07-09,V61_RUSH,technology,2020-2022,,
AAPL,AAPL-V61-006,2021-09-01,2021-09-01,HEALTHY_RUSH,TEMPORARY_PULLBACK,-0.08766606683710709,0.19517176037315043,0.0929429205577994,True,True,22,85,2022-03-03,V61_RUSH,technology,2020-2022,,
AAPL,AAPL-V61-007,2021-12-17,2021-12-17,HEALTHY_RUSH,STRUCTURAL_BREAK,-0.23795113023423276,0.06351520606744332,-0.2039091249424584,False,False,124,10,2022-06-21,V61_RUSH,technology,2020-2022,,
ABBV,ABBV-V61-001,2017-06-30,2017-06-30,NORMAL_RUSH,CONTINUATION,-0.028025519518801945,0.3761423000236721,0.3551239498433105,True,True,33,122,2017-12-29,V61_RUSH,healthcare,2016-2019,,
ABBV,ABBV-V61-002,2017-08-30,2017-08-30,NORMAL_RUSH,CONTINUATION,0.017992376166706014,0.6904693292358288,0.5783750589058365,True,True,3,102,2018-03-02,V61_RUSH,healthcare,2016-2019,,
ABBV,ABBV-V61-003,2020-12-16,2020-12-16,HEALTHY_RUSH,CONTINUATION,-0.01758409195714472,0.14700528416581027,0.10698114004199955,True,True,4,104,2021-06-18,V61_RUSH,healthcare,2020-2022,,
ABBV,ABBV-V61-004,2021-05-19,2021-05-19,HEALTHY_RUSH,TEMPORARY_PULLBACK,-0.07133208165309513,0.05417784936651171,0.02844246097257086,False,True,85,72,2021-11-16,V61_RUSH,healthcare,2020-2022,,
ABBV,ABBV-V61-005,2021-12-23,2021-12-23,HEALTHY_RUSH,CONTINUATION,0.001950164787474451,0.32824068043204413,0.17247123012642862,True,True,19,73,2022-06-27,V61_RUSH,healthcare,2020-2022,,
ABBV,ABBV-V61-006,2024-02-06,2024-02-06,HEALTHY_RUSH,TEMPORARY_PULLBACK,-0.09841551704870177,0.11512909099780311,0.10219708551553275,True,True,78,122,2024-08-07,V61_RUSH,healthcare,2023-2026,,
ABBV,ABBV-V61-007,2024-08-23,2024-08-23,HEALTHY_RUSH,LARGE_PULLBACK,-0.15814953120330288,0.05143307992073054,0.04561297925033969,True,True,59,125,2025-02-26,V61_RUSH,healthcare,2023-2026,,
ABBV,ABBV-V61-008,2025-03-21,2025-03-21,HEALTHY_RUSH,LARGE_PULLBACK,-0.1822649148686325,0.07893613874927041,0.07893613874927041,True,True,20,126,2025-09-22,V61_RUSH,healthcare,2023-2026,,
ABBV,ABBV-V61-009,2025-09-19,2025-09-19,HEALTHY_RUSH,UNRESOLVED,-0.06473656176436537,0.09848514619114579,-0.06473656176436537,False,False,126,8,2026-03-23,V61_RUSH,healthcare,2023-2026,,
AMT,AMT-V61-001,2016-05-31,2016-05-31,NORMAL_RUSH,CONTINUATION,-0.020762734359557777,0.11952380740859514,0.01303371251849117,False,True,117,37,2016-11-28,V61_RUSH,utilities_real_estate,2016-2019,,
AMT,AMT-V61-002,2017-04-03,2017-04-03,HEALTHY_RUSH,CONTINUATION,-0.004209726510616463,0.23432812235914913,0.13827243373696563,True,True,2,105,2017-10-02,V61_RUSH,utilities_real_estate,2016-2019,,
AMT,AMT-V61-003,2018-11-26,2018-11-26,HEALTHY_RUSH,CONTINUATION,-0.049569718333722146,0.27954510033784996,0.27954510033784996,True,True,19,126,2019-05-30,V61_RUSH,utilities_real_estate,2016-2019,,
AMT,AMT-V61-004,2019-01-29,2019-01-29,HEALTHY_RUSH,CONTINUATION,0.004898709209378849,0.2952249399321427,0.24240832551059022,True,True,6,99,2019-07-30,V61_RUSH,utilities_real_estate,2016-2019,,
AMT,AMT-V61-005,2020-01-23,2020-01-23,HEALTHY_RUSH,LARGE_PULLBACK,-0.24698300396907813,0.12898717051365227,0.09347473494823788,True,True,41,91,2020-07-23,V61_RUSH,utilities_real_estate,2020-2022,,
AMT,AMT-V61-006,2021-08-02,2021-08-02,HEALTHY_RUSH,STRUCTURAL_BREAK,-0.15833700512178295,0.07051679181257398,-0.10468949745435596,False,False,124,26,2022-01-31,V61_RUSH,utilities_real_estate,2020-2022,,
AMZN,AMZN-V61-001,2016-05-31,2016-05-31,NORMAL_RUSH,CONTINUATION,-0.04348424534884665,0.16819543428067485,0.06084758617823094,True,True,19,89,2016-11-28,V61_RUSH,consumer_discretionary,2016-2019,,
AMZN,AMZN-V61-002,2016-07-29,2016-07-29,NORMAL_RUSH,TEMPORARY_PULLBACK,-0.052371465753295654,0.11274232906853743,0.09431881012706822,False,True,75,47,2017-01-30,V61_RUSH,consumer_discretionary,2016-2019,,
AMZN,AMZN-V61-003,2017-04-27,2017-04-27,HEALTHY_RUSH,CONTINUATION,0.007197490346322555,0.14636644651122754,0.05937632648798319,True,True,1,62,2017-10-25,V61_RUSH,consumer_discretionary,2016-2019,,
AMZN,AMZN-V61-004,2017-11-28,2017-11-28,HEALTHY_RUSH,CONTINUATION,-0.049974899036658416,0.36529829736524033,0.36529829736524033,True,True,4,126,2018-05-31,V61_RUSH,consumer_discretionary,2016-2019,,
