signal_date,ticker,state,horizon_months,outcome_end,forward_return,forward_trough_return,fold_id,group
2020-08-31,AMT,BREAKING_RUSH,1,2020-09-30,-0.025075624062,-0.0539435946263,F01,TREATMENT
2021-06-30,AMT,HEALTHY_RUSH,1,2021-07-31,0.046864174748,0.000703183252672,F01,CONTROL
2020-08-31,PG,EXTENDING_RUSH,3,2020-11-30,0.00947774450959,-0.0172777390598,F01,CONTROL
2021-01-31,PG,BREAKING_RUSH,3,2021-04-30,0.0472941235673,-0.0472662370591,F01,TREATMENT
2020-08-31,TMUS,HEALTHY_RUSH,3,2020-11-30,0.139355560898,-0.0658209766161,F01,CONTROL
2021-02-28,TMUS,BREAKING_RUSH,3,2021-05-31,0.17904486766,-0.0113361693409,F01,TREATMENT
2020-08-31,AMT,BREAKING_RUSH,6,2021-02-28,-0.123444387575,-0.128473543401,F01,TREATMENT
2020-08-31,CRM,EXTENDING_RUSH,6,2021-02-28,-0.205941683525,-0.218265108828,F01,CONTROL
2020-08-31,PG,EXTENDING_RUSH,6,2021-02-28,-0.0966159677135,-0.0966159677135,F01,CONTROL
2020-08-31,TMUS,HEALTHY_RUSH,6,2021-02-28,0.0281967314231,-0.0658209766161,F01,CONTROL
2020-08-31,CRM,EXTENDING_RUSH,3,2020-11-30,-0.0984779197737,-0.148102002792,F01,CONTROL
2020-08-31,AMT,BREAKING_RUSH,3,2020-11-30,-0.0675442593034,-0.080208017751,F01,TREATMENT
2020-08-31,PG,EXTENDING_RUSH,1,2020-09-30,0.00477101349578,-0.0172777390598,F01,CONTROL
2021-01-31,PG,BREAKING_RUSH,1,2021-02-28,-0.03650281873,-0.03650281873,F01,TREATMENT
2020-08-31,CRM,EXTENDING_RUSH,1,2020-09-30,-0.0782321583819,-0.134458074465,F01,CONTROL
2020-11-30,CRM,BREAKING_RUSH,1,2020-12-31,-0.0946705416031,-0.104353266447,F01,TREATMENT
2020-08-31,TMUS,HEALTHY_RUSH,1,2020-09-30,-0.01988340006,-0.0658209766161,F01,CONTROL
2020-11-30,TMUS,HEALTHY_RUSH,1,2020-12-31,0.0143672734704,-0.0269295450766,F01,CONTROL
2021-02-28,TMUS,BREAKING_RUSH,1,2021-03-31,0.0443444410226,-0.0113361693409,F01,TREATMENT
2021-05-31,TMUS,HEALTHY_RUSH,1,2021-06-30,0.0238954488676,-0.00332298911922,F01,CONTROL
2020-09-30,NKE,EXTENDING_RUSH,1,2020-10-31,-0.0434922254654,-0.0434922254654,F01,CONTROL
2021-03-31,NKE,BREAKING_RUSH,1,2021-04-30,-0.002031567057,-0.0434943721977,F01,TREATMENT
2021-06-30,NKE,EXTENDING_RUSH,1,2021-07-31,0.084276940698,0.0218781791722,F01,CONTROL
2020-09-30,ORCL,HEALTHY_RUSH,3,2020-12-31,0.0879724453866,-0.0650736384971,F01,CONTROL
2021-02-28,ORCL,EXTENDING_RUSH,3,2021-05-31,0.225866974561,0.0170513705211,F01,CONTROL
2020-09-30,SHW,EXTENDING_RUSH,3,2020-12-31,0.0567301486644,-0.0378334217734,F01,CONTROL
2021-02-28,SHW,BREAKING_RUSH,3,2021-05-31,0.252692087851,-0.0305434561353,F01,TREATMENT
2020-09-30,UNP,EXTENDING_RUSH,3,2020-12-31,0.0626259208486,-0.119368330235,F01,CONTROL
2020-09-30,MCD,EXTENDING_RUSH,1,2020-10-31,-0.029568386152,-0.029568386152,F01,CONTROL
2020-09-30,ABBV,BREAKING_RUSH,1,2020-10-31,-0.0151967869808,-0.0685452343949,F01,TREATMENT
2020-11-30,ABBV,EXTENDING_RUSH,1,2020-12-31,0.0245743322936,-0.0170205385677,F01,CONTROL
2020-09-30,APD,EXTENDING_RUSH,1,2020-10-31,-0.0725846195978,-0.0835295063831,F01,CONTROL
2020-09-30,AVGO,EXTENDING_RUSH,1,2020-10-31,-0.0403216059014,-0.0469640950125,F01,CONTROL
2021-02-28,AVGO,HEALTHY_RUSH,1,2021-03-31,-0.00550274930732,-0.103475433931,F01,CONTROL
2020-09-30,ABBV,BREAKING_RUSH,6,2021-03-31,0.26700220571,-0.0685452343949,F01,TREATMENT
2020-09-30,APD,EXTENDING_RUSH,6,2021-03-31,-0.0457053020004,-0.145882376741,F01,CONTROL
2020-09-30,AVGO,EXTENDING_RUSH,6,2021-03-31,0.293549598472,-0.0469640950125,F01,CONTROL
2020-09-30,COST,EXTENDING_RUSH,6,2021-03-31,0.0228831054943,-0.0962714799178,F01,CONTROL
2020-09-30,MCD,EXTENDING_RUSH,6,2021-03-31,0.0335755976511,-0.0554224107087,F01,CONTROL
2020-09-30,NKE,EXTENDING_RUSH,6,2021-03-31,0.0628331211585,-0.0434922254654,F01,CONTROL
2020-09-30,ORCL,HEALTHY_RUSH,6,2021-03-31,0.184652154433,-0.0650736384971,F01,CONTROL
2020-09-30,SHW,EXTENDING_RUSH,6,2021-03-31,0.0637949937287,-0.0492856774693,F01,CONTROL
2020-09-30,UNP,EXTENDING_RUSH,6,2021-03-31,0.130027223018,-0.119368330235,F01,CONTROL
2020-09-30,NKE,EXTENDING_RUSH,3,2020-12-31,0.129159136093,-0.0434922254654,F01,CONTROL
2021-03-31,NKE,BREAKING_RUSH,3,2021-06-30,0.164886584689,-0.0434943721977,F01,TREATMENT
2020-09-30,MCD,EXTENDING_RUSH,3,2020-12-31,-0.01655915352,-0.0478159937519,F01,CONTROL
2020-09-30,COST,EXTENDING_RUSH,1,2020-10-31,0.00931633508074,2.82906208664e-05,F01,CONTROL
2021-02-28,COST,BREAKING_RUSH,1,2021-03-31,0.0648943817853,-0.0591540533562,F01,TREATMENT
