ticker,cik,company,mapped_security_intervals,observed_security_quarters,interval_quarters,interval_coverage,status
A,0001090872,Agilent Technologies,1,69,69,1.0,MAPPED
AAPL,0000320193,Apple Inc.,1,80,157,0.509554,MAPPED
ABBV,0001551152,AbbVie,1,60,157,0.382166,MAPPED
ABT,0000001800,Abbott Laboratories,1,79,79,1.0,MAPPED
ACGL,0000947484,Arch Capital Group,1,73,73,1.0,MAPPED
ACN,0001467373,Accenture,2,78,78,1.0,MAPPED
ADBE,0000796343,Adobe Inc.,1,80,157,0.509554,MAPPED
ADI,0000006281,Analog Devices,1,78,78,1.0,MAPPED
ADM,0000007084,Archer Daniels Midland,1,77,79,0.974684,MAPPED
ADP,0000008670,Automatic Data Processing,1,72,157,0.458599,MAPPED
ADSK,0000769397,Autodesk,1,78,78,1.0,MAPPED
AEE,0001002910,Ameren,1,78,78,1.0,MAPPED
AEP,0000004904,American Electric Power,1,69,69,1.0,MAPPED
AES,0000874761,AES Corporation,1,77,78,0.987179,MAPPED
AFL,0000004977,Aflac,1,78,78,1.0,MAPPED
AIG,0000005272,American International Group,1,79,79,1.0,MAPPED
AIZ,0001267238,Assurant,1,78,78,1.0,MAPPED
AJG,0000354190,Arthur J. Gallagher & Co.,1,69,69,1.0,MAPPED
AKAM,0001086222,Akamai Technologies,1,69,69,1.0,MAPPED
ALB,0000915913,Albemarle Corporation,1,60,65,0.923077,MAPPED
ALGN,0001097149,Align Technology,1,69,69,1.0,MAPPED
ALL,0000899051,Allstate,1,78,78,1.0,MAPPED
AMAT,0000006951,Applied Materials,1,79,79,1.0,MAPPED
AMD,0000002488,Advanced Micro Devices,1,70,157,0.44586,MAPPED
AME,0001037868,Ametek,1,70,70,1.0,MAPPED
AMGN,0000318154,Amgen,1,79,79,1.0,MAPPED
AMP,0000820027,Ameriprise Financial,1,76,77,0.987013,MAPPED
AMT,0001053507,American Tower,1,60,79,0.759494,MAPPED
AMZN,0001018724,Amazon,1,80,157,0.509554,MAPPED
AON,0000315293,Aon plc,3,70,70,1.0,MAPPED
AOS,0000091142,A. O. Smith,1,69,77,0.896104,MAPPED
APA,0001841666,APA Corporation,1,30,59,0.508475,MAPPED
APD,0000002969,Air Products,1,76,78,0.974359,MAPPED
APH,0000820313,Amphenol,1,78,78,1.0,MAPPED
APO,0001858681,Apollo Global Management,3,53,53,1.0,MAPPED
APTV,0001521332,Aptiv,3,58,65,0.892308,MAPPED
ARE,0001035443,Alexandria Real Estate Equities,1,72,97,0.742268,MAPPED
ATO,0000731802,Atmos Energy,1,70,70,1.0,MAPPED
AVB,0000915912,AvalonBay Communities,1,70,70,1.0,MAPPED
AVGO,0001730168,Broadcom,3,79,79,1.0,MAPPED
AVY,0000008818,Avery Dennison,1,78,78,1.0,MAPPED
AWK,0001410636,American Water Works,1,69,69,1.0,MAPPED
AXON,0001069183,Axon Enterprise,2,63,65,0.969231,MAPPED
AXP,0000004962,American Express,1,78,78,1.0,MAPPED
AZO,0000866787,AutoZone,1,78,78,1.0,MAPPED
BA,0000012927,Boeing,1,79,157,0.503185,MAPPED
BAC,0000070858,Bank of America,1,78,78,1.0,MAPPED
BALL,0000009389,Ball Corporation,1,78,78,1.0,MAPPED
BAX,0000010456,Baxter International,1,79,79,1.0,MAPPED
BBY,0000764478,Best Buy,1,78,78,1.0,MAPPED
BDX,0000010795,Becton Dickinson,1,80,157,0.509554,MAPPED
BEN,0000038777,Franklin Resources,1,74,77,0.961039,MAPPED
BF-B,0000014693,Brown–Forman,1,70,70,1.0,MAPPED
BG,0001996862,Bunge Global,1,12,12,1.0,MAPPED
BIIB,0000875045,Biogen,1,79,79,1.0,MAPPED
BKNG,0001075531,Booking Holdings,2,74,78,0.948718,MAPPED
BKR,0001701605,Baker Hughes,2,78,78,1.0,MAPPED
BLDR,0001316835,Builders FirstSource,1,57,57,1.0,MAPPED
BLK,0002012383,BlackRock,2,70,79,0.886076,MAPPED
BMY,0000014272,Bristol Myers Squibb,1,74,79,0.936709,MAPPED
BNY,0001390777,BNY Mellon,1,75,75,1.0,MAPPED
BR,0001383312,Broadridge Financial Solutions,1,69,69,1.0,MAPPED
BRK-B,0001067983,Berkshire Hathaway,2,71,157,0.452229,MAPPED
BRO,0000079282,Brown & Brown,1,62,69,0.898551,MAPPED
BSX,0000885725,Boston Scientific,1,70,79,0.886076,MAPPED
BX,0001393818,Blackstone Inc.,4,30,40,0.75,MAPPED
BXP,0001037540,"BXP, Inc.",1,94,97,0.969072,MAPPED
C,0000831001,Citigroup,2,80,157,0.509554,MAPPED
CAH,0000721371,Cardinal Health,1,78,78,1.0,MAPPED
CASY,0000726958,Casey's,1,69,69,1.0,MAPPED
CAT,0000018230,Caterpillar Inc.,1,80,157,0.509554,MAPPED
CB,0000896159,Chubb Limited,2,78,78,1.0,MAPPED
CBOE,0001374310,Cboe Global Markets,1,59,59,1.0,MAPPED
CBRE,0001138118,CBRE Group,2,63,88,0.715909,MAPPED
CCI,0001051470,Crown Castle,2,70,79,0.886076,MAPPED
CCL,0000815097,Carnival Corporation,1,60,60,1.0,MAPPED
CDNS,0000813672,Cadence Design Systems,1,59,59,1.0,MAPPED
CF,0001324404,CF Industries,1,73,73,1.0,MAPPED
CHD,0000313927,Church & Dwight,1,70,70,1.0,MAPPED
CHRW,0001043277,C.H. Robinson,1,69,69,1.0,MAPPED
CHTR,0001091667,Charter Communications,2,28,56,0.5,MAPPED
CI,0001739940,Cigna,2,76,78,0.974359,MAPPED
CIEN,0000936395,Ciena,1,69,69,1.0,MAPPED
CINF,0000020286,Cincinnati Financial,1,65,65,1.0,MAPPED
CL,0000021665,Colgate-Palmolive,1,79,79,1.0,MAPPED
CLX,0000021076,Clorox,1,78,78,1.0,MAPPED
CMCSA,0001166691,Comcast,1,71,79,0.898734,MAPPED
CME,0001156375,CME Group,1,76,79,0.962025,MAPPED
CMG,0001058090,Chipotle Mexican Grill,1,66,68,0.970588,MAPPED
CMI,0000026172,Cummins,1,78,78,1.0,MAPPED
CMS,0000811156,CMS Energy,1,69,69,1.0,MAPPED
CNC,0001071739,Centene Corporation,1,67,78,0.858974,MAPPED
CNP,0001130310,CenterPoint Energy,1,70,75,0.933333,MAPPED
COF,0000927628,Capital One,1,69,69,1.0,MAPPED
COHR,0000820318,Coherent Corp.,3,65,69,0.942029,MAPPED
COO,0000711404,Cooper Companies (The),2,63,63,1.0,MAPPED
COP,0001163165,ConocoPhillips,1,79,79,1.0,MAPPED
COR,0001140859,Cencora,1,78,78,1.0,MAPPED
COST,0000909832,Costco,1,78,78,1.0,MAPPED
CPAY,0001175454,Corpay,2,57,57,1.0,MAPPED
CPRT,0000900075,Copart,1,68,68,1.0,MAPPED
CPT,0000906345,Camden Property Trust,1,72,78,0.923077,MAPPED
CRH,0000849395,CRH plc,2,65,71,0.915493,MAPPED
CRL,0001100682,Charles River Laboratories,1,60,69,0.869565,MAPPED
CRM,0001108524,Salesforce,1,76,78,0.974359,MAPPED
CSCO,0000858877,Cisco,1,80,157,0.509554,MAPPED
CSGP,0001057352,CoStar Group,1,63,70,0.9,MAPPED
CSX,0000277948,CSX Corporation,1,79,79,1.0,MAPPED
CTAS,0000723254,Cintas,1,78,78,1.0,MAPPED
CTSH,0001058290,Cognizant,1,66,66,1.0,MAPPED
CVS,0000064803,CVS Health,1,80,157,0.509554,MAPPED
CVX,0000093410,Chevron Corporation,1,80,157,0.509554,MAPPED
D,0000715957,Dominion Energy,1,78,157,0.496815,MAPPED
DAL,0000027904,Delta Air Lines,1,65,65,1.0,MAPPED
DD,0001666700,DuPont,3,55,79,0.696203,MAPPED
DE,0000315189,Deere & Company,1,78,78,1.0,MAPPED
DECK,0000910521,Deckers Brands,1,75,78,0.961538,MAPPED
DG,0000029534,Dollar General,1,66,66,1.0,MAPPED
DGX,0001022079,Quest Diagnostics,1,78,78,1.0,MAPPED
DHI,0000882184,D. R. Horton,1,69,69,1.0,MAPPED
DHR,0000313616,Danaher Corporation,1,79,79,1.0,MAPPED
DIS,0001744489,Walt Disney Company (The),1,79,157,0.503185,MAPPED
DLR,0001297996,Digital Realty,1,79,86,0.918605,MAPPED
DLTR,0000935703,Dollar Tree,1,73,73,1.0,MAPPED
DOC,0000765880,Healthpeak Properties,2,72,75,0.96,MAPPED
DOV,0000029905,Dover Corporation,1,79,79,1.0,MAPPED
DPZ,0001286681,Domino's,1,59,59,1.0,MAPPED
DRI,0000940944,Darden Restaurants,1,78,78,1.0,MAPPED
DTE,0000936340,DTE Energy,1,79,79,1.0,MAPPED
DUK,0001326160,Duke Energy,2,78,157,0.496815,MAPPED
DVA,0000927066,DaVita,1,78,78,1.0,MAPPED
DVN,0001090012,Devon Energy,1,79,79,1.0,MAPPED
DXCM,0001093557,Dexcom,1,62,63,0.984127,MAPPED
EA,0000712515,Electronic Arts,1,79,79,1.0,MAPPED
EBAY,0001065088,eBay Inc.,1,78,78,1.0,MAPPED
ECHO,0001415404,EchoStar,1,69,69,1.0,MAPPED
ECL,0000031462,Ecolab,1,78,78,1.0,MAPPED
ED,0001047862,Consolidated Edison,1,71,157,0.452229,MAPPED
EFX,0000033185,Equifax,1,78,78,1.0,MAPPED
EG,0001095073,Everest Group,1,69,69,1.0,MAPPED
EIX,0000827052,Edison International,1,79,79,1.0,MAPPED
EL,0001001250,Estée Lauder Companies (The),1,78,78,1.0,MAPPED
ELV,0001156039,Elevance Health,2,78,78,1.0,MAPPED
EME,0000105634,Emcor,1,73,73,1.0,MAPPED
EMR,0000032604,Emerson Electric,1,78,78,1.0,MAPPED
EOG,0000821189,EOG Resources,1,78,78,1.0,MAPPED
EQIX,0001101239,Equinix,2,64,66,0.969697,MAPPED
EQR,0000906107,Equity Residential,1,93,97,0.958763,MAPPED
EQT,0000033213,EQT Corporation,1,69,69,1.0,MAPPED
ERIE,0000922621,Erie Indemnity,1,63,63,1.0,MAPPED
