ticker,active_report_periods,nonzero_report_periods,nonzero_fraction,evaluation_eligible
A,52,52,1.0,true
AAPL,52,52,1.0,true
ABBV,52,52,1.0,true
ABT,52,52,1.0,true
ACGL,52,52,1.0,true
ACN,52,52,1.0,true
ADBE,52,52,1.0,true
ADI,52,52,1.0,true
ADM,52,52,1.0,true
ADP,52,52,1.0,true
ADSK,52,52,1.0,true
AEE,52,52,1.0,true
AEP,52,52,1.0,true
AES,52,52,1.0,true
AFL,52,52,1.0,true
AIG,52,52,1.0,true
AIZ,52,52,1.0,true
AJG,52,52,1.0,true
AKAM,52,52,1.0,true
ALB,52,52,1.0,true
ALGN,52,52,1.0,true
ALL,52,52,1.0,true
AMAT,52,52,1.0,true
AMD,52,52,1.0,true
AME,52,52,1.0,true
AMGN,52,52,1.0,true
AMP,52,52,1.0,true
AMT,52,52,1.0,true
AMZN,52,52,1.0,true
AON,52,52,1.0,true
AOS,52,52,1.0,true
APA,52,21,0.4038461538,false
APD,52,52,1.0,true
APH,52,52,1.0,true
APO,52,52,1.0,true
APTV,52,52,1.0,true
ARE,52,52,1.0,true
ATO,52,52,1.0,true
AVB,52,52,1.0,true
AVGO,52,52,1.0,true
AVY,52,52,1.0,true
AWK,52,52,1.0,true
AXON,52,52,1.0,true
AXP,52,52,1.0,true
AZO,52,52,1.0,true
BA,52,52,1.0,true
BAC,52,52,1.0,true
BALL,52,52,1.0,true
BAX,52,52,1.0,true
BBY,52,52,1.0,true
BDX,52,52,1.0,true
BEN,52,52,1.0,true
BF-B,52,52,1.0,true
BG,12,11,0.9166666667,true
BIIB,52,52,1.0,true
BKNG,52,52,1.0,true
BKR,52,52,1.0,true
BLDR,52,52,1.0,true
BLK,52,52,1.0,true
BMY,52,52,1.0,true
BNY,52,52,1.0,true
BR,52,52,1.0,true
BRK-B,52,52,1.0,true
BRO,52,52,1.0,true
BSX,52,52,1.0,true
BX,40,40,1.0,true
BXP,52,52,1.0,true
C,52,52,1.0,true
CAH,52,52,1.0,true
CASY,52,52,1.0,true
CAT,52,52,1.0,true
CB,52,52,1.0,true
CBOE,52,52,1.0,true
CBRE,52,52,1.0,true
