sample_id,stratum,first_event_amendment,accession_number,manager_cik,manager_name,report_period,filing_date,conservative_availability_date,submission_type,amendment_type,amendment_operation,amendment_usable,ticker,issuer_cik,cusip,expected_issuer_names,expected_class_titles,expected_reported_value,expected_reported_shares,expected_investment_discretions,expected_voting_sole,expected_voting_shared,expected_voting_none,source_url,source_sha256,source_bytes,acceptance_datetime,exact_availability_date,validation_status,mismatch_fields,validation_error
13FSR-0001,REPLACE_SNAPSHOT_FROM_AVAILABILITY__E1_2013_2016,false,0000038777-16-000501,0000038777,FRANKLIN RESOURCES INC,2015-12-31,2016-04-27,2016-04-28,13F-HR/A,RESTATEMENT,REPLACE_SNAPSHOT_FROM_AVAILABILITY,1,PG,0000080424,742718109,PROCTER & GAMBLE CO,COM,581956,7328436,DFND,7266469,0,61967,https://www.sec.gov/Archives/edgar/data/38777/000003877716000501/0000038777-16-000501.txt,c4534eedb2d01272b17eb7d33dfe489113f89ee993df25fccb9ffc3c3e7c4e83,1744854,2016-04-27T12:06:07Z,2016-04-28,VALID,,
13FSR-0002,INITIAL_SNAPSHOT__E1_2013_2016,false,0000051762-16-000007,0000051762,RNC CAPITAL MANAGEMENT LLC,2015-12-31,2016-01-13,2016-01-14,13F-HR,,INITIAL_SNAPSHOT,1,EIX,0000827052,281020107,EDISON INTERNATIONAL,COM,439,7412,SOLE,7412,0,0,https://www.sec.gov/Archives/edgar/data/51762/000005176216000007/0000051762-16-000007.txt,0a935a0cb09a1c777cb7123a01f9876a93435f652d5e42d56665643fd01cff2e,64168,2016-01-12T19:57:18Z,2016-01-13,VALID,,
13FSR-0003,ADD_NEW_HOLDINGS_FROM_AVAILABILITY__E3_2021_2022,false,0000354204-21-000648,0000354204,DIMENSIONAL FUND ADVISORS LP,2020-12-31,2021-02-25,2021-02-26,13F-HR/A,NEW HOLDINGS,ADD_NEW_HOLDINGS_FROM_AVAILABILITY,1,AEE,0001002910,023608102,AMEREN CORP,COM,63945,819252,DFND,726955,0,92297,https://www.sec.gov/Archives/edgar/data/354204/000035420421000648/0000354204-21-000648.txt,9947a6de80a3987f539243569dd8e6b93bd2ca83af1911867476ec985c2c325c,1920292,2021-02-25T15:32:59Z,2021-02-26,VALID,,
13FSR-0004,INITIAL_SNAPSHOT__E1_2013_2016,false,0000764068-15-000025,0000764068,Legal & General Group Plc,2015-03-31,2015-05-14,2015-05-15,13F-HR,,INITIAL_SNAPSHOT,1,BA,0000012927,097023105,BOEING CO,COM,372832,2484099,DFND,2315702,0,168397,https://www.sec.gov/Archives/edgar/data/764068/000076406815000025/0000764068-15-000025.txt,27aa64edbf0378d1cd018c713e871c6e32114e15a4f6f8cde3ea0254b4233f50,1612533,2015-05-14T12:09:44Z,2015-05-15,VALID,,
13FSR-0005,INITIAL_SNAPSHOT__E3_2021_2022,false,0000850529-21-000006,0000850529,"Fisher Asset Management, LLC",2021-06-30,2021-07-27,2021-07-28,13F-HR,,INITIAL_SNAPSHOT,1,VRTX,0000875320,92532F100,VERTEX PHARMACEUTICALS INC,COM,5043,25013,DFND,7404,0,17609,https://www.sec.gov/Archives/edgar/data/850529/000085052921000006/0000850529-21-000006.txt,8be862c32086b81e91efbbb660846cf2fda0a38fe21bfa1053061372a7a63d1a,538576,2021-07-27T10:06:39Z,2021-07-28,VALID,,
13FSR-0006,EXCLUDE_UNKNOWN_AMENDMENT_SEMANTICS__E2_2017_2020,false,0000872573-17-000012,0000872573,CAXTON ASSOCIATES LP,2017-06-30,2017-08-29,2017-08-30,13F-HR/A,,EXCLUDE_UNKNOWN_AMENDMENT_SEMANTICS,0,BAX,0000010456,071813109,BAXTER INTL INC,COM,654,10800,SOLE,10800,0,0,https://www.sec.gov/Archives/edgar/data/872573/000087257317000012/0000872573-17-000012.txt,0f8aa76b6cf5df3fb3d54f3f5bd351e6851d0f4e72a721623fc50871a949ec47,198761,2017-08-29T15:45:42Z,2017-08-30,VALID,,
13FSR-0007,REPLACE_SNAPSHOT_FROM_AVAILABILITY__E1_2013_2016,false,0000878228-16-000022,0000878228,WENDELL DAVID ASSOCIATES INC,2016-09-30,2016-10-18,2016-10-19,13F-HR/A,RESTATEMENT,REPLACE_SNAPSHOT_FROM_AVAILABILITY,1,AMGN,0000318154,031162100,Amgen,COMM,2085,12500,OTR,0,0,12500,https://www.sec.gov/Archives/edgar/data/878228/000087822816000022/0000878228-16-000022.txt,f752dd5bd32a6b001597caaf6a9cf5c0afa04a5d3f4ede1e8e699ef58cca6920,66473,2016-10-18T15:42:55Z,2016-10-19,VALID,,
13FSR-0008,INITIAL_SNAPSHOT__E1_2013_2016,false,0000883724-15-000008,0000883724,PORTOLA GROUP INC /CA,2014-03-31,2015-03-02,2015-03-03,13F-HR,,INITIAL_SNAPSHOT,1,NEM,0001164727,651639106,NEWMONT MINING CORP,COM,742,31650,DFND,0,0,31650,https://www.sec.gov/Archives/edgar/data/883724/000088372415000008/0000883724-15-000008.txt,f407ce6f26234d677284725cb0e013f3aa0aaf79c556716c795caace90a05bf1,35788,2015-02-27T18:51:43Z,2015-03-02,VALID,,
13FSR-0009,INITIAL_SNAPSHOT__E1_2013_2016,false,0000884548-16-000014,0000884548,CONNORS INVESTOR SERVICES INC,2016-03-31,2016-05-12,2016-05-13,13F-HR,,INITIAL_SNAPSHOT,1,DLTR,0000935703,256746108,DOLLAR TREE,COM,263,3400,SOLE,3400,0,0,https://www.sec.gov/Archives/edgar/data/884548/000088454816000014/0000884548-16-000014.txt,e860bb614c09a955b0f913551fb14b55217965d80c4c8951b17f761b13be8a82,82882,2016-05-12T15:50:10Z,2016-05-13,VALID,,
13FSR-0010,INITIAL_SNAPSHOT__E3_2021_2022,false,0000884548-22-000001,0000884548,CONNORS INVESTOR SERVICES INC,2021-12-31,2022-02-15,2022-02-16,13F-HR,,INITIAL_SNAPSHOT,1,XOM,0000034088,30231G102,EXXONMOBIL,COM,268,4387,SOLE,4387,0,0,https://www.sec.gov/Archives/edgar/data/884548/000088454822000001/0000884548-22-000001.txt,4c272d6d4a7112b20feff525c13589a3d73cb2490411279437bfe9c7d36ee2bc,88605,2022-02-15T17:25:21Z,2022-02-16,VALID,,
13FSR-0011,INITIAL_SNAPSHOT__E2_2017_2020,false,0000902664-18-000941,0001611519,PARUS FINANCE (UK) Ltd,2017-12-31,2018-02-13,2018-02-14,13F-HR,,INITIAL_SNAPSHOT,1,AAPL,0000320193,037833100,APPLE INC,COM,45025,287865,SOLE,287865,0,0,https://www.sec.gov/Archives/edgar/data/1611519/000090266418000941/0000902664-18-000941.txt,5d201323062e5aad954c05ae2d306bc1c33a336e8c0dd67f4a7fb3f93f2f7769,11693,2018-02-13T12:25:33Z,2018-02-14,VALID,,
