cik,universe_tickers,official_sec_tickers,issuer_alias,normalized_alias,token_signature,source_files,source_authority
0000001800,ABT,ABT,ABBOTT LABORATORIES,ABBOTT LABORATORIES,ABBOTT LABORATORIES,data/reference/sec/sec-guidance-v5-broad-meta-120-20260722/raw/CIK0000001800-submissions.json#4d3ae69233b7870adeb09a0657b5120d6298da320accd86f91b76c2e9322eb76,SEC_SUBMISSIONS_JSON
0000001800,ABT,ABT,Abbott Laboratories,ABBOTT LABORATORIES,ABBOTT LABORATORIES,data/reference/sec/sec-guidance-v5-broad-meta-120-20260722/raw/CIK0000001800-submissions.json#4d3ae69233b7870adeb09a0657b5120d6298da320accd86f91b76c2e9322eb76,SEC_SUBMISSIONS_JSON
0000002488,AMD,AMD,ADVANCED MICRO DEVICES INC,ADVANCED MICRO DEVICES,ADVANCED DEVICES MICRO,data/reference/sec/sec-guidance-v7-independent-meta-201-20260722/raw/CIK0000002488-submissions.json#508725355e9182ae538e6728e1ca5942827b2d44bf029d8988da8631f79b6506,SEC_SUBMISSIONS_JSON
0000002488,AMD,AMD,Advanced Micro Devices,ADVANCED MICRO DEVICES,ADVANCED DEVICES MICRO,data/reference/sec/sec-guidance-v7-independent-meta-201-20260722/raw/CIK0000002488-submissions.json#508725355e9182ae538e6728e1ca5942827b2d44bf029d8988da8631f79b6506,SEC_SUBMISSIONS_JSON
0000002969,APD,APD,AIR PRODUCTS & CHEMICALS INC /DE/,AIR PRODUCTS CHEMICALS,AIR CHEMICALS PRODUCTS,data/reference/sec/sec-pit-price50-20120103-20260717-20260721/raw/CIK0000002969-submissions.json#4bbf6516db578f9b9685b9f9d2680f71e38596e386e4c321f62242e916f1c3f0|data/reference/sec/sec-pit-price51-20160718-20260717-20260721/raw/CIK0000002969-submissions.json#4bbf6516db578f9b9685b9f9d2680f71e38596e386e4c321f62242e916f1c3f0,SEC_SUBMISSIONS_JSON
0000002969,APD,APD,Air Products,AIR PRODUCTS,AIR PRODUCTS,data/reference/sec/sec-pit-price50-20120103-20260717-20260721/raw/CIK0000002969-submissions.json#4bbf6516db578f9b9685b9f9d2680f71e38596e386e4c321f62242e916f1c3f0|data/reference/sec/sec-pit-price51-20160718-20260717-20260721/raw/CIK0000002969-submissions.json#4bbf6516db578f9b9685b9f9d2680f71e38596e386e4c321f62242e916f1c3f0,SEC_SUBMISSIONS_JSON
0000002969,APD,APD,"Air Products & Chemicals, Inc.",AIR PRODUCTS CHEMICALS,AIR CHEMICALS PRODUCTS,data/reference/sec/sec-pit-price50-20120103-20260717-20260721/raw/CIK0000002969-submissions.json#4bbf6516db578f9b9685b9f9d2680f71e38596e386e4c321f62242e916f1c3f0|data/reference/sec/sec-pit-price51-20160718-20260717-20260721/raw/CIK0000002969-submissions.json#4bbf6516db578f9b9685b9f9d2680f71e38596e386e4c321f62242e916f1c3f0,SEC_SUBMISSIONS_JSON
0000004127,SWKS,SWKS,ALPHA INDUSTRIES INC,ALPHA INDUSTRIES,ALPHA INDUSTRIES,data/reference/sec/sec-guidance-v7-independent-meta-201-20260722/raw/CIK0000004127-submissions.json#76e88bff548470af4f94229823c9e18ba3ea3a194bdad3b2dee4c3854ef7739b,SEC_SUBMISSIONS_JSON
0000004127,SWKS,SWKS,SKYWORKS SOLUTIONS INC,SKYWORKS SOLUTIONS,SKYWORKS SOLUTIONS,data/reference/sec/sec-guidance-v7-independent-meta-201-20260722/raw/CIK0000004127-submissions.json#76e88bff548470af4f94229823c9e18ba3ea3a194bdad3b2dee4c3854ef7739b,SEC_SUBMISSIONS_JSON
0000004127,SWKS,SWKS,"SKYWORKS SOLUTIONS, INC.",SKYWORKS SOLUTIONS,SKYWORKS SOLUTIONS,data/reference/sec/sec-guidance-v7-independent-meta-201-20260722/raw/CIK0000004127-submissions.json#76e88bff548470af4f94229823c9e18ba3ea3a194bdad3b2dee4c3854ef7739b,SEC_SUBMISSIONS_JSON
0000004127,SWKS,SWKS,Skyworks Solutions,SKYWORKS SOLUTIONS,SKYWORKS SOLUTIONS,data/reference/sec/sec-guidance-v7-independent-meta-201-20260722/raw/CIK0000004127-submissions.json#76e88bff548470af4f94229823c9e18ba3ea3a194bdad3b2dee4c3854ef7739b,SEC_SUBMISSIONS_JSON
0000004904,AEP,AEP,AMERICAN ELECTRIC POWER CO INC,AMERICAN ELECTRIC POWER,AMERICAN ELECTRIC POWER,data/reference/sec/sec-guidance-v6-third-wave-meta-30-20260722/raw/CIK0000004904-submissions.json#1b280756b4339c28e3d680f1a0c65f1f10cf949667bd3383104de08579675b09,SEC_SUBMISSIONS_JSON
0000004904,AEP,AEP,AMERICAN ELECTRIC POWER COMPANY INC,AMERICAN ELECTRIC POWER,AMERICAN ELECTRIC POWER,data/reference/sec/sec-guidance-v6-third-wave-meta-30-20260722/raw/CIK0000004904-submissions.json#1b280756b4339c28e3d680f1a0c65f1f10cf949667bd3383104de08579675b09,SEC_SUBMISSIONS_JSON
0000004904,AEP,AEP,American Electric Power,AMERICAN ELECTRIC POWER,AMERICAN ELECTRIC POWER,data/reference/sec/sec-guidance-v6-third-wave-meta-30-20260722/raw/CIK0000004904-submissions.json#1b280756b4339c28e3d680f1a0c65f1f10cf949667bd3383104de08579675b09,SEC_SUBMISSIONS_JSON
0000004962,AXP,AXP,AMERICAN EXPRESS CO,AMERICAN EXPRESS,AMERICAN EXPRESS,data/reference/sec/sec-guidance-v7-independent-meta-201-20260722/raw/CIK0000004962-submissions.json#f6109db827ed819002dae61fe2580e0c02d903db881b4fa3c250fce1b813e6d8,SEC_SUBMISSIONS_JSON
0000004962,AXP,AXP,American Express,AMERICAN EXPRESS,AMERICAN EXPRESS,data/reference/sec/sec-guidance-v7-independent-meta-201-20260722/raw/CIK0000004962-submissions.json#f6109db827ed819002dae61fe2580e0c02d903db881b4fa3c250fce1b813e6d8,SEC_SUBMISSIONS_JSON
0000004977,AFL,AFL,AFLAC INC,AFLAC,AFLAC,data/reference/sec/sec-guidance-v7-independent-meta-201-20260722/raw/CIK0000004977-submissions.json#51d58c80c50f22e7c8ad42e9a83d2e703e31d08d1eef3714a4cd0972a7c60cdd,SEC_SUBMISSIONS_JSON
0000004977,AFL,AFL,Aflac,AFLAC,AFLAC,data/reference/sec/sec-guidance-v7-independent-meta-201-20260722/raw/CIK0000004977-submissions.json#51d58c80c50f22e7c8ad42e9a83d2e703e31d08d1eef3714a4cd0972a7c60cdd,SEC_SUBMISSIONS_JSON
0000005272,AIG,AIG,AMERICAN INTERNATIONAL GROUP INC,AMERICAN INTL GROUP,AMERICAN GROUP INTL,data/reference/sec/sec-guidance-v5-broad-meta-120-20260722/raw/CIK0000005272-submissions.json#e3baa920a2edb873e70addccdc391d292a8f03d49ab74731619d8c5fce406ffa,SEC_SUBMISSIONS_JSON
0000005272,AIG,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",AMERICAN INTL GROUP,AMERICAN GROUP INTL,data/reference/sec/sec-guidance-v5-broad-meta-120-20260722/raw/CIK0000005272-submissions.json#e3baa920a2edb873e70addccdc391d292a8f03d49ab74731619d8c5fce406ffa,SEC_SUBMISSIONS_JSON
0000005272,AIG,AIG,American International Group,AMERICAN INTL GROUP,AMERICAN GROUP INTL,data/reference/sec/sec-guidance-v5-broad-meta-120-20260722/raw/CIK0000005272-submissions.json#e3baa920a2edb873e70addccdc391d292a8f03d49ab74731619d8c5fce406ffa,SEC_SUBMISSIONS_JSON
0000006281,ADI,ADI,ANALOG DEVICES INC,ANALOG DEVICES,ANALOG DEVICES,data/reference/sec/sec-guidance-v7-independent-meta-201-20260722/raw/CIK0000006281-submissions.json#597684030dceadb165f445fbe526290e973c270f063fc3148a56c7285c0e111c,SEC_SUBMISSIONS_JSON
0000006281,ADI,ADI,Analog Devices,ANALOG DEVICES,ANALOG DEVICES,data/reference/sec/sec-guidance-v7-independent-meta-201-20260722/raw/CIK0000006281-submissions.json#597684030dceadb165f445fbe526290e973c270f063fc3148a56c7285c0e111c,SEC_SUBMISSIONS_JSON
0000006951,AMAT,AMAT,APPLIED MATERIALS INC /DE,APPLIED MATERIALS,APPLIED MATERIALS,data/reference/sec/sec-guidance-v5-broad-meta-120-20260722/raw/CIK0000006951-submissions.json#e18d7f0622d41157a6909e7ce40bc34802a2a8819f571b71d7e684fbb71cae6e,SEC_SUBMISSIONS_JSON
0000006951,AMAT,AMAT,Applied Materials,APPLIED MATERIALS,APPLIED MATERIALS,data/reference/sec/sec-guidance-v5-broad-meta-120-20260722/raw/CIK0000006951-submissions.json#e18d7f0622d41157a6909e7ce40bc34802a2a8819f571b71d7e684fbb71cae6e,SEC_SUBMISSIONS_JSON
0000007084,ADM,ADM,ARCHER DANIELS MIDLAND CO,ARCHER DANIELS MIDLAND,ARCHER DANIELS MIDLAND,data/reference/sec/sec-guidance-v5-broad-meta-120-20260722/raw/CIK0000007084-submissions.json#6022d2d1ce95bec07f154884c8eaf70afbc5d03103172db1956995a2d32e3eb2,SEC_SUBMISSIONS_JSON
0000007084,ADM,ADM,Archer Daniels Midland,ARCHER DANIELS MIDLAND,ARCHER DANIELS MIDLAND,data/reference/sec/sec-guidance-v5-broad-meta-120-20260722/raw/CIK0000007084-submissions.json#6022d2d1ce95bec07f154884c8eaf70afbc5d03103172db1956995a2d32e3eb2,SEC_SUBMISSIONS_JSON
0000007084,ADM,ADM,Archer-Daniels-Midland Co,ARCHER DANIELS MIDLAND,ARCHER DANIELS MIDLAND,data/reference/sec/sec-guidance-v5-broad-meta-120-20260722/raw/CIK0000007084-submissions.json#6022d2d1ce95bec07f154884c8eaf70afbc5d03103172db1956995a2d32e3eb2,SEC_SUBMISSIONS_JSON
0000008670,ADP,ADP,AUTOMATIC DATA PROCESSING INC,AUTOMATIC DATA PROCESSING,AUTOMATIC DATA PROCESSING,data/reference/sec/sec-guidance-v5-broad-meta-120-20260722/raw/CIK0000008670-submissions.json#55bbd50f3766dd3a8af81fa3adaed77a631a5b1c2db44f848b7c9c7ae9ba7c8a,SEC_SUBMISSIONS_JSON
0000008670,ADP,ADP,Automatic Data Processing,AUTOMATIC DATA PROCESSING,AUTOMATIC DATA PROCESSING,data/reference/sec/sec-guidance-v5-broad-meta-120-20260722/raw/CIK0000008670-submissions.json#55bbd50f3766dd3a8af81fa3adaed77a631a5b1c2db44f848b7c9c7ae9ba7c8a,SEC_SUBMISSIONS_JSON
0000008818,AVY,AVY,AVERY DENNISON CORPORATION,AVERY DENNISON,AVERY DENNISON,data/reference/sec/sec-guidance-v6-third-wave-meta-30-20260722/raw/CIK0000008818-submissions.json#0231c572a5c6b8d8b5d305a0da01a32371506020a6aaf40755b61fd3330908cd,SEC_SUBMISSIONS_JSON
0000008818,AVY,AVY,Avery Dennison,AVERY DENNISON,AVERY DENNISON,data/reference/sec/sec-guidance-v6-third-wave-meta-30-20260722/raw/CIK0000008818-submissions.json#0231c572a5c6b8d8b5d305a0da01a32371506020a6aaf40755b61fd3330908cd,SEC_SUBMISSIONS_JSON
0000008818,AVY,AVY,Avery Dennison Corp,AVERY DENNISON,AVERY DENNISON,data/reference/sec/sec-guidance-v6-third-wave-meta-30-20260722/raw/CIK0000008818-submissions.json#0231c572a5c6b8d8b5d305a0da01a32371506020a6aaf40755b61fd3330908cd,SEC_SUBMISSIONS_JSON
0000009389,BALL,BALL,BALL Corp,BALL,BALL,data/reference/sec/sec-guidance-v7-independent-meta-201-20260722/raw/CIK0000009389-submissions.json#16fa53e6f2653d43f1da60104ee76713a5873f41846275c55e7e7c10bd6a8054,SEC_SUBMISSIONS_JSON
0000009389,BALL,BALL,Ball Corporation,BALL,BALL,data/reference/sec/sec-guidance-v7-independent-meta-201-20260722/raw/CIK0000009389-submissions.json#16fa53e6f2653d43f1da60104ee76713a5873f41846275c55e7e7c10bd6a8054,SEC_SUBMISSIONS_JSON
0000010456,BAX,BAX,BAXTER INTERNATIONAL INC,BAXTER INTL,BAXTER INTL,data/reference/sec/sec-guidance-v7-independent-meta-201-20260722/raw/CIK0000010456-submissions.json#b34e305d858166e25405ba6d25fe7739474561680393a795f4dc2fe9dfdbfb03,SEC_SUBMISSIONS_JSON
0000010456,BAX,BAX,Baxter International,BAXTER INTL,BAXTER INTL,data/reference/sec/sec-guidance-v7-independent-meta-201-20260722/raw/CIK0000010456-submissions.json#b34e305d858166e25405ba6d25fe7739474561680393a795f4dc2fe9dfdbfb03,SEC_SUBMISSIONS_JSON
0000010795,BDX,BDX,BECTON DICKINSON & CO,BECTON DICKINSON,BECTON DICKINSON,data/reference/sec/sec-guidance-v7-independent-meta-201-20260722/raw/CIK0000010795-submissions.json#033ca84ab4f7faba0cef0094bf33b6e01996ce777828bef5ac8991414fc0cbd3,SEC_SUBMISSIONS_JSON
0000010795,BDX,BDX,Becton Dickinson,BECTON DICKINSON,BECTON DICKINSON,data/reference/sec/sec-guidance-v7-independent-meta-201-20260722/raw/CIK0000010795-submissions.json#033ca84ab4f7faba0cef0094bf33b6e01996ce777828bef5ac8991414fc0cbd3,SEC_SUBMISSIONS_JSON
