ticker,year,filings,guidance_filings,quantitative_range_filings,target_period_filings
AAPL,2012,4,4,0,4
AAPL,2013,5,5,4,4
AAPL,2014,5,5,4,4
AAPL,2015,5,5,4,4
AAPL,2016,4,4,4,4
AAPL,2017,4,4,4,4
AAPL,2018,4,4,4,4
AAPL,2019,5,5,5,5
AAPL,2020,5,2,1,2
AAPL,2021,4,0,0,0
AAPL,2022,5,0,0,0
AAPL,2023,4,0,0,0
AAPL,2024,6,2,0,1
AAPL,2025,4,0,0,0
AAPL,2026,2,0,0,0
ABBV,2013,3,3,2,3
ABBV,2014,8,8,5,8
ABBV,2015,5,4,3,4
ABBV,2016,5,5,2,4
ABBV,2017,4,4,4,4
ABBV,2018,4,4,4,4
ABBV,2019,6,5,4,4
ABBV,2020,5,4,4,4
ABBV,2021,6,5,4,4
ABBV,2022,8,7,5,7
ABBV,2023,11,10,4,8
ABBV,2024,10,9,5,9
ABBV,2025,10,8,4,8
ABBV,2026,6,6,2,5
AMT,2012,8,5,0,5
AMT,2013,11,6,0,6
AMT,2014,6,5,1,4
AMT,2015,7,4,0,4
AMT,2016,9,7,0,6
AMT,2017,8,6,0,6
AMT,2018,6,4,0,4
AMT,2019,8,5,1,5
AMT,2020,9,5,1,5
AMT,2021,13,9,3,7
AMT,2022,7,5,0,4
AMT,2023,5,4,0,4
AMT,2024,5,5,0,5
AMT,2025,6,4,0,4
AMT,2026,2,2,0,2
AMZN,2012,7,5,5,5
AMZN,2013,5,5,5,5
AMZN,2014,7,5,5,5
AMZN,2015,5,5,5,5
AMZN,2016,5,5,5,5
AMZN,2017,7,7,5,7
AMZN,2018,5,5,5,5
AMZN,2019,5,5,5,5
AMZN,2020,5,5,5,5
AMZN,2021,5,5,5,5
AMZN,2022,5,5,5,5
AMZN,2023,5,5,5,5
AMZN,2024,5,5,5,5
AMZN,2025,5,5,5,5
AMZN,2026,5,3,3,3
APD,2012,6,6,4,6
APD,2013,4,4,4,4
APD,2014,6,6,4,5
APD,2015,8,7,5,6
APD,2016,10,7,3,5
APD,2017,10,6,2,6
APD,2018,5,5,4,5
APD,2019,4,4,3,4
APD,2020,4,4,0,4
APD,2021,4,4,0,3
APD,2022,4,4,0,4
APD,2023,5,5,0,4
APD,2024,6,5,2,5
APD,2025,6,6,4,6
APD,2026,3,3,2,3
AVGO,2016,6,6,2,6
AVGO,2017,11,5,0,5
AVGO,2018,2,2,1,2
BA,2012,4,4,4,4
BA,2013,4,4,3,4
BA,2014,4,4,4,4
BA,2015,5,5,3,5
BA,2016,7,7,4,6
BA,2017,4,4,4,4
BA,2018,5,5,4,4
BA,2019,5,4,1,4
BA,2020,4,3,0,3
BA,2021,4,1,0,1
BA,2022,4,0,0,0
BA,2023,4,4,0,4
BA,2024,10,4,0,1
BA,2025,8,2,0,0
BA,2026,2,1,0,1
BAC,2012,5,4,1,4
BAC,2013,6,5,1,4
BAC,2014,5,4,0,1
BAC,2015,5,2,0,0
BAC,2016,7,1,0,1
BAC,2017,4,2,1,1
BAC,2018,4,4,0,1
BAC,2019,5,4,0,0
BAC,2020,4,4,0,0
BAC,2021,4,4,0,1
BAC,2022,4,4,0,2
BAC,2023,4,4,0,1
BAC,2024,5,3,0,0
BAC,2025,4,4,0,2
BAC,2026,4,3,0,2
CAT,2012,16,16,4,4
CAT,2013,19,19,4,4
CAT,2014,17,17,4,4
CAT,2015,18,18,2,4
CAT,2016,18,18,5,5
CAT,2017,17,17,3,4
CAT,2018,18,18,5,5
CAT,2019,17,17,2,4
CAT,2020,16,16,1,4
CAT,2021,4,4,0,0
CAT,2022,5,5,0,0
CAT,2023,5,4,0,1
CAT,2024,6,5,0,0
CAT,2025,5,4,0,0
CAT,2026,3,2,0,0
COP,2012,5,5,0,4
COP,2013,4,4,0,4
COP,2014,4,4,1,4
COP,2015,4,4,2,4
COP,2016,4,4,4,4
COP,2017,9,9,0,6
COP,2018,7,7,1,5
COP,2019,4,4,0,4
COP,2020,6,6,0,3
COP,2021,6,6,0,5
COP,2022,5,5,1,4
COP,2023,4,4,1,4
COP,2024,7,7,1,4
COP,2025,5,5,1,4
COP,2026,2,2,1,2
COST,2012,6,6,0,5
COST,2013,4,4,0,3
COST,2014,4,4,0,2
COST,2015,4,4,0,3
COST,2016,4,4,0,3
COST,2017,4,4,0,2
COST,2018,4,4,0,1
COST,2019,4,4,0,0
COST,2020,4,4,0,0
COST,2021,4,4,0,0
COST,2022,4,4,0,0
COST,2023,4,4,0,0
COST,2024,5,5,1,0
COST,2025,4,4,2,0
COST,2026,2,2,2,0
CRM,2012,5,4,4,4
CRM,2013,4,4,4,4
CRM,2014,4,4,4,4
CRM,2015,4,4,4,4
CRM,2016,4,4,1,4
CRM,2017,5,5,0,5
CRM,2018,6,6,1,6
CRM,2019,10,7,0,7
CRM,2020,6,6,0,5
CRM,2021,7,6,2,6
CRM,2022,5,5,0,5
CRM,2023,5,4,0,4
CRM,2024,5,5,0,5
CRM,2025,8,6,0,5
CRM,2026,3,2,0,2
CVX,2012,8,7,4,5
CVX,2013,8,8,1,2
CVX,2014,7,7,0,3
CVX,2015,4,4,0,2
CVX,2016,5,5,0,4
CVX,2017,4,4,0,1
CVX,2018,4,4,0,2
CVX,2019,5,5,0,3
CVX,2020,6,5,1,3
CVX,2021,4,4,0,0
CVX,2022,6,6,0,3
CVX,2023,5,5,0,2
CVX,2024,6,6,0,2
CVX,2025,6,6,1,1
CVX,2026,3,3,0,2
DIS,2012,4,4,0,0
DIS,2013,4,1,0,0
DIS,2014,4,0,0,0
DIS,2015,4,0,0,0
DIS,2016,4,0,0,0
DIS,2017,4,3,0,2
DIS,2018,5,1,1,1
DIS,2019,2,1,0,1
DUK,2012,13,5,5,4
DUK,2013,10,6,4,4
DUK,2014,13,4,4,4
DUK,2015,12,6,4,5
DUK,2016,10,6,4,4
DUK,2017,9,8,3,4
DUK,2018,5,4,3,4
DUK,2019,4,4,4,4
DUK,2020,8,6,5,4
DUK,2021,14,12,9,6
DUK,2022,7,7,4,4
DUK,2023,11,5,5,5
DUK,2024,6,6,4,5
DUK,2025,9,9,5,6
DUK,2026,6,6,0,2
EOG,2012,10,4,1,4
EOG,2013,9,4,0,4
EOG,2014,8,4,1,4
EOG,2015,8,4,3,4
EOG,2016,9,4,2,4
EOG,2017,9,5,1,5
EOG,2018,9,5,1,5
EOG,2019,8,4,1,4
EOG,2020,9,5,0,5
EOG,2021,8,4,0,4
EOG,2022,8,4,0,4
EOG,2023,8,4,0,4
EOG,2024,8,4,0,4
EOG,2025,10,5,0,4
EOG,2026,5,3,0,3
FCX,2012,4,2,0,0
FCX,2013,5,2,0,1
FCX,2014,10,2,0,0
FCX,2015,6,1,1,0
FCX,2016,5,2,0,1
FCX,2017,4,1,0,0
FCX,2018,5,4,0,0
FCX,2019,6,6,0,4
FCX,2020,6,6,2,4
FCX,2021,5,4,0,0
FCX,2022,4,4,0,0
FCX,2023,4,4,3,1
FCX,2024,5,5,0,1
FCX,2025,10,9,0,2
FCX,2026,2,2,0,0
GE,2012,6,4,1,4
GE,2013,4,3,0,3
GE,2014,4,1,0,1
GE,2015,5,3,1,0
GE,2016,4,4,0,1
GE,2017,5,4,0,1
GE,2018,5,4,0,1
GE,2019,5,3,0,3
GE,2020,5,5,1,4
GE,2021,5,5,0,4
GE,2022,8,8,1,5
GE,2023,7,6,2,5
GE,2024,6,6,1,4
GE,2025,4,4,1,4
GE,2026,3,3,0,3
GOOGL,2015,1,1,0,1
GOOGL,2016,4,4,0,3
GOOGL,2017,4,4,0,1
GOOGL,2018,4,4,0,2
GOOGL,2019,4,4,0,0
