event_id,cik,canonical_symbol_at_filing,identity_status,accession_number,form,filing_date,accepted_at,matched_items,filing_index_url,primary_document_url
SEC8K-0000950144-04-008936,0000027904,,UNMAPPED,0000950144-04-008936,8-K,2004-09-08,2004-09-08T16:05:41.000Z,2.05,https://www.sec.gov/Archives/edgar/data/27904/000095014404008936/0000950144-04-008936-index.html,https://www.sec.gov/Archives/edgar/data/27904/000095014404008936/g90877e8vk.txt
SEC8K-0001193125-04-162709,0000068505,,UNMAPPED,0001193125-04-162709,8-K,2004-09-28,2004-09-28T12:42:27.000Z,2.05,https://www.sec.gov/Archives/edgar/data/68505/000119312504162709/0001193125-04-162709-index.html,https://www.sec.gov/Archives/edgar/data/68505/000119312504162709/d8k.htm
SEC8K-0000107815-04-000217,0000783325,,UNMAPPED,0000107815-04-000217,8-K,2004-09-28,2004-09-28T20:14:27.000Z,2.05,https://www.sec.gov/Archives/edgar/data/783325/000010781504000217/0000107815-04-000217-index.html,https://www.sec.gov/Archives/edgar/data/783325/000010781504000217/wecwewg8k092804.htm
SEC8K-0001193125-04-164450,0000077476,,UNMAPPED,0001193125-04-164450,8-K,2004-09-30,2004-09-30T14:14:28.000Z,2.05,https://www.sec.gov/Archives/edgar/data/77476/000119312504164450/0001193125-04-164450-index.html,https://www.sec.gov/Archives/edgar/data/77476/000119312504164450/d8k.htm
SEC8K-0000950117-04-003508,0000010795,,UNMAPPED,0000950117-04-003508,8-K,2004-10-04,2004-10-04T20:14:12.000Z,2.05,https://www.sec.gov/Archives/edgar/data/10795/000095011704003508/0000950117-04-003508-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095011704003508/a38477.txt
SEC8K-0000950134-04-014644,0001069202,,UNMAPPED,0000950134-04-014644,8-K,2004-10-06,2004-10-06T19:15:04.000Z,4.02,https://www.sec.gov/Archives/edgar/data/1069202/000095013404014644/0000950134-04-014644-index.html,https://www.sec.gov/Archives/edgar/data/1069202/000095013404014644/d18927e8vk.htm
SEC8K-0000950134-04-014925,0001045609,,UNMAPPED,0000950134-04-014925,8-K,2004-10-13,2004-10-13T16:29:26.000Z,4.02,https://www.sec.gov/Archives/edgar/data/1045609/000095013404014925/0000950134-04-014925-index.html,https://www.sec.gov/Archives/edgar/data/1045609/000095013404014925/f02372e8vk.htm
SEC8K-0001193125-04-173798,0000068505,,UNMAPPED,0001193125-04-173798,8-K,2004-10-19,2004-10-19T20:24:03.000Z,2.05,https://www.sec.gov/Archives/edgar/data/68505/000119312504173798/0001193125-04-173798-index.html,https://www.sec.gov/Archives/edgar/data/68505/000119312504173798/d8k.htm
SEC8K-0000107815-04-000229,0000783325,,UNMAPPED,0000107815-04-000229,8-K,2004-10-25,2004-10-25T11:41:01.000Z,2.05|2.06,https://www.sec.gov/Archives/edgar/data/783325/000010781504000229/0000107815-04-000229-index.html,https://www.sec.gov/Archives/edgar/data/783325/000010781504000229/wec8k102504.htm
SEC8K-0000047217-04-000049,0000047217,,UNMAPPED,0000047217-04-000049,8-K,2004-11-23,2004-11-22T22:36:02.000Z,2.05,https://www.sec.gov/Archives/edgar/data/47217/000004721704000049/0000047217-04-000049-index.html,https://www.sec.gov/Archives/edgar/data/47217/000004721704000049/q404form8-k_111804.htm
