queue_id,priority,event_id,cik,accession_number,filing_date,matched_items,prior_identity_status,primary_document_url,collection_status,source_sha256,extracted_symbols,adjudication_status
IDENTITY-0000009389-22-000017,P0_AMBIGUOUS,SEC8K-0000009389-22-000017,0000009389,0000009389-22-000017,2022-08-04,2.05,AMBIGUOUS,https://www.sec.gov/Archives/edgar/data/9389/000000938922000017/bll-20220804x8k.htm,PENDING,,,PENDING
IDENTITY-0000014693-25-000002,P0_AMBIGUOUS,SEC8K-0000014693-25-000002,0000014693,0000014693-25-000002,2025-01-14,2.05,AMBIGUOUS,https://www.sec.gov/Archives/edgar/data/14693/000001469325000002/bfb-20250113.htm,PENDING,,,PENDING
IDENTITY-0001104659-16-089611,P1_TEN_YEAR_WINDOW,SEC8K-0001104659-16-089611,0001063761,0001104659-16-089611,2016-01-13,4.02,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1063761/000110465916089611/a16-1864_18k.htm,PENDING,,,PENDING
IDENTITY-0000200406-16-000062,P1_TEN_YEAR_WINDOW,SEC8K-0000200406-16-000062,0000200406,0000200406-16-000062,2016-01-19,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/200406/000020040616000062/md8kcover.htm,PENDING,,,PENDING
IDENTITY-0001193125-16-434942,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-16-434942,0000106040,0001193125-16-434942,2016-01-22,2.05|2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/106040/000119312516434942/d31155d8k.htm,PENDING,,,PENDING
IDENTITY-0000764180-16-000113,P1_TEN_YEAR_WINDOW,SEC8K-0000764180-16-000113,0000764180,0000764180-16-000113,2016-01-28,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/764180/000076418016000113/form8-k2015fs.htm,PENDING,,,PENDING
IDENTITY-0001193125-16-445218,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-16-445218,0000927653,0001193125-16-445218,2016-02-01,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/927653/000119312516445218/d125466d8k.htm,PENDING,,,PENDING
IDENTITY-0000769397-16-000055,P1_TEN_YEAR_WINDOW,SEC8K-0000769397-16-000055,0000769397,0000769397-16-000055,2016-02-03,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/769397/000076939716000055/form8-kxitem205xrestructur.htm,PENDING,,,PENDING
IDENTITY-0001193125-16-465602,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-16-465602,0001090012,0001193125-16-465602,2016-02-16,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1090012/000119312516465602/d111630d8k.htm,PENDING,,,PENDING
IDENTITY-0001102624-16-002144,P1_TEN_YEAR_WINDOW,SEC8K-0001102624-16-002144,0001002047,0001102624-16-002144,2016-02-17,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1002047/000110262416002144/netapp8k.htm,PENDING,,,PENDING
IDENTITY-0000105770-16-000057,P1_TEN_YEAR_WINDOW,SEC8K-0000105770-16-000057,0000105770,0000105770-16-000057,2016-02-18,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/105770/000010577016000057/wst-q42015form8k.htm,PENDING,,,PENDING
IDENTITY-0001104659-16-100035,P1_TEN_YEAR_WINDOW,SEC8K-0001104659-16-100035,0001144519,0001104659-16-100035,2016-02-25,4.02,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1144519/000110465916100035/a16-5165_18k.htm,PENDING,,,PENDING
IDENTITY-0001157523-16-004904,P1_TEN_YEAR_WINDOW,SEC8K-0001157523-16-004904,0000021665,0001157523-16-004904,2016-03-10,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/21665/000115752316004904/a51298376.htm,PENDING,,,PENDING
IDENTITY-0000093751-16-000566,P1_TEN_YEAR_WINDOW,SEC8K-0000093751-16-000566,0000093751,0000093751-16-000566,2016-03-15,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/93751/000009375116000566/form8-ka.htm,PENDING,,,PENDING
IDENTITY-0001193125-16-509495,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-16-509495,0000927653,0001193125-16-509495,2016-03-18,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/927653/000119312516509495/d167490d8k.htm,PENDING,,,PENDING
IDENTITY-0001193125-16-528737,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-16-528737,0000002969,0001193125-16-528737,2016-04-04,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/2969/000119312516528737/d14261d8k.htm,PENDING,,,PENDING
IDENTITY-0001193125-16-530699,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-16-530699,0001109357,0001193125-16-530699,2016-04-05,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1109357/000119312516530699/d171533d8k.htm,PENDING,,,PENDING
IDENTITY-0000050863-16-000122,P1_TEN_YEAR_WINDOW,SEC8K-0000050863-16-000122,0000050863,0000050863-16-000122,2016-04-19,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/50863/000005086316000122/aform8-kq12016.htm,PENDING,,,PENDING
IDENTITY-0001157523-16-005214,P1_TEN_YEAR_WINDOW,SEC8K-0001157523-16-005214,0001116132,0001157523-16-005214,2016-04-26,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1116132/000115752316005214/a51328032.htm,PENDING,,,PENDING
IDENTITY-0001104659-16-116915,P1_TEN_YEAR_WINDOW,SEC8K-0001104659-16-116915,0001001250,0001104659-16-116915,2016-05-03,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1001250/000110465916116915/a16-10329_18k.htm,PENDING,,,PENDING
IDENTITY-0000045012-16-000295,P1_TEN_YEAR_WINDOW,SEC8K-0000045012-16-000295,0000045012,0000045012-16-000295,2016-05-04,2.04,UNMAPPED,https://www.sec.gov/Archives/edgar/data/45012/000004501216000295/hal_8kterminationagreement.htm,PENDING,,,PENDING
IDENTITY-0001437107-16-000068,P1_TEN_YEAR_WINDOW,SEC8K-0001437107-16-000068,0001437107,0001437107-16-000068,2016-05-04,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1437107/000143710716000068/a8-k20160504.htm,PENDING,,,PENDING
IDENTITY-0001157523-16-005590,P1_TEN_YEAR_WINDOW,SEC8K-0001157523-16-005590,0000849399,0001157523-16-005590,2016-05-12,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/849399/000115752316005590/a51339694.htm,PENDING,,,PENDING
IDENTITY-0001104659-16-122983,P1_TEN_YEAR_WINDOW,SEC8K-0001104659-16-122983,0001001250,0001104659-16-122983,2016-05-24,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1001250/000110465916122983/a16-12118_18ka.htm,PENDING,,,PENDING
