queue_id,priority,event_id,cik,accession_number,filing_date,matched_items,prior_identity_status,primary_document_url,source_sha256,source_bytes,extracted_symbols,extraction_status,adjudication_status
IDENTITY-0000009389-22-000017,P0_AMBIGUOUS,SEC8K-0000009389-22-000017,0000009389,0000009389-22-000017,2022-08-04,2.05,AMBIGUOUS,https://www.sec.gov/Archives/edgar/data/9389/000000938922000017/bll-20220804x8k.htm,af228061af1f9ce1ebfe7cec5444666381dd6c5f035e4eabe1853e7d9836e119,58243,BALL|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0000014693-25-000002,P0_AMBIGUOUS,SEC8K-0000014693-25-000002,0000014693,0000014693-25-000002,2025-01-14,2.05,AMBIGUOUS,https://www.sec.gov/Archives/edgar/data/14693/000001469325000002/bfb-20250113.htm,0d6ec3bc24fe93e522477669067001c49df095eb6a8e33f270eb18ee9fe50fe4,32961,BF26|BF28|BFA|BFB|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001104659-16-089611,P1_TEN_YEAR_WINDOW,SEC8K-0001104659-16-089611,0001063761,0001104659-16-089611,2016-01-13,4.02,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1063761/000110465916089611/a16-1864_18k.htm,60bbc688096fc9a266482b2cdce99e1c017f46f640dc39063c81b801d827f526,95293,,NO_CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0000200406-16-000062,P1_TEN_YEAR_WINDOW,SEC8K-0000200406-16-000062,0000200406,0000200406-16-000062,2016-01-19,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/200406/000020040616000062/md8kcover.htm,fd4511903f1a6f21b480737a423b8ae5d2e6b852ee5bc8b8d298a69bec3be19c,25457,,NO_CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001193125-16-434942,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-16-434942,0000106040,0001193125-16-434942,2016-01-22,2.05|2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/106040/000119312516434942/d31155d8k.htm,4b195c7ed0b317da89758229910fe54ca84087dc2a135d5a8f58f392b1a6a855,14543,,NO_CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0000764180-16-000113,P1_TEN_YEAR_WINDOW,SEC8K-0000764180-16-000113,0000764180,0000764180-16-000113,2016-01-28,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/764180/000076418016000113/form8-k2015fs.htm,61f9a43c6ae0128c3026da4b6fc6376d94cbf69a723983d3098125eec9010088,48139,,NO_CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001193125-16-445218,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-16-445218,0000927653,0001193125-16-445218,2016-02-01,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/927653/000119312516445218/d125466d8k.htm,792d0a2a2fc848060904ee8e0fee163348f269777ca8ec8de0ae55ba0072fd73,11414,,NO_CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0000769397-16-000055,P1_TEN_YEAR_WINDOW,SEC8K-0000769397-16-000055,0000769397,0000769397-16-000055,2016-02-03,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/769397/000076939716000055/form8-kxitem205xrestructur.htm,be1f5bcc14f8f80825e73ced62658f45e984ecc18f94c8e48a83043b61c8e8ed,48192,,NO_CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001193125-16-465602,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-16-465602,0001090012,0001193125-16-465602,2016-02-16,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1090012/000119312516465602/d111630d8k.htm,c1473b4d424c4155f005b51b417cf4927a2b43a0f5d6cb59f841befcfa044691,15244,,NO_CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001102624-16-002144,P1_TEN_YEAR_WINDOW,SEC8K-0001102624-16-002144,0001002047,0001102624-16-002144,2016-02-17,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1002047/000110262416002144/netapp8k.htm,d9f2b25874fdb353fe14f9344ec81f550482154bc4011512ad683d4e3fdde170,35098,,NO_CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0000105770-16-000057,P1_TEN_YEAR_WINDOW,SEC8K-0000105770-16-000057,0000105770,0000105770-16-000057,2016-02-18,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/105770/000010577016000057/wst-q42015form8k.htm,41d700a52a14ee911c1520df9e3cd1a0599d8317a517a9fe5e35cc7ae2a3c15d,40938,,NO_CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001104659-16-100035,P1_TEN_YEAR_WINDOW,SEC8K-0001104659-16-100035,0001144519,0001104659-16-100035,2016-02-25,4.02,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1144519/000110465916100035/a16-5165_18k.htm,abffb8bb1ec9e3ee1a7a5c1cf7438e158a970295fdf6dc556c0f67f630706906,51891,,NO_CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001157523-16-004904,P1_TEN_YEAR_WINDOW,SEC8K-0001157523-16-004904,0000021665,0001157523-16-004904,2016-03-10,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/21665/000115752316004904/a51298376.htm,e9a798ec95fe6f0750cb9f7f22f8a65f88a552630e697303950cdd61602c47fe,20824,,NO_CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0000093751-16-000566,P1_TEN_YEAR_WINDOW,SEC8K-0000093751-16-000566,0000093751,0000093751-16-000566,2016-03-15,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/93751/000009375116000566/form8-ka.htm,080984d9038a09bccbb4f5e02969455648a9f0dc9ce9aad9487cd13c152f8ed1,47822,,NO_CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001193125-16-509495,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-16-509495,0000927653,0001193125-16-509495,2016-03-18,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/927653/000119312516509495/d167490d8k.htm,1891e0c550ba8774a1fc7f3caae1f7a1d08859d7138641402c082c3e1c8aab3e,13753,,NO_CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001193125-16-528737,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-16-528737,0000002969,0001193125-16-528737,2016-04-04,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/2969/000119312516528737/d14261d8k.htm,f051e9d289ec4a1d0ce2e08228a5539ba601479d0e30aa6cb7c01817c19a4485,17132,,NO_CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001193125-16-530699,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-16-530699,0001109357,0001193125-16-530699,2016-04-05,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1109357/000119312516530699/d171533d8k.htm,93f135e5dd4a8eacebaa3282738e48582d6f6ba5182fef3c7030fd1306d6d249,14667,,NO_CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0000050863-16-000122,P1_TEN_YEAR_WINDOW,SEC8K-0000050863-16-000122,0000050863,0000050863-16-000122,2016-04-19,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/50863/000005086316000122/aform8-kq12016.htm,9b94a04de60184f207e6b979413eb8a7e67f6e1a80f02053ea0c5bbcb42e39f6,38017,,NO_CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001157523-16-005214,P1_TEN_YEAR_WINDOW,SEC8K-0001157523-16-005214,0001116132,0001157523-16-005214,2016-04-26,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1116132/000115752316005214/a51328032.htm,f473bed1db47c8f6fabc439159646551fedd3e0df952cbe1a7331d93dd8674f7,30044,,NO_CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
