batch_id,batch_order,review_id,accession_number,cik,filing_date,matched_items,extraction_method,candidate_symbols,source_url,source_sha256,decision,approved_symbol,review_note
B001,1,REVIEW-0000827052-19-000117,0000827052-19-000117,0000827052,2019-05-28,2.06,VISIBLE_LABEL_REGEX,TD,https://www.sec.gov/Archives/edgar/data/827052/000082705219000117/form8-kgrc5x28x19.htm,59b87256c3586c43336062bd291b9ead393b498114e27d2d441ca275259600c8,INVALID,,SEC cover table lists EIX and SCE preferred symbols; TD is an HTML table-cell false positive
B001,2,REVIEW-0001666700-19-000025,0001666700-19-000025,0001666700,2019-05-29,2.06,VISIBLE_LABEL_REGEX,TD,https://www.sec.gov/Archives/edgar/data/1666700/000166670019000025/dwdp5292019.htm,1d668c024375151bb3ead1a60376c84f4f58f5267a259b9c02bbe5aa1af9ea03,INVALID,,SEC cover table lists DWDP; TD is an HTML table-cell false positive
B001,3,REVIEW-0000079879-19-000023,0000079879-19-000023,0000079879,2019-06-10,2.05,VISIBLE_LABEL_REGEX,TD,https://www.sec.gov/Archives/edgar/data/79879/000007987919000023/form8-kjune2019restructuri.htm,85728723d39516cbe5223fae956a94d0ba3bc6fbebe9e4c58e6eb5e7c8e4b7e3,INVALID,,SEC cover table lists PPG and listed-note symbols; TD is an HTML table-cell false positive
B001,4,REVIEW-0001140361-19-010907,0001140361-19-010907,0000052988,2019-06-12,2.04,VISIBLE_LABEL_REGEX,TD,https://www.sec.gov/Archives/edgar/data/52988/000114036119010907/nc10002532x1_8k.htm,0afbf1f719c094f61b26dda7a3669be9c2ac832a3c85829d46269443f8545526,INVALID,,SEC cover table lists JEC; TD is an HTML table-cell false positive
B001,5,REVIEW-0001243786-19-000100,0001243786-19-000100,0001285785,2019-06-18,2.06,VISIBLE_LABEL_REGEX,TD,https://www.sec.gov/Archives/edgar/data/1285785/000124378619000100/a8-kplantcityclosurejune20.htm,50ff54e0f697b82999e3d739be1721a106beeaa6a35cc462bfe41971d531bf4b,INVALID,,SEC cover table lists MOS; TD is an HTML table-cell false positive
B001,6,REVIEW-0000947871-19-000528,0000947871-19-000528,0001144519,2019-07-22,2.05|2.06,VISIBLE_LABEL_REGEX,TD,https://www.sec.gov/Archives/edgar/data/1144519/000094787119000528/ss144664_8k.htm,98dafab2b9a95f9c59b38a069227f926dbc9eb5dd62635a2495a27597e85698a,INVALID,,SEC cover table lists BG; TD is an HTML table-cell false positive
B001,7,REVIEW-0000072741-19-000031,0000072741-19-000031,0000072741,2019-07-25,2.06,VISIBLE_LABEL_REGEX,TD,https://www.sec.gov/Archives/edgar/data/72741/000007274119000031/form8-knpt.htm,d85db180497071e6e5632fb04ca3e010b0798986704a0f5be981d4d0b47e62c1,INVALID,,SEC cover table lists ES; TD is an HTML table-cell false positive
B001,8,REVIEW-0000721371-19-000061,0000721371-19-000061,0000721371,2019-08-08,2.05,VISIBLE_LABEL_REGEX,TD,https://www.sec.gov/Archives/edgar/data/721371/000072137119000061/a19q4_8kx63019xform8-kxnew.htm,c9efbcf700f092fc8884400c5b752efaba1d1c8111bd100ea20ad30f53c1595f,INVALID,,SEC cover table lists CAH; TD is an HTML table-cell false positive
B001,9,REVIEW-0001157523-19-001784,0001157523-19-001784,0000849399,2019-08-08,2.05,VISIBLE_LABEL_REGEX,TD,https://www.sec.gov/Archives/edgar/data/849399/000115752319001784/a52076085.htm,ecb0ffbf38fa062aa90b58f3b0c5462950093abc76948c08c6a4793bbf5521c1,INVALID,,SEC cover table lists SYMC; TD is an HTML table-cell false positive
B001,10,REVIEW-0001144519-19-000048,0001144519-19-000048,0001144519,2019-08-13,2.05|2.06,XBRL_TAG,BG|TD,https://www.sec.gov/Archives/edgar/data/1144519/000114451919000048/bg813198-k.htm,b6dfd2e0a44f01b0bd998f954fbcecc0abe091615d212cc1a6da89245f069c63,VALID,BG,SEC cover table explicitly lists common shares under trading symbol BG; TD is extraneous
