queue_id,batch_id,cik,event_count,first_event_date,last_event_date,anchor_symbols,sec_entity_name,submission_files,total_filing_metadata_rows,candidate_periodic_filings,collection_status,review_status,promotion_status
PRE2019-0001,B001,0000027904,3,2004-09-08,2008-06-06,DAL,"DELTA AIR LINES, INC.",2,2825,71,SEC_SUBMISSIONS_METADATA_COLLECTED,PRIMARY_DOCUMENT_SELECTION_REQUIRED,BLOCKED
PRE2019-0002,B001,0000783325,2,2004-09-28,2004-10-25,WEC,"WEC ENERGY GROUP, INC.",2,2477,77,SEC_SUBMISSIONS_METADATA_COLLECTED,PRIMARY_DOCUMENT_SELECTION_REQUIRED,BLOCKED
PRE2019-0003,B001,0000047217,10,2004-11-23,2018-05-29,HPQ,HP INC,3,3608,89,SEC_SUBMISSIONS_METADATA_COLLECTED,PRIMARY_DOCUMENT_SELECTION_REQUIRED,BLOCKED
PRE2019-0004,B001,0001097864,12,2004-12-08,2016-09-23,ON,ON SEMICONDUCTOR CORP,2,2600,84,SEC_SUBMISSIONS_METADATA_COLLECTED,PRIMARY_DOCUMENT_SELECTION_REQUIRED,BLOCKED
PRE2019-0005,B001,0000016918,9,2005-01-14,2009-04-08,STZ,"CONSTELLATION BRANDS, INC.",2,2458,84,SEC_SUBMISSIONS_METADATA_COLLECTED,PRIMARY_DOCUMENT_SELECTION_REQUIRED,BLOCKED
PRE2019-0006,B001,0001091667,4,2005-02-11,2015-04-22,CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",2,2940,65,SEC_SUBMISSIONS_METADATA_COLLECTED,PRIMARY_DOCUMENT_SELECTION_REQUIRED,BLOCKED
PRE2019-0007,B001,0000040704,16,2005-05-20,2019-02-15,GIS,GENERAL MILLS INC,3,3348,84,SEC_SUBMISSIONS_METADATA_COLLECTED,PRIMARY_DOCUMENT_SELECTION_REQUIRED,BLOCKED
PRE2019-0008,B001,0000823768,3,2005-06-15,2009-02-27,WM,WASTE MANAGEMENT INC,3,3256,61,SEC_SUBMISSIONS_METADATA_COLLECTED,PRIMARY_DOCUMENT_SELECTION_REQUIRED,BLOCKED
PRE2019-0009,B001,0000047111,4,2005-07-21,2017-02-28,HSY,HERSHEY CO,3,3624,76,SEC_SUBMISSIONS_METADATA_COLLECTED,PRIMARY_DOCUMENT_SELECTION_REQUIRED,BLOCKED
PRE2019-0010,B001,0000055785,7,2005-07-22,2014-10-21,KMB,KIMBERLY CLARK CORP,2,2959,78,SEC_SUBMISSIONS_METADATA_COLLECTED,PRIMARY_DOCUMENT_SELECTION_REQUIRED,BLOCKED
