queue_id,batch_id,cik,route,event_count,first_event_date,last_event_date,first_accession_number,reviewed_anchor_count,anchor_symbols,first_anchor_date,last_anchor_date,required_evidence,collection_status,review_status,promotion_status
PRE2019-0001,B001,0000027904,REVIEWED_ANCHOR_BOUNDARY,3,2004-09-08,2008-06-06,0000950144-04-008936,2,DAL,2020-05-14,2020-09-25,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0002,B001,0000783325,REVIEWED_ANCHOR_BOUNDARY,2,2004-09-28,2004-10-25,0000107815-04-000217,1,WEC,2024-01-08,2024-01-08,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0003,B001,0000047217,REVIEWED_ANCHOR_BOUNDARY,10,2004-11-23,2018-05-29,0000047217-04-000049,4,HPQ,2019-10-04,2025-11-25,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0004,B001,0001097864,REVIEWED_ANCHOR_BOUNDARY,12,2004-12-08,2016-09-23,0001193125-04-209343,6,ON,2020-04-09,2025-11-17,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0005,B001,0000016918,REVIEWED_ANCHOR_BOUNDARY,9,2005-01-14,2009-04-08,0000016918-05-000004,1,STZ,2024-09-03,2024-09-03,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0006,B001,0001091667,REVIEWED_ANCHOR_BOUNDARY,4,2005-02-11,2015-04-22,0001091667-05-000015,6,CHTR,2019-10-07,2020-10-16,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0007,B001,0000040704,REVIEWED_ANCHOR_BOUNDARY,16,2005-05-20,2019-02-15,0000897101-05-001255,4,GIS,2021-05-06,2025-10-01,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0008,B001,0000823768,REVIEWED_ANCHOR_BOUNDARY,3,2005-06-15,2009-02-27,0000950129-05-006224,1,WM,2020-07-15,2020-07-15,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0009,B001,0000047111,REVIEWED_ANCHOR_BOUNDARY,4,2005-07-21,2017-02-28,0000047111-05-000199,1,HSY,2024-02-08,2024-02-08,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0010,B001,0000055785,REVIEWED_ANCHOR_BOUNDARY,7,2005-07-22,2014-10-21,0000055785-05-000141,1,KMB,2024-03-27,2024-03-27,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0011,B002,0000033213,REVIEWED_ANCHOR_BOUNDARY,1,2005-12-27,2005-12-27,0001104659-05-062656,2,EQT,2019-09-12,2024-10-01,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0012,B002,0001280452,REVIEWED_ANCHOR_BOUNDARY,2,2006-01-06,2008-04-29,0001193125-06-002690,1,MPWR,2026-02-27,2026-02-27,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0013,B002,0000004904,REVIEWED_ANCHOR_BOUNDARY,5,2006-01-17,2013-10-03,0000004904-06-000012,2,AEP,2023-12-20,2024-01-11,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0014,B002,0000310158,REVIEWED_ANCHOR_BOUNDARY,9,2006-06-01,2019-04-30,0000950123-06-007243,2,MRK,2024-02-01,2025-07-29,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0015,B002,0001037540,REVIEWED_ANCHOR_BOUNDARY,1,2006-06-06,2006-06-06,0001193125-06-124913,1,BXP,2026-05-29,2026-05-29,CORPORATE_ACTION_BOUNDARY_THROUGH_EVENT_RANGE,PENDING,NOT_REVIEWED,BLOCKED
