event_id,cik,accession_number,form,filing_date,matched_items,blocker,evidence_route,same_cik_anchor_count,earliest_same_cik_anchor_date,latest_same_cik_anchor_date,filing_index_url,primary_document_url
SEC8K-0000950144-04-008936,0000027904,0000950144-04-008936,8-K,2004-09-08,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_SAME_CIK_ANCHOR_REVIEW,2,2020-05-14,2020-09-25,https://www.sec.gov/Archives/edgar/data/27904/000095014404008936/0000950144-04-008936-index.html,https://www.sec.gov/Archives/edgar/data/27904/000095014404008936/g90877e8vk.txt
SEC8K-0001193125-04-162709,0000068505,0001193125-04-162709,8-K,2004-09-28,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/68505/000119312504162709/0001193125-04-162709-index.html,https://www.sec.gov/Archives/edgar/data/68505/000119312504162709/d8k.htm
SEC8K-0000107815-04-000217,0000783325,0000107815-04-000217,8-K,2004-09-28,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_SAME_CIK_ANCHOR_REVIEW,1,2024-01-08,2024-01-08,https://www.sec.gov/Archives/edgar/data/783325/000010781504000217/0000107815-04-000217-index.html,https://www.sec.gov/Archives/edgar/data/783325/000010781504000217/wecwewg8k092804.htm
SEC8K-0001193125-04-164450,0000077476,0001193125-04-164450,8-K,2004-09-30,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/77476/000119312504164450/0001193125-04-164450-index.html,https://www.sec.gov/Archives/edgar/data/77476/000119312504164450/d8k.htm
SEC8K-0000950117-04-003508,0000010795,0000950117-04-003508,8-K,2004-10-04,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/10795/000095011704003508/0000950117-04-003508-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095011704003508/a38477.txt
SEC8K-0000950134-04-014644,0001069202,0000950134-04-014644,8-K,2004-10-06,4.02,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/1069202/000095013404014644/0000950134-04-014644-index.html,https://www.sec.gov/Archives/edgar/data/1069202/000095013404014644/d18927e8vk.htm
SEC8K-0000950134-04-014925,0001045609,0000950134-04-014925,8-K,2004-10-13,4.02,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/1045609/000095013404014925/0000950134-04-014925-index.html,https://www.sec.gov/Archives/edgar/data/1045609/000095013404014925/f02372e8vk.htm
SEC8K-0001193125-04-173798,0000068505,0001193125-04-173798,8-K,2004-10-19,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/68505/000119312504173798/0001193125-04-173798-index.html,https://www.sec.gov/Archives/edgar/data/68505/000119312504173798/d8k.htm
SEC8K-0000107815-04-000229,0000783325,0000107815-04-000229,8-K,2004-10-25,2.05|2.06,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_SAME_CIK_ANCHOR_REVIEW,1,2024-01-08,2024-01-08,https://www.sec.gov/Archives/edgar/data/783325/000010781504000229/0000107815-04-000229-index.html,https://www.sec.gov/Archives/edgar/data/783325/000010781504000229/wec8k102504.htm
SEC8K-0000047217-04-000049,0000047217,0000047217-04-000049,8-K,2004-11-23,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_SAME_CIK_ANCHOR_REVIEW,4,2019-10-04,2025-11-25,https://www.sec.gov/Archives/edgar/data/47217/000004721704000049/0000047217-04-000049-index.html,https://www.sec.gov/Archives/edgar/data/47217/000004721704000049/q404form8-k_111804.htm
