accession_number,cik,filing_date,candidate_symbols,source_sha256,decision,approved_symbol,review_note
0000827052-19-000117,0000827052,2019-05-28,EIX|SCEPB|SCEPC|SCEPD|SECPE,59b87256c3586c43336062bd291b9ead393b498114e27d2d441ca275259600c8,VALID,EIX,SEC cover table lists Edison International common stock as EIX; other symbols are SCE preferred securities
0001666700-19-000025,0001666700,2019-05-29,DWDP,1d668c024375151bb3ead1a60376c84f4f58f5267a259b9c02bbe5aa1af9ea03,VALID,DWDP,SEC cover table lists DowDuPont common stock as DWDP
0000079879-19-000023,0000079879,2019-06-10,PPG,85728723d39516cbe5223fae956a94d0ba3bc6fbebe9e4c58e6eb5e7c8e4b7e3,VALID,PPG,SEC cover table lists PPG common stock as PPG
0001140361-19-010907,0000052988,2019-06-12,JEC,0afbf1f719c094f61b26dda7a3669be9c2ac832a3c85829d46269443f8545526,VALID,JEC,SEC cover table lists Jacobs common stock as JEC
0001243786-19-000100,0001285785,2019-06-18,MOS,50ff54e0f697b82999e3d739be1721a106beeaa6a35cc462bfe41971d531bf4b,VALID,MOS,SEC cover table lists Mosaic common stock as MOS
0000947871-19-000528,0001144519,2019-07-22,BG,98dafab2b9a95f9c59b38a069227f926dbc9eb5dd62635a2495a27597e85698a,VALID,BG,SEC cover table lists Bunge common shares as BG
0000072741-19-000031,0000072741,2019-07-25,ES,d85db180497071e6e5632fb04ca3e010b0798986704a0f5be981d4d0b47e62c1,VALID,ES,SEC cover table lists Eversource common shares as ES
0000721371-19-000061,0000721371,2019-08-08,CAH,c9efbcf700f092fc8884400c5b752efaba1d1c8111bd100ea20ad30f53c1595f,VALID,CAH,SEC cover table lists Cardinal Health common stock as CAH
0001157523-19-001784,0000849399,2019-08-08,SYMC,ecb0ffbf38fa062aa90b58f3b0c5462950093abc76948c08c6a4793bbf5521c1,VALID,SYMC,SEC cover table lists Symantec common stock as SYMC
0000047217-19-000052,0000047217,2019-10-04,HPQ,58cf68f4d366eee410866617c11b87e55915a59e509402b47199aeb43d35ab82,VALID,HPQ,SEC cover table lists HP common stock as HPQ
