accession_number,cik,filing_date,prior_extraction_status,extraction_method,candidate_symbols,source_sha256,review_role,development_regression_status
0000009389-22-000017,0000009389,2022-08-04,CANDIDATE_FOUND,XBRL_TAG,BALL,af228061af1f9ce1ebfe7cec5444666381dd6c5f035e4eabe1853e7d9836e119,DEVELOPMENT_REGRESSION,PASS
0000014693-25-000002,0000014693,2025-01-14,CANDIDATE_FOUND,XBRL_TAG,BF26|BF28|BFA|BFB,0d6ec3bc24fe93e522477669067001c49df095eb6a8e33f270eb18ee9fe50fe4,DEVELOPMENT_REGRESSION,PASS
0001104659-16-089611,0001063761,2016-01-13,NO_CANDIDATE_FOUND,NONE,,60bbc688096fc9a266482b2cdce99e1c017f46f640dc39063c81b801d827f526,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000200406-16-000062,0000200406,2016-01-19,NO_CANDIDATE_FOUND,NONE,,fd4511903f1a6f21b480737a423b8ae5d2e6b852ee5bc8b8d298a69bec3be19c,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-16-434942,0000106040,2016-01-22,NO_CANDIDATE_FOUND,NONE,,4b195c7ed0b317da89758229910fe54ca84087dc2a135d5a8f58f392b1a6a855,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000764180-16-000113,0000764180,2016-01-28,NO_CANDIDATE_FOUND,NONE,,61f9a43c6ae0128c3026da4b6fc6376d94cbf69a723983d3098125eec9010088,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-16-445218,0000927653,2016-02-01,NO_CANDIDATE_FOUND,NONE,,792d0a2a2fc848060904ee8e0fee163348f269777ca8ec8de0ae55ba0072fd73,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000769397-16-000055,0000769397,2016-02-03,NO_CANDIDATE_FOUND,NONE,,be1f5bcc14f8f80825e73ced62658f45e984ecc18f94c8e48a83043b61c8e8ed,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-16-465602,0001090012,2016-02-16,NO_CANDIDATE_FOUND,NONE,,c1473b4d424c4155f005b51b417cf4927a2b43a0f5d6cb59f841befcfa044691,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001102624-16-002144,0001002047,2016-02-17,NO_CANDIDATE_FOUND,NONE,,d9f2b25874fdb353fe14f9344ec81f550482154bc4011512ad683d4e3fdde170,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
