evaluation_id,event_id,accession_number,cik,filing_date,matched_items,primary_document_url,collection_status
STRUCTURAL-EVAL-0001564590-21-031687,SEC8K-0001564590-21-031687,0001564590-21-031687,0000040704,2021-06-04,2.05,https://www.sec.gov/Archives/edgar/data/40704/000156459021031687/gis-8ka_20210505.htm,PENDING
STRUCTURAL-EVAL-0000037996-21-000048,SEC8K-0000037996-21-000048,0000037996-21-000048,0000037996,2021-06-28,2.05,https://www.sec.gov/Archives/edgar/data/37996/000003799621000048/f-20210625.htm,PENDING
STRUCTURAL-EVAL-0001193125-21-246157,SEC8K-0001193125-21-246157,0001193125-21-246157,0000788784,2021-08-13,2.06,https://www.sec.gov/Archives/edgar/data/788784/000119312521246157/d166527d8k.htm,PENDING
STRUCTURAL-EVAL-0000037996-21-000064,SEC8K-0000037996-21-000064,0000037996-21-000064,0000037996,2021-09-09,2.05,https://www.sec.gov/Archives/edgar/data/37996/000003799621000064/f-20210907.htm,PENDING
STRUCTURAL-EVAL-0001104659-21-129208,SEC8K-0001104659-21-129208,0001104659-21-129208,0000831001,2021-10-25,2.05,https://www.sec.gov/Archives/edgar/data/831001/000110465921129208/c-20211025x8k.htm,PENDING
STRUCTURAL-EVAL-0001104659-21-131412,SEC8K-0001104659-21-131412,0001104659-21-131412,0001326160,2021-10-29,2.06,https://www.sec.gov/Archives/edgar/data/1326160/000110465921131412/tm2131337d1_8k.htm,PENDING
STRUCTURAL-EVAL-0001564590-21-053935,SEC8K-0001564590-21-053935,0001564590-21-053935,0000857005,2021-11-03,2.05,https://www.sec.gov/Archives/edgar/data/857005/000156459021053935/ptc-8k_20211103.htm,PENDING
STRUCTURAL-EVAL-0001104659-21-135337,SEC8K-0001104659-21-135337,0001104659-21-135337,0000831001,2021-11-08,2.05,https://www.sec.gov/Archives/edgar/data/831001/000110465921135337/c-20211105x8ka.htm,PENDING
STRUCTURAL-EVAL-0000950103-21-017527,SEC8K-0000950103-21-017527,0000950103-21-017527,0001521332,2021-11-09,2.04,https://www.sec.gov/Archives/edgar/data/1521332/000095010321017527/dp161405_8k.htm,PENDING
STRUCTURAL-EVAL-0000947871-21-001217,SEC8K-0000947871-21-001217,0000947871-21-001217,0000064803,2021-11-18,2.06,https://www.sec.gov/Archives/edgar/data/64803/000094787121001217/ss621297_8k.htm,PENDING
STRUCTURAL-EVAL-0001104659-21-145538,SEC8K-0001104659-21-145538,0001104659-21-145538,0000935703,2021-12-01,2.04,https://www.sec.gov/Archives/edgar/data/935703/000110465921145538/tm2133298d6_8k.htm,PENDING
STRUCTURAL-EVAL-0001193125-22-018393,SEC8K-0001193125-22-018393,0001193125-22-018393,0000093556,2022-01-26,4.02,https://www.sec.gov/Archives/edgar/data/93556/000119312522018393/d303104d8k.htm,PENDING
STRUCTURAL-EVAL-0001157523-22-000117,SEC8K-0001157523-22-000117,0001157523-22-000117,0000021665,2022-01-28,2.05,https://www.sec.gov/Archives/edgar/data/21665/000115752322000117/a52570001.htm,PENDING
STRUCTURAL-EVAL-0001489393-22-000003,SEC8K-0001489393-22-000003,0001489393-22-000003,0001489393,2022-01-28,2.06,https://www.sec.gov/Archives/edgar/data/1489393/000148939322000003/lyb-20220125.htm,PENDING
STRUCTURAL-EVAL-0001104659-22-033597,SEC8K-0001104659-22-033597,0001104659-22-033597,0001326160,2022-03-15,2.06,https://www.sec.gov/Archives/edgar/data/1326160/000110465922033597/tm229243d1_8k.htm,PENDING
STRUCTURAL-EVAL-0001489393-22-000014,SEC8K-0001489393-22-000014,0001489393-22-000014,0001489393,2022-04-21,2.05,https://www.sec.gov/Archives/edgar/data/1489393/000148939322000014/lyb-20220421.htm,PENDING
STRUCTURAL-EVAL-0001783879-22-000088,SEC8K-0001783879-22-000088,0001783879-22-000088,0001783879,2022-04-28,2.05,https://www.sec.gov/Archives/edgar/data/1783879/000178387922000088/hood-20220426.htm,PENDING
STRUCTURAL-EVAL-0001140361-22-018834,SEC8K-0001140361-22-018834,0001140361-22-018834,0001116132,2022-05-12,2.04,https://www.sec.gov/Archives/edgar/data/1116132/000114036122018834/ny20004200x2_8k.htm,PENDING
STRUCTURAL-EVAL-0001679788-22-000077,SEC8K-0001679788-22-000077,0001679788-22-000077,0001679788,2022-06-14,2.05,https://www.sec.gov/Archives/edgar/data/1679788/000167978822000077/coin-20220614.htm,PENDING
STRUCTURAL-EVAL-0001071739-22-000241,SEC8K-0001071739-22-000241,0001071739-22-000241,0001071739,2022-06-17,2.06,https://www.sec.gov/Archives/edgar/data/1071739/000107173922000241/cnc-20220617.htm,PENDING
STRUCTURAL-EVAL-0000874761-22-000059,SEC8K-0000874761-22-000059,0000874761-22-000059,0000874761,2022-06-24,2.06,https://www.sec.gov/Archives/edgar/data/874761/000087476122000059/aes-20220620.htm,PENDING
STRUCTURAL-EVAL-0001001250-22-000097,SEC8K-0001001250-22-000097,0001001250-22-000097,0001001250,2022-06-29,2.05,https://www.sec.gov/Archives/edgar/data/1001250/000100125022000097/el-20200818.htm,PENDING
