atomic_fact_id,ticker,cik,accession_number,accepted_at,source_url,source_sha256,source_path,source_kind,block_path,sentence_index,sentence_sha256,topic,topic_matches,cue_families,cue_matches,negated_cue_present,comparison_present
0d7671218d10150c0ae31f33f27c8bffbf16856511942549651116159fb91b70,NEM,0001164727,0001193125-12-013134,2012-01-17T15:51:38.000Z,https://www.sec.gov/Archives/edgar/data/1164727/000119312512013134/d284164dex991.htm,7500ed7f47b39acd697cc6e180f3fb484302e30860b50723edb871a1fd52aa8e,raw/7500ed7f47b39acd697cc6e180f3fb484302e30860b50723edb871a1fd52aa8e.gz,HTML_P,p:105,0,4775b043ac2ad35b39b345f99c439365391a8fdc532b4a8bad833dfd82d1f7ad,CAPITAL_SPENDING,"[""capital expenditure""]","[""EXPECTATION""]","[{""family"":""EXPECTATION"",""value"":""guidance"",""start"":119,""end"":127,""negated"":false}]",False,False
b4aeb0afc92f57c5a8e8ba7080d526bdb76c58d571ee805425f0a8e31ec6e2b8,NEM,0001164727,0001193125-12-013134,2012-01-17T15:51:38.000Z,https://www.sec.gov/Archives/edgar/data/1164727/000119312512013134/d284164dex991.htm,7500ed7f47b39acd697cc6e180f3fb484302e30860b50723edb871a1fd52aa8e,raw/7500ed7f47b39acd697cc6e180f3fb484302e30860b50723edb871a1fd52aa8e.gz,HTML_P,p:107,1,89021b010b353fb1f93f001a2e1942946bfead5ae165feb1526f2490d36f9c79,CAPITAL_SPENDING,"[""capital expenditures""]","[""EXPANSION"",""EXPECTATION""]","[{""family"":""EXPECTATION"",""value"":""expects"",""start"":45,""end"":52,""negated"":false},{""family"":""EXPECTATION"",""value"":""project"",""start"":186,""end"":193,""negated"":false},{""family"":""EXPECTATION"",""value"":""project"",""start"":250,""end"":257,""negated"":false},{""family"":""EXPANSION"",""value"":""growth"",""start"":179,""end"":185,""negated"":false}]",False,False
bbd6bf4b8e508545e9b33cdd5a72b2a5abf057c47adf4035aa1b73c6cf8d718f,NEM,0001164727,0001193125-12-013134,2012-01-17T15:51:38.000Z,https://www.sec.gov/Archives/edgar/data/1164727/000119312512013134/d284164dex991.htm,7500ed7f47b39acd697cc6e180f3fb484302e30860b50723edb871a1fd52aa8e,raw/7500ed7f47b39acd697cc6e180f3fb484302e30860b50723edb871a1fd52aa8e.gz,HTML_P,p:216,2,56d84c5c7ac3343eb8fd38831957e7b91b80bc0d8ae2c5c0f84062c4bab4cbce,MANAGEMENT_UNCERTAINTY,"[""volatility""]","[""EXPANSION"",""UNCERTAINTY""]","[{""family"":""EXPANSION"",""value"":""increased"",""start"":107,""end"":116,""negated"":false},{""family"":""UNCERTAINTY"",""value"":""volatility"",""start"":72,""end"":82,""negated"":false}]",False,True
fa345c79fab97716c1be91c5dc5ba8b9c0f10458ea5857dc38f812ff9e81b512,NEM,0001164727,0001193125-12-013134,2012-01-17T15:51:38.000Z,https://www.sec.gov/Archives/edgar/data/1164727/000119312512013134/d284164dex991.htm,7500ed7f47b39acd697cc6e180f3fb484302e30860b50723edb871a1fd52aa8e,raw/7500ed7f47b39acd697cc6e180f3fb484302e30860b50723edb871a1fd52aa8e.gz,HTML_P,p:210,0,4bde11c8d27a515ae8b6c19407e3f710d2b686792bf208f8c3df33a74640643b,CAPITAL_SPENDING,"[""capital expenditures""]","[""EXPECTATION""]","[{""family"":""EXPECTATION"",""value"":""expected"",""start"":309,""end"":317,""negated"":false}]",False,False
0a278d7e9817385bb2a7f1bc8e90eb581a77e6195d99007797047ae769bee7fb,BA,0000012927,0001193125-12-022591,2012-01-25T12:46:00.000Z,https://www.sec.gov/Archives/edgar/data/12927/000119312512022591/d286838dex991.htm,d82574ee3c8b552a413c5f499ae4188ca20ee3bbe046a9e67ee88cf24c47f271,raw/d82574ee3c8b552a413c5f499ae4188ca20ee3bbe046a9e67ee88cf24c47f271.gz,HTML_P,p:48,1,b1fff44008002342ec0edb5ae9b5d40f8888681ac1a666d74e1529c90dd70b31,BACKLOG_OR_BOOKINGS,"[""backlog""]","[""EXPANSION""]","[{""family"":""EXPANSION"",""value"":""growth"",""start"":91,""end"":97,""negated"":false},{""family"":""EXPANSION"",""value"":""increased"",""start"":102,""end"":111,""negated"":false}]",False,False
3279401263ab7c7a57897cb79d7750bbbe67c3c592aaa709125bda72f9357f79,BA,0000012927,0001193125-12-022591,2012-01-25T12:46:00.000Z,https://www.sec.gov/Archives/edgar/data/12927/000119312512022591/d286838dex991.htm,d82574ee3c8b552a413c5f499ae4188ca20ee3bbe046a9e67ee88cf24c47f271,raw/d82574ee3c8b552a413c5f499ae4188ca20ee3bbe046a9e67ee88cf24c47f271.gz,HTML_P,p:147,0,591522dd5fe6b04bd659bb8b6bccf8e1fc44981da450a43dbba7d2aad0ab49ef,MARGIN,"[""margin"",""operating margin""]","[""EXPANSION""]","[{""family"":""EXPANSION"",""value"":""increased"",""start"":58,""end"":67,""negated"":false}]",False,False
45c53c3d3d92225385542a2793c790e65eef01ecb51d7f27f4c8b0b1ce6bb0b3,BA,0000012927,0001193125-12-022591,2012-01-25T12:46:00.000Z,https://www.sec.gov/Archives/edgar/data/12927/000119312512022591/d286838dex991.htm,d82574ee3c8b552a413c5f499ae4188ca20ee3bbe046a9e67ee88cf24c47f271,raw/d82574ee3c8b552a413c5f499ae4188ca20ee3bbe046a9e67ee88cf24c47f271.gz,HTML_P,p:99,1,22fefdfaac8db93d828efd38de76169e265e8597b69aba1b1989110f682a04be,MARGIN,"[""margin"",""operating margin""]","[""CONTRACTION"",""EXPANSION""]","[{""family"":""EXPANSION"",""value"":""higher"",""start"":135,""end"":141,""negated"":false},{""family"":""CONTRACTION"",""value"":""lower"",""start"":45,""end"":50,""negated"":false}]",False,False
6e06a095a834e790a71ea7348036788bc556e97584d07b36c609390b8ce5e8f3,BA,0000012927,0001193125-12-022591,2012-01-25T12:46:00.000Z,https://www.sec.gov/Archives/edgar/data/12927/000119312512022591/d286838dex991.htm,d82574ee3c8b552a413c5f499ae4188ca20ee3bbe046a9e67ee88cf24c47f271,raw/d82574ee3c8b552a413c5f499ae4188ca20ee3bbe046a9e67ee88cf24c47f271.gz,HTML_P,p:148,1,61367cc8f65d723e3a3205afd2caf0e22f2aed8aa2a1ec27061ef27f169b4b8f,MARGIN,"[""margin"",""operating margin""]","[""EXPANSION""]","[{""family"":""EXPANSION"",""value"":""increased"",""start"":17,""end"":26,""negated"":false},{""family"":""EXPANSION"",""value"":""higher"",""start"":53,""end"":59,""negated"":false}]",False,False
8ab217c2f1b280fe9989a375d041ab800e610d654dcd334d46aa50fd96ac0877,BA,0000012927,0001193125-12-022591,2012-01-25T12:46:00.000Z,https://www.sec.gov/Archives/edgar/data/12927/000119312512022591/d286838dex991.htm,d82574ee3c8b552a413c5f499ae4188ca20ee3bbe046a9e67ee88cf24c47f271,raw/d82574ee3c8b552a413c5f499ae4188ca20ee3bbe046a9e67ee88cf24c47f271.gz,HTML_P,p:155,1,6cb9f05e5ef78ef375b0e0f8f591d390e5b5824d1b430f91cd23d09fd9266089,MARGIN,"[""margin"",""operating margin""]","[""CONTRACTION""]","[{""family"":""CONTRACTION"",""value"":""decreased"",""start"":17,""end"":26,""negated"":false}]",False,False
8d09bda39fc13b4c071c4990332946eab394a9dfccb273b33ee2bc960359b198,BA,0000012927,0001193125-12-022591,2012-01-25T12:46:00.000Z,https://www.sec.gov/Archives/edgar/data/12927/000119312512022591/d286838dex991.htm,d82574ee3c8b552a413c5f499ae4188ca20ee3bbe046a9e67ee88cf24c47f271,raw/d82574ee3c8b552a413c5f499ae4188ca20ee3bbe046a9e67ee88cf24c47f271.gz,HTML_P,p:48,1,b1fff44008002342ec0edb5ae9b5d40f8888681ac1a666d74e1529c90dd70b31,MANAGEMENT_UNCERTAINTY,"[""headwinds""]","[""EXPANSION"",""UNCERTAINTY""]","[{""family"":""EXPANSION"",""value"":""growth"",""start"":91,""end"":97,""negated"":false},{""family"":""EXPANSION"",""value"":""increased"",""start"":102,""end"":111,""negated"":false},{""family"":""UNCERTAINTY"",""value"":""headwinds"",""start"":191,""end"":200,""negated"":false}]",False,False
