review_id,atomic_fact_id,ticker,cik,accession_number,accepted_at,source_url,source_sha256,source_path,source_kind,block_path,sentence_index,sentence_sha256,topic,topic_matches,cue_families,cue_matches,negated_cue_present,comparison_present,era,review_hash,review_decision,review_notes,reviewer_id,reviewed_at_utc,review_method
SESI-0001,80dd55dd8fd3fa28371172349ed98da5f818d816e03667b1fd8354d8637633b0,WMT,0000104169,0001193125-12-069086,2012-02-21T12:05:39.000Z,https://www.sec.gov/Archives/edgar/data/104169/000119312512069086/d305069dex991.htm,42e3e657c9a9678f9230565a3de769c96f9d0440cf7fc0ba678481a4f3c5c5c5,raw/42e3e657c9a9678f9230565a3de769c96f9d0440cf7fc0ba678481a4f3c5c5c5.gz,HTML_P,p:572,2,2a532318f04d8daf940ead2e841fa36dfcf952062a1a7ec5e51f6632ed36cb31,CAPITAL_SPENDING,"[""capital expenditures""]","[""CONTRACTION"",""EXPANSION""]","[{""family"":""EXPANSION"",""value"":""growth"",""start"":93,""end"":99,""negated"":false},{""family"":""CONTRACTION"",""value"":""decline"",""start"":11,""end"":18,""negated"":false}]",False,True,0,b2faceb5723b8c1303624a8b28efa0c8ff846588e1a0cfb1bd6fc9b4bf99e773,INVALID,TOPIC_CUE_SCOPE_MISMATCH: 변화·기대 표현이 추출 주제가 아니라 같은 문장의 다른 항목에 결합되어 있다.,codex-primary-source-review-v1,2026-08-02T05:22:20Z,AI_ASSISTED_PRIMARY_SOURCE_DIRECT
SESI-0002,c05e6ef174ccda16443133588e2cc6b811581c78550da75e71dc8e3a9e35f333,CAT,0000018230,0001104659-14-029739,2014-04-24T12:35:30.000Z,https://www.sec.gov/Archives/edgar/data/18230/000110465914029739/a14-11018_1ex99d1.htm,a9b6642f0489b564dc5278076842b3271583d863b10c074e5799f9432061bd88,raw/a9b6642f0489b564dc5278076842b3271583d863b10c074e5799f9432061bd88.gz,HTML_P,p:2157,1,34c67053b1a75fde25d38e6242448eb5e5710a0c63f0ef4e3d58329f345f4b28,DEMAND,"[""demand""]","[""EXPANSION""]","[{""family"":""EXPANSION"",""value"":""growth"",""start"":13,""end"":19,""negated"":false},{""family"":""EXPANSION"",""value"":""increase"",""start"":76,""end"":84,""negated"":false}]",False,False,0,de7ccdb837c608803eee2c44b1b0afd1f018f126babbc3219727e762bcf15cc4,VALID,,codex-primary-source-review-v1,2026-08-02T05:22:20Z,AI_ASSISTED_PRIMARY_SOURCE_DIRECT
SESI-0003,8d09bda39fc13b4c071c4990332946eab394a9dfccb273b33ee2bc960359b198,BA,0000012927,0001193125-12-022591,2012-01-25T12:46:00.000Z,https://www.sec.gov/Archives/edgar/data/12927/000119312512022591/d286838dex991.htm,d82574ee3c8b552a413c5f499ae4188ca20ee3bbe046a9e67ee88cf24c47f271,raw/d82574ee3c8b552a413c5f499ae4188ca20ee3bbe046a9e67ee88cf24c47f271.gz,HTML_P,p:48,1,b1fff44008002342ec0edb5ae9b5d40f8888681ac1a666d74e1529c90dd70b31,MANAGEMENT_UNCERTAINTY,"[""headwinds""]","[""EXPANSION"",""UNCERTAINTY""]","[{""family"":""EXPANSION"",""value"":""growth"",""start"":91,""end"":97,""negated"":false},{""family"":""EXPANSION"",""value"":""increased"",""start"":102,""end"":111,""negated"":false},{""family"":""UNCERTAINTY"",""value"":""headwinds"",""start"":191,""end"":200,""negated"":false}]",False,False,0,a48d9bc129c84d0084930a2c54b99e05a71936c01753a10711072095ec9d5ad4,VALID,,codex-primary-source-review-v1,2026-08-02T05:22:20Z,AI_ASSISTED_PRIMARY_SOURCE_DIRECT
SESI-0004,e4c61b4a7e6b42878dd91df2145a623d36c914262b387ed5e01e1882f7a9f7ba,SLB,0000087347,0001193125-16-434629,2016-01-21T21:29:01.000Z,https://www.sec.gov/Archives/edgar/data/87347/000119312516434629/d101672dex991.htm,f2b959aade944e2b4e8722f99fa6a1fde76d599402a6274229f373a1c8fa41a0,raw/f2b959aade944e2b4e8722f99fa6a1fde76d599402a6274229f373a1c8fa41a0.gz,HTML_P,p:27,2,efd7fe349ae482c130c5c7d010193c4b08dc8e53cafb253b3d19d6e0e26e3f3c,CAPITAL_SPENDING,"[""capex""]","[""CONTRACTION""]","[{""family"":""CONTRACTION"",""value"":""decrease"",""start"":4,""end"":12,""negated"":false},{""family"":""CONTRACTION"",""value"":""declined"",""start"":110,""end"":118,""negated"":false}]",False,True,1,ba29a1b3a282bdd52cb068c0dead5468438dbc3c099db1b6696458f41d3f2904,VALID,,codex-primary-source-review-v1,2026-08-02T05:22:20Z,AI_ASSISTED_PRIMARY_SOURCE_DIRECT
SESI-0005,85b6abae7cf56660801001b59f5c6ce8d0ba4be218fe726d013222ed2f8ad40d,SLB,0000087347,0001193125-22-266331,2022-10-21T11:11:32.000Z,https://www.sec.gov/Archives/edgar/data/87347/000119312522266331/d387926dex99.htm,e619421a53125e7553aab30fb9c595446391efcce15e21ae3ac57374faff2345,raw/e619421a53125e7553aab30fb9c595446391efcce15e21ae3ac57374faff2345.gz,HTML_P,p:142,1,2c0ba2642167e40af51e9195f7098dc7830c6914f12d74ea8215ec820a190e6c,MARGIN,"[""margin""]","[""EXPANSION""]","[{""family"":""EXPANSION"",""value"":""growth"",""start"":67,""end"":73,""negated"":false},{""family"":""EXPANSION"",""value"":""growth"",""start"":111,""end"":117,""negated"":false}]",False,True,3,b70498fadb0215f76d0af3025182e539087ec6553d5bc6d86389962a04651f8c,VALID,,codex-primary-source-review-v1,2026-08-02T05:22:20Z,AI_ASSISTED_PRIMARY_SOURCE_DIRECT
SESI-0006,ff9a6ede153049ccf6cbb3a718a7a09d0d8542072603375c89a0e000b9fe14aa,SHW,0000089800,0001193125-21-132585,2021-04-27T11:15:57.000Z,https://www.sec.gov/Archives/edgar/data/89800/000119312521132585/d154013dex99.htm,55b489d3dd32eed58255caff6f30ada8a15246ee5a205b75f3a8842d7215f589,raw/55b489d3dd32eed58255caff6f30ada8a15246ee5a205b75f3a8842d7215f589.gz,HTML_P,p:29,3,fbf01c89e6056601e62f1998a8b2e5c00ce1116c67deba18c745b9ea69593f3e,MARGIN,"[""margin""]","[""EXPANSION""]","[{""family"":""EXPANSION"",""value"":""growth"",""start"":31,""end"":37,""negated"":false}]",False,False,3,6b73758d0bc294bdc91315224f169586f7e5167fe9c844255a5e1dc54f190f18,VALID,,codex-primary-source-review-v1,2026-08-02T05:22:20Z,AI_ASSISTED_PRIMARY_SOURCE_DIRECT
SESI-0007,a4894407f4323607e07134a8e0006727de33b4e3dc4b5d0bda7064f6d278b924,MA,0001141391,0001193125-13-031107,2013-01-31T13:04:01.000Z,https://www.sec.gov/Archives/edgar/data/1141391/000119312513031107/d472808dex991.htm,a57bd2c13ce7abe1fc8ec5be19a6455512857fdc1e23d8c6c1feecae4be8c409,raw/a57bd2c13ce7abe1fc8ec5be19a6455512857fdc1e23d8c6c1feecae4be8c409.gz,HTML_P,p:28,0,7573248a31a1b5ccef2fc871b225209132c8ba187e77c701d582c7f84ff3915a,MARGIN,"[""margin"",""operating margin""]","[""EXPANSION""]","[{""family"":""EXPANSION"",""value"":""increased"",""start"":48,""end"":57,""negated"":false}]",False,False,0,6237e4d949f19c0dc7b0c2f9e2431387f8528a73ccfd4be110a8df2a2e3f90c2,INVALID,TOPIC_CUE_SCOPE_MISMATCH: 변화·기대 표현이 추출 주제가 아니라 같은 문장의 다른 항목에 결합되어 있다.,codex-primary-source-review-v1,2026-08-02T05:22:20Z,AI_ASSISTED_PRIMARY_SOURCE_DIRECT
SESI-0008,3b9164957e38f79d0f655e0ecac2577f9f4efb4e0fa755d79bc561cbb70f8028,CAT,0000018230,0001104659-14-029739,2014-04-24T12:35:30.000Z,https://www.sec.gov/Archives/edgar/data/18230/000110465914029739/a14-11018_1ex99d1.htm,a9b6642f0489b564dc5278076842b3271583d863b10c074e5799f9432061bd88,raw/a9b6642f0489b564dc5278076842b3271583d863b10c074e5799f9432061bd88.gz,HTML_P,p:228,1,fb5f8bc698290ece853f103795058bb84dd9e6bd4564589e8e1c4375afde7769,INVENTORY,"[""inventories""]","[""EXPANSION""]","[{""family"":""EXPANSION"",""value"":""increased"",""start"":31,""end"":40,""negated"":false},{""family"":""EXPANSION"",""value"":""increased"",""start"":103,""end"":112,""negated"":false}]",False,False,0,7a59e2df2f2293d29ad2b7c320cbcb0264139922a6b86835e2efe424d3dcd09b,INVALID,TOPIC_CUE_SCOPE_MISMATCH: 변화·기대 표현이 추출 주제가 아니라 같은 문장의 다른 항목에 결합되어 있다.,codex-primary-source-review-v1,2026-08-02T05:22:20Z,AI_ASSISTED_PRIMARY_SOURCE_DIRECT
SESI-0009,a679f3a88197882ede44af5c5b2d4c4a0847237496af48baf247bc6f96da206f,SLB,0000087347,0001193125-22-266331,2022-10-21T11:11:32.000Z,https://www.sec.gov/Archives/edgar/data/87347/000119312522266331/d387926dex99.htm,e619421a53125e7553aab30fb9c595446391efcce15e21ae3ac57374faff2345,raw/e619421a53125e7553aab30fb9c595446391efcce15e21ae3ac57374faff2345.gz,HTML_P,p:166,0,4e432942c50b8db648a3a75384dbf3acd71234b9d2bffc80ff70ff59822129b6,MARGIN,"[""margin"",""operating margin""]","[""EXPANSION""]","[{""family"":""EXPANSION"",""value"":""increased"",""start"":61,""end"":70,""negated"":false},{""family"":""EXPANSION"",""value"":""grew"",""start"":106,""end"":110,""negated"":false},{""family"":""EXPANSION"",""value"":""grew"",""start"":150,""end"":154,""negated"":false},{""family"":""EXPANSION"",""value"":""expanded"",""start"":196,""end"":204,""negated"":false}]",False,True,3,d976c33aab01991d623a040c4bbc328b84dd3f978c349d196186e7f6aaa80a06,VALID,,codex-primary-source-review-v1,2026-08-02T05:22:20Z,AI_ASSISTED_PRIMARY_SOURCE_DIRECT
SESI-0010,63fedcbb16161104b61ca26548a9ce773c64c89e56ad0c565ef1bd07ea13e721,TSLA,0001318605,0001564590-18-018490,2018-08-01T20:32:05.000Z,https://www.sec.gov/Archives/edgar/data/1318605/000156459018018490/tsla-ex991_6.htm,7ca4f95b245df3395d8e7f995f4c06839ea9d00f067c3585b84ae859095de441,raw/7ca4f95b245df3395d8e7f995f4c06839ea9d00f067c3585b84ae859095de441.gz,HTML_P,p:64,2,c2c797e1a19c203ab426c3a43e174a7e4e57266fe12a5afa978b775e9e7fe784,DEMAND,"[""demand""]","[""EXPANSION""]","[{""family"":""EXPANSION"",""value"":""accelerate"",""start"":12,""end"":22,""negated"":false}]",False,False,2,a33b4088c47ded2f7f1bd41e47401d70653eb0cb38c6ff80f9e9374dd7a90b0d,VALID,,codex-primary-source-review-v1,2026-08-02T05:22:20Z,AI_ASSISTED_PRIMARY_SOURCE_DIRECT
