atomicTransactionIdV1,accessionNumber,transactionDateMatch,transactionCodeMatch,transactionSharesMatch,transactionPricePerShareMatch,acquiredDisposedCodeMatch,sharesOwnedFollowingTransactionMatch,directOrIndirectOwnershipMatch,isDerivativeMatch,exactMatch,bulkCandidateFound
a2e3c3e82c9a46a0c008d4efdf76156df85c6869c729ac2d69854f2f816e7652,0001225208-23-007161,True,True,True,True,True,True,True,True,True,True
f09dbf3ec1c406daee401aabf87bb493ae43bcc8012b77686e80861a804eb4e8,0001225208-25-009611,True,True,True,True,True,True,True,True,True,True
3f83face5b699369453ac0c86f0bad1a86c641f6148abeb17c5ce7eee88f87e6,0001225208-24-000034,True,True,True,True,True,True,True,True,True,True
81f9618f5e51ac47071d469c3a1f946a122db16920f221349f87b81797bed06c,0001225208-23-009099,True,True,True,True,True,True,True,True,True,True
f1c636f34bb1b9f0d080245e977509cbfbbacb01c7282bdd5450fb1a81dd6be5,0001225208-13-020700,True,True,True,True,True,True,True,True,True,True
6bd8d671041ba6b591bb753793302a533b6025b4b9a34cf330cc08365acc14cb,0001225208-16-028601,True,True,True,True,True,True,True,True,True,True
52f2d1fa38e45406cae940462b1b640dccac20392dc6b7474be91385d8ed9861,0001225208-17-007680,True,True,True,True,True,True,True,True,True,True
312b0753f37dab80df53f535e66cb02b1eee7488782d4b4473ef709ffeaeab86,0001225208-20-003592,True,True,True,True,True,True,True,True,True,True
3018dad1ca41e15a08b369e2f8aed95565c4ce0eefd32b4d1c5cd95c6e2eea3b,0001225208-19-003801,True,True,True,True,True,True,True,True,True,True
38a2d759eb333101f6ed0241e2e044b08c19627a22c2bb174159ea971981c000,0001225208-19-003801,True,True,True,True,True,True,True,True,True,True
60e9b30b9c7c4f1935b991d653c48b07b60a26729ce2222292617935fa11646c,0000018230-17-000028,True,True,True,True,True,True,True,True,True,True
0e7ffc4b6297175b56ca50af35da058ed12eab39497ef8ce4d6610f3cc056519,0000018230-21-000248,True,True,True,True,True,True,True,True,True,True
e81da78848a7fd6ae6e2e79cf447f67b11b7b7595b109e2645449e092222309e,0001104659-24-124678,True,True,True,True,True,True,True,True,True,True
bb4c1faaffdc1eca43333ec8545e01b91916621ad8bf750527867c94861f8caa,0000018230-19-000218,True,True,True,True,True,True,True,True,True,True
91f4173fbe9fe340b6f28417a42f68a1586cb36b06b56ea31d8b8fca0b31295f,0000018230-18-000266,True,True,True,True,True,True,True,True,True,True
a58328aed52cbf693d42f12922d2c610d265db68c460911de69a4020f7890312,0000018230-17-000028,True,True,True,True,True,True,True,True,True,True
13059f6028580e9d2b16580aa19d3bb6a69c87642fc8f4dbd680dc5803e5d162,0001225208-14-002107,True,True,True,True,True,True,True,True,True,True
1c3f61f09bcb9725470b71c559ea85839c9665196240eefa71b9c5a46c51f2a1,0001225208-13-010304,True,True,True,True,True,True,True,True,True,True
791264043941489eddd6ca14c92389fca0a1a245da17a66931fdf60ebedd089f,0001225208-12-008747,True,True,True,True,True,True,True,True,True,True
4a499cf40070c692c96c1e38087eaa2f483e7351e8b419e2d0f6e7085ab8a1ed,0001225208-21-001004,True,True,True,True,True,True,True,True,True,True
a58c856bcf3fdbb7c1397577afce606bafcd300e5ae2e88e9a5be0072a312dcf,0001225208-19-009883,True,True,True,True,True,True,True,True,True,True
c676430a582ca1f61e433e4dcebaf75947168e5d8769d827306b5b8d9faaf7d7,0001127602-18-002472,True,True,True,True,True,True,True,True,True,True
5bd959f8bc27ac01483b3cd17dfe6241caa91268f9c50960a125f85398d883ad,0001127602-22-012569,True,True,True,True,True,True,True,True,True,True
43145db87e3cd940c369338c1b4228142c3d4381e8196b9be16835b7c5db6c31,0001127602-17-007284,True,True,True,True,True,True,True,True,True,True
cc56af7a2cc1ba4cf47ad8fe3e56b1d7f5a9dc07f0d20a747a945e7a5ff4efef,0001127602-18-008633,True,True,True,True,True,True,True,True,True,True
1f02df28eb6d6ffc6095b63b5a31743036a9228c1cff1a9063150f52b7b6f7de,0001127602-25-007082,True,True,True,True,True,True,True,True,True,True
201f65a3b2f26c7f334d4a2103ebef32126453e811a5d63cc43cebb3b2967501,0001127602-17-019353,True,True,True,True,True,True,True,True,True,True
c71055df8a830694568eeb3e1b18729eb19fd4cd3d8d6d3a72601eacb405238a,0001127602-20-011270,True,True,True,True,True,True,True,True,True,True
711e7de7f841e9c3bb82769d2ce133969c1a441d64d5bb645a7790d3c578b9f8,0001127602-14-035174,True,True,True,True,True,True,True,True,True,True
b5835e90a1d84ffe74cb247b970e38e5fed20aa48d11b4e9132d52af7034e754,0001127602-18-034793,True,True,True,True,True,True,True,True,True,True
2c24345c9e93afac08e476135a564bd1c566bcc649ece86adea2025a7dbd5ee7,0001127602-19-034580,True,True,True,True,True,True,True,True,True,True
548a1fdf61b19e2d300a54ffa2cbd63eb9328d8c593db8980f52253e87bd8607,0001127602-14-033625,True,True,True,True,True,True,True,True,True,True
b9a1b401ccbc9468f1a5c1a888e3438964a46883a5208c6f958bf52aafe06a1e,0001231205-17-000040,True,True,True,True,True,True,True,True,True,True
3f94244a071d35f48021027f2177cfd1c5ac18c0a1a424cc36a392d27c8d3138,0001062993-21-003861,True,True,True,True,True,True,True,True,True,True
f2017065252baad1bb170671ed4d07523c698cd364bca0e52e54796de7621030,0000040545-23-000217,True,True,True,True,True,True,True,True,True,True
db769b65c8d7e29f275fdea91bf2251e7438ab00081e8e1715b98ee941e33650,0000040545-25-000028,True,True,True,True,True,True,True,True,True,True
bd5d9c5bd228b05de4219cccd775a0ab13c381034e7736dd55132cb76a7360e5,0001062993-21-003861,True,True,True,True,True,True,True,True,True,True
1e6d5abab5efd6cfcf8ee534a1f6c0ddf9636a967c5ce72830dd65abce6cb86d,0000059478-15-000070,True,True,True,True,True,True,True,True,True,True
1ebb7c93703409401f72c75fde4c12db0532e4c43978f8553d56dd3c60f0f233,0001209191-22-056062,True,True,True,True,True,True,True,True,True,True
1f797f01e8722e70954709eafb41c7daadf3de35e32692909f465baa2ec374e2,0001209191-17-012604,True,True,True,True,True,True,True,True,True,True
fbca9670d6e1b0ca78a780e025279dcc73506d117a931e7ad52cede7a90b8ae2,0000059478-18-000264,True,True,True,True,True,True,True,True,True,True
6fcfd705c703ecaaa56068fa28e56bf52cc18b7d82bca88c0aa7682153e40ec5,0000059478-14-000036,True,True,True,True,True,True,True,True,True,True
64296cd410aab4341a4b76ba1cfd4167e37e7dd5540493be9b95d1b501e030c1,0001140361-16-053119,True,True,True,True,True,True,True,True,True,True
1ef9a2f544c2bff67bb22e39e21f719c156e13d3076d303d3e99c28793442575,0001567619-25-000209,True,True,True,True,True,True,True,True,True,True
0d4dc54dc8890e41004b2bd7fcadf8d10461c2acc23084bc249fed937d62af82,0001567619-18-000050,True,True,True,True,True,True,True,True,True,True
d757f8703b5a485939820bd0b268aa4235eb05fe79edbeaf2be402f9bed240bd,0001567619-22-004723,True,True,True,True,True,True,True,True,True,True
1822ea2a64bc5e2297e6f6c4cec867798aa5ebe41aa5dd1e8c80a48300e860f2,0001567619-21-000167,True,True,True,True,True,True,True,True,True,True
3240f83baedeb02f1f43d917195d621fcf98e2f5dc6f3013f1bf18271cbcaa13,0001723937-26-000002,True,True,True,True,True,True,True,True,True,True
8ad0e9c96270d2db022adf90232871936f8d7d291e021103250aebc4811e1575,0001225208-13-012665,True,True,True,True,True,True,True,True,True,True
a32fef5a32b7d8c15f6e09469a445b481892ffc421b501a47865786a6fc88edf,0001127602-22-005626,True,True,True,True,True,True,True,True,True,True
133cf173cabde818f6a8952832cb25f3f4463034d112ce52aaf0f3f641df28bc,0001127602-25-005652,True,True,True,True,True,True,True,True,True,True
ade29b810d04c2aeacf2954f082b4ab6a847529bc26c5b1a4cd3d627e4e6fa78,0001127602-23-002498,True,True,True,True,True,True,True,True,True,True
97a5bef436972186e2383745df223fa7f761ac95302c4e643a06f8028cc6b6e4,0001127602-23-002498,True,True,True,True,True,True,True,True,True,True
3b1d18ea1f5786926390b1166722fc54094d1e97e404ac42e6ca6829e6d2c506,0001127602-16-041865,True,True,True,True,True,True,True,True,True,True
86076b20bd4f51600b287a6aba18c7ad7ff703315d1ec38883f9fe23eef2d2bb,0001628280-25-029026,True,True,True,True,True,True,True,True,True,True
ad460eca3f79112e6fa3fdcf3babc7fa8b88d5572b65a5ddc8b87b1b8c432881,0001628280-25-029026,True,True,True,True,True,True,True,True,True,True
0254b1335e46f91c1bbcdd28b90d5d9ba8b8742fef7e19418319263dcc5a075d,0001209191-16-105704,True,True,True,True,True,True,True,True,True,True
701e2660fb83e7ece11242824151a9b4785bb4c403af5f5c98c934da53085927,0001209191-14-039132,True,True,True,True,True,True,True,True,True,True
aeaa8810a684e4e4477af1418f8c8c4ca966543f2b50db4041ff79fac940623d,0001127602-21-030429,True,True,True,True,True,True,True,True,True,True
1ce76aa04d3f4b93fbaaf529fa242136b4f24f170b4b78f9c4fa930b1a5b2f16,0001127602-24-025910,True,True,True,True,True,True,True,True,True,True
967b1cb3b2618e3fa484cd799511648ea1262706c44d1a2b6b836ee6ebfe20f8,0001127602-19-031248,True,True,True,True,True,True,True,True,True,True
1c09c53e93f5fdeb50d03c5efa6720bfc56371f4f112b73abb7bcff18399c2d2,0001127602-13-025502,True,True,True,True,True,True,True,True,True,True
e1f1a40a03472eb44a4d7053ca2580f57cc04a2b4d2cf2bcb241c12eedd11e56,0001127602-18-033702,True,True,True,True,True,True,True,True,True,True
a283060977308be235855ec9e231b5e0b0c4ad1f69b01075874a23a127fac700,0001127602-22-025649,True,True,True,True,True,True,True,True,True,True
932982ea3d92659541a4c134fea54970a0c35967d687be64a41f6290ff84ab97,0001246360-13-003117,True,True,True,True,True,True,True,True,True,True
03430ef8779820a9b212d43a8408bef552fe5aa61cfc21a465286c0af83ce338,0001127602-19-002563,True,True,True,True,True,True,True,True,True,True
664ab79d92b199d8128a6b0eea5cae9660a4dfd5674c9e9000d40481881705e9,0001127602-21-010692,True,True,True,True,True,True,True,True,True,True
9087aff9388ab9b47fc9815d6767509de7cef1530babd9b64076a5dee3c30ffa,0001246360-13-003117,True,True,True,True,True,True,True,True,True,True
3df00da48c3f4f068779963215d96986f23f6d69b6d4d8f98b12f61d57832f9c,0001127602-18-027016,True,True,True,True,True,True,True,True,True,True
7fee1ce726b30bd0de8eb8c99a6510b8e5125da266f37d29834a1a9b5dfec162,0001209191-15-015914,True,True,True,True,True,True,True,True,True,True
482038df7c526204e6cf18dc7e47fd64c10899c79cd77a8babc296c1cd1e5885,0000089800-12-000126,True,True,True,True,True,True,True,True,True,True
09042ae2872d9479c6649e70704899ab57ab3f07713d8ce38d5938c15753caf0,0001209191-17-056393,True,True,True,True,True,True,True,True,True,True
69f2526c26de7b8cd3173ffe4c853427be463dcd1f5118c367e6528fec806866,0000089800-12-000126,True,True,True,True,True,True,True,True,True,True
1c38b3313df225e78fac7939dca979527109fc9fed18ef2ca495a0bdf2ba2b7c,0000089800-24-000053,True,True,True,True,True,True,True,True,True,True
3568ca9cc42dea5f0b6885f264043ce8aa83ca4fefe35600e3efaa3e844d8996,0001209191-18-001150,True,True,True,True,True,True,True,True,True,True
9566fdc77044b389c4f69243e4e8f645bbc31cc81b57cf4c8274379fa07f914a,0001209191-19-038276,True,True,True,True,True,True,True,True,True,True
14be57df92fe7dcf23722145c1de7a186886f9afdff9bbb9011465418bc37c20,0001193125-26-051197,True,True,True,True,True,True,True,True,True,True
8470ad57202cc321753e8b3e7b805d83c56863751ba709895d5e664cf1312be8,0001209191-19-038276,True,True,True,True,True,True,True,True,True,True
b518b37a9da471a311b0102602aab86e8a59ddcc9ff874cab908ae8bc871f1ed,0001209191-19-038276,True,True,True,True,True,True,True,True,True,True
5a670629bca9df2c772d4d40f49903ac0f60183dd9f62aa9e675c80b50ce0f05,0001127602-19-027572,True,True,True,True,True,True,True,True,True,True
a3e650bdbb6755f62a6ff49847348992ce08961a08a06839443258f360623aa6,0001127602-24-017029,True,True,True,True,True,True,True,True,True,True
85668bfb690f59604316c69ea91d3c6d107dd17ba38b2d08887b9f7337778fe3,0001127602-21-024587,True,True,True,True,True,True,True,True,True,True
510977bcad37972c0eeda20fdfdb8d6b7f799c14d8ea45d6e34aba26d9f66014,0001127602-22-016034,True,True,True,True,True,True,True,True,True,True
0d48e102a7ac20dd57eb4bb31dd104349cc9a31a320d82280e02b9e31b42c344,0001127602-20-002912,True,True,True,True,True,True,True,True,True,True
7372ffa4ac8dc433e20f32a29144e4c91f99493abe904628255cb48c45d80773,0000100885-14-000174,True,True,True,True,True,True,True,True,True,True
4ef7a933d9ee1be042618c7aa4dbe06c7ad199b7692fd30866d88b5372714e88,0000100885-14-000174,True,True,True,True,True,True,True,True,True,True
46c4d90d754c1cc1c2aa906f117daac72a08f49db9adc76350e51250b9367758,0000100885-24-000045,True,True,True,True,True,True,True,True,True,True
1d55f2f0625b97e4e85e252324c82a84057a60dc56412b995091cce92ee1743e,0000100885-15-000145,True,True,True,True,True,True,True,True,True,True
77d39d3e82753197e5a39c3b174f4daf70c6af44ad1705b807097b50535db6d4,0000100885-12-000224,True,True,True,True,True,True,True,True,True,True
