ticker,episode_id,signal_date,last_observed_session,source_regime,SECTOR_RS_DAMAGE_DELTA_4W,TREND_QUALITY_DELTA_4W,PARTICIPATION_WEAKENING_DELTA_4W,MARKET_STRESS_DELTA_4W,path_label,mae_126d,mfe_126d,terminal_return_126d,low_before_high,recovered_after_low,time_to_low_sessions,time_to_high_sessions,outcome_end,sector_etf,issuerCik,purchaseSupport90d,purchaseSupportOwnerCount90d,purchaseSupportEventCount90d,latestPurchaseSupportFilingDate,adversePath,foldId
A,A-V61-001,2016-06-21,2016-06-21,NORMAL_RUSH,-0.0011042459158581,0.4700447702824797,0.0780212278932886,-0.0772680097620872,TEMPORARY_PULLBACK,-0.0844887819488857,0.0521585681550587,-0.0107699863503185,True,True,4,38,2016-12-19,XLV,0001090872,0,0,0,,0,OOS_2016_2018
A,A-V61-002,2017-03-10,2017-03-10,NORMAL_RUSH,0.0211290155208951,0.4372758892106508,-0.0287479943504065,0.0096787127101823,CONTINUATION,0.001150461922188,0.254977976871009,0.252666035695084,True,True,2,125,2017-09-08,XLV,0001090872,0,0,0,,0,OOS_2016_2018
A,A-V61-003,2019-03-01,2019-03-01,HEALTHY_RUSH,-0.0054043344672618,0.2292657892153004,0.4420844864990143,-0.4459076546461835,STRUCTURAL_BREAK,-0.1892075662848035,0.0106792027615565,-0.126040091290929,False,False,115,23,2019-08-29,XLV,0001090872,0,0,0,,1,OOS_2019_2021
A,A-V61-004,2020-08-07,2020-08-07,HEALTHY_RUSH,-0.0013585573878016,0.5012379348006232,-0.0240643310765981,-0.0297646593427831,CONTINUATION,-0.0269994986271158,0.3151114359312081,0.2664682931729243,True,True,21,107,2021-02-08,XLV,0001090872,0,0,0,,0,OOS_2019_2021
A,A-V61-005,2020-10-07,2020-10-07,HEALTHY_RUSH,-0.0260697087020174,-0.0354822659505366,0.2074648588132602,0.0003854628752046,CONTINUATION,-0.0213707831557258,0.2738488743972971,0.2738488743972971,True,True,15,126,2021-04-09,XLV,0001090872,0,0,0,,0,OOS_2019_2021
A,A-V61-006,2021-04-09,2021-04-09,HEALTHY_RUSH,-0.0500238849660195,-0.0781435650861183,-0.3857114783853065,0.0041990891729102,CONTINUATION,-0.024789898427459,0.3608942801110917,0.1804850338978052,True,True,23,103,2021-10-07,XLV,0001090872,0,0,0,,0,OOS_2019_2021
ABT,ABT-V61-001,2017-06-29,2017-06-29,HEALTHY_RUSH,-0.0035274704479042,-0.0114703295474134,-0.37876624687455,-0.0040605966885276,CONTINUATION,-0.016211645203178,0.1916835291582066,0.1914758112387777,True,True,4,125,2017-12-28,XLV,0000001800,0,0,0,,0,OOS_2016_2018
ABT,ABT-V61-002,2017-09-28,2017-09-28,HEALTHY_RUSH,-0.0116658095509598,0.1838500972727066,-0.4804334273344827,-0.0093227571551469,CONTINUATION,-0.0052198697192952,0.1975564591678931,0.0957207876887409,True,True,1,112,2018-04-02,XLV,0000001800,0,0,0,,0,OOS_2016_2018
ABT,ABT-V61-003,2018-09-12,2018-09-12,HEALTHY_RUSH,-0.0187320994268214,0.2530464169919457,0.0117227532433152,-0.0086500529076723,CONTINUATION,-0.0170292185920735,0.2029294309137397,0.2029294309137397,True,True,71,126,2019-03-15,XLV,0000001800,0,0,0,,0,OOS_2016_2018
ABT,ABT-V61-004,2019-03-04,2019-03-04,HEALTHY_RUSH,-0.0420701839190318,0.0209299983446293,-0.0235811042163809,-0.4459076546461835,TEMPORARY_PULLBACK,-0.0692156647497975,0.1375838702595611,0.0937419449092231,True,True,32,98,2019-08-30,XLV,0000001800,0,0,0,,0,OOS_2019_2021
ABT,ABT-V61-005,2019-07-08,2019-07-08,HEALTHY_RUSH,-0.0047046901833298,0.0270199859440193,-0.256826634199457,-0.057426342687049,TEMPORARY_PULLBACK,-0.0738746400524902,0.046801123458628,0.02257320169213,False,True,65,11,2020-01-06,XLV,0000001800,0,0,0,,0,OOS_2019_2021
ABT,ABT-V61-006,2020-10-15,2020-10-15,HEALTHY_RUSH,-0.0070066807145832,0.0236264566358039,-0.0957748408052741,-0.0406917663720123,CONTINUATION,-0.0216177329169424,0.1996513063056939,0.1693137713092369,True,True,10,82,2021-04-19,XLV,0000001800,0,0,0,,0,OOS_2019_2021
ABT,ABT-V61-007,2021-02-23,2021-02-23,HEALTHY_RUSH,-0.0623012131612277,-0.0019783518513846,0.2013471068754942,-0.0437962425640681,LARGE_PULLBACK,-0.1210394373618495,0.0535302958830168,0.0495270420578859,True,True,68,125,2021-08-23,XLV,0000001800,0,0,0,,1,OOS_2019_2021
ACGL,ACGL-V61-001,2016-12-15,2016-12-15,NORMAL_RUSH,0.0353603780427895,0.0757172223180733,-0.2342383903030661,-0.0416477675547031,CONTINUATION,-0.0162761162469682,0.1403670898449802,0.0931547801098633,True,True,15,115,2017-06-19,XLF,0000947484,1,1,1,2016-11-21,0,OOS_2016_2018
ACGL,ACGL-V61-002,2019-07-05,2019-07-05,HEALTHY_RUSH,-0.011622598503828,0.0159555463082928,-0.0955158843760573,-0.057426342687049,CONTINUATION,-0.0147446531682691,0.1427066710878315,0.141390148533093,True,True,11,125,2020-01-03,XLF,0000947484,0,0,0,,0,OOS_2019_2021
ACGL,ACGL-V61-003,2019-09-04,2019-09-04,HEALTHY_RUSH,0.0235653417744552,0.0330560138774088,-0.1873883930529649,0.071076470361208,CONTINUATION,-0.0095541191742027,0.1803038281312354,0.0085741970831145,False,True,122,115,2020-03-05,XLF,0000947484,0,0,0,,0,OOS_2019_2021
ACGL,ACGL-V61-004,2020-01-03,2020-01-03,HEALTHY_RUSH,-0.0381924977746817,-0.0374864424104431,-0.1291601391393274,-0.0177873584947134,STRUCTURAL_BREAK,-0.4869665396427614,0.1114187397520178,-0.3425605286210449,False,False,90,31,2020-07-06,XLF,0000947484,0,0,0,,1,OOS_2019_2021
ACGL,ACGL-V61-005,2022-11-29,2022-11-29,HEALTHY_RUSH,0.0448963977871086,0.4275427840869347,-0.3067432073558017,-0.0712397061839354,CONTINUATION,0.0032213803128409,0.3107832406581903,0.1812478544257905,True,True,4,112,2023-06-01,XLF,0000947484,1,1,1,2022-11-01,0,OOS_2022_2023
ACGL,ACGL-V61-006,2023-07-03,2023-07-03,HEALTHY_RUSH,-0.024704262897927,-0.1026061693899408,-0.2288110330880229,-0.0545722555786597,CONTINUATION,-0.00770367708866,0.2163805881992058,0.0210839931344823,False,True,116,85,2024-01-02,XLF,0000947484,0,0,0,,0,OOS_2022_2023
ACGL,ACGL-V61-007,2023-10-31,2023-10-31,HEALTHY_RUSH,-0.0103701333296839,0.0746097629998912,0.2352993109456443,0.4872205338113011,LARGE_PULLBACK,-0.1529764113985666,0.1052146889835994,0.0979464640604386,True,True,32,125,2024-05-02,XLF,0000947484,0,0,0,,1,OOS_2022_2023
ACGL,ACGL-V61-008,2024-03-18,2024-03-18,HEALTHY_RUSH,-0.1411749378857103,0.0512646371666277,0.0407280582485604,0.040719783729606,CONTINUATION,-0.0179430791346884,0.2496718238379118,0.2468271321328992,True,True,19,125,2024-09-17,XLF,0000947484,0,0,0,,0,OOS_2024_2026Q2
ACGL,ACGL-V61-009,2024-05-16,2024-05-16,HEALTHY_RUSH,-0.0163262969145772,0.3512151478108734,-0.2624264261416112,0.000353170307302,CONTINUATION,-0.0440194028956647,0.1623153924446878,0.012446914907555,True,True,47,97,2024-11-14,XLF,0000947484,0,0,0,,0,OOS_2024_2026Q2
