accession_number,expected_issuer_cik,candidate_tickers,source_sha256,reason,error
0001209191-14-048452,0000019617,JPM,e97f955a670c9dfdcd191ace9ce65756c94ad1b2b167000080a72e91a0953ae2,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0000922717 != 0000019617
0001552781-24-000392,0000021344,KO,2e66e1405c17d6ec9fcba34b2ae9955284aaf5b8ad7cb0e4c616dd1701841b3d,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0000317540 != 0000021344
0000899243-18-000362,0000040545,GE,59e6744dcb30699582eed9efd109d952c4529103ea342374eb73387e881cb1aa,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0001077183 != 0000040545
0000059478-19-000046,0000059478,LLY,eb1e9165ba68c6734e68b4eb7774900e107e732ad189a239621ab1344510416e,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0001403752 != 0000059478
0001140361-12-028949,0000070858,BAC,9ad31a03c6ec58c2c23e2ba9c70366bb08143abb3d9fc5c19f34353e2990ebfc,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0000908993 != 0000070858
0001181431-13-034170,0000070858,BAC,b8b0b26a42c1177566fc20b0e97a2deda53acea68436dc762278e1ea747134a0,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0001364479 != 0000070858
0001140361-14-017923,0000070858,BAC,62779d1faef1eac4d7985cfe35b0089eef4be18d74c7304b03f7f4c15264f4de,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0001181249 != 0000070858
0001140361-15-025435,0000070858,BAC,ec783878a47e435f45a2a3f0b640cddd769917ca0e5d68074a29bb1bfba7a5d3,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0001181250 != 0000070858
0001140361-15-026530,0000070858,BAC,d2b3990691cff100a4563dec8fa3a4abef1e6348c4f20da424ecba623d451777,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0001557915 != 0000070858
0001140361-18-015550,0000070858,BAC,2a90fab65b24311b59cab238e226f7a24d350f2c82ebfe8cd5f2b8ddc1410a1c,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0001074692 != 0000070858
0001567619-20-004394,0000070858,BAC,1e317c4c12c49cbe475698b79c5ae5dd99a6993c884a83ce5915d71b1f2432e5,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0001083839 != 0000070858
0001140361-24-049525,0000070858,BAC,dc998ce4ab2afa46e85e20832249996f064596d94850dc7ccc23788bacabd651,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0000855887 != 0000070858
0001140361-24-049527,0000070858,BAC,c94c81a5749c158ffc5c591ff9e130b1ce42ea0db58049293e27e2cf8003967b,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0001223026 != 0000070858
0000070858-26-000336,0000070858,BAC,c90dc7d40762cad52d714611477a2cc13a0faff7db677499541b649db81859f7,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0001726711 != 0000070858
0000904454-16-001373,0000200406,JNJ,e2f65d3fef12c4189e13365ded61ffd3f29daca1aa24d1210d22adedbde40b6a,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0001377121 != 0000200406
0000904454-18-000479,0000200406,JNJ,6237e79203559199490642fe159f4b791b9ef87af272eebf26bdafd2d8f0024d,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0001695357 != 0000200406
0001104659-18-059933,0000310158,MRK,a77b11a0b5db697adfaa385bd4f18dceaf9bb02b0283fd63b383f4d57ae3d31b,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0001382101 != 0000310158
0000769993-12-000322,0000886982,GS,df07fed2d7da95276f48c43daa57cfc1224fe867b29a5cc663ea80dfe13872dc,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0001142750 != 0000886982
0000769993-12-000343,0000886982,GS,5090ac888e25eda8ee2430a76203b653304321c954daedb30325722d1e78df26,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0001326801 != 0000886982
0001140361-13-002910,0000886982,GS,1c187275816be39652e5c95cab6e9ef047d5e644b17d64480ff3bb75b3715d97,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0001471261 != 0000886982
0000769993-15-000392,0000886982,GS,e932b92427b39e88987d4f73d378c56c7140ec63d07eb9c65fc1299b2ac40eac,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0001237746 != 0000886982
0000769993-15-000675,0000886982,GS,8162cc8b3d5323ab5e68151476627626244ff01250ed500af4cf57dd958b95bb,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0001584509 != 0000886982
0000769993-16-001088,0000886982,GS,0584edbadcd660b1c35b7ed8eac5e5334db0ae60648a629b245ea812bcdc6a69,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0001572694 != 0000886982
0000769993-19-000322,0000886982,GS,54688b7c6aa9f9009ea8a523f9596f322bd235dedd1126914dffa670b793516c,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0001592000 != 0000886982
0000769993-19-000563,0000886982,GS,8d9c9201fcc8c4d06994276374bab112dd9912409b0e5ae1647d901cc6a7c00e,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0001592000 != 0000886982
0001209191-21-037897,0000886982,GS,9945c97f0c34e4426bd7b803bd0643e051f20d58df103b58b356652a47f213a5,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0001580560 != 0000886982
0000895345-21-000692,0000886982,GS,8387a6ccc289009907eaf47fcf8c79fc8c5e5e9492d7ee49ea879fdf056055a2,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0000876883 != 0000886982
0000950170-24-074526,0000886982,GS,50513ea8cbf663c502358a6e3623d043001420f723da6cacf16cd1959529a25f,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0000876883 != 0000886982
0000899243-21-047521,0001018724,AMZN,788bdad03f70506373273ac49f17824bfa88437351ff9f94920ae449b50ec91a,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0000894081 != 0001018724
0000899243-16-033520,0001341439,ORCL,e9604f5c5f3ee8af196f54d4d244bf222420af94b76b19883b4737728bb497a6,SUBMISSIONS_CONTAINER_IS_NOT_XML_ISSUER,issuerCik mismatch: 0001117106 != 0001341439
