issuer_cik,calendar_year,catalogAccessions,reviewSampleAccessions,downloadedAccessions,parsedAccessions,issuerRejectedAccessions,unresolvedSourceAccessions,downloadCoverage,parseCoverage,cellComplete
0000002969,2012,93,2,2,2,0,0,0.021505376344086023,0.021505376344086023,False
0000002969,2013,107,2,2,2,0,0,0.018691588785046728,0.018691588785046728,False
0000002969,2014,83,2,2,2,0,0,0.024096385542168676,0.024096385542168676,False
0000002969,2015,79,2,2,2,0,0,0.02531645569620253,0.02531645569620253,False
0000002969,2016,66,2,2,2,0,0,0.030303030303030304,0.030303030303030304,False
0000002969,2017,57,2,2,2,0,0,0.03508771929824561,0.03508771929824561,False
0000002969,2018,49,2,2,2,0,0,0.04081632653061224,0.04081632653061224,False
0000002969,2019,55,2,2,2,0,0,0.03636363636363636,0.03636363636363636,False
0000002969,2020,51,2,2,2,0,0,0.0392156862745098,0.0392156862745098,False
0000002969,2021,55,2,2,2,0,0,0.03636363636363636,0.03636363636363636,False
0000002969,2022,51,2,2,2,0,0,0.0392156862745098,0.0392156862745098,False
0000002969,2023,47,2,2,2,0,0,0.0425531914893617,0.0425531914893617,False
0000002969,2024,59,2,2,2,0,0,0.03389830508474576,0.03389830508474576,False
0000002969,2025,68,2,2,2,0,0,0.029411764705882353,0.029411764705882353,False
0000002969,2026,35,2,2,2,0,0,0.05714285714285714,0.05714285714285714,False
0000012927,2012,97,2,2,2,0,0,0.020618556701030927,0.020618556701030927,False
0000012927,2013,86,2,2,2,0,0,0.023255813953488372,0.023255813953488372,False
0000012927,2014,82,2,2,2,0,0,0.024390243902439025,0.024390243902439025,False
0000012927,2015,98,2,2,2,0,0,0.02040816326530612,0.02040816326530612,False
0000012927,2016,102,2,2,2,0,0,0.0196078431372549,0.0196078431372549,False
0000012927,2017,122,2,2,2,0,0,0.01639344262295082,0.01639344262295082,False
0000012927,2018,102,2,2,2,0,0,0.0196078431372549,0.0196078431372549,False
0000012927,2019,96,2,2,2,0,0,0.020833333333333332,0.020833333333333332,False
0000012927,2020,103,2,2,2,0,0,0.019417475728155338,0.019417475728155338,False
0000012927,2021,84,2,2,2,0,0,0.023809523809523808,0.023809523809523808,False
0000012927,2022,85,2,2,2,0,0,0.023529411764705882,0.023529411764705882,False
0000012927,2023,82,2,2,2,0,0,0.024390243902439025,0.024390243902439025,False
0000012927,2024,77,2,2,2,0,0,0.025974025974025976,0.025974025974025976,False
0000012927,2025,92,2,2,2,0,0,0.021739130434782608,0.021739130434782608,False
0000012927,2026,63,2,2,2,0,0,0.031746031746031744,0.031746031746031744,False
0000018230,2012,234,2,2,2,0,0,0.008547008547008548,0.008547008547008548,False
0000018230,2013,197,2,2,2,0,0,0.01015228426395939,0.01015228426395939,False
0000018230,2014,170,2,2,2,0,0,0.011764705882352941,0.011764705882352941,False
0000018230,2015,119,2,2,2,0,0,0.01680672268907563,0.01680672268907563,False
0000018230,2016,123,2,2,2,0,0,0.016260162601626018,0.016260162601626018,False
0000018230,2017,104,2,2,2,0,0,0.019230769230769232,0.019230769230769232,False
0000018230,2018,95,2,2,2,0,0,0.021052631578947368,0.021052631578947368,False
0000018230,2019,97,2,2,2,0,0,0.020618556701030927,0.020618556701030927,False
0000018230,2020,91,2,2,2,0,0,0.02197802197802198,0.02197802197802198,False
0000018230,2021,73,2,2,2,0,0,0.0273972602739726,0.0273972602739726,False
0000018230,2022,72,2,2,2,0,0,0.027777777777777776,0.027777777777777776,False
0000018230,2023,74,2,2,2,0,0,0.02702702702702703,0.02702702702702703,False
0000018230,2024,103,2,2,2,0,0,0.019417475728155338,0.019417475728155338,False
0000018230,2025,91,2,2,2,0,0,0.02197802197802198,0.02197802197802198,False
0000018230,2026,84,2,2,2,0,0,0.023809523809523808,0.023809523809523808,False
0000019617,2012,120,2,2,2,0,0,0.016666666666666666,0.016666666666666666,False
0000019617,2013,116,2,2,2,0,0,0.017241379310344827,0.017241379310344827,False
0000019617,2014,125,2,2,1,1,0,0.016,0.008,False
0000019617,2015,92,2,2,2,0,0,0.021739130434782608,0.021739130434782608,False
0000019617,2016,95,2,2,1,0,1,0.021052631578947368,0.010526315789473684,False
0000019617,2017,100,2,2,2,0,0,0.02,0.02,False
0000019617,2018,86,2,2,2,0,0,0.023255813953488372,0.023255813953488372,False
0000019617,2019,125,2,2,2,0,0,0.016,0.016,False
0000019617,2020,93,2,2,2,0,0,0.021505376344086023,0.021505376344086023,False
0000019617,2021,104,2,2,2,0,0,0.019230769230769232,0.019230769230769232,False
0000019617,2022,95,2,2,2,0,0,0.021052631578947368,0.021052631578947368,False
0000019617,2023,109,2,2,2,0,0,0.01834862385321101,0.01834862385321101,False
0000019617,2024,113,2,2,2,0,0,0.017699115044247787,0.017699115044247787,False
0000019617,2025,118,2,2,2,0,0,0.01694915254237288,0.01694915254237288,False
0000019617,2026,119,2,2,2,0,0,0.01680672268907563,0.01680672268907563,False
0000021344,2012,153,2,2,2,0,0,0.013071895424836602,0.013071895424836602,False
0000021344,2013,109,2,2,2,0,0,0.01834862385321101,0.01834862385321101,False
0000021344,2014,118,2,2,2,0,0,0.01694915254237288,0.01694915254237288,False
0000021344,2015,109,2,2,2,0,0,0.01834862385321101,0.01834862385321101,False
0000021344,2016,60,2,2,2,0,0,0.03333333333333333,0.03333333333333333,False
0000021344,2017,53,2,2,2,0,0,0.03773584905660377,0.03773584905660377,False
0000021344,2018,63,2,2,2,0,0,0.031746031746031744,0.031746031746031744,False
0000021344,2019,87,2,2,2,0,0,0.022988505747126436,0.022988505747126436,False
0000021344,2020,70,2,2,2,0,0,0.02857142857142857,0.02857142857142857,False
0000021344,2021,69,2,2,2,0,0,0.028985507246376812,0.028985507246376812,False
0000021344,2022,62,2,2,2,0,0,0.03225806451612903,0.03225806451612903,False
0000021344,2023,65,2,2,2,0,0,0.03076923076923077,0.03076923076923077,False
0000021344,2024,71,2,2,1,1,0,0.028169014084507043,0.014084507042253521,False
0000021344,2025,56,2,2,2,0,0,0.03571428571428571,0.03571428571428571,False
0000021344,2026,60,2,2,2,0,0,0.03333333333333333,0.03333333333333333,False
0000034088,2012,102,2,2,2,0,0,0.0196078431372549,0.0196078431372549,False
0000034088,2013,75,2,2,2,0,0,0.02666666666666667,0.02666666666666667,False
0000034088,2014,81,2,2,2,0,0,0.024691358024691357,0.024691358024691357,False
0000034088,2015,78,2,2,1,0,1,0.02564102564102564,0.01282051282051282,False
0000034088,2016,83,2,2,1,0,1,0.024096385542168676,0.012048192771084338,False
0000034088,2017,70,2,2,1,0,1,0.02857142857142857,0.014285714285714285,False
0000034088,2018,73,2,2,1,0,1,0.0273972602739726,0.0136986301369863,False
0000034088,2019,49,2,2,2,0,0,0.04081632653061224,0.04081632653061224,False
0000034088,2020,47,2,2,2,0,0,0.0425531914893617,0.0425531914893617,False
0000034088,2021,61,2,2,2,0,0,0.03278688524590164,0.03278688524590164,False
0000034088,2022,50,2,2,2,0,0,0.04,0.04,False
0000034088,2023,42,2,2,2,0,0,0.047619047619047616,0.047619047619047616,False
0000034088,2024,41,2,2,1,0,1,0.04878048780487805,0.024390243902439025,False
0000034088,2025,39,2,2,2,0,0,0.05128205128205128,0.05128205128205128,False
0000034088,2026,21,2,2,2,0,0,0.09523809523809523,0.09523809523809523,False
0000040545,2012,106,2,2,2,0,0,0.018867924528301886,0.018867924528301886,False
0000040545,2013,104,2,2,2,0,0,0.019230769230769232,0.019230769230769232,False
0000040545,2014,116,2,2,2,0,0,0.017241379310344827,0.017241379310344827,False
0000040545,2015,103,2,2,2,0,0,0.019417475728155338,0.019417475728155338,False
0000040545,2016,98,2,2,2,0,0,0.02040816326530612,0.02040816326530612,False
0000040545,2017,111,2,2,2,0,0,0.018018018018018018,0.018018018018018018,False
0000040545,2018,103,2,2,1,1,0,0.019417475728155338,0.009708737864077669,False
0000040545,2019,97,2,2,2,0,0,0.020618556701030927,0.020618556701030927,False
0000040545,2020,89,2,2,2,0,0,0.02247191011235955,0.02247191011235955,False
0000040545,2021,89,2,2,2,0,0,0.02247191011235955,0.02247191011235955,False
0000040545,2022,78,2,2,2,0,0,0.02564102564102564,0.02564102564102564,False
0000040545,2023,68,2,2,2,0,0,0.029411764705882353,0.029411764705882353,False
0000040545,2024,67,2,2,2,0,0,0.029850746268656716,0.029850746268656716,False
