ticker,issuer_cik,calendar_year,coverage_state,form4_submissions,atomic_transactions,zero_filing_is_observed
A,0001090872,2012,OBSERVED_OFFICIAL_BULK,57,118,False
A,0001090872,2013,OBSERVED_OFFICIAL_BULK,55,162,False
A,0001090872,2014,OBSERVED_OFFICIAL_BULK,50,127,False
A,0001090872,2015,OBSERVED_OFFICIAL_BULK,37,95,False
A,0001090872,2016,OBSERVED_OFFICIAL_BULK,47,115,False
A,0001090872,2017,OBSERVED_OFFICIAL_BULK,78,188,False
A,0001090872,2018,OBSERVED_OFFICIAL_BULK,53,112,False
A,0001090872,2019,OBSERVED_OFFICIAL_BULK,76,164,False
A,0001090872,2020,OBSERVED_OFFICIAL_BULK,88,155,False
A,0001090872,2021,OBSERVED_OFFICIAL_BULK,88,158,False
A,0001090872,2022,OBSERVED_OFFICIAL_BULK,84,135,False
A,0001090872,2023,OBSERVED_OFFICIAL_BULK,70,105,False
A,0001090872,2024,OBSERVED_OFFICIAL_BULK,59,83,False
A,0001090872,2025,OBSERVED_OFFICIAL_BULK,63,89,False
A,0001090872,2026,OBSERVED_OFFICIAL_BULK,20,23,False
ABT,0000001800,2012,OBSERVED_OFFICIAL_BULK,135,776,False
ABT,0000001800,2013,OBSERVED_OFFICIAL_BULK,82,217,False
ABT,0000001800,2014,OBSERVED_OFFICIAL_BULK,87,219,False
ABT,0000001800,2015,OBSERVED_OFFICIAL_BULK,99,274,False
ABT,0000001800,2016,OBSERVED_OFFICIAL_BULK,103,472,False
ABT,0000001800,2017,OBSERVED_OFFICIAL_BULK,112,449,False
ABT,0000001800,2018,OBSERVED_OFFICIAL_BULK,110,636,False
ABT,0000001800,2019,OBSERVED_OFFICIAL_BULK,109,457,False
ABT,0000001800,2020,OBSERVED_OFFICIAL_BULK,113,227,False
ABT,0000001800,2021,OBSERVED_OFFICIAL_BULK,118,252,False
ABT,0000001800,2022,OBSERVED_OFFICIAL_BULK,91,156,False
ABT,0000001800,2023,OBSERVED_OFFICIAL_BULK,81,145,False
ABT,0000001800,2024,OBSERVED_OFFICIAL_BULK,56,95,False
ABT,0000001800,2025,OBSERVED_OFFICIAL_BULK,59,90,False
ABT,0000001800,2026,OBSERVED_OFFICIAL_BULK,48,70,False
ACGL,0000947484,2012,OBSERVED_OFFICIAL_BULK,64,140,False
ACGL,0000947484,2013,OBSERVED_OFFICIAL_BULK,38,86,False
ACGL,0000947484,2014,OBSERVED_OFFICIAL_BULK,50,131,False
ACGL,0000947484,2015,OBSERVED_OFFICIAL_BULK,42,122,False
ACGL,0000947484,2016,OBSERVED_OFFICIAL_BULK,40,124,False
ACGL,0000947484,2017,OBSERVED_OFFICIAL_BULK,58,173,False
ACGL,0000947484,2018,OBSERVED_OFFICIAL_BULK,40,78,False
ACGL,0000947484,2019,OBSERVED_OFFICIAL_BULK,43,117,False
ACGL,0000947484,2020,OBSERVED_OFFICIAL_BULK,30,62,False
ACGL,0000947484,2021,OBSERVED_OFFICIAL_BULK,45,98,False
ACGL,0000947484,2022,OBSERVED_OFFICIAL_BULK,39,118,False
ACGL,0000947484,2023,OBSERVED_OFFICIAL_BULK,38,86,False
ACGL,0000947484,2024,OBSERVED_OFFICIAL_BULK,40,79,False
ACGL,0000947484,2025,OBSERVED_OFFICIAL_BULK,36,83,False
ACGL,0000947484,2026,OBSERVED_OFFICIAL_BULK,33,60,False
ACN,0001467373,2012,OBSERVED_OFFICIAL_BULK,259,346,False
ACN,0001467373,2013,OBSERVED_OFFICIAL_BULK,254,320,False
ACN,0001467373,2014,OBSERVED_OFFICIAL_BULK,260,319,False
ACN,0001467373,2015,OBSERVED_OFFICIAL_BULK,274,369,False
ACN,0001467373,2016,OBSERVED_OFFICIAL_BULK,258,352,False
ACN,0001467373,2017,OBSERVED_OFFICIAL_BULK,264,351,False
ACN,0001467373,2018,OBSERVED_OFFICIAL_BULK,250,404,False
ACN,0001467373,2019,OBSERVED_OFFICIAL_BULK,257,381,False
ACN,0001467373,2020,OBSERVED_OFFICIAL_BULK,269,445,False
ACN,0001467373,2021,OBSERVED_OFFICIAL_BULK,226,359,False
ACN,0001467373,2022,OBSERVED_OFFICIAL_BULK,226,399,False
ACN,0001467373,2023,OBSERVED_OFFICIAL_BULK,237,382,False
ACN,0001467373,2024,OBSERVED_OFFICIAL_BULK,250,426,False
ACN,0001467373,2025,OBSERVED_OFFICIAL_BULK,234,369,False
ACN,0001467373,2026,OBSERVED_OFFICIAL_BULK,138,232,False
ADBE,0000796343,2012,OBSERVED_OFFICIAL_BULK,55,315,False
ADBE,0000796343,2013,OBSERVED_OFFICIAL_BULK,74,406,False
ADBE,0000796343,2014,OBSERVED_OFFICIAL_BULK,89,448,False
ADBE,0000796343,2015,OBSERVED_OFFICIAL_BULK,80,365,False
ADBE,0000796343,2016,OBSERVED_OFFICIAL_BULK,75,264,False
ADBE,0000796343,2017,OBSERVED_OFFICIAL_BULK,53,210,False
ADBE,0000796343,2018,OBSERVED_OFFICIAL_BULK,56,215,False
ADBE,0000796343,2019,OBSERVED_OFFICIAL_BULK,61,227,False
ADBE,0000796343,2020,OBSERVED_OFFICIAL_BULK,98,365,False
ADBE,0000796343,2021,OBSERVED_OFFICIAL_BULK,88,391,False
ADBE,0000796343,2022,OBSERVED_OFFICIAL_BULK,79,406,False
ADBE,0000796343,2023,OBSERVED_OFFICIAL_BULK,100,498,False
ADBE,0000796343,2024,OBSERVED_OFFICIAL_BULK,104,501,False
ADBE,0000796343,2025,OBSERVED_OFFICIAL_BULK,74,412,False
ADBE,0000796343,2026,OBSERVED_OFFICIAL_BULK,41,259,False
ADI,0000006281,2012,OBSERVED_OFFICIAL_BULK,108,314,False
ADI,0000006281,2013,OBSERVED_OFFICIAL_BULK,116,393,False
ADI,0000006281,2014,OBSERVED_OFFICIAL_BULK,89,331,False
ADI,0000006281,2015,OBSERVED_OFFICIAL_BULK,73,250,False
ADI,0000006281,2016,OBSERVED_OFFICIAL_BULK,60,169,False
ADI,0000006281,2017,OBSERVED_OFFICIAL_BULK,110,336,False
ADI,0000006281,2018,OBSERVED_OFFICIAL_BULK,106,317,False
ADI,0000006281,2019,OBSERVED_OFFICIAL_BULK,103,340,False
ADI,0000006281,2020,OBSERVED_OFFICIAL_BULK,101,239,False
ADI,0000006281,2021,OBSERVED_OFFICIAL_BULK,75,241,False
ADI,0000006281,2022,OBSERVED_OFFICIAL_BULK,63,183,False
ADI,0000006281,2023,OBSERVED_OFFICIAL_BULK,69,233,False
ADI,0000006281,2024,OBSERVED_OFFICIAL_BULK,77,196,False
ADI,0000006281,2025,OBSERVED_OFFICIAL_BULK,78,211,False
ADI,0000006281,2026,OBSERVED_OFFICIAL_BULK,45,152,False
ADM,0000007084,2012,OBSERVED_OFFICIAL_BULK,152,210,False
ADM,0000007084,2013,OBSERVED_OFFICIAL_BULK,176,444,False
ADM,0000007084,2014,OBSERVED_OFFICIAL_BULK,134,206,False
ADM,0000007084,2015,OBSERVED_OFFICIAL_BULK,123,142,False
ADM,0000007084,2016,OBSERVED_OFFICIAL_BULK,139,220,False
ADM,0000007084,2017,OBSERVED_OFFICIAL_BULK,101,119,False
ADM,0000007084,2018,OBSERVED_OFFICIAL_BULK,120,144,False
ADM,0000007084,2019,OBSERVED_OFFICIAL_BULK,116,138,False
ADM,0000007084,2020,OBSERVED_OFFICIAL_BULK,122,176,False
ADM,0000007084,2021,OBSERVED_OFFICIAL_BULK,115,143,False
ADM,0000007084,2022,OBSERVED_OFFICIAL_BULK,130,198,False
ADM,0000007084,2023,OBSERVED_OFFICIAL_BULK,122,134,False
ADM,0000007084,2024,OBSERVED_OFFICIAL_BULK,109,153,False
ADM,0000007084,2025,OBSERVED_OFFICIAL_BULK,114,142,False
ADM,0000007084,2026,OBSERVED_OFFICIAL_BULK,74,109,False
ADP,0000008670,2012,OBSERVED_OFFICIAL_BULK,105,185,False
ADP,0000008670,2013,OBSERVED_OFFICIAL_BULK,124,201,False
ADP,0000008670,2014,OBSERVED_OFFICIAL_BULK,114,272,False
ADP,0000008670,2015,OBSERVED_OFFICIAL_BULK,88,195,False
ADP,0000008670,2016,OBSERVED_OFFICIAL_BULK,74,170,False
ADP,0000008670,2017,OBSERVED_OFFICIAL_BULK,77,204,False
ADP,0000008670,2018,OBSERVED_OFFICIAL_BULK,87,266,False
ADP,0000008670,2019,OBSERVED_OFFICIAL_BULK,78,266,False
ADP,0000008670,2020,OBSERVED_OFFICIAL_BULK,86,209,False
ADP,0000008670,2021,OBSERVED_OFFICIAL_BULK,100,358,False
ADP,0000008670,2022,OBSERVED_OFFICIAL_BULK,84,277,False
ADP,0000008670,2023,OBSERVED_OFFICIAL_BULK,54,145,False
ADP,0000008670,2024,OBSERVED_OFFICIAL_BULK,79,214,False
ADP,0000008670,2025,OBSERVED_OFFICIAL_BULK,83,219,False
ADP,0000008670,2026,OBSERVED_OFFICIAL_BULK,18,26,False
ADSK,0000769397,2012,OBSERVED_OFFICIAL_BULK,51,124,False
ADSK,0000769397,2013,OBSERVED_OFFICIAL_BULK,52,144,False
ADSK,0000769397,2014,OBSERVED_OFFICIAL_BULK,58,139,False
ADSK,0000769397,2015,OBSERVED_OFFICIAL_BULK,60,119,False
ADSK,0000769397,2016,OBSERVED_OFFICIAL_BULK,77,108,False
ADSK,0000769397,2017,OBSERVED_OFFICIAL_BULK,84,151,False
ADSK,0000769397,2018,OBSERVED_OFFICIAL_BULK,55,75,False
ADSK,0000769397,2019,OBSERVED_OFFICIAL_BULK,50,74,False
ADSK,0000769397,2020,OBSERVED_OFFICIAL_BULK,52,78,False
ADSK,0000769397,2021,OBSERVED_OFFICIAL_BULK,39,93,False
ADSK,0000769397,2022,OBSERVED_OFFICIAL_BULK,43,79,False
ADSK,0000769397,2023,OBSERVED_OFFICIAL_BULK,65,99,False
ADSK,0000769397,2024,OBSERVED_OFFICIAL_BULK,57,94,False
ADSK,0000769397,2025,OBSERVED_OFFICIAL_BULK,38,62,False
ADSK,0000769397,2026,OBSERVED_OFFICIAL_BULK,24,43,False
AEE,0001002910,2012,OBSERVED_OFFICIAL_BULK,48,86,False
AEE,0001002910,2013,OBSERVED_OFFICIAL_BULK,39,78,False
AEE,0001002910,2014,OBSERVED_OFFICIAL_BULK,29,45,False
AEE,0001002910,2015,OBSERVED_OFFICIAL_BULK,36,36,False
AEE,0001002910,2016,OBSERVED_OFFICIAL_BULK,43,43,False
AEE,0001002910,2017,OBSERVED_OFFICIAL_BULK,39,46,False
AEE,0001002910,2018,OBSERVED_OFFICIAL_BULK,57,66,False
AEE,0001002910,2019,OBSERVED_OFFICIAL_BULK,58,66,False
AEE,0001002910,2020,OBSERVED_OFFICIAL_BULK,63,69,False
AEE,0001002910,2021,OBSERVED_OFFICIAL_BULK,61,70,False
AEE,0001002910,2022,OBSERVED_OFFICIAL_BULK,56,84,False
AEE,0001002910,2023,OBSERVED_OFFICIAL_BULK,49,68,False
AEE,0001002910,2024,OBSERVED_OFFICIAL_BULK,45,59,False
AEE,0001002910,2025,OBSERVED_OFFICIAL_BULK,57,73,False
AEE,0001002910,2026,OBSERVED_OFFICIAL_BULK,47,62,False
AEP,0000004904,2012,OBSERVED_OFFICIAL_BULK,69,74,False
AEP,0000004904,2013,OBSERVED_OFFICIAL_BULK,95,117,False
AEP,0000004904,2014,OBSERVED_OFFICIAL_BULK,74,145,False
AEP,0000004904,2015,OBSERVED_OFFICIAL_BULK,77,175,False
AEP,0000004904,2016,OBSERVED_OFFICIAL_BULK,71,171,False
AEP,0000004904,2017,OBSERVED_OFFICIAL_BULK,70,177,False
AEP,0000004904,2018,OBSERVED_OFFICIAL_BULK,72,165,False
AEP,0000004904,2019,OBSERVED_OFFICIAL_BULK,76,138,False
AEP,0000004904,2020,OBSERVED_OFFICIAL_BULK,93,139,False
AEP,0000004904,2021,OBSERVED_OFFICIAL_BULK,114,163,False
AEP,0000004904,2022,OBSERVED_OFFICIAL_BULK,100,134,False
