atomicTransactionId,issuerCik,candidateTickers,accessionNumber,transactionCode,structuralDecision,mismatchFields,sourceSha256,humanReviewDecision
a2e3c3e82c9a46a0c008d4efdf76156df85c6869c729ac2d69854f2f816e7652,0000002969,APD,0001225208-23-007161,A,STRUCTURE_MATCH,,6f1fa2385870488d9c800d0ede82010af7cf5d66a2e90b773db59fee6e94441c,PENDING
f09dbf3ec1c406daee401aabf87bb493ae43bcc8012b77686e80861a804eb4e8,0000002969,APD,0001225208-25-009611,A,STRUCTURE_MATCH,,19e38cad6e9f4d36abfa5e485b107bc59ffc3607bc49ffe9d97adaa0f4fc1481,PENDING
3f83face5b699369453ac0c86f0bad1a86c641f6148abeb17c5ce7eee88f87e6,0000002969,APD,0001225208-24-000034,A,STRUCTURE_MATCH,,5d3247ef20b4a8587f02e54888a1c52d7967e2001f444099b441d61f07627556,PENDING
81f9618f5e51ac47071d469c3a1f946a122db16920f221349f87b81797bed06c,0000002969,APD,0001225208-23-009099,A,STRUCTURE_MATCH,,98cd32df9aea49220ca05a054142edc706582fb2b13eebb6ed896ea44557659d,PENDING
f1c636f34bb1b9f0d080245e977509cbfbbacb01c7282bdd5450fb1a81dd6be5,0000002969,APD,0001225208-13-020700,A,STRUCTURE_MATCH,,1c8e957184f738627608ff4d84a47e061e77c70cbeee02c598cd9a48781927b2,PENDING
6bd8d671041ba6b591bb753793302a533b6025b4b9a34cf330cc08365acc14cb,0000012927,BA,0001225208-16-028601,F,STRUCTURE_MATCH,,3dc6b92929a4eaec807f141e4bd871788bc423fac882e2b7d830da7ffdb82ad6,PENDING
52f2d1fa38e45406cae940462b1b640dccac20392dc6b7474be91385d8ed9861,0000012927,BA,0001225208-17-007680,A,STRUCTURE_MATCH,,dd604c79d8dc2084a85458a5a008e5afbf9d2f84f5a9d1830da6aab23b86bbdb,PENDING
312b0753f37dab80df53f535e66cb02b1eee7488782d4b4473ef709ffeaeab86,0000012927,BA,0001225208-20-003592,A,STRUCTURE_MATCH,,641564639da11f39aa56f198cf058415dc6642f591447cef23e2fb3d25b6aee9,PENDING
3018dad1ca41e15a08b369e2f8aed95565c4ce0eefd32b4d1c5cd95c6e2eea3b,0000012927,BA,0001225208-19-003801,A,STRUCTURE_MATCH,,31c7a09ba745c966f7e026029db6a9eb63f86d3f5c13f7215adb8e421fc1b7e9,PENDING
38a2d759eb333101f6ed0241e2e044b08c19627a22c2bb174159ea971981c000,0000012927,BA,0001225208-19-003801,F,STRUCTURE_MATCH,,31c7a09ba745c966f7e026029db6a9eb63f86d3f5c13f7215adb8e421fc1b7e9,PENDING
60e9b30b9c7c4f1935b991d653c48b07b60a26729ce2222292617935fa11646c,0000018230,CAT,0000018230-17-000028,M,STRUCTURE_MATCH,,ebf846f4f142d4f33e0eb9c6ad35599be8a1d2cc97b06cd69f111bbb6fec426c,PENDING
0e7ffc4b6297175b56ca50af35da058ed12eab39497ef8ce4d6610f3cc056519,0000018230,CAT,0000018230-21-000248,A,STRUCTURE_MATCH,,aaa51f90ac8c07d70a1f0dd8a3345e73fb1c5d38c8d6aae1021991f448ebf0d0,PENDING
e81da78848a7fd6ae6e2e79cf447f67b11b7b7595b109e2645449e092222309e,0000018230,CAT,0001104659-24-124678,S,STRUCTURE_MATCH,,be81df62848a8af9e39c10e2d26aa680348e0fb964a7d7bd4fc868f5fe3b7daa,PENDING
bb4c1faaffdc1eca43333ec8545e01b91916621ad8bf750527867c94861f8caa,0000018230,CAT,0000018230-19-000218,A,STRUCTURE_MATCH,,7285ef581ce212b9c2eff8a5caf3498ed9b8062def46874d1d3bac0605fe4bd3,PENDING
91f4173fbe9fe340b6f28417a42f68a1586cb36b06b56ea31d8b8fca0b31295f,0000018230,CAT,0000018230-18-000266,A,STRUCTURE_MATCH,,743d47d691282c04a9a696ec423ec89c151dbe7dfdce4a3e0c9fc886bb123c24,PENDING
a58328aed52cbf693d42f12922d2c610d265db68c460911de69a4020f7890312,0000018230,CAT,0000018230-17-000028,D,STRUCTURE_MATCH,,ebf846f4f142d4f33e0eb9c6ad35599be8a1d2cc97b06cd69f111bbb6fec426c,PENDING
13059f6028580e9d2b16580aa19d3bb6a69c87642fc8f4dbd680dc5803e5d162,0000019617,JPM,0001225208-14-002107,M,STRUCTURE_MATCH,,7e97e9c585cc86cd7fb5fbaf7ebbe1fd4e80c73e96aa1d414d40ff1d61ed96bb,PENDING
1c3f61f09bcb9725470b71c559ea85839c9665196240eefa71b9c5a46c51f2a1,0000019617,JPM,0001225208-13-010304,F,STRUCTURE_MATCH,,fce11672b377a544a13bbc7205d7557a093ebac15705af59a199600915fda514,PENDING
791264043941489eddd6ca14c92389fca0a1a245da17a66931fdf60ebedd089f,0000019617,JPM,0001225208-12-008747,A,STRUCTURE_MATCH,,e3aed464020074daaa01c31b10c46675c3cc873448890ec5a6a94a97a6b992a0,PENDING
4a499cf40070c692c96c1e38087eaa2f483e7351e8b419e2d0f6e7085ab8a1ed,0000019617,JPM,0001225208-21-001004,S,STRUCTURE_MATCH,,bfd311346bacbdfb5c70eb74bdc595be7f6c121cff07b56bf17e6f6b866026a3,PENDING
a58c856bcf3fdbb7c1397577afce606bafcd300e5ae2e88e9a5be0072a312dcf,0000019617,JPM,0001225208-19-009883,A,STRUCTURE_MATCH,,153777b26f08b381a23a04d9cdad7d9ce60210212a9adb2dd094f9b49d911376,PENDING
