binding_id,ticker,cik,accession_number,accepted_at,document_name,source_url,source_sha256,source_kind,block_path,source_structure,range_offset,metric,fiscal_period,accounting_basis,metric_subtype,unit,lower_bound,upper_bound,midpoint,review_id,reviewer,reviewed_at,review_ledger,review_ledger_sha256,semantic_locator_collision,pair_eligible,atomic_binding_authority,direction_authority,veto_authority
a6eac7bd542545bf8861d91fc393f23fd9995a6dad2abecb6e6ac63b4387c989,CVS,0000064803,0001193125-10-105423,2010-05-04T11:45:08.000Z,dex991.htm,https://www.sec.gov/Archives/edgar/data/64803/000119312510105423/dex991.htm,36f6a75ee8eb4f999f5efcc479bcace2b0e43690f38a567b18e9eec233f22c7e,HTML_P,/html/body/document/type/sequence/filename/description/text/p[25],NARRATIVE_CLAUSE,347,EPS,FY2010,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,2.77,2.84,2.805,SG9-0046,CODEX_SOURCE_AUDIT,2026-07-23,data/reports/sec_guidance_structure_v9_reviewed.csv,0f8d57c5a3efbf9e97eff7e7e715ae52be53b19e7b21fc799f888875b4691b92,False,True,SOURCE_REVIEWED_FACT_ONLY,False,False
cb1908de515153e774fae43c71bab41520ed90ecedd638035bea6ef8ea636c48,MCO,0001059556,0001193125-11-002389,2011-01-06T11:05:23.000Z,dex991.htm,https://www.sec.gov/Archives/edgar/data/1059556/000119312511002389/dex991.htm,108abe34c0fdef0f1d0bcd52bc97396e6de858f5f450d23a3272f250e3ce7641,HTML_P,/html/body/document/type/sequence/filename/description/text/table[1]/tr[4]/td[3]/p[5],NARRATIVE_CLAUSE,387,EPS,FY2010,UNSPECIFIED,NOT_APPLICABLE,USD_PER_SHARE,2.08,2.14,2.11,SG9-0028,CODEX_SOURCE_AUDIT,2026-07-23,data/reports/sec_guidance_structure_v9_reviewed.csv,0f8d57c5a3efbf9e97eff7e7e715ae52be53b19e7b21fc799f888875b4691b92,False,False,SOURCE_REVIEWED_FACT_ONLY,False,False
8c5ab8f5654f0b92a19fce1f1b441860b9f2b38d64a2ba34af229c8c73d79c9f,A,0001090872,0001104659-11-007399,2011-02-14T21:47:24.000Z,a11-5889_1ex99d1.htm,https://www.sec.gov/Archives/edgar/data/1090872/000110465911007399/a11-5889_1ex99d1.htm,5fc7f88333b5e7ac874ab7095fd7e3068a73d08bcd2c24b520a3be3df28c9c16,HTML_P,/html/body/document/type/sequence/filename/description/text/div[3]/p[6],NARRATIVE_CLAUSE,74,REVENUE,FY2011,UNSPECIFIED,NOT_APPLICABLE,USD,6300000000,6400000000,6350000000,SG9-0074,CODEX_SOURCE_AUDIT,2026-07-23,data/reports/sec_guidance_structure_v9_reviewed.csv,0f8d57c5a3efbf9e97eff7e7e715ae52be53b19e7b21fc799f888875b4691b92,False,False,SOURCE_REVIEWED_FACT_ONLY,False,False
af7e266ecd204f32dd129b297ef2e5b5635fe6430ada4e1a050444a53c7d1750,A,0001090872,0001104659-11-007399,2011-02-14T21:47:24.000Z,a11-5889_1ex99d1.htm,https://www.sec.gov/Archives/edgar/data/1090872/000110465911007399/a11-5889_1ex99d1.htm,5fc7f88333b5e7ac874ab7095fd7e3068a73d08bcd2c24b520a3be3df28c9c16,HTML_P,/html/body/document/type/sequence/filename/description/text/div[1]/p[23],NARRATIVE_CLAUSE,66,REVENUE,FY2011,UNSPECIFIED,NOT_APPLICABLE,USD,6300000000,6400000000,6350000000,SG9-0078,CODEX_SOURCE_AUDIT,2026-07-23,data/reports/sec_guidance_structure_v9_reviewed.csv,0f8d57c5a3efbf9e97eff7e7e715ae52be53b19e7b21fc799f888875b4691b92,False,False,SOURCE_REVIEWED_FACT_ONLY,False,False
0d80e8f5402b25d9f8464aceca37d17b29520dd868b4f31e50b73a6797eacb3a,GILD,0000882095,0001193125-11-103724,2011-04-20T20:26:26.000Z,dex991.htm,https://www.sec.gov/Archives/edgar/data/882095/000119312511103724/dex991.htm,f88b6ade15b1b202825a90ae1a11ffb60a02992d3fdb6265e71250a15dcadcae,,,HTML_TABLE_GRID,0,MARGIN,FY2011,GAAP,NOT_APPLICABLE,PERCENT,73,75,74,SG9-0059,CODEX_SOURCE_AUDIT,2026-07-23,data/reports/sec_guidance_structure_v9_reviewed.csv,0f8d57c5a3efbf9e97eff7e7e715ae52be53b19e7b21fc799f888875b4691b92,False,True,SOURCE_REVIEWED_FACT_ONLY,False,False
872e7460f65537ff0f4de2d8657cdc0a82e6dd50879e2e06b91b5b663993a498,GILD,0000882095,0001193125-11-103724,2011-04-20T20:26:26.000Z,dex991.htm,https://www.sec.gov/Archives/edgar/data/882095/000119312511103724/dex991.htm,f88b6ade15b1b202825a90ae1a11ffb60a02992d3fdb6265e71250a15dcadcae,,,HTML_TABLE_GRID,0,MARGIN,FY2011,NON_GAAP,NOT_APPLICABLE,PERCENT,74,76,75,SG9-0058,CODEX_SOURCE_AUDIT,2026-07-23,data/reports/sec_guidance_structure_v9_reviewed.csv,0f8d57c5a3efbf9e97eff7e7e715ae52be53b19e7b21fc799f888875b4691b92,False,True,SOURCE_REVIEWED_FACT_ONLY,False,False
2474521bfe7532b5ba650d35481ee0616fd1f0c7028b8777cbce44a67b5a8f02,MAR,0001048286,0001193125-11-103828,2011-04-20T21:07:57.000Z,dex99.htm,https://www.sec.gov/Archives/edgar/data/1048286/000119312511103828/dex99.htm,726f6a5e159188b7b43b5b9f6d77e3fc4366ff78adbf0748458f8366fd29672a,HTML_P,/html/body/document/type/sequence/filename/description/text/p[79],NARRATIVE_CLAUSE,253,EPS,FY2011,UNSPECIFIED,NOT_APPLICABLE,USD_PER_SHARE,1.35,1.45,1.4,SG9-0040,CODEX_SOURCE_AUDIT,2026-07-23,data/reports/sec_guidance_structure_v9_reviewed.csv,0f8d57c5a3efbf9e97eff7e7e715ae52be53b19e7b21fc799f888875b4691b92,False,False,SOURCE_REVIEWED_FACT_ONLY,False,False
3e6b0138d9f87f6200b3189ca5d31c6300cf0cd00115a85504801726a4f1b472,A,0001090872,0001104659-11-028722,2011-05-13T12:04:23.000Z,a11-12215_1ex99d1.htm,https://www.sec.gov/Archives/edgar/data/1090872/000110465911028722/a11-12215_1ex99d1.htm,599016c49a47c22c194d7be43d74abfa973a3a0bd395b0f357a780f4211dc44d,HTML_P,/html/body/document/type/sequence/filename/description/text/div[1]/p[22],NARRATIVE_CLAUSE,66,REVENUE,FY2011,UNSPECIFIED,NOT_APPLICABLE,USD,6550000000,6600000000,6575000000,SG9-0070,CODEX_SOURCE_AUDIT,2026-07-23,data/reports/sec_guidance_structure_v9_reviewed.csv,0f8d57c5a3efbf9e97eff7e7e715ae52be53b19e7b21fc799f888875b4691b92,False,False,SOURCE_REVIEWED_FACT_ONLY,False,False
a8de3dcb14db8e7edfe73fcb8f979f624198aa6605e9ec2f34c086ac37501531,A,0001090872,0001104659-11-028722,2011-05-13T12:04:23.000Z,a11-12215_1ex99d1.htm,https://www.sec.gov/Archives/edgar/data/1090872/000110465911028722/a11-12215_1ex99d1.htm,599016c49a47c22c194d7be43d74abfa973a3a0bd395b0f357a780f4211dc44d,HTML_P,/html/body/document/type/sequence/filename/description/text/div[3]/p[4],NARRATIVE_CLAUSE,74,REVENUE,FY2011,UNSPECIFIED,NOT_APPLICABLE,USD,6550000000,6600000000,6575000000,SG9-0079,CODEX_SOURCE_AUDIT,2026-07-23,data/reports/sec_guidance_structure_v9_reviewed.csv,0f8d57c5a3efbf9e97eff7e7e715ae52be53b19e7b21fc799f888875b4691b92,False,False,SOURCE_REVIEWED_FACT_ONLY,False,False
fc9696adb2307b345c81fddc26652466bd9f627c356438e58bcf59e8e8781b52,MAR,0001048286,0001193125-11-187624,2011-07-13T20:38:33.000Z,dex99.htm,https://www.sec.gov/Archives/edgar/data/1048286/000119312511187624/dex99.htm,9656bc2d892ac4add5514492c5b6e0379961cd172b36c8b59aacb0f23ca0c875,,,HTML_TABLE_GRID,0,REVENUE,FY2011,UNSPECIFIED,NOT_APPLICABLE,USD,120000000,125000000,122500000,SG9-0077,CODEX_SOURCE_AUDIT,2026-07-23,data/reports/sec_guidance_structure_v9_reviewed.csv,0f8d57c5a3efbf9e97eff7e7e715ae52be53b19e7b21fc799f888875b4691b92,False,False,SOURCE_REVIEWED_FACT_ONLY,False,False
c8b416f4f67f192594ab286e9cbbee3b6a8b327cfd2ae7d7602d9a5e0a3c1778,TT,0001466258,0001193125-11-193139,2011-07-21T13:05:13.000Z,dex991.htm,https://www.sec.gov/Archives/edgar/data/1466258/000119312511193139/dex991.htm,17e2a4513ea868d51d2d9248dab89c9e7825d3243822abb5dac75a189e0f01c0,HTML_P,/html/body/document/type/sequence/filename/description/text/table[5]/tr/td[4]/p,NARRATIVE_CLAUSE,62,EPS,FY2011,UNSPECIFIED,NOT_APPLICABLE,USD_PER_SHARE,2.9,3.1,3,SG9-0010,CODEX_SOURCE_AUDIT,2026-07-23,data/reports/sec_guidance_structure_v9_reviewed.csv,0f8d57c5a3efbf9e97eff7e7e715ae52be53b19e7b21fc799f888875b4691b92,False,False,SOURCE_REVIEWED_FACT_ONLY,False,False
5855aff71b5216036be3344f060b2c5781d8e518d2d38dab903603c24c019e13,MCO,0001059556,0001157523-11-004278,2011-07-27T12:01:15.000Z,a6806332ex99_1.htm,https://www.sec.gov/Archives/edgar/data/1059556/000115752311004278/a6806332ex99_1.htm,77aea25eb142685921a14e4d95381c66accb2e8dd9df38ddbaf9ba3e7fb21568,HTML_LI,/html/body/document/type/sequence/filename/description/text/ul/li[3],NARRATIVE_CLAUSE,44,EPS,FY2011,UNSPECIFIED,NOT_APPLICABLE,USD_PER_SHARE,2.38,2.48,2.43,SG9-0030,CODEX_SOURCE_AUDIT,2026-07-23,data/reports/sec_guidance_structure_v9_reviewed.csv,0f8d57c5a3efbf9e97eff7e7e715ae52be53b19e7b21fc799f888875b4691b92,False,False,SOURCE_REVIEWED_FACT_ONLY,False,False
abf51475ef125b6f20409f8ee5cc48c1d84bb1289c66185d85f0aab4cb23fd22,CDNS,0000813672,0001193125-11-200857,2011-07-28T20:14:40.000Z,dex9901.htm,https://www.sec.gov/Archives/edgar/data/813672/000119312511200857/dex9901.htm,e78dc528d72a8030b60c8c3401131f2bea311a921cd4a37de9bd45a8e1c82008,HTML_P,/html/body/document/type/sequence/filename/description/text/p[16],NARRATIVE_CLAUSE,74,REVENUE,FY2011,UNSPECIFIED,NOT_APPLICABLE,USD,1115000000,1135000000,1125000000,SG9-0073,CODEX_SOURCE_AUDIT,2026-07-23,data/reports/sec_guidance_structure_v9_reviewed.csv,0f8d57c5a3efbf9e97eff7e7e715ae52be53b19e7b21fc799f888875b4691b92,False,False,SOURCE_REVIEWED_FACT_ONLY,False,False
