ticker,cik,accession_number,form,filing_date,accepted_at,items,primary_document,archive_dir,index_json_url,classification_status
ALK,0000766421,0000766421-16-000089,8-K,2016-07-21,2016-07-21T00:47:58.000Z,"2.02,7.01",alk8-k7212016earningsrelea.htm,https://www.sec.gov/Archives/edgar/data/766421/000076642116000089,https://www.sec.gov/Archives/edgar/data/766421/000076642116000089/index.json,NOT_CLASSIFIED
AAL,0000006201,0001193125-16-654462,8-K,2016-07-22,2016-07-22T13:31:34.000Z,7.01,d198323d8k.htm,https://www.sec.gov/Archives/edgar/data/6201/000119312516654462,https://www.sec.gov/Archives/edgar/data/6201/000119312516654462/index.json,NOT_CLASSIFIED
KKR,0001404912,0001404912-16-000015,8-K,2016-07-26,2016-07-26T01:27:05.000Z,2.02,q2168-kearningsreleasewrap.htm,https://www.sec.gov/Archives/edgar/data/1404912/000140491216000015,https://www.sec.gov/Archives/edgar/data/1404912/000140491216000015/index.json,NOT_CLASSIFIED
MOH,0001179929,0001179929-16-000326,8-K,2016-07-27,2016-07-27T20:19:35.000Z,2.02,moh2q16063020168k.htm,https://www.sec.gov/Archives/edgar/data/1179929/000117992916000326,https://www.sec.gov/Archives/edgar/data/1179929/000117992916000326/index.json,NOT_CLASSIFIED
LKQ,0001065696,0001065696-16-000127,8-K,2016-07-28,2016-07-28T11:20:02.000Z,2.02,lkq8-k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569616000127,https://www.sec.gov/Archives/edgar/data/1065696/000106569616000127/index.json,NOT_CLASSIFIED
PCG,0001004980,0001140361-16-073622,8-K,2016-07-28,2016-07-28T13:00:28.000Z,"2.02,7.01",form8k.htm,https://www.sec.gov/Archives/edgar/data/1004980/000114036116073622,https://www.sec.gov/Archives/edgar/data/1004980/000114036116073622/index.json,NOT_CLASSIFIED
PODD,0001145197,0001157523-16-006408,8-K,2016-08-03,2016-08-03T20:06:17.000Z,2.02,a51392768.htm,https://www.sec.gov/Archives/edgar/data/1145197/000115752316006408,https://www.sec.gov/Archives/edgar/data/1145197/000115752316006408/index.json,NOT_CLASSIFIED
SMCI,0001375365,0001628280-16-018511,8-K,2016-08-04,2016-08-04T20:15:46.000Z,2.02,form8-kq4x2016.htm,https://www.sec.gov/Archives/edgar/data/1375365/000162828016018511,https://www.sec.gov/Archives/edgar/data/1375365/000162828016018511/index.json,NOT_CLASSIFIED
AAL,0000006201,0001193125-16-672769,8-K,2016-08-05,2016-08-05T13:54:02.000Z,7.01,d238369d8k.htm,https://www.sec.gov/Archives/edgar/data/6201/000119312516672769,https://www.sec.gov/Archives/edgar/data/6201/000119312516672769/index.json,NOT_CLASSIFIED
GAP,0000039911,0000039911-16-000344,8-K,2016-08-08,2016-08-08T20:23:12.000Z,2.02,july20168-kresalesrelease.htm,https://www.sec.gov/Archives/edgar/data/39911/000003991116000344,https://www.sec.gov/Archives/edgar/data/39911/000003991116000344/index.json,NOT_CLASSIFIED
