ticker,cik
AAL,0000006201
AAP,0001158449
ABNB,0001559720
ACGL,0000947484
ALK,0000766421
AMTM,0002011286
APP,0001751008
AXON,0001069183
BIO,0000012208
BLDR,0001316835
BRO,0000079282
BWA,0000908255
BX,0001393818
CAG,0000023217
CEG,0001868275
CIEN,0000936395
COIN,0001679788
COTY,0001024305
CPT,0000906345
CRWD,0001535527
CSGP,0001057352
DASH,0001792789
DDOG,0001561550
DECK,0000910521
DELL,0001571996
ECHO,0001415404
EME,0000105634
EMN,0000915389
ENPH,0001463101
EPAM,0001352010
EQT,0000033213
ERIE,0000922621
ETSY,0001370637
EXE,0000895126
FBIN,0001519751
FDS,0001013237
FIX,0001035983
FLS,0000030625
FMC,0000037785
FSLR,0001274494
FTI,0001681459
GAP,0000039911
GDDY,0001609711
GEHC,0001932393
GEV,0001996810
GNRC,0001474735
HONA,0002089271
HOOD,0001783879
HRB,0000012659
HUBB,0000048898
IBKR,0001381197
ILMN,0001110803
IPGP,0001111928
JBL,0000898293
KDP,0001418135
KKR,0001404912
KMX,0001170010
KVUE,0001944048
LEG,0000058492
LII,0001069202
LITE,0001633978
LKQ,0001065696
LNC,0000059558
LULU,0001397187
LUMN,0000018926
LW,0001679273
MBC,0001941365
MHK,0000851968
MKTX,0001278021
MOH,0001179929
MPWR,0001280452
MRNA,0001682852
MRVL,0001835632
NDSN,0000072331
NOV,0001021860
NWL,0000814453
OGN,0001821825
ON,0001097864
PANW,0001327567
PAYC,0001590955
PCG,0001004980
PENN,0000921738
PLTR,0001321655
PODD,0001145197
POOL,0000945841
PTC,0000857005
Q,0002058873
QRVO,0001604778
RHI,0000315213
SEDG,0001419612
SLG,0001040971
SMCI,0001375365
SOLS,0002064953
SOLV,0001964738
STLD,0001022671
TER,0000097210
TFX,0000096943
TKO,0001973266
TPL,0001811074
TRMB,0000864749
UA,0001336917
UBER,0001543151
UNM,0000005513
VEEV,0001393052
VFC,0000103379
VICI,0001705696
VLTO,0001967680
VNO,0000899689
VNT,0001786842
VRT,0001674101
VST,0001692819
WDAY,0001327811
WSM,0000719955
XRAY,0000818479
XRX,0001770450
XYZ,0001512673
