ticker,cik,eligible_filings
AAL,0000006201,157
ACGL,0000947484,74
ALK,0000766421,144
BLDR,0001316835,77
BWA,0000908255,99
COTY,0001024305,64
EQT,0000033213,87
EXE,0000895126,87
FIX,0001035983,91
FMC,0000037785,61
GAP,0000039911,70
ILMN,0001110803,64
KKR,0001404912,100
LEG,0000058492,67
LKQ,0001065696,71
LUMN,0000018926,66
MOH,0001179929,119
MRNA,0001682852,82
NWL,0000814453,64
PCG,0001004980,106
PENN,0000921738,63
PODD,0001145197,75
POOL,0000945841,90
SMCI,0001375365,66
STLD,0001022671,70
VFC,0000103379,69
VICI,0001705696,72
VNO,0000899689,89
VST,0001692819,68
XRAY,0000818479,74
