cik,ticker,lower_events,control_events,sector_residual_effect,max_drawdown_effect
0000010795,BDX,2,2,0.0321836394331,0.017523692715
0000049071,HUM,2,1,0.08078712841,0.00688013990986
0000105770,WST,1,6,0.110012833496,0.075477359385
0000310158,MRK,6,12,0.0569753564016,-0.00595624289793
0000804328,QCOM,6,4,-0.028741062579,-0.101069966643
0000813672,CDNS,9,24,-0.0594022600981,-0.0179033425501
0000849399,GEN,1,5,-0.182514568553,-0.0369365471867
0000915913,ALB,2,4,0.270866132759,0.138323622648
0001059556,MCO,5,37,0.0716575486386,-0.0423308338919
0001136869,ZBH,1,5,0.114952937205,0.0520050764338
0001385157,TEL,1,1,0.105433390264,0.332789391676
