ticker,cik,metric,fiscal_period,accounting_basis,metric_subtype,unit,current_accession,accepted_at,fold_id,direction,midpoint_delta_ratio,sector_etf,price_snapshot,execution_session,outcome_session,stock_return_126d,sector_return_126d,sector_residual_return_126d,spy_return_126d,spy_residual_return_126d,forward_max_drawdown_126d
APD,0000002969,CAPEX,FY2022,NOT_APPLICABLE,NOT_APPLICABLE,USD,0000002969-22-000024,2022-05-05T11:09:39+00:00,F03,NON_LOWER,0,XLB,yf-long14-actions-sector-20260721,2022-05-06,2022-11-03,0.134834223976,-0.132468094236,0.267302318212,-0.089897064209,0.224731288185,-0.158148192072
APD,0000002969,EPS,FY2016,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001193125-16-661098,2016-07-28T11:30:34+00:00,F02,NON_LOWER,0.00334448160535,XLB,yf-long14-actions-sector-20260721,2016-07-29,2017-01-27,0.0443087793214,0.0949337745115,-0.0506249951901,0.0694028667453,-0.0250940874239,-0.0859192305206
BDX,0000010795,EPS,FY2014,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001193125-14-033873,2014-02-04T11:17:00+00:00,F01,NON_LOWER,0.00242326332795,XLV,yf-independent-current-sp500-20260721,2014-02-05,2014-08-05,0.100327764546,0.10291315065,-0.0025853861047,0.108717829458,-0.00839006491194,-0.0530617183556
BDX,0000010795,EPS,FY2014,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001193125-14-174360,2014-05-01T10:19:34+00:00,F01,LOWER,-0.00805801772764,XLV,yf-independent-current-sp500-20260721,2014-05-02,2014-10-29,0.144771800707,0.138115428892,0.00665637181432,0.0620246078233,0.0827471928833,-0.0702076196743
BDX,0000010795,EPS,FY2014,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001193125-14-288153,2014-07-31T10:17:06+00:00,F01,LOWER,-0.00324939073924,XLV,yf-independent-current-sp500-20260721,2014-08-01,2015-01-30,0.202781773146,0.148168789817,0.0546129833296,0.046366156201,0.156415616945,-0.0702076196743
BDX,0000010795,EPS,FY2019,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0000010795-19-000007,2019-02-05T11:30:43+00:00,F02,NON_LOWER,0,XLV,yf-independent-current-sp500-20260721,2019-02-06,2019-08-06,0.00592944952222,0.00644198713982,-0.000512537617598,0.0648252800282,-0.0588958305059,-0.122400906423
HUM,0000049071,EPS,FY2019,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001193125-19-130862,2019-05-01T11:31:04+00:00,F02,LOWER,-0.00563798219585,XLV,yf-independent-current-sp500-20260721,2019-05-02,2019-10-29,0.202126654614,0.068710395699,0.133416258915,0.0494091918497,0.152717462764,-0.16784632033
HUM,0000049071,EPS,FY2021,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0000049071-21-000079,2021-04-28T11:13:15+00:00,F03,LOWER,-0.0569530137636,XLV,yf-independent-current-sp500-20260721,2021-04-29,2021-10-26,0.0630496602326,0.0912076581377,-0.0281579979051,0.0918283252926,-0.02877866506,-0.181606600149
HUM,0000049071,EPS,FY2021,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0000049071-21-000079,2021-04-28T11:13:15+00:00,F03,NON_LOWER,0,XLV,yf-independent-current-sp500-20260721,2021-04-29,2021-10-26,0.0630496602326,0.0912076581377,-0.0281579979051,0.0918283252926,-0.02877866506,-0.181606600149
CVS,0000064803,EPS,FY2023,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0000947871-24-000009,2024-01-05T11:41:14+00:00,F04,NON_LOWER,0,XLV,yf-independent-current-sp500-20260721,2024-01-08,2024-07-09,-0.286249707527,0.0494637859047,-0.335713493431,0.194085905321,-0.480335612848,-0.335674654988
