ticker,cik,accession_number,accepted_at,document_name,source_url,source_sha256,metric,fiscal_period,accounting_basis,metric_subtype,unit,lower_bound,upper_bound,midpoint,numeric_role,sign,source_structure,range_offset,range_role,semantic_role,table_index,row_index,column_index,row_header,header_path,source_excerpt,candidate_status,block_path,source_kind,review_priority,v10_candidate_origin
NOVT,0001076930,0001564590-15-009347,2015-11-04T21:11:08.000Z,gsig-ex991_6.htm,https://www.sec.gov/Archives/edgar/data/1076930/000156459015009347/gsig-ex991_6.htm,4294cd183db1c967efb5871d29754a93a06944bed37f2b3c4b1982d74058645c,REVENUE,FY2015,NON_GAAP,NOT_APPLICABLE,USD,365000000,370000000,367500000,CURRENT_GUIDANCE_RANGE,AS_REPORTED,NARRATIVE_CLAUSE,78,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,,,,,,"For the full year 2015, the Company expects Adjusted Revenue of approximately $365 million to $370 million.",V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,/html/body/document/type/sequence/filename/description/text/p[21],HTML_P,f0644f8bd367d0556b1dbc05ebabc1a26acc2fe5db801cc1593c513739c921a4,FINAL_EXPANSION
NOVT,0001076930,0001564590-18-011472,2018-05-08T11:30:20.000Z,novt-ex991_20.htm,https://www.sec.gov/Archives/edgar/data/1076930/000156459018011472/novt-ex991_20.htm,b1b370cf714eb096f330b8cc975ea515c63098506cb2d6e9bccfeec096f4edd3,REVENUE,FY2018,GAAP,NOT_APPLICABLE,USD,590000000,605000000,597500000,CURRENT_GUIDANCE_RANGE,AS_REPORTED,NARRATIVE_CLAUSE,74,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,,,,,,"For the full year 2018, the Company expects GAAP revenue of approximately $590 million to $605 million, Adjusted EBITDA in the range of $119 million to $125 million, and Adjusted Diluted EPS to be in the range of $1.93 to $2.02. The Company’s Adjusted Diluted EPS assumes no significant changes in foreign exchange rates.",V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,/html/body/document/type/sequence/filename/description/text/p[33],HTML_P,42d9c93fac3e4bd99a5f0dae8086cdfb1f2eb70eb2151e35fbe32a879bb609d1,FINAL_EXPANSION
NOVT,0001076930,0001564590-18-011472,2018-05-08T11:30:20.000Z,novt-ex991_20.htm,https://www.sec.gov/Archives/edgar/data/1076930/000156459018011472/novt-ex991_20.htm,b1b370cf714eb096f330b8cc975ea515c63098506cb2d6e9bccfeec096f4edd3,EPS,FY2018,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,1.93,2.02,1.975,CURRENT_GUIDANCE_RANGE,AS_REPORTED,NARRATIVE_CLAUSE,213,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,,,,,,"For the full year 2018, the Company expects GAAP revenue of approximately $590 million to $605 million, Adjusted EBITDA in the range of $119 million to $125 million, and Adjusted Diluted EPS to be in the range of $1.93 to $2.02. The Company’s Adjusted Diluted EPS assumes no significant changes in foreign exchange rates.",V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,/html/body/document/type/sequence/filename/description/text/p[33],HTML_P,a154b847d7a3eb535e84a0a2a08f4379450d8ba586142c8a2c49d8727ac30feb,FINAL_EXPANSION
NOVT,0001076930,0001564590-18-011472,2018-05-08T11:30:20.000Z,novt-ex991_20.htm,https://www.sec.gov/Archives/edgar/data/1076930/000156459018011472/novt-ex991_20.htm,b1b370cf714eb096f330b8cc975ea515c63098506cb2d6e9bccfeec096f4edd3,REVENUE,Q2-2018,GAAP,NOT_APPLICABLE,USD,146000000,149000000,147500000,CURRENT_GUIDANCE_RANGE,AS_REPORTED,NARRATIVE_CLAUSE,82,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,,,,,,"For the second quarter of 2018, the Company expects GAAP revenue of approximately $146 million to $149 million.",V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,/html/body/document/type/sequence/filename/description/text/p[35],HTML_P,c3b42eb73c07f4540e9bbd7970de8b0b718004f3552e15b10b82aaf5c523c8fc,FINAL_EXPANSION
NOVT,0001076930,0001564590-19-016198,2019-05-07T11:30:21.000Z,novt-ex991_29.htm,https://www.sec.gov/Archives/edgar/data/1076930/000156459019016198/novt-ex991_29.htm,4aeff1f81a8b19120b634be866a4c44aa0791da47cb5d500e50c9880ca5ae516,EPS,FY2019,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,2.36,2.42,2.39,CURRENT_GUIDANCE_RANGE,AS_REPORTED,NARRATIVE_CLAUSE,103,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,,,,,,"For the full year 2019, the Company is raising its expected Adjusted Diluted EPS to be in the range of $2.36 to $2.42. The Company’s Adjusted Diluted EPS guidance assumes no significant changes in foreign exchange rates.",V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,/html/body/document/type/sequence/filename/description/text/p[29],HTML_P,f99c9473dc427060bcb813b6bbd15431443288b6ae26c76690f37118a1b3a466,FINAL_EXPANSION
NOVT,0001076930,0001564590-19-016198,2019-05-07T11:30:21.000Z,novt-ex991_29.htm,https://www.sec.gov/Archives/edgar/data/1076930/000156459019016198/novt-ex991_29.htm,4aeff1f81a8b19120b634be866a4c44aa0791da47cb5d500e50c9880ca5ae516,REVENUE,Q2-2019,GAAP,NOT_APPLICABLE,USD,153000000,155000000,154000000,CURRENT_GUIDANCE_RANGE,AS_REPORTED,NARRATIVE_CLAUSE,82,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,,,,,,"For the second quarter of 2019, the Company expects GAAP revenue of approximately $153 million to $155 million, Adjusted EBITDA in the range of $29.5 million to $30.5 million, and Adjusted Diluted EPS to be in the range of $0.53 to $0.55. The Company’s Adjusted Diluted EPS and Adjusted EBITDA guidance assumes no significant changes in foreign exchange rates.",V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,/html/body/document/type/sequence/filename/description/text/p[31],HTML_P,9eebc384b17ca97a65bf53b8976721943acda5246057757b2cc6b213460dbb73,FINAL_EXPANSION
NOVT,0001076930,0001564590-19-016198,2019-05-07T11:30:21.000Z,novt-ex991_29.htm,https://www.sec.gov/Archives/edgar/data/1076930/000156459019016198/novt-ex991_29.htm,4aeff1f81a8b19120b634be866a4c44aa0791da47cb5d500e50c9880ca5ae516,EPS,Q2-2019,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0.53,0.55,0.54,CURRENT_GUIDANCE_RANGE,AS_REPORTED,NARRATIVE_CLAUSE,223,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,,,,,,"For the second quarter of 2019, the Company expects GAAP revenue of approximately $153 million to $155 million, Adjusted EBITDA in the range of $29.5 million to $30.5 million, and Adjusted Diluted EPS to be in the range of $0.53 to $0.55. The Company’s Adjusted Diluted EPS and Adjusted EBITDA guidance assumes no significant changes in foreign exchange rates.",V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,/html/body/document/type/sequence/filename/description/text/p[31],HTML_P,2924c2665e7c636b7e5ecabacb38d8c47c8f1fcb484a8999c7cbd6fd2d323b53,FINAL_EXPANSION
RPAY,0001720592,0001564590-20-011149,2020-03-16T20:05:49.000Z,rpay-ex991_6.htm,https://www.sec.gov/Archives/edgar/data/1720592/000156459020011149/rpay-ex991_6.htm,d03d00bffa2d5ab3edebcd728d688ff76d385c8f28dd75fde19a8cd2bb9dea75,REVENUE,FY2020,UNSPECIFIED,NOT_APPLICABLE,USD,155000000,165000000,160000000,CURRENT_GUIDANCE_RANGE,AS_REPORTED,HTML_TABLE_GRID,0,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,20,3,1,Total Revenue,Full Year 2020 Outlook | $15.5 – 16.0 billion,| Total Revenue | $155.0 – 165.0 million,V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,,,b5d29459d624ed486c34ebcc617f9efbe382701d0878ed8959ca7eae9f0d4af2,FINAL_EXPANSION
RPAY,0001720592,0001564590-20-038912,2020-08-10T20:07:17.000Z,rpay-ex991_6.htm,https://www.sec.gov/Archives/edgar/data/1720592/000156459020038912/rpay-ex991_6.htm,43b2b4f48e1224a4e2415074a70a0aa2e0d79e287844b242d89243b557e0bf70,REVENUE,FY2020,UNSPECIFIED,NOT_APPLICABLE,USD,145000000,155000000,150000000,CURRENT_GUIDANCE_RANGE,AS_REPORTED,HTML_TABLE_GRID,0,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,9,3,2,Total Revenue,Full Year 2020 Outlook | Updated Guidance | $14.5 – 15.0 billion,| Total Revenue | | $145.0 – 155.0 million,V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,,,d4664ecafa8231c715107fe87bbf355ef60665973f7ac922acfe0c6fb3ad64dd,FINAL_EXPANSION
NOVT,0001076930,0001564590-21-026295,2021-05-11T11:57:25.000Z,novt-ex991_16.htm,https://www.sec.gov/Archives/edgar/data/1076930/000156459021026295/novt-ex991_16.htm,5fc98a4dcff7fa40a5578a90f3ff1893eeb53a7d80d096bfbd678f67a38a6fef,REVENUE,Q2-2021,GAAP,NOT_APPLICABLE,USD,162000000,165000000,163500000,CURRENT_GUIDANCE_RANGE,AS_REPORTED,NARRATIVE_CLAUSE,82,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,,,,,,"For the second quarter of 2021, the Company expects GAAP revenue of approximately $162 million to $165 million.",V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,/html/body/document/type/sequence/filename/description/text/p[34],HTML_P,9b8105bcff62dceca3d888fa9b6041baf921da8ee2726cd3f0a772cfbdc1e900,FINAL_EXPANSION
