review_id,ticker,cik,accession_number,accepted_at,document_name,source_url,source_sha256,source_kind,block_path,block_text,metric,fiscal_period,accounting_basis,metric_subtype,unit,lower_bound,upper_bound,midpoint,range_offset,range_role,semantic_role,candidate_status,review_priority,review_decision,review_reason,reviewer,reviewed_at
SG3-0001,APD,0000002969,0000002969-24-000050,2024-11-07T12:52:19.000Z,exhibit99130sep24.htm,https://www.sec.gov/Archives/edgar/data/2969/000000296924000050/exhibit99130sep24.htm,f6bf3ed5c3a904b4904ccee5785f059006fa204a67c489ccadbdb07b7490b46b,HTML_DIV,/html/body/document/type/sequence/filename/description/text/div[193],We expect capital expenditures for fiscal year 2025 in the range of $4.5 billion to $5.0 billion.,CAPEX,FY2025,NOT_APPLICABLE,NOT_APPLICABLE,USD,4500000000,5000000000,4750000000,68,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,V3_RANGE_BOUND_NOT_SOURCE_REVIEWED,adebba34bbffaed5979f9b4cba33dd468e5e1792261a55cec0d7acf924491a8a,PENDING,,,
SG3-0002,APD,0000002969,0000002969-23-000011,2023-02-02T12:48:05.000Z,exhibit99131dec22.htm,https://www.sec.gov/Archives/edgar/data/2969/000000296923000011/exhibit99131dec22.htm,19fd8bfc8ca04832753558c042832c3994c82c85d848a090dc6b9ef083ff9d72,HTML_DIV,/html/body/document/type/sequence/filename/description/text/div[155],We expect capital expenditures for fiscal year 2023 to be $5.0 to $5.5 billion.,CAPEX,FY2023,NOT_APPLICABLE,NOT_APPLICABLE,USD,5000000000,5500000000,5250000000,58,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,V3_RANGE_BOUND_NOT_SOURCE_REVIEWED,b5a2a461803076db961e54ab46777166f300d736402cd9999c372208709d028e,PENDING,,,
SG3-0003,APD,0000002969,0000002969-21-000047,2021-11-04T11:03:01.000Z,exhibit99130sep21.htm,https://www.sec.gov/Archives/edgar/data/2969/000000296921000047/exhibit99130sep21.htm,831765b2a9e0e099d1056e478aaa3439aa333eecdefff657f9d685fb8257c052,HTML_DIV,/html/body/document/type/sequence/filename/description/text/div[198],We expect capital expenditures for fiscal year 2022 to be approximately $4.5 to $5 billion.,CAPEX,FY2022,NOT_APPLICABLE,NOT_APPLICABLE,USD,4500000000,5000000000,4750000000,72,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,V3_RANGE_BOUND_NOT_SOURCE_REVIEWED,b854b47b544e9cce70b4f2243f6132c89964003b5d4d6b7734072f14a8725be5,PENDING,,,
SG3-0004,LIN,0001707925,0001654954-22-010130,2022-07-28T10:34:18.000Z,lin_ex991.htm,https://www.sec.gov/Archives/edgar/data/1707925/000165495422010130/lin_ex991.htm,c3ff8ecba55f2c8538ae8474627ef131253b5f7997be1696e727b0bdf8607db9,HTML_P,/html/body/document/type/sequence/filename/description/text/p[20],"For the full year 2022, the company expects adjusted diluted earnings per share to be in the range of $11.73 to $11.93, up 10% to 12% versus prior year or 15% to 17% excluding currency headwind. Note that all Russian earnings are excluded prospectively as of July 1, 2022. Full-year capital expenditures are expected to be in the range of $3.0 billion to $3.4 billion to support growth and maintenance requirements including the $3.6 billion contractual sale of gas project backlog.",CAPEX,FY2022,NOT_APPLICABLE,NOT_APPLICABLE,USD,3000000000,3400000000,3200000000,339,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,V3_RANGE_BOUND_NOT_SOURCE_REVIEWED,ba06c965d1cdaa9c327d590f1a43e14e2e763a24ea54d91a2d72e9cb90bca94e,PENDING,,,
SG3-0005,APD,0000002969,0000002969-22-000044,2022-11-03T11:59:12.000Z,exhibit99130sep22.htm,https://www.sec.gov/Archives/edgar/data/2969/000000296922000044/exhibit99130sep22.htm,788d40a7fc4a806b8c0aa6061aa09736272d74a82728d33ea19660e7394a78e7,HTML_DIV,/html/body/document/type/sequence/filename/description/text/div[193],We expect capital expenditures for fiscal year 2023 to be $5.0 to $5.5 billion.,CAPEX,FY2023,NOT_APPLICABLE,NOT_APPLICABLE,USD,5000000000,5500000000,5250000000,58,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,V3_RANGE_BOUND_NOT_SOURCE_REVIEWED,c13f0fff44642cd0d1c6acb9249754375586c3e120d128ccc0ea838b0a437825,PENDING,,,
SG3-0006,META,0001326801,0001326801-24-000065,2024-07-31T20:11:20.000Z,meta-06302024xexhibit991.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000065/meta-06302024xexhibit991.htm,8964c3551d8020115893f8d8efbf77f3613f597460cd484ea58428f8a9432c29,HTML_DIV,/html/body/document/type/sequence/filename/description/text/div[34],"We anticipate our full-year 2024 capital expenditures will be in the range of $37-40 billion, updated from our prior range of $35-40 billion. While we continue to refine our plans for next year, we currently expect significant capital expenditures growth in 2025 as we invest to support our artificial intelligence research and product development efforts.",CAPEX,FY2024,NOT_APPLICABLE,NOT_APPLICABLE,USD,37000000000,40000000000,38500000000,78,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,V3_RANGE_BOUND_NOT_SOURCE_REVIEWED,e8138df71ed654532eca53853d136f5cd5014b6b1b69269e086ca3d2d635c2ac,PENDING,,,
SG3-0007,APD,0000002969,0000002969-20-000007,2020-01-24T13:36:13.000Z,exhibit99131dec19.htm,https://www.sec.gov/Archives/edgar/data/2969/000000296920000007/exhibit99131dec19.htm,842a2ed573d51a476d336ca015d32dc254b30959a9428e3107c89dfa1301ae63,HTML_DIV,/html/body/document/type/sequence/filename/description/text/div/div[188],"We expect capital expenditures for fiscal year 2020 to be approximately $4 billion to $4.5 billion, including the expected spending for the Jazan gas and power project.",CAPEX,FY2020,NOT_APPLICABLE,NOT_APPLICABLE,USD,4000000000,4500000000,4250000000,72,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,V3_RANGE_BOUND_NOT_SOURCE_REVIEWED,f3894011b456b4375e9fb2f4525a7cd13a8da571c3aeda7f306652204b918e74,PENDING,,,
SG3-0008,BA,0000012927,0000950123-13-008052,2013-10-23T11:52:00.000Z,Exhibit991.htm,https://www.sec.gov/Archives/edgar/data/12927/000095012313008052/Exhibit991.htm,0d83ce679d8eb3b351151d69bd05095065224ffa8b51f1ce9a11cf9399cccf70,HTML_DIV,/html/body/document/type/sequence/filename/description/text/div[53],"Core earnings per share guidance for 2013 increased to between $6.50 and $6.65, up from between $6.20 and $6.40, and earnings per share guidance increased to between $5.40 and $5.55, up from between $5.10 and",EPS,FY2013,UNSPECIFIED,NOT_APPLICABLE,USD_PER_SHARE,5.4,5.55,5.475,166,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,V3_RANGE_BOUND_NOT_SOURCE_REVIEWED,095a96c0d516d14a2144aa5c0d6fc53c6a78f2dfc7edfe50c4586bd0cd882376,PENDING,,,
SG3-0009,ABBV,0001551152,0001551152-17-000032,2017-10-27T11:43:33.000Z,abbv-20170930xexhibit991.htm,https://www.sec.gov/Archives/edgar/data/1551152/000155115217000032/abbv-20170930xexhibit991.htm,d3330c641a4d1c4abed80b42d1241cae79e336b9772f643f6f1d8928b2b85b3a,HTML_DIV,/html/body/document/type/sequence/filename/description/text/div[82],"AbbVie is updating its GAAP diluted EPS guidance for the full-year 2017 to $4.27 to $4.29. AbbVie now expects to deliver adjusted diluted EPS for the full-year 2017 of $5.53 to $5.55, representing growth of 14.9 percent at the midpoint. The company’s 2017 adjusted diluted EPS guidance excludes $1.26 per share of intangible asset amortization expense, changes in the fair value of contingent consideration, and other specified items.",EPS,FY2017,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,5.53,5.55,5.54,168,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,V3_RANGE_BOUND_NOT_SOURCE_REVIEWED,194fabbb6c29de32eb3abdbea01ffe7e605f2b2dfdbac025aaba61fc39d716a8,PENDING,,,
SG3-0010,APD,0000002969,0001193125-16-442800,2016-01-29T13:15:13.000Z,d57997dex991.htm,https://www.sec.gov/Archives/edgar/data/2969/000119312516442800/d57997dex991.htm,e0611b00fc1a2f31e2ec58e6df9b85a7cfcc9f4bf0f0b17ea69ef8bcf3deb1c5,HTML_P,/html/body/document/type/sequence/filename/description/text/table[5]/tr/td[4]/p,"Maintaining fiscal full-year 2016 EPS guidance of $7.25 to $7.50, up 10 to 14 percent",EPS,FY2016,UNSPECIFIED,NOT_APPLICABLE,USD_PER_SHARE,7.25,7.5,7.375,50,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,V3_RANGE_BOUND_NOT_SOURCE_REVIEWED,1b60f47a5c4b4158d05783a96644a8c2ef474091c08cd7a527441faa5dc1b689,PENDING,,,
