ticker,cik,company_name,exchange,selection_priority,cik_link_status
AWX,0001061069,AVALON HOLDINGS CORP,NYSE,0003eb223eba029902477703c552241cf5106ffb6b99dd03b63e1424cd5a3c91,UNIQUE_CIK_NAME_CANDIDATE
UP,0001819516,Wheels Up Experience Inc.,NYSE,0005b49e2ba5f950dc48a4855b984fc51c1eed470e3986215cbc61c9be7cbacb,UNIQUE_CIK_NAME_CANDIDATE
LCII,0000763744,LCI INDUSTRIES,NYSE,001bc33522180d4812a4494c41d6b7d7fc60494e736a42f8a523e114b6cbe9ba,UNIQUE_CIK_NAME_CANDIDATE
USLM,0000082020,UNITED STATES LIME & MINERALS INC,Nasdaq,0024308de7d956894ea00e1b1059f20efb8a70996fa54e451f3522eb89bd81a6,UNIQUE_CIK_NAME_CANDIDATE
ARTV,0001817241,"Artiva Biotherapeutics, Inc.",Nasdaq,0027948cc00a1138ed58df9ea12fdcfd948b562ba341946e115ce04e8818e11f,UNIQUE_CIK_NAME_CANDIDATE
OPENL,0001801169,Opendoor Technologies Inc.,Nasdaq,002ebc5f016d8aa31914badb10b914e2173ce5e84a773ca96081f395f717d6c2,UNIQUE_CIK_NAME_CANDIDATE
FCCO,0000932781,FIRST COMMUNITY CORP /SC/,Nasdaq,0030a6f25b6f6a33c05ad3b6dfcc573f1c0e2bd18cff27fa7a704b205a880827,UNIQUE_CIK_NAME_CANDIDATE
HKPD,0002007702,"Cellyan Biotechnology Co., Ltd",Nasdaq,0047e4e890b9f5b89d3e6f3cc0b7e8e37c1d61fa7bbe269a9400066660cfa55d,UNIQUE_CIK_NAME_CANDIDATE
NSTS,0001881592,"NSTS Bancorp, Inc.",Nasdaq,00640b7c7fff95c28b12c72c47d7c28f0248b9c4ff2c5c41a613e29f2a1ed916,UNIQUE_CIK_NAME_CANDIDATE
LZM,0001958217,Lifezone Metals Ltd,NYSE,00660c992126d9a03573a651be0b234e25d43374ea7d171e964eb15c1b10e8f9,UNIQUE_CIK_NAME_CANDIDATE
GRND,0001820144,Grindr Inc.,NYSE,006a46e33959ed3d5d001e91fab52aa96c536019515fcb3d65c0d02efa4cc120,UNIQUE_CIK_NAME_CANDIDATE
NVO,0000353278,NOVO NORDISK A S,NYSE,007b803e4be90636b236d67bb1816dc31fee6d4cfccaa5b71b4381acf0140368,UNIQUE_CIK_NAME_CANDIDATE
DULL,0000927971,BANK OF MONTREAL /CAN/,NYSE,007fc6de28be2520e5d02fc9bafddade033d6f0b98dfac46004177fc8a340ce1,UNIQUE_CIK_NAME_CANDIDATE
LXFR,0001096056,LUXFER HOLDINGS PLC,NYSE,00801d47b841a196fd798e2f222e2eaeae7d952de0089147d8aa789a196332f0,UNIQUE_CIK_NAME_CANDIDATE
NFGC,0001840616,New Found Gold Corp.,NYSE,008fe3727655143155734ac3716bfcac3f6bb37b3fb495f67ebfc00bcb1320de,UNIQUE_CIK_NAME_CANDIDATE
MANE,0001827635,"Veradermics, Inc",NYSE,0090ac4c0a1a5b70ac0b99bafd153d6222ce921ac56803c6192d5ecf85554f2c,UNIQUE_CIK_NAME_CANDIDATE
TTE,0000879764,TotalEnergies SE,NYSE,009eb492488a56d5e42e2caa2e897adf525a659b74c94c1be1c6dbdb8cee5d2d,UNIQUE_CIK_NAME_CANDIDATE
BL,0001666134,"BLACKLINE, INC.",Nasdaq,00a0d02be61dd7f38aa5046a87c09589ab48e0f918d72737ad652f05d3987915,UNIQUE_CIK_NAME_CANDIDATE
CRTO,0001576427,Criteo S.A.,Nasdaq,00a3919e86c069a8f9ee22cdc3d10e4275a54483e829dce9dcdf6ff0199241f8,UNIQUE_CIK_NAME_CANDIDATE
DJTWW,0001849635,Trump Media & Technology Group Corp.,Nasdaq,00badf99b9fb930a4f6d12cabb3c8f0ceaf3f0e5120177989855b9c4c4803af7,UNIQUE_CIK_NAME_CANDIDATE
GENC,0000064472,GENCOR INDUSTRIES INC,NYSE,00c11f80cee9e69f550ec1fe593d498cf19e557020ce0925100aeb8041cc715d,UNIQUE_CIK_NAME_CANDIDATE
MASS,0001555279,908 Devices Inc.,Nasdaq,00d980e071763bdbcf0748638ff9cb524d716fc2e9af8c67f8ea7d2aa8046fb4,UNIQUE_CIK_NAME_CANDIDATE
RSKD,0001851112,RISKIFIED LTD.,NYSE,00da8cc2db4b6f42ba69f392e1355942d95025ef6a1faec3d1b85ea7a8067ccb,UNIQUE_CIK_NAME_CANDIDATE
SAR,0001377936,SARATOGA INVESTMENT CORP.,NYSE,00e05507c4e5bae441c4f42fdb94549f1fa143608c79aa7c41a1db170c111436,UNIQUE_CIK_NAME_CANDIDATE
TOYO,0001985273,"TOYO Co., Ltd",Nasdaq,00fb27d864069b51cb291e5e588129ff73504b5baf7106debeed596b0234613c,UNIQUE_CIK_NAME_CANDIDATE
EFSCP,0001025835,ENTERPRISE FINANCIAL SERVICES CORP,Nasdaq,00fe08a87ae63e0690a8e07b0396b0945b7293278f1e4f5b46f8342646bb3565,UNIQUE_CIK_NAME_CANDIDATE
NFBK,0001493225,"Northfield Bancorp, Inc.",Nasdaq,00fe80d30d6d701ec56d6c5f20deba3fa6794add56e25214e03761191ad596c9,UNIQUE_CIK_NAME_CANDIDATE
DCO,0000030305,DUCOMMUN INC /DE/,NYSE,010657d532f4e301db3c8645bf505dd291b1ec566434b5d606e8c8d4b7d0efcb,UNIQUE_CIK_NAME_CANDIDATE
PEBO,0000318300,PEOPLES BANCORP INC,Nasdaq,01089ffb0c475fa9437dfa7b6d5d3207aa7fef5a50b806e86588013582dd4d57,UNIQUE_CIK_NAME_CANDIDATE
LGHL,0001806524,Lion Group Holding Ltd,Nasdaq,012be1b79d8fc91a7f2bcbcb64316d36814fd9a57129a601f7f897cbc73f4c0e,UNIQUE_CIK_NAME_CANDIDATE
INMD,0001742692,InMode Ltd.,Nasdaq,0133e95f77e0e27023b091edb9568e49e1a1abcfc83174f1a41091f95cb2747c,UNIQUE_CIK_NAME_CANDIDATE
BCTXZ,0001610820,BriaCell Therapeutics Corp.,Nasdaq,013c7877814831d2a2acabf062c2ce8bf804e71d690bf1d63c42b8b2438e26f7,UNIQUE_CIK_NAME_CANDIDATE
IHS,0001876183,IHS Holding Ltd,NYSE,013d2ed1330ac28842358ce6348c4578ee3ac7cdd95d0c8f5525bd05171844a9,UNIQUE_CIK_NAME_CANDIDATE
DLO,0001846832,dLocal Ltd,Nasdaq,01418352af6c7f0160a42a14d6ec272edf9d9b936a956b12b7904c71a12e2796,UNIQUE_CIK_NAME_CANDIDATE
QS,0001811414,QuantumScape Corp,Nasdaq,01450357e65fd27508583fc2ee7bab48021207dd585b54128088b9f624c01c6c,UNIQUE_CIK_NAME_CANDIDATE
VVX,0001601548,"V2X, Inc.",NYSE,0152cb43c4281ead9938982ec8ddd498ed023d939a5d4611c0ebb6d45338ea30,UNIQUE_CIK_NAME_CANDIDATE
OXLCZ,0001495222,Oxford Lane Capital Corp.,Nasdaq,0155fba8ad22864a53ac1b55ae9bc818b1a1790c222f53ef56fd43f569f25815,UNIQUE_CIK_NAME_CANDIDATE
HASI,0001561894,"HA Sustainable Infrastructure Capital, Inc.",NYSE,0171238451b66e61fa5cb66207ee79e86fdc6dd109bf6a6d9bfa4685514eceb0,UNIQUE_CIK_NAME_CANDIDATE
BCHT,0000728385,Birchtech Corp.,NYSE,0189e59fde7b51bb499b9e7925a6d699487b0fbf63ca488a658de60d8e184725,UNIQUE_CIK_NAME_CANDIDATE
GEOS,0001001115,GEOSPACE TECHNOLOGIES CORP,Nasdaq,01a0e1402c411227722884f2e7094bd0366cb8a90fe31c8137db8f96a57f7468,UNIQUE_CIK_NAME_CANDIDATE
HOG,0000793952,"HARLEY-DAVIDSON, INC.",NYSE,01b5e752599aeae0ec1f7ede5122135ab3ac1dcfbdb4a004a4f5099e71ba43bf,UNIQUE_CIK_NAME_CANDIDATE
LFS,0002030277,"LEIFRAS Co., Ltd.",Nasdaq,01c4ab7c329eccf529e296d4381ac0f9ecba9f228e0e27a75fcb10c74403061c,UNIQUE_CIK_NAME_CANDIDATE
RILYP,0001464790,"BRC Group Holdings, Inc.",Nasdaq,01d311345ccc80ce2bdc7563293fcf24712f806ff0928fe53206808cca1db852,UNIQUE_CIK_NAME_CANDIDATE
YYAI,0001674440,AIRWA INC.,Nasdaq,01ef06b461c6d66ea4b80b97689d55faaaf41ab336844f9781f179e2fd6d69ba,UNIQUE_CIK_NAME_CANDIDATE
CCIX,0002006291,Churchill Capital Corp IX/Cayman,Nasdaq,0202b1d1507e77e32ecd67f677fb0a9c1d8669b39781b1b069512ac44edcded4,UNIQUE_CIK_NAME_CANDIDATE
POWL,0000080420,POWELL INDUSTRIES INC,Nasdaq,020ad1e3a529be940ec3c9bc2b023fed23376f93fac36e6e452951a759449d32,UNIQUE_CIK_NAME_CANDIDATE
CIVB,0000944745,"CIVISTA BANCSHARES, INC.",Nasdaq,020c7b2c8bd1b8dd6216613cb26a858c2ea9df19bbab8d8c54beefdced48c6f4,UNIQUE_CIK_NAME_CANDIDATE
GHM,0000716314,GRAHAM CORP,NYSE,0220d78c7e405f46f01896c186d442d6a1ce57017ecb63ca7c24df2fa094b34b,UNIQUE_CIK_NAME_CANDIDATE
ATCH,0001963088,"AtlasClear Holdings, Inc.",NYSE,0222cbe1eeb7785c9a73a896233d88fc1f2a30bb0107c9816c340997c983edab,UNIQUE_CIK_NAME_CANDIDATE
KLTR,0001432133,KALTURA INC,Nasdaq,02323a4c521be45df3dfd1bf28b94ac7edb908ef627643e481ae8b86d77efece,UNIQUE_CIK_NAME_CANDIDATE
RDGT,0001856084,Ridgetech Inc.,Nasdaq,02641b4c7047bed6bb1ab3dedad09c40ed20586b493ef147293c6b658f975599,UNIQUE_CIK_NAME_CANDIDATE
SANA,0001770121,"Sana Biotechnology, Inc.",Nasdaq,0266c734495e43f09b2b39e5c831c17fe4ae9bcb2acb6074862a2ba8fc3ae70c,UNIQUE_CIK_NAME_CANDIDATE
SER,0001708599,"Serina Therapeutics, Inc.",NYSE,026f35f488215ea0949cf46bd9ce2485786a4ac49803d095258a0e03237d6fea,UNIQUE_CIK_NAME_CANDIDATE
RMBI,0001767837,"Richmond Mutual Bancorporation, Inc.",Nasdaq,027883d8b02dd6d36713a2249b89d6d13cb330ac8619391585452ec1a542a459,UNIQUE_CIK_NAME_CANDIDATE
