ticker,cik,accession_number,form,filing_date,accepted_at,items,primary_document,archive_dir,index_json_url,classification_status
SAR,0001377936,0000950103-10-000114,8-K,2010-01-15,2010-01-15T18:28:44.000Z,2.02,dp16193_8k.htm,https://www.sec.gov/Archives/edgar/data/1377936/000095010310000114,https://www.sec.gov/Archives/edgar/data/1377936/000095010310000114/index.json,NOT_CLASSIFIED
BPOP,0000763901,0001157523-10-000246,8-K,2010-01-21,2010-01-21T21:20:42.000Z,2.02,a6150751.htm,https://www.sec.gov/Archives/edgar/data/763901/000115752310000246,https://www.sec.gov/Archives/edgar/data/763901/000115752310000246/index.json,NOT_CLASSIFIED
FCCO,0000932781,0001104659-10-002444,8-K,2010-01-21,2010-01-21T21:29:39.000Z,2.02,a10-2207_18k.htm,https://www.sec.gov/Archives/edgar/data/932781/000110465910002444,https://www.sec.gov/Archives/edgar/data/932781/000110465910002444/index.json,NOT_CLASSIFIED
HOG,0000793952,0001193125-10-010259,8-K,2010-01-22,2010-01-22T13:30:24.000Z,2.02,d8k.htm,https://www.sec.gov/Archives/edgar/data/793952/000119312510010259,https://www.sec.gov/Archives/edgar/data/793952/000119312510010259/index.json,NOT_CLASSIFIED
PEBO,0000318300,0000318300-10-000002,8-K,2010-01-26,2010-01-26T15:29:17.000Z,2.02,form8-k.htm,https://www.sec.gov/Archives/edgar/data/318300/000031830010000002,https://www.sec.gov/Archives/edgar/data/318300/000031830010000002/index.json,NOT_CLASSIFIED
CMP,0001227654,0001227654-10-000003,8-K,2010-02-08,2010-02-08T22:12:12.000Z,2.02,form8kq4earnings.htm,https://www.sec.gov/Archives/edgar/data/1227654/000122765410000003,https://www.sec.gov/Archives/edgar/data/1227654/000122765410000003/index.json,NOT_CLASSIFIED
NOVT,0001076930,0001193125-10-056296,8-K,2010-03-15,2010-03-15T12:09:34.000Z,7.01,d8k.htm,https://www.sec.gov/Archives/edgar/data/1076930/000119312510056296,https://www.sec.gov/Archives/edgar/data/1076930/000119312510056296/index.json,NOT_CLASSIFIED
BPOP,0000763901,0001157523-10-002008,8-K,2010-04-12,2010-04-12T20:35:45.000Z,2.02,a6246107.htm,https://www.sec.gov/Archives/edgar/data/763901/000115752310002008,https://www.sec.gov/Archives/edgar/data/763901/000115752310002008/index.json,NOT_CLASSIFIED
SAR,0001377936,0000950103-10-001104,8-K,2010-04-14,2010-04-14T21:21:28.000Z,7.01,dp17246_8k.htm,https://www.sec.gov/Archives/edgar/data/1377936/000095010310001104,https://www.sec.gov/Archives/edgar/data/1377936/000095010310001104/index.json,NOT_CLASSIFIED
IIIN,0000764401,0000950123-10-036963,8-K,2010-04-22,2010-04-22T13:00:54.000Z,2.02,g23006e8vk.htm,https://www.sec.gov/Archives/edgar/data/764401/000095012310036963,https://www.sec.gov/Archives/edgar/data/764401/000095012310036963/index.json,NOT_CLASSIFIED
