ticker,cik,company_name,exchange,selection_priority,cik_link_status,eligible_filings,issuer_priority
QS,0001811414,QuantumScape Corp,Nasdaq,01450357e65fd27508583fc2ee7bab48021207dd585b54128088b9f624c01c6c,UNIQUE_CIK_NAME_CANDIDATE,34,008026256738c2d7bf660336b82bb12bbd7c3a6e7326eee61c2579091770545c
GEOS,0001001115,GEOSPACE TECHNOLOGIES CORP,Nasdaq,01a0e1402c411227722884f2e7094bd0366cb8a90fe31c8137db8f96a57f7468,UNIQUE_CIK_NAME_CANDIDATE,75,013d10a932b183a1f4fb1ed7b79b06cdf7cacfc9dabe9985f539f9bb644c8de6
CMP,0001227654,COMPASS MINERALS INTERNATIONAL INC,NYSE,05b9252f7a725d346336af17877515f3da887b37a420b82d94eab78db5451062,UNIQUE_CIK_NAME_CANDIDATE,123,05dd2b5fa02eb702f394bcc0c4a640b5867e169aa96acea5f1439fe2841189be
HOG,0000793952,"HARLEY-DAVIDSON, INC.",NYSE,01b5e752599aeae0ec1f7ede5122135ab3ac1dcfbdb4a004a4f5099e71ba43bf,UNIQUE_CIK_NAME_CANDIDATE,80,095ec34a1aa35cf3cc47d2273ed8c7d2d0fd38189bf254b705b0480515d8547c
SER,0001708599,"Serina Therapeutics, Inc.",NYSE,026f35f488215ea0949cf46bd9ce2485786a4ac49803d095258a0e03237d6fea,UNIQUE_CIK_NAME_CANDIDATE,52,0b2d2a470e16930a3c33813e002156af7c46ffbca851a19c812c9175f2a9d366
CTSO,0001175151,Cytosorbents Corp,Nasdaq,027fd79ebb25fd32edb58b47d48c836328b9c1b5bd0d8a690b4e732f77ea6d82,UNIQUE_CIK_NAME_CANDIDATE,96,109b7837200919ad7e6c816aba15a8cecdf01505590bfcd55809f74ceba16601
GRND,0001820144,Grindr Inc.,NYSE,006a46e33959ed3d5d001e91fab52aa96c536019515fcb3d65c0d02efa4cc120,UNIQUE_CIK_NAME_CANDIDATE,27,16e02983288aa15946beece297ddee5bc7be9288426fc8f50c136d1007345a7b
GENC,0000064472,GENCOR INDUSTRIES INC,NYSE,00c11f80cee9e69f550ec1fe593d498cf19e557020ce0925100aeb8041cc715d,UNIQUE_CIK_NAME_CANDIDATE,71,217d4d567c4447871db6275c7d19cbfd024ffbcd92ae82f61eec64d0845afe9b
SD,0001349436,SANDRIDGE ENERGY INC,NYSE,050370559ba7675a242ae3f11cd6a05935ecb46ae27b86ff7bf1713cc917707e,UNIQUE_CIK_NAME_CANDIDATE,97,2b0ea96ffa48d6f56a18c9795ff7bf38eae958eb0d88ef60497fc6594e325df7
MD,0000893949,"Pediatrix Medical Group, Inc.",NYSE,03781c2753de0955769d7e3fdd23ac72832a7ae8d3a728995d6aeb84e2e37356,UNIQUE_CIK_NAME_CANDIDATE,90,30a32e4d2cd8b721ab93bfea953b5474b1f61711265795508b543994a7230ac4
PRK,0000805676,PARK NATIONAL CORP /OH/,NYSE,03be1d46e341cc9c630000366d0dc1e45fa2619d9e8740c315b1a4dbbc533581,UNIQUE_CIK_NAME_CANDIDATE,129,3358521172f54b853a5d9f5dc2a678daac67a8a34af008107258c5a3e414e28b
RILYP,0001464790,"BRC Group Holdings, Inc.",Nasdaq,01d311345ccc80ce2bdc7563293fcf24712f806ff0928fe53206808cca1db852,UNIQUE_CIK_NAME_CANDIDATE,104,3761c7c16ded74c4ca9945dcb9ad465c966a7c02ee496136a33dee184535b475
CRTO,0001576427,Criteo S.A.,Nasdaq,00a3919e86c069a8f9ee22cdc3d10e4275a54483e829dce9dcdf6ff0199241f8,UNIQUE_CIK_NAME_CANDIDATE,69,3b1b9373db5b9fae99ebd176bc7292ae62b5fc0b53d72072ea9aec56143b1cb1
SAR,0001377936,SARATOGA INVESTMENT CORP.,NYSE,00e05507c4e5bae441c4f42fdb94549f1fa143608c79aa7c41a1db170c111436,UNIQUE_CIK_NAME_CANDIDATE,32,3d34d2290158096dc34086b9fa65cf93e07ca52af5bfef879bb5932b3f4154fe
MASS,0001555279,908 Devices Inc.,Nasdaq,00d980e071763bdbcf0748638ff9cb524d716fc2e9af8c67f8ea7d2aa8046fb4,UNIQUE_CIK_NAME_CANDIDATE,28,3fc12f072af7dfb96be1d0eeb1d1717d85ad8cebc977af5e7b20dd8fc43c0d92
NMIH,0001547903,"NMI Holdings, Inc.",Nasdaq,02a76a0597d80b958f22a9b648974e434f4ee1c75da9faba6b0ebbc143c41e8c,UNIQUE_CIK_NAME_CANDIDATE,71,40b5ad14273fddc6b5e326560c6dbdd1f5b73e6499dfb8049240c210fb56c3f5
CIVB,0000944745,"CIVISTA BANCSHARES, INC.",Nasdaq,020c7b2c8bd1b8dd6216613cb26a858c2ea9df19bbab8d8c54beefdced48c6f4,UNIQUE_CIK_NAME_CANDIDATE,156,414aecce79414e3f33e99ba9755b6c01300686e32bf735117cc4b989ad736620
ESTC,0001707753,Elastic N.V.,NYSE,047876a7995d825c65750cac2f04c9a8e951dcd104115d41c14b2d88ed929859,UNIQUE_CIK_NAME_CANDIDATE,32,4a1a069a0e83fc6a946f617635ed5646c52f3a35e8faadb5ef41c9dfb498e10e
ORGO,0001661181,Organogenesis Holdings Inc.,Nasdaq,05b3ed50ba8b60dde6d01fc23475a1825032e1730082133486f5a3bb161d851d,UNIQUE_CIK_NAME_CANDIDATE,50,4ac8eeff8389366ed5c72c18138ff8ad1390da6a0d47ef5ab2903e2e580d53c9
BHFAL,0001685040,"Brighthouse Financial, Inc.",Nasdaq,046efd76176dc4a1551bf23dfbf1ed36b636ac0ed4e4a85f0bd51778a80aaa75,UNIQUE_CIK_NAME_CANDIDATE,51,4b9b4e1a59220749da2aefcfa1b6e4037b0fd337d30a828bcf4833fea78fe6f9
AEVA,0001789029,"Aeva Technologies, Inc.",Nasdaq,041e497bb6dfa10201ef985142328bf5e8d23905a99dc65f90d16bb4119c8f1b,UNIQUE_CIK_NAME_CANDIDATE,30,5095b8fc24961f4337e925d20bcbda55116d27c689e401d5ed600c6a4b6b77ad
HEI,0000046619,HEICO CORP,NYSE,02c7db9d72bb5264168a67793b1040020db6c1ab52ec54b25a635652f384ef5d,UNIQUE_CIK_NAME_CANDIDATE,69,52e75ea37d7fd8b8a218db2ed7db363b5be160ee61b56ce90814968dad914d4c
CBNK,0001419536,Capital Bancorp Inc,Nasdaq,05793aab2d20c8d6c74b8f2122504999f9bbd3bfa556e7ff52d0c19252bd66de,UNIQUE_CIK_NAME_CANDIDATE,62,587baf4e665b6edde8adc7d4f0f2cec01bf14ea7307a437476f9f496857ff7d6
NFBK,0001493225,"Northfield Bancorp, Inc.",Nasdaq,00fe80d30d6d701ec56d6c5f20deba3fa6794add56e25214e03761191ad596c9,UNIQUE_CIK_NAME_CANDIDATE,101,5983f8e1d8f6cde93e4da540210ba21758eee3647954bed55f74a9b6bfe27193
DCO,0000030305,DUCOMMUN INC /DE/,NYSE,010657d532f4e301db3c8645bf505dd291b1ec566434b5d606e8c8d4b7d0efcb,UNIQUE_CIK_NAME_CANDIDATE,86,59aec63c4cec7207e6aba5c715aaf8e618c32d471ee4f6d7aba5fdd261b98272
IIIN,0000764401,INSTEEL INDUSTRIES INC,NYSE,058cba5fb508de7c465995ae6eeb8dbaf20e5ea7ea3c59088c2ab75623adfdec,UNIQUE_CIK_NAME_CANDIDATE,76,5db7bd5706373c83f6c5aa299db5d2a43911da4b820ce388faa14b48fc7c0dea
FCCO,0000932781,FIRST COMMUNITY CORP /SC/,Nasdaq,0030a6f25b6f6a33c05ad3b6dfcc573f1c0e2bd18cff27fa7a704b205a880827,UNIQUE_CIK_NAME_CANDIDATE,105,5dcbe08f2efc4e0c041b9d9779603fc9c4416e3459a584e1ef2bce432b5c4deb
PEBO,0000318300,PEOPLES BANCORP INC,Nasdaq,01089ffb0c475fa9437dfa7b6d5d3207aa7fef5a50b806e86588013582dd4d57,UNIQUE_CIK_NAME_CANDIDATE,192,5f5b7cd7e1a194400a2731ab6f12950d7cb61f04b5cd3b325eb23ed6bbe173b2
NOVT,0001076930,NOVANTA INC,Nasdaq,04c1ce329851c84ac943c66dfe5f4b199d11645826c549986f6c80467f8c8792,UNIQUE_CIK_NAME_CANDIDATE,111,5f691cbe4a6950a54a672587393c1098a70088622e379253fb6dd71c191700d2
BCHT,0000728385,Birchtech Corp.,NYSE,0189e59fde7b51bb499b9e7925a6d699487b0fbf63ca488a658de60d8e184725,UNIQUE_CIK_NAME_CANDIDATE,20,6257a508464cd06b5bbcc53f67eae3dff6688197103a4ad8d5277b2cb6d7bc0e
BL,0001666134,"BLACKLINE, INC.",Nasdaq,00a0d02be61dd7f38aa5046a87c09589ab48e0f918d72737ad652f05d3987915,UNIQUE_CIK_NAME_CANDIDATE,47,62b81be58d48217c1c84d9d2e8dae7adb0c8fe41fd272ef8d4a4a769cd178701
LXFR,0001096056,LUXFER HOLDINGS PLC,NYSE,00801d47b841a196fd798e2f222e2eaeae7d952de0089147d8aa789a196332f0,UNIQUE_CIK_NAME_CANDIDATE,16,64db305a4e720fe7b01daa7138c2229f3c0dc70fbd66438debe19c82808508aa
YYAI,0001674440,AIRWA INC.,Nasdaq,01ef06b461c6d66ea4b80b97689d55faaaf41ab336844f9781f179e2fd6d69ba,UNIQUE_CIK_NAME_CANDIDATE,32,6576056f21c622f211c21b2d32e5a8d2f681e428a384b4c195a237b3d39a1cd3
PFS,0001178970,PROVIDENT FINANCIAL SERVICES INC,NYSE,05591cc521cfa34e19cff3ff4a03ce55f932d7abd7d746b0d476761c7f402e94,UNIQUE_CIK_NAME_CANDIDATE,117,6675115fe5a0cb615d52407a7e9f309c74e93fc06b10378e624a502b3f2aba75
SANA,0001770121,"Sana Biotechnology, Inc.",Nasdaq,0266c734495e43f09b2b39e5c831c17fe4ae9bcb2acb6074862a2ba8fc3ae70c,UNIQUE_CIK_NAME_CANDIDATE,37,6a97c55667feb32e98a9b50e461ea5ddbff4da86c1da24ea58e9601f6ef98cb9
CHSCM,0000823277,CHS INC,Nasdaq,04e6dd3f2961bb5bcb1ecd8ce021f9ee82ee6861fc43556b4c02973e54eb4c7d,UNIQUE_CIK_NAME_CANDIDATE,68,6be13a73eb2294cd4f300ae4f7215b9bb6537e5f6a45924f4ebb72bd3db47518
HASI,0001561894,"HA Sustainable Infrastructure Capital, Inc.",NYSE,0171238451b66e61fa5cb66207ee79e86fdc6dd109bf6a6d9bfa4685514eceb0,UNIQUE_CIK_NAME_CANDIDATE,63,6e3622922735c4afa1b94054d31f61ba24636141224eb18f0db82c74165d6e81
RMBI,0001767837,"Richmond Mutual Bancorporation, Inc.",Nasdaq,027883d8b02dd6d36713a2249b89d6d13cb330ac8619391585452ec1a542a459,UNIQUE_CIK_NAME_CANDIDATE,31,71d14928455a7539cfb20fb4a2df7b26cdef6c5367973e3014478543b01e999a
KLTR,0001432133,KALTURA INC,Nasdaq,02323a4c521be45df3dfd1bf28b94ac7edb908ef627643e481ae8b86d77efece,UNIQUE_CIK_NAME_CANDIDATE,24,721616bcfc827d1ecd182fe89fc91a37e8eb3fe7209acc368c1ad38643b9952c
TGLS,0001534675,Tecnoglass Inc.,NYSE,032b580669efaf01f6f8f86f50ade89fab33f899487033b462e4242b2bf1ae58,UNIQUE_CIK_NAME_CANDIDATE,81,75641c75956a5b53411a1027e89ca96f5aaff6ba40e2d879e22118d64a7e6935
UP,0001819516,Wheels Up Experience Inc.,NYSE,0005b49e2ba5f950dc48a4855b984fc51c1eed470e3986215cbc61c9be7cbacb,UNIQUE_CIK_NAME_CANDIDATE,51,7b28dc7602c1975a003141324190ef6d39f847c0427813ce21355718efa9eb9c
ARTV,0001817241,"Artiva Biotherapeutics, Inc.",Nasdaq,0027948cc00a1138ed58df9ea12fdcfd948b562ba341946e115ce04e8818e11f,UNIQUE_CIK_NAME_CANDIDATE,9,8305dd3a4302575ba2c26ef0335d857d434f98334567613aed5320b87b855722
VVX,0001601548,"V2X, Inc.",NYSE,0152cb43c4281ead9938982ec8ddd498ed023d939a5d4611c0ebb6d45338ea30,UNIQUE_CIK_NAME_CANDIDATE,73,8326c1b3f9b270e3a73186ae00797230536b174f83be3281961b5071c7e5ae8d
KINS,0000033992,"KINGSTONE COMPANIES, INC.",Nasdaq,03d3dd3055529c6c4787ba59a96b91b22b194e92d255129913c7dd000953b7ee,UNIQUE_CIK_NAME_CANDIDATE,170,84be6b87ee6f68f1654bf19a99f6de40dcadc0e5b11104e3ed4dd8a45c721683
PI,0001114995,IMPINJ INC,Nasdaq,05342516153682a048f912347f5f97fd1180df97cb77db3bcd7d561752ce5a98,UNIQUE_CIK_NAME_CANDIDATE,51,84c0ec25918ec855a733f62256516cbb1a7b7328454606a3aaff8b1dc23e3fdb
TBRG,0001169445,"TruBridge, Inc.",Nasdaq,02cf89252d4986f2ab7430073fcee401341cd3ccd1dd9cf38abe9a4567cf8a87,UNIQUE_CIK_NAME_CANDIDATE,84,89b2be14f2c2ae03118815ff07a4315902401bb91d8a1d11d7f5f6058494ebef
GTES,0001718512,Gates Industrial Corp plc,NYSE,03744a0a7419edee2bb8e3f9a3cf56596b95d4c2bd465742ff9d8db9073941c7,UNIQUE_CIK_NAME_CANDIDATE,43,8e34eb243552befeb8a4128a2c53a1784b713f0709e82b39d291a878413e5f4d
CYCU,0001868419,"Cycurion, Inc.",Nasdaq,05589dca1cbce628dcb01180b4aca11b8a23881ceff4cd58e208752caab341f3,UNIQUE_CIK_NAME_CANDIDATE,9,93790439c3162d5d343aeb8bd7a0b5484170c1ad12822babeb1eeb836df4856a
XPON,0001894954,Expion360 Inc.,Nasdaq,0288c8396cbbaae602de7397ab0657515652840fe9998e15460b4c7ed563d52d,UNIQUE_CIK_NAME_CANDIDATE,27,981fc2efac2aa065e3aa0d5faeb3e3b3b9e07b4162d7f6fe9e99bbd2f64b3bde
BPOP,0000763901,"POPULAR, INC.",Nasdaq,04ad46d20b471498337bf9dca288af557ce3662e0628158cccb24be10b1f84e5,UNIQUE_CIK_NAME_CANDIDATE,128,9ed0f099747d66f4510b6d9c895b5c7afa7e9700b75bbd5dbca0cd865fa4baec
