ticker,cik,eligible_filings
AXON,0001069183,44
CIEN,0000936395,46
CPT,0000906345,42
DECK,0000910521,49
EME,0000105634,46
EPAM,0001352010,50
FLS,0000030625,47
FSLR,0001274494,45
FTI,0001681459,45
GNRC,0001474735,44
HOOD,0001783879,46
IBKR,0001381197,44
JBL,0000898293,43
LII,0001069202,45
LITE,0001633978,48
LNC,0000059558,46
LW,0001679273,46
MHK,0000851968,50
MPWR,0001280452,44
NDSN,0000072331,45
NOV,0001021860,47
PANW,0001327567,46
QRVO,0001604778,50
TER,0000097210,45
TFX,0000096943,49
TPL,0001811074,45
UBER,0001543151,49
WDAY,0001327811,49
XRX,0001770450,49
XYZ,0001512673,49
