ticker,cik,gics_sector,cik_link_status,eligible_filings
OKE,0001039684,Energy,UNIQUE_CIK_NAME_CANDIDATE,278
RJF,0000720005,Financials,UNIQUE_CIK_NAME_CANDIDATE,195
WEC,0000783325,Utilities,UNIQUE_CIK_NAME_CANDIDATE,148
KMI,0001506307,Energy,UNIQUE_CIK_NAME_CANDIDATE,141
STZ,0000016918,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,141
PNW,0000764622,Utilities,UNIQUE_CIK_NAME_CANDIDATE,141
WYNN,0001174922,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,136
BR,0001383312,Industrials,UNIQUE_CIK_NAME_CANDIDATE,121
DAL,0000027904,Industrials,UNIQUE_CIK_NAME_CANDIDATE,119
PRU,0001137774,Financials,UNIQUE_CIK_NAME_CANDIDATE,118
CCI,0001051470,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,112
WY,0000106535,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,100
HBAN,0000049196,Financials,UNIQUE_CIK_NAME_CANDIDATE,94
INTC,0000050863,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,91
COR,0001140859,Health Care,UNIQUE_CIK_NAME_CANDIDATE,91
OXY,0000797468,Energy,UNIQUE_CIK_NAME_CANDIDATE,90
DOC,0000765880,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,88
CASY,0000726958,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,85
CI,0001739940,Health Care,UNIQUE_CIK_NAME_CANDIDATE,84
CHTR,0001091667,Communication Services,UNIQUE_CIK_NAME_CANDIDATE,82
WMB,0000107263,Energy,UNIQUE_CIK_NAME_CANDIDATE,80
O,0000726728,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,79
MO,0000764180,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,78
REG,0000910606,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,78
MOS,0001285785,Materials,UNIQUE_CIK_NAME_CANDIDATE,78
VLO,0001035002,Energy,UNIQUE_CIK_NAME_CANDIDATE,77
CBRE,0001138118,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,77
MPC,0001510295,Energy,UNIQUE_CIK_NAME_CANDIDATE,72
EG,0001095073,Financials,UNIQUE_CIK_NAME_CANDIDATE,70
VZ,0000732712,Communication Services,UNIQUE_CIK_NAME_CANDIDATE,70
PSA,0001393311,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,69
EBAY,0001065088,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,68
IFF,0000051253,Materials,UNIQUE_CIK_NAME_CANDIDATE,67
BF-B,0000014693,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,67
IP,0000051434,Materials,UNIQUE_CIK_NAME_CANDIDATE,66
CMCSA,0001166691,Communication Services,UNIQUE_CIK_NAME_CANDIDATE,66
ZBH,0001136869,Health Care,UNIQUE_CIK_NAME_CANDIDATE,65
ECL,0000031462,Materials,UNIQUE_CIK_NAME_CANDIDATE,64
KR,0000056873,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,64
D,0000715957,Utilities,UNIQUE_CIK_NAME_CANDIDATE,63
WBD,0001437107,Communication Services,UNIQUE_CIK_NAME_CANDIDATE,63
IEX,0000832101,Industrials,UNIQUE_CIK_NAME_CANDIDATE,63
WAT,0001000697,Health Care,UNIQUE_CIK_NAME_CANDIDATE,62
T,0000732717,Communication Services,UNIQUE_CIK_NAME_CANDIDATE,61
CB,0000896159,Financials,UNIQUE_CIK_NAME_CANDIDATE,61
REGN,0000872589,Health Care,UNIQUE_CIK_NAME_CANDIDATE,61
TSN,0000100493,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,60
TRGP,0001389170,Energy,UNIQUE_CIK_NAME_CANDIDATE,60
EQR,0000906107,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,59
AIG,0000005272,Financials,UNIQUE_CIK_NAME_CANDIDATE,59
HSY,0000047111,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,58
MU,0000723125,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,58
EXC,0001109357,Utilities,UNIQUE_CIK_NAME_CANDIDATE,58
BKR,0001701605,Energy,UNIQUE_CIK_NAME_CANDIDATE,57
LOW,0000060667,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,57
ROST,0000745732,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,56
EA,0000712515,Communication Services,UNIQUE_CIK_NAME_CANDIDATE,55
INTU,0000896878,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,55
PKG,0000075677,Materials,UNIQUE_CIK_NAME_CANDIDATE,55
ADM,0000007084,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,55
