ticker,cik,gics_sector,cik_link_status
ABT,0000001800,Health Care,UNIQUE_CIK_NAME_CANDIDATE
ACN,0001467373,Information Technology,UNIQUE_CIK_NAME_CANDIDATE
ADM,0000007084,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE
ADP,0000008670,Industrials,UNIQUE_CIK_NAME_CANDIDATE
AEE,0001002910,Utilities,UNIQUE_CIK_NAME_CANDIDATE
AIG,0000005272,Financials,UNIQUE_CIK_NAME_CANDIDATE
AMAT,0000006951,Information Technology,UNIQUE_CIK_NAME_CANDIDATE
AMP,0000820027,Financials,UNIQUE_CIK_NAME_CANDIDATE
APA,0001841666,Energy,UNIQUE_CIK_NAME_CANDIDATE
AVB,0000915912,Real Estate,UNIQUE_CIK_NAME_CANDIDATE
BF-B,0000014693,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE
BKR,0001701605,Energy,UNIQUE_CIK_NAME_CANDIDATE
BMY,0000014272,Health Care,UNIQUE_CIK_NAME_CANDIDATE
BR,0001383312,Industrials,UNIQUE_CIK_NAME_CANDIDATE
BXP,0001037540,Real Estate,UNIQUE_CIK_NAME_CANDIDATE
CASY,0000726958,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE
CB,0000896159,Financials,UNIQUE_CIK_NAME_CANDIDATE
CBOE,0001374310,Financials,UNIQUE_CIK_NAME_CANDIDATE
CBRE,0001138118,Real Estate,UNIQUE_CIK_NAME_CANDIDATE
CCI,0001051470,Real Estate,UNIQUE_CIK_NAME_CANDIDATE
CHTR,0001091667,Communication Services,UNIQUE_CIK_NAME_CANDIDATE
CI,0001739940,Health Care,UNIQUE_CIK_NAME_CANDIDATE
CLX,0000021076,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE
CMCSA,0001166691,Communication Services,UNIQUE_CIK_NAME_CANDIDATE
COR,0001140859,Health Care,UNIQUE_CIK_NAME_CANDIDATE
CRH,0000849395,Materials,UNIQUE_CIK_NAME_CANDIDATE
CTSH,0001058290,Information Technology,UNIQUE_CIK_NAME_CANDIDATE
D,0000715957,Utilities,UNIQUE_CIK_NAME_CANDIDATE
DAL,0000027904,Industrials,UNIQUE_CIK_NAME_CANDIDATE
DOC,0000765880,Real Estate,UNIQUE_CIK_NAME_CANDIDATE
DVN,0001090012,Energy,UNIQUE_CIK_NAME_CANDIDATE
EA,0000712515,Communication Services,UNIQUE_CIK_NAME_CANDIDATE
EBAY,0001065088,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE
ECL,0000031462,Materials,UNIQUE_CIK_NAME_CANDIDATE
ED,0001047862,Utilities,UNIQUE_CIK_NAME_CANDIDATE
EG,0001095073,Financials,UNIQUE_CIK_NAME_CANDIDATE
EQR,0000906107,Real Estate,UNIQUE_CIK_NAME_CANDIDATE
EVRG,0001711269,Utilities,UNIQUE_CIK_NAME_CANDIDATE
EW,0001099800,Health Care,UNIQUE_CIK_NAME_CANDIDATE
EXC,0001109357,Utilities,UNIQUE_CIK_NAME_CANDIDATE
FFIV,0001048695,Information Technology,UNIQUE_CIK_NAME_CANDIDATE
FISV,0000798354,Financials,UNIQUE_CIK_NAME_CANDIDATE
GOOG,0001652044,Communication Services,UNIQUE_CIK_NAME_CANDIDATE
GWW,0000277135,Industrials,UNIQUE_CIK_NAME_CANDIDATE
HAL,0000045012,Energy,UNIQUE_CIK_NAME_CANDIDATE
HBAN,0000049196,Financials,UNIQUE_CIK_NAME_CANDIDATE
HSY,0000047111,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE
IDXX,0000874716,Health Care,UNIQUE_CIK_NAME_CANDIDATE
IEX,0000832101,Industrials,UNIQUE_CIK_NAME_CANDIDATE
IFF,0000051253,Materials,UNIQUE_CIK_NAME_CANDIDATE
INCY,0000879169,Health Care,UNIQUE_CIK_NAME_CANDIDATE
INTC,0000050863,Information Technology,UNIQUE_CIK_NAME_CANDIDATE
INTU,0000896878,Information Technology,UNIQUE_CIK_NAME_CANDIDATE
IP,0000051434,Materials,UNIQUE_CIK_NAME_CANDIDATE
KEY,0000091576,Financials,UNIQUE_CIK_NAME_CANDIDATE
KMI,0001506307,Energy,UNIQUE_CIK_NAME_CANDIDATE
KR,0000056873,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE
LEN,0000920760,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE
LMT,0000936468,Industrials,UNIQUE_CIK_NAME_CANDIDATE
LNT,0000352541,Utilities,UNIQUE_CIK_NAME_CANDIDATE
LOW,0000060667,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE
LYB,0001489393,Materials,UNIQUE_CIK_NAME_CANDIDATE
LYV,0001335258,Communication Services,UNIQUE_CIK_NAME_CANDIDATE
MCHP,0000827054,Information Technology,UNIQUE_CIK_NAME_CANDIDATE
MGM,0000789570,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE
MLM,0000916076,Materials,UNIQUE_CIK_NAME_CANDIDATE
MO,0000764180,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE
MOS,0001285785,Materials,UNIQUE_CIK_NAME_CANDIDATE
MPC,0001510295,Energy,UNIQUE_CIK_NAME_CANDIDATE
MU,0000723125,Information Technology,UNIQUE_CIK_NAME_CANDIDATE
NUE,0000073309,Materials,UNIQUE_CIK_NAME_CANDIDATE
