ticker,cik,accession_number,form,filing_date,accepted_at,items,primary_document,archive_dir,index_json_url,classification_status
ECHO,0001415404,0001104659-16-133423,8-K,2016-07-20,2016-07-20T10:15:36.000Z,"2.02,7.01",a16-15192_18k.htm,https://www.sec.gov/Archives/edgar/data/1415404/000110465916133423,https://www.sec.gov/Archives/edgar/data/1415404/000110465916133423/index.json,NOT_CLASSIFIED
RHI,0000315213,0001628280-16-017758,8-K,2016-07-26,2016-07-26T20:14:20.000Z,2.02,rhiq220168-k.htm,https://www.sec.gov/Archives/edgar/data/315213/000162828016017758,https://www.sec.gov/Archives/edgar/data/315213/000162828016017758/index.json,NOT_CLASSIFIED
ERIE,0000922621,0000922621-16-000100,8-K,2016-07-28,2016-07-28T20:39:07.000Z,2.02,erie8-k06302016.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262116000100,https://www.sec.gov/Archives/edgar/data/922621/000092262116000100/index.json,NOT_CLASSIFIED
WSM,0000719955,0001193125-16-689938,8-K,2016-08-24,2016-08-24T20:18:33.000Z,2.02,d204196d8k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312516689938,https://www.sec.gov/Archives/edgar/data/719955/000119312516689938/index.json,NOT_CLASSIFIED
RHI,0000315213,0001628280-16-020306,8-K,2016-10-26,2016-10-26T20:23:41.000Z,2.02,rhiq320168-k.htm,https://www.sec.gov/Archives/edgar/data/315213/000162828016020306,https://www.sec.gov/Archives/edgar/data/315213/000162828016020306/index.json,NOT_CLASSIFIED
ERIE,0000922621,0000922621-16-000112,8-K,2016-10-27,2016-10-27T20:21:22.000Z,2.02,erie8-k09302016.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262116000112,https://www.sec.gov/Archives/edgar/data/922621/000092262116000112/index.json,NOT_CLASSIFIED
WSM,0000719955,0001193125-16-770977,8-K,2016-11-17,2016-11-17T21:21:03.000Z,2.02,d290272d8k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312516770977,https://www.sec.gov/Archives/edgar/data/719955/000119312516770977/index.json,NOT_CLASSIFIED
RHI,0000315213,0001628280-17-000440,8-K,2017-01-26,2017-01-26T21:24:19.000Z,2.02,rhiq420168-k.htm,https://www.sec.gov/Archives/edgar/data/315213/000162828017000440,https://www.sec.gov/Archives/edgar/data/315213/000162828017000440/index.json,NOT_CLASSIFIED
ECHO,0001415404,0001415404-17-000002,8-K,2017-01-31,2017-01-31T21:58:28.000Z,"2.02,7.01",a8k13017v3.htm,https://www.sec.gov/Archives/edgar/data/1415404/000141540417000002,https://www.sec.gov/Archives/edgar/data/1415404/000141540417000002/index.json,NOT_CLASSIFIED
ERIE,0000922621,0000922621-17-000006,8-K,2017-02-23,2017-02-23T21:23:05.000Z,2.02,erie8-k12312016.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262117000006,https://www.sec.gov/Archives/edgar/data/922621/000092262117000006/index.json,NOT_CLASSIFIED
ECHO,0001415404,0001415404-17-000012,8-K,2017-02-24,2017-02-24T13:14:25.000Z,2.02,a8-kxearningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1415404/000141540417000012,https://www.sec.gov/Archives/edgar/data/1415404/000141540417000012/index.json,NOT_CLASSIFIED
WSM,0000719955,0001193125-17-083658,8-K,2017-03-15,2017-03-15T20:18:05.000Z,2.02,d339255d8k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312517083658,https://www.sec.gov/Archives/edgar/data/719955/000119312517083658/index.json,NOT_CLASSIFIED
RHI,0000315213,0001628280-17-004147,8-K,2017-04-20,2017-04-20T20:21:06.000Z,2.02,rhiq120178-k.htm,https://www.sec.gov/Archives/edgar/data/315213/000162828017004147,https://www.sec.gov/Archives/edgar/data/315213/000162828017004147/index.json,NOT_CLASSIFIED
ERIE,0000922621,0000922621-17-000019,8-K,2017-05-01,2017-05-01T20:21:17.000Z,2.02,erie8-k03312017.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262117000019,https://www.sec.gov/Archives/edgar/data/922621/000092262117000019/index.json,NOT_CLASSIFIED
WSM,0000719955,0001193125-17-181687,8-K,2017-05-24,2017-05-24T20:19:55.000Z,2.02,d366380d8k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312517181687,https://www.sec.gov/Archives/edgar/data/719955/000119312517181687/index.json,NOT_CLASSIFIED
ERIE,0000922621,0000922621-17-000031,8-K,2017-07-27,2017-07-27T20:27:40.000Z,2.02,erie8-k06302017.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262117000031,https://www.sec.gov/Archives/edgar/data/922621/000092262117000031/index.json,NOT_CLASSIFIED
WSM,0000719955,0001193125-17-265660,8-K,2017-08-23,2017-08-23T20:21:36.000Z,2.02,d429267d8k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312517265660,https://www.sec.gov/Archives/edgar/data/719955/000119312517265660/index.json,NOT_CLASSIFIED
RHI,0000315213,0001628280-17-010083,8-K,2017-10-24,2017-10-24T20:19:01.000Z,2.02,rhiq320178-k.htm,https://www.sec.gov/Archives/edgar/data/315213/000162828017010083,https://www.sec.gov/Archives/edgar/data/315213/000162828017010083/index.json,NOT_CLASSIFIED
ERIE,0000922621,0000922621-17-000042,8-K,2017-10-26,2017-10-26T20:22:58.000Z,2.02,erie8-k09302017.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262117000042,https://www.sec.gov/Archives/edgar/data/922621/000092262117000042/index.json,NOT_CLASSIFIED
WSM,0000719955,0001193125-17-345527,8-K,2017-11-16,2017-11-16T21:22:56.000Z,2.02,d490909d8k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312517345527,https://www.sec.gov/Archives/edgar/data/719955/000119312517345527/index.json,NOT_CLASSIFIED
RHI,0000315213,0001628280-18-000712,8-K,2018-01-30,2018-01-30T21:12:54.000Z,2.02,rhiq420178-k.htm,https://www.sec.gov/Archives/edgar/data/315213/000162828018000712,https://www.sec.gov/Archives/edgar/data/315213/000162828018000712/index.json,NOT_CLASSIFIED
ERIE,0000922621,0000922621-18-000015,8-K,2018-02-22,2018-02-22T21:22:51.000Z,2.02,erie8-k12312017.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262118000015,https://www.sec.gov/Archives/edgar/data/922621/000092262118000015/index.json,NOT_CLASSIFIED
