ticker,cik,gics_sector,cik_link_status,eligible_filings
ABT,0000001800,Health Care,UNIQUE_CIK_NAME_CANDIDATE,48
ACN,0001467373,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,45
ADP,0000008670,Industrials,UNIQUE_CIK_NAME_CANDIDATE,44
AEE,0001002910,Utilities,UNIQUE_CIK_NAME_CANDIDATE,50
AMAT,0000006951,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,49
AMP,0000820027,Financials,UNIQUE_CIK_NAME_CANDIDATE,46
APA,0001841666,Energy,UNIQUE_CIK_NAME_CANDIDATE,26
AVB,0000915912,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,43
BMY,0000014272,Health Care,UNIQUE_CIK_NAME_CANDIDATE,50
BXP,0001037540,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,41
CBOE,0001374310,Financials,UNIQUE_CIK_NAME_CANDIDATE,46
CLX,0000021076,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,54
CRH,0000849395,Materials,UNIQUE_CIK_NAME_CANDIDATE,20
CTSH,0001058290,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,50
DVN,0001090012,Energy,UNIQUE_CIK_NAME_CANDIDATE,55
ED,0001047862,Utilities,UNIQUE_CIK_NAME_CANDIDATE,50
EVRG,0001711269,Utilities,UNIQUE_CIK_NAME_CANDIDATE,41
EW,0001099800,Health Care,UNIQUE_CIK_NAME_CANDIDATE,54
FISV,0000798354,Financials,UNIQUE_CIK_NAME_CANDIDATE,53
GOOG,0001652044,Communication Services,UNIQUE_CIK_NAME_CANDIDATE,45
GWW,0000277135,Industrials,UNIQUE_CIK_NAME_CANDIDATE,41
HAL,0000045012,Energy,UNIQUE_CIK_NAME_CANDIDATE,44
IDXX,0000874716,Health Care,UNIQUE_CIK_NAME_CANDIDATE,47
INCY,0000879169,Health Care,UNIQUE_CIK_NAME_CANDIDATE,46
KEY,0000091576,Financials,UNIQUE_CIK_NAME_CANDIDATE,54
LEN,0000920760,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,50
LNT,0000352541,Utilities,UNIQUE_CIK_NAME_CANDIDATE,43
LYB,0001489393,Materials,UNIQUE_CIK_NAME_CANDIDATE,53
LYV,0001335258,Communication Services,UNIQUE_CIK_NAME_CANDIDATE,42
MCHP,0000827054,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,47
MGM,0000789570,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,55
MLM,0000916076,Materials,UNIQUE_CIK_NAME_CANDIDATE,53
NVR,0000906163,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,40
OMC,0000029989,Communication Services,UNIQUE_CIK_NAME_CANDIDATE,45
PCAR,0000075362,Industrials,UNIQUE_CIK_NAME_CANDIDATE,44
PHM,0000822416,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,44
ROL,0000084839,Industrials,UNIQUE_CIK_NAME_CANDIDATE,43
SPG,0001063761,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,44
SW,0002005951,Materials,UNIQUE_CIK_NAME_CANDIDATE,12
SYY,0000096021,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,47
TAP,0000024545,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,49
TJX,0000109198,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,44
TRV,0000086312,Financials,UNIQUE_CIK_NAME_CANDIDATE,50
TTWO,0000946581,Communication Services,UNIQUE_CIK_NAME_CANDIDATE,49
TXT,0000217346,Industrials,UNIQUE_CIK_NAME_CANDIDATE,48
UHS,0000352915,Health Care,UNIQUE_CIK_NAME_CANDIDATE,49
ULTA,0001403568,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,49
VMC,0001396009,Materials,UNIQUE_CIK_NAME_CANDIDATE,44
XEL,0000072903,Utilities,UNIQUE_CIK_NAME_CANDIDATE,42
ZBRA,0000877212,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,46
