ticker,cik,accession_number,form,filing_date,accepted_at,items,primary_document,archive_dir,index_json_url,classification_status
BRO,0000079282,0000079282-16-000054,8-K,2016-07-18,2016-07-18T21:03:21.000Z,2.02,bro-q2168k.htm,https://www.sec.gov/Archives/edgar/data/79282/000007928216000054,https://www.sec.gov/Archives/edgar/data/79282/000007928216000054/index.json,NOT_CLASSIFIED
IBKR,0001381197,0001381197-16-000068,8-K,2016-07-19,2016-07-19T20:01:36.000Z,2.02,ibkr_8k-20160719.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119716000068,https://www.sec.gov/Archives/edgar/data/1381197/000138119716000068/index.json,NOT_CLASSIFIED
PTC,0000857005,0001654954-16-000922,8-K,2016-07-20,2016-07-20T20:10:27.000Z,2.02,form8k.htm,https://www.sec.gov/Archives/edgar/data/857005/000165495416000922,https://www.sec.gov/Archives/edgar/data/857005/000165495416000922/index.json,NOT_CLASSIFIED
STLD,0001022671,0001104659-16-133536,8-K,2016-07-20,2016-07-20T20:50:07.000Z,2.02,a16-15196_18k.htm,https://www.sec.gov/Archives/edgar/data/1022671/000110465916133536,https://www.sec.gov/Archives/edgar/data/1022671/000110465916133536/index.json,NOT_CLASSIFIED
MPWR,0001280452,0001437749-16-035629,8-K,2016-07-25,2016-07-25T20:20:40.000Z,2.02,mpwr20160722b_8k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774916035629,https://www.sec.gov/Archives/edgar/data/1280452/000143774916035629/index.json,NOT_CLASSIFIED
ACGL,0000947484,0000947484-16-000059,8-K,2016-07-27,2016-07-27T20:25:17.000Z,2.02,a8-k72716.htm,https://www.sec.gov/Archives/edgar/data/947484/000094748416000059,https://www.sec.gov/Archives/edgar/data/947484/000094748416000059/index.json,NOT_CLASSIFIED
EQT,0000033213,0001157523-16-006267,8-K,2016-07-28,2016-07-28T10:28:02.000Z,2.02,a51389950.htm,https://www.sec.gov/Archives/edgar/data/33213/000115752316006267,https://www.sec.gov/Archives/edgar/data/33213/000115752316006267/index.json,NOT_CLASSIFIED
EME,0000105634,0000105634-16-000408,8-K,2016-07-28,2016-07-28T15:50:45.000Z,2.02,eme-2016630x8k.htm,https://www.sec.gov/Archives/edgar/data/105634/000010563416000408,https://www.sec.gov/Archives/edgar/data/105634/000010563416000408/index.json,NOT_CLASSIFIED
DECK,0000910521,0001157523-16-006295,8-K,2016-07-28,2016-07-28T20:06:23.000Z,2.02,a51391499.htm,https://www.sec.gov/Archives/edgar/data/910521/000115752316006295,https://www.sec.gov/Archives/edgar/data/910521/000115752316006295/index.json,NOT_CLASSIFIED
ERIE,0000922621,0000922621-16-000100,8-K,2016-07-28,2016-07-28T20:39:07.000Z,2.02,erie8-k06302016.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262116000100,https://www.sec.gov/Archives/edgar/data/922621/000092262116000100/index.json,NOT_CLASSIFIED
