ticker,cik,gics_sector,cik_link_status,eligible_filings
ACGL,0000947484,Financials,UNIQUE_CIK_NAME_CANDIDATE,74
AXON,0001069183,Industrials,UNIQUE_CIK_NAME_CANDIDATE,44
BRO,0000079282,Financials,UNIQUE_CIK_NAME_CANDIDATE,60
BX,0001393818,Financials,UNIQUE_CIK_NAME_CANDIDATE,55
CIEN,0000936395,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,46
CPT,0000906345,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,42
DECK,0000910521,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,49
EME,0000105634,Industrials,UNIQUE_CIK_NAME_CANDIDATE,46
EQT,0000033213,Energy,UNIQUE_CIK_NAME_CANDIDATE,87
ERIE,0000922621,Financials,UNIQUE_CIK_NAME_CANDIDATE,42
FIX,0001035983,Industrials,UNIQUE_CIK_NAME_CANDIDATE,91
FSLR,0001274494,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,45
GNRC,0001474735,Industrials,UNIQUE_CIK_NAME_CANDIDATE,44
IBKR,0001381197,Financials,UNIQUE_CIK_NAME_CANDIDATE,44
KKR,0001404912,Financials,UNIQUE_CIK_NAME_CANDIDATE,100
MPWR,0001280452,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,44
MRVL,0001835632,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,27
NDSN,0000072331,Industrials,UNIQUE_CIK_NAME_CANDIDATE,45
ON,0001097864,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,60
PTC,0000857005,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,59
STLD,0001022671,Materials,UNIQUE_CIK_NAME_CANDIDATE,70
TPL,0001811074,Energy,UNIQUE_CIK_NAME_CANDIDATE,45
WSM,0000719955,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,40
