ticker,cik,accession_number,form,filing_date,accepted_at,items,primary_document,archive_dir,index_json_url,classification_status
LMT,0000936468,0001144204-16-113450,8-K,2016-07-19,2016-07-19T11:32:50.000Z,2.02,v444273_8k.htm,https://www.sec.gov/Archives/edgar/data/936468/000114420416113450,https://www.sec.gov/Archives/edgar/data/936468/000114420416113450/index.json,NOT_CLASSIFIED
NUE,0000073309,0001144204-16-113842,8-K,2016-07-21,2016-07-21T15:24:36.000Z,2.02,v444652_8k.htm,https://www.sec.gov/Archives/edgar/data/73309/000114420416113842,https://www.sec.gov/Archives/edgar/data/73309/000114420416113842/index.json,NOT_CLASSIFIED
PWR,0001050915,0001193125-16-670853,8-K,2016-08-04,2016-08-04T10:10:56.000Z,2.02,d231264d8k.htm,https://www.sec.gov/Archives/edgar/data/1050915/000119312516670853,https://www.sec.gov/Archives/edgar/data/1050915/000119312516670853/index.json,NOT_CLASSIFIED
SRE,0001032208,0000086521-16-000118,8-K,2016-08-04,2016-08-04T15:25:27.000Z,2.02,se8k08042016.htm,https://www.sec.gov/Archives/edgar/data/1032208/000008652116000118,https://www.sec.gov/Archives/edgar/data/1032208/000008652116000118/index.json,NOT_CLASSIFIED
YUM,0001041061,0001041061-16-000091,8-K,2016-10-05,2016-10-05T20:39:17.000Z,2.02,a8k10516.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106116000091,https://www.sec.gov/Archives/edgar/data/1041061/000104106116000091/index.json,NOT_CLASSIFIED
YUM,0001041061,0001041061-16-000093,8-K,2016-10-11,2016-10-11T12:44:28.000Z,7.01,form8-k10_11x16.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106116000093,https://www.sec.gov/Archives/edgar/data/1041061/000104106116000093/index.json,NOT_CLASSIFIED
NUE,0000073309,0001144204-16-128715,8-K,2016-10-20,2016-10-20T15:01:49.000Z,2.02,v450831_8k.htm,https://www.sec.gov/Archives/edgar/data/73309/000114420416128715,https://www.sec.gov/Archives/edgar/data/73309/000114420416128715/index.json,NOT_CLASSIFIED
VRSN,0001014473,0001014473-16-000113,8-K,2016-10-20,2016-10-20T20:11:53.000Z,7.01,a8-kxcomagreementamendment.htm,https://www.sec.gov/Archives/edgar/data/1014473/000101447316000113,https://www.sec.gov/Archives/edgar/data/1014473/000101447316000113/index.json,NOT_CLASSIFIED
LMT,0000936468,0001144204-16-129270,8-K,2016-10-25,2016-10-25T11:32:11.000Z,2.02,v450813_8k.htm,https://www.sec.gov/Archives/edgar/data/936468/000114420416129270,https://www.sec.gov/Archives/edgar/data/936468/000114420416129270/index.json,NOT_CLASSIFIED
FFIV,0001048695,0001048695-16-000047,8-K,2016-10-26,2016-10-26T20:10:35.000Z,2.02,ffiv8-k9302016.htm,https://www.sec.gov/Archives/edgar/data/1048695/000104869516000047,https://www.sec.gov/Archives/edgar/data/1048695/000104869516000047/index.json,NOT_CLASSIFIED
TYL,0000860731,0001193125-16-748900,8-K,2016-10-27,2016-10-27T13:58:02.000Z,2.02,d279156d8k.htm,https://www.sec.gov/Archives/edgar/data/860731/000119312516748900,https://www.sec.gov/Archives/edgar/data/860731/000119312516748900/index.json,NOT_CLASSIFIED
VRSN,0001014473,0001014473-16-000116,8-K,2016-10-27,2016-10-27T20:10:47.000Z,2.02,vrsn-20161027x8xk.htm,https://www.sec.gov/Archives/edgar/data/1014473/000101447316000116,https://www.sec.gov/Archives/edgar/data/1014473/000101447316000116/index.json,NOT_CLASSIFIED
PWR,0001050915,0001193125-16-757918,8-K,2016-11-03,2016-11-03T10:13:02.000Z,2.02,d270455d8k.htm,https://www.sec.gov/Archives/edgar/data/1050915/000119312516757918,https://www.sec.gov/Archives/edgar/data/1050915/000119312516757918/index.json,NOT_CLASSIFIED
ROK,0001024478,0001024478-16-000068,8-K,2016-11-07,2016-11-07T12:38:09.000Z,2.02,fy168-kearningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1024478/000102447816000068,https://www.sec.gov/Archives/edgar/data/1024478/000102447816000068/index.json,NOT_CLASSIFIED
LMT,0000936468,0001144204-17-003517,8-K,2017-01-24,2017-01-24T12:30:06.000Z,2.02,v457219_8k.htm,https://www.sec.gov/Archives/edgar/data/936468/000114420417003517,https://www.sec.gov/Archives/edgar/data/936468/000114420417003517/index.json,NOT_CLASSIFIED
ROK,0001024478,0001024478-17-000005,8-K,2017-01-25,2017-01-25T12:18:12.000Z,2.02,q1fy178-kearningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1024478/000102447817000005,https://www.sec.gov/Archives/edgar/data/1024478/000102447817000005/index.json,NOT_CLASSIFIED
FFIV,0001048695,0001048695-17-000002,8-K,2017-01-25,2017-01-25T21:08:06.000Z,2.02,ffiv8-k12312016.htm,https://www.sec.gov/Archives/edgar/data/1048695/000104869517000002,https://www.sec.gov/Archives/edgar/data/1048695/000104869517000002/index.json,NOT_CLASSIFIED
NUE,0000073309,0001144204-17-004938,8-K,2017-01-31,2017-01-31T16:00:09.000Z,2.02,v458015_8k.htm,https://www.sec.gov/Archives/edgar/data/73309/000114420417004938,https://www.sec.gov/Archives/edgar/data/73309/000114420417004938/index.json,NOT_CLASSIFIED
TYL,0000860731,0001628280-17-001008,8-K,2017-02-08,2017-02-08T21:31:08.000Z,2.02,tly8-k12312016.htm,https://www.sec.gov/Archives/edgar/data/860731/000162828017001008,https://www.sec.gov/Archives/edgar/data/860731/000162828017001008/index.json,NOT_CLASSIFIED
YUM,0001041061,0001041061-17-000007,8-K,2017-02-09,2017-02-09T12:12:53.000Z,2.02,a8k2_9x17.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106117000007,https://www.sec.gov/Archives/edgar/data/1041061/000104106117000007/index.json,NOT_CLASSIFIED
VRSN,0001014473,0001014473-17-000002,8-K,2017-02-09,2017-02-09T21:10:57.000Z,2.02,vrsn-2017209x8xk.htm,https://www.sec.gov/Archives/edgar/data/1014473/000101447317000002,https://www.sec.gov/Archives/edgar/data/1014473/000101447317000002/index.json,NOT_CLASSIFIED
PWR,0001050915,0001193125-17-049180,8-K,2017-02-21,2017-02-21T11:12:56.000Z,2.02,d348105d8k.htm,https://www.sec.gov/Archives/edgar/data/1050915/000119312517049180,https://www.sec.gov/Archives/edgar/data/1050915/000119312517049180/index.json,NOT_CLASSIFIED
SRE,0001032208,0000086521-17-000014,8-K,2017-02-28,2017-02-28T16:37:22.000Z,2.02,sre8k20170228.htm,https://www.sec.gov/Archives/edgar/data/1032208/000008652117000014,https://www.sec.gov/Archives/edgar/data/1032208/000008652117000014/index.json,NOT_CLASSIFIED
YUM,0001041061,0001041061-17-000025,8-K,2017-04-13,2017-04-12T22:38:50.000Z,2.02,form8-k4122017.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106117000025,https://www.sec.gov/Archives/edgar/data/1041061/000104106117000025/index.json,NOT_CLASSIFIED
NUE,0000073309,0001144204-17-021152,8-K,2017-04-20,2017-04-20T13:12:35.000Z,2.02,v464674_8k.htm,https://www.sec.gov/Archives/edgar/data/73309/000114420417021152,https://www.sec.gov/Archives/edgar/data/73309/000114420417021152/index.json,NOT_CLASSIFIED
FFIV,0001048695,0001048695-17-000014,8-K,2017-04-26,2017-04-26T20:08:37.000Z,2.02,ffiv8-k3312017.htm,https://www.sec.gov/Archives/edgar/data/1048695/000104869517000014,https://www.sec.gov/Archives/edgar/data/1048695/000104869517000014/index.json,NOT_CLASSIFIED
TYL,0000860731,0000860731-17-000017,8-K,2017-04-26,2017-04-26T20:33:01.000Z,2.02,tly8-k3312017.htm,https://www.sec.gov/Archives/edgar/data/860731/000086073117000017,https://www.sec.gov/Archives/edgar/data/860731/000086073117000017/index.json,NOT_CLASSIFIED
VRSN,0001014473,0001014473-17-000011,8-K,2017-04-27,2017-04-27T20:09:22.000Z,2.02,vrsn33117form8-k.htm,https://www.sec.gov/Archives/edgar/data/1014473/000101447317000011,https://www.sec.gov/Archives/edgar/data/1014473/000101447317000011/index.json,NOT_CLASSIFIED
YUM,0001041061,0001041061-17-000032,8-K,2017-05-03,2017-05-03T11:17:18.000Z,2.02,a8k532017.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106117000032,https://www.sec.gov/Archives/edgar/data/1041061/000104106117000032/index.json,NOT_CLASSIFIED
SRE,0001032208,0000086521-17-000029,8-K,2017-05-09,2017-05-09T15:10:36.000Z,2.02,sre8k20170509.htm,https://www.sec.gov/Archives/edgar/data/1032208/000008652117000029,https://www.sec.gov/Archives/edgar/data/1032208/000008652117000029/index.json,NOT_CLASSIFIED
LMT,0000936468,0001144204-17-037080,8-K,2017-07-18,2017-07-18T11:35:14.000Z,2.02,v470758_8k.htm,https://www.sec.gov/Archives/edgar/data/936468/000114420417037080,https://www.sec.gov/Archives/edgar/data/936468/000114420417037080/index.json,NOT_CLASSIFIED
NUE,0000073309,0001144204-17-037421,8-K,2017-07-20,2017-07-20T15:16:50.000Z,2.02,v471112_8k.htm,https://www.sec.gov/Archives/edgar/data/73309/000114420417037421,https://www.sec.gov/Archives/edgar/data/73309/000114420417037421/index.json,NOT_CLASSIFIED
TYL,0000860731,0000860731-17-000026,8-K,2017-07-26,2017-07-26T20:27:22.000Z,2.02,tyl8-k6302017.htm,https://www.sec.gov/Archives/edgar/data/860731/000086073117000026,https://www.sec.gov/Archives/edgar/data/860731/000086073117000026/index.json,NOT_CLASSIFIED
VRSN,0001014473,0001014473-17-000026,8-K,2017-07-27,2017-07-27T20:10:06.000Z,2.02,vrsn63017form8-k.htm,https://www.sec.gov/Archives/edgar/data/1014473/000101447317000026,https://www.sec.gov/Archives/edgar/data/1014473/000101447317000026/index.json,NOT_CLASSIFIED
PWR,0001050915,0001193125-17-246716,8-K,2017-08-03,2017-08-03T11:11:56.000Z,2.02,d627605d8k.htm,https://www.sec.gov/Archives/edgar/data/1050915/000119312517246716,https://www.sec.gov/Archives/edgar/data/1050915/000119312517246716/index.json,NOT_CLASSIFIED
YUM,0001041061,0001041061-17-000053,8-K,2017-08-03,2017-08-03T11:24:56.000Z,2.02,a8k832017.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106117000053,https://www.sec.gov/Archives/edgar/data/1041061/000104106117000053/index.json,NOT_CLASSIFIED
SRE,0001032208,0000086521-17-000051,8-K,2017-08-04,2017-08-04T15:29:20.000Z,2.02,sre20170804form8k.htm,https://www.sec.gov/Archives/edgar/data/1032208/000008652117000051,https://www.sec.gov/Archives/edgar/data/1032208/000008652117000051/index.json,NOT_CLASSIFIED
NUE,0000073309,0001144204-17-053157,8-K,2017-10-19,2017-10-19T15:16:24.000Z,2.02,tv477297_8k.htm,https://www.sec.gov/Archives/edgar/data/73309/000114420417053157,https://www.sec.gov/Archives/edgar/data/73309/000114420417053157/index.json,NOT_CLASSIFIED
LMT,0000936468,0000936468-17-000011,8-K,2017-10-24,2017-10-24T11:32:51.000Z,2.02,lmt8kq32017.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646817000011,https://www.sec.gov/Archives/edgar/data/936468/000093646817000011/index.json,NOT_CLASSIFIED
VRSN,0001014473,0001014473-17-000047,8-K,2017-10-26,2017-10-26T20:09:54.000Z,2.02,q32017-earningsrelease8xk.htm,https://www.sec.gov/Archives/edgar/data/1014473/000101447317000047,https://www.sec.gov/Archives/edgar/data/1014473/000101447317000047/index.json,NOT_CLASSIFIED
SRE,0001032208,0000086521-17-000077,8-K,2017-10-30,2017-10-30T15:48:32.000Z,2.02,sre20171030form8k.htm,https://www.sec.gov/Archives/edgar/data/1032208/000008652117000077,https://www.sec.gov/Archives/edgar/data/1032208/000008652117000077/index.json,NOT_CLASSIFIED
YUM,0001041061,0001041061-17-000061,8-K,2017-11-02,2017-11-02T11:19:46.000Z,2.02,a8k1122017.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106117000061,https://www.sec.gov/Archives/edgar/data/1041061/000104106117000061/index.json,NOT_CLASSIFIED
ROK,0001024478,0001024478-17-000031,8-K,2017-11-08,2017-11-08T12:17:10.000Z,2.02,fy178-kearningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1024478/000102447817000031,https://www.sec.gov/Archives/edgar/data/1024478/000102447817000031/index.json,NOT_CLASSIFIED
ROK,0001024478,0001024478-18-000004,8-K,2018-01-24,2018-01-24T12:13:21.000Z,2.02,q1fy188-kearningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1024478/000102447818000004,https://www.sec.gov/Archives/edgar/data/1024478/000102447818000004/index.json,NOT_CLASSIFIED
FFIV,0001048695,0001048695-18-000003,8-K,2018-01-24,2018-01-24T21:10:03.000Z,2.02,ffiv8-k12312017.htm,https://www.sec.gov/Archives/edgar/data/1048695/000104869518000003,https://www.sec.gov/Archives/edgar/data/1048695/000104869518000003/index.json,NOT_CLASSIFIED
LMT,0000936468,0000936468-18-000004,8-K,2018-01-29,2018-01-29T12:31:31.000Z,2.02,lmt8kq42017.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646818000004,https://www.sec.gov/Archives/edgar/data/936468/000093646818000004/index.json,NOT_CLASSIFIED
YUM,0001041061,0001041061-18-000007,8-K,2018-02-08,2018-02-08T12:12:47.000Z,2.02,a8k2_8x18.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106118000007,https://www.sec.gov/Archives/edgar/data/1041061/000104106118000007/index.json,NOT_CLASSIFIED
VRSN,0001014473,0001014473-18-000004,8-K,2018-02-08,2018-02-08T21:10:11.000Z,2.02,q42017-earningsrelease8xk.htm,https://www.sec.gov/Archives/edgar/data/1014473/000101447318000004,https://www.sec.gov/Archives/edgar/data/1014473/000101447318000004/index.json,NOT_CLASSIFIED
PWR,0001050915,0001193125-18-053049,8-K,2018-02-22,2018-02-22T11:58:56.000Z,2.02,d541969d8k.htm,https://www.sec.gov/Archives/edgar/data/1050915/000119312518053049,https://www.sec.gov/Archives/edgar/data/1050915/000119312518053049/index.json,NOT_CLASSIFIED
FFIV,0001048695,0001628280-18-002900,8-K,2018-03-08,2018-03-08T00:32:04.000Z,"2.02,7.01",ffiv8-k382018.htm,https://www.sec.gov/Archives/edgar/data/1048695/000162828018002900,https://www.sec.gov/Archives/edgar/data/1048695/000162828018002900/index.json,NOT_CLASSIFIED
NUE,0000073309,0001144204-18-021272,8-K,2018-04-19,2018-04-19T14:28:06.000Z,2.02,tv491416_8k.htm,https://www.sec.gov/Archives/edgar/data/73309/000114420418021272,https://www.sec.gov/Archives/edgar/data/73309/000114420418021272/index.json,NOT_CLASSIFIED
LMT,0000936468,0000936468-18-000019,8-K,2018-04-24,2018-04-24T11:32:42.000Z,2.02,lmt8kq12018.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646818000019,https://www.sec.gov/Archives/edgar/data/936468/000093646818000019/index.json,NOT_CLASSIFIED
ROK,0001024478,0001024478-18-000010,8-K,2018-04-25,2018-04-25T11:06:48.000Z,2.02,q2fy188-kearningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1024478/000102447818000010,https://www.sec.gov/Archives/edgar/data/1024478/000102447818000010/index.json,NOT_CLASSIFIED
YUM,0001041061,0001041061-18-000021,8-K,2018-05-02,2018-05-02T11:06:31.000Z,2.02,a8k522018.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106118000021,https://www.sec.gov/Archives/edgar/data/1041061/000104106118000021/index.json,NOT_CLASSIFIED
SRE,0001032208,0000086521-18-000037,8-K,2018-05-07,2018-05-07T15:05:48.000Z,2.02,sre20180507form8k.htm,https://www.sec.gov/Archives/edgar/data/1032208/000008652118000037,https://www.sec.gov/Archives/edgar/data/1032208/000008652118000037/index.json,NOT_CLASSIFIED
