ticker,cik,accession_number,form,filing_date,accepted_at,items,primary_document,archive_dir,index_json_url,classification_status
PM,0001413329,0001413329-16-000094,8-K,2016-07-19,2016-07-19T13:01:08.000Z,2.02,a8-kearningsreleasexq2x201.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332916000094,https://www.sec.gov/Archives/edgar/data/1413329/000141332916000094/index.json,NOT_CLASSIFIED
PPG,0000079879,0000079879-16-000090,8-K,2016-07-21,2016-07-21T16:20:02.000Z,2.02,a2q2016earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987916000090,https://www.sec.gov/Archives/edgar/data/79879/000007987916000090/index.json,NOT_CLASSIFIED
SWK,0000093556,0000093556-16-000070,8-K,2016-07-22,2016-07-22T11:24:52.000Z,2.02,a8kq22016.htm,https://www.sec.gov/Archives/edgar/data/93556/000009355616000070,https://www.sec.gov/Archives/edgar/data/93556/000009355616000070/index.json,NOT_CLASSIFIED
AVY,0000008818,0001104659-16-134218,8-K,2016-07-26,2016-07-26T10:45:57.000Z,2.02,a16-15382_18k.htm,https://www.sec.gov/Archives/edgar/data/8818/000110465916134218,https://www.sec.gov/Archives/edgar/data/8818/000110465916134218/index.json,NOT_CLASSIFIED
EXR,0001289490,0001628280-16-017808,8-K,2016-07-27,2016-07-27T20:26:00.000Z,2.02,exr-03312016x8k.htm,https://www.sec.gov/Archives/edgar/data/1289490/000162828016017808,https://www.sec.gov/Archives/edgar/data/1289490/000162828016017808/index.json,NOT_CLASSIFIED
GL,0000320335,0000320335-16-000090,8-K,2016-07-27,2016-07-27T20:47:43.000Z,2.02,a8-kxq22016.htm,https://www.sec.gov/Archives/edgar/data/320335/000032033516000090,https://www.sec.gov/Archives/edgar/data/320335/000032033516000090/index.json,NOT_CLASSIFIED
FITB,0000035527,0001193125-16-660990,8-K,2016-07-28,2016-07-28T10:32:02.000Z,"2.02,7.01",d210245d8k.htm,https://www.sec.gov/Archives/edgar/data/35527/000119312516660990,https://www.sec.gov/Archives/edgar/data/35527/000119312516660990/index.json,NOT_CLASSIFIED
AEP,0000004904,0000004904-16-000082,8-K,2016-07-28,2016-07-28T11:36:17.000Z,2.02,a2q20168-kpressrelease.htm,https://www.sec.gov/Archives/edgar/data/4904/000000490416000082,https://www.sec.gov/Archives/edgar/data/4904/000000490416000082/index.json,NOT_CLASSIFIED
FTNT,0001262039,0001262039-16-000076,8-K,2016-07-28,2016-07-28T20:18:41.000Z,2.02,ftntq2-2016form8k.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203916000076,https://www.sec.gov/Archives/edgar/data/1262039/000126203916000076/index.json,NOT_CLASSIFIED
SBAC,0001034054,0001193125-16-662346,8-K,2016-07-28,2016-07-28T20:48:03.000Z,2.02,d388864d8k.htm,https://www.sec.gov/Archives/edgar/data/1034054/000119312516662346,https://www.sec.gov/Archives/edgar/data/1034054/000119312516662346/index.json,NOT_CLASSIFIED
XYL,0001524472,0001193125-16-667468,8-K,2016-08-02,2016-08-02T11:22:04.000Z,2.02,d225298d8k.htm,https://www.sec.gov/Archives/edgar/data/1524472/000119312516667468,https://www.sec.gov/Archives/edgar/data/1524472/000119312516667468/index.json,NOT_CLASSIFIED
